,starttime,endtime,phaseDuration
0,1709832108.0481815,1709832108.048187,25
1,1709832133.1434126,1709832133.1434183,25
2,1709832158.1465168,1709832158.1465218,25
3,1709832183.1455894,1709832183.1456008,25
4,1709832208.3434916,1709832208.343496,25
5,1709832233.444806,1709832233.4448118,25
6,1709832258.4509072,1709832258.4509118,25
7,1709832283.5502112,1709832283.5502172,25
8,1709832308.6511374,1709832308.651142,25
9,1709832333.8473983,1709832333.8474038,25
10,1709832358.9434288,1709832358.9434342,25
11,1709832384.0479555,1709832384.0479622,25
12,1709832409.0464017,1709832409.0464065,25
13,1709832434.1455953,1709832434.1456003,25
14,1709832459.245555,1709832459.2455597,25
15,1709832484.3435874,1709832484.3435943,25
16,1709832509.4449925,1709832509.444997,25
17,1709832534.5483425,1709832534.5483477,25
18,1709832559.6434665,1709832559.643472,25
19,1709832584.7493951,1709832584.7494009,25
20,1709832609.8525,1709832609.852504,25
21,1709832634.8475692,1709832634.847575,25
22,1709832659.943759,1709832659.9437644,25
23,1709832684.9525645,1709832684.9525704,25
24,1709832710.0459642,1709832710.0459683,25
25,1709832735.146292,1709832735.146298,25
26,1709832760.2501729,1709832760.2501824,25
27,1709832785.347163,1709832785.3471692,25
28,1709832810.348994,1709832810.3489976,25
29,1709832835.4505563,1709832835.4505615,25
30,1709832860.5457497,1709832860.5457547,25
31,1709832885.653926,1709832885.6539302,25
32,1709832910.7433906,1709832910.7433946,25
33,1709832935.7486093,1709832935.7486143,25
34,1709832960.8506665,1709832960.8506703,25
35,1709832985.95439,1709832985.9543962,25
36,1709833011.4281116,1709833011.428117,25
37,1709833036.5434492,1709833036.5434546,25
38,1709833061.6434665,1709833061.6434717,25
