,vehicleid,transtime
0,SN10,1709832122.7046497
1,EW11,1709832122.990344
2,SN10,1709832123.0007682
3,EW11,1709832123.2854643
4,SN10,1709832123.2980227
5,EW11,1709832123.5886412
6,SN10,1709832123.5995061
7,EW11,1709832123.8957536
8,SN10,1709832123.9052374
9,SN12,1709832123.9082153
10,EW11,1709832124.1956959
11,SN10,1709832124.2059932
12,SN12,1709832124.2123225
13,EW11,1709832124.4891558
14,SN10,1709832124.5012867
15,SN12,1709832124.5042589
16,EW11,1709832124.7953174
17,SN10,1709832124.8063772
18,SN12,1709832124.8104892
19,SN13,1709832124.815064
20,EW11,1709832125.0931952
21,SN10,1709832125.106747
22,SN12,1709832125.112141
23,SN13,1709832125.1161795
24,EW11,1709832125.3928297
25,SN10,1709832125.4038858
26,SN12,1709832125.415014
27,SN13,1709832125.4188995
28,EW11,1709832125.700037
29,SN10,1709832125.7128382
30,SN12,1709832125.71655
31,SN13,1709832125.7197018
32,EW11,1709832125.9921596
33,SN10,1709832125.9994135
34,SN12,1709832126.0029953
35,SN13,1709832126.006458
36,EW11,1709832126.28727
37,SN10,1709832126.3006344
38,SN12,1709832126.3031974
39,SN13,1709832126.3053625
40,EW11,1709832126.5927856
41,SN10,1709832126.6013563
42,SN12,1709832126.6039114
43,SN13,1709832126.6058447
44,EW11,1709832126.888303
45,SN10,1709832126.8970637
46,SN12,1709832126.8994024
47,SN13,1709832126.9021041
48,EW11,1709832127.18635
49,SN10,1709832127.1944788
50,SN12,1709832127.1964104
51,SN13,1709832127.198181
52,EW11,1709832127.4935277
53,SN10,1709832127.5001328
54,SN12,1709832127.5015578
55,SN13,1709832127.502991
56,EW11,1709832127.7898252
57,SN10,1709832127.7992098
58,SN12,1709832127.8014214
59,SN13,1709832127.8036118
60,EW11,1709832128.0893757
61,SN10,1709832128.0971563
62,SN12,1709832128.0989223
63,SN13,1709832128.1006463
64,EW11,1709832128.390318
65,SN10,1709832128.4012918
66,SN12,1709832128.4036794
67,SN13,1709832128.4063678
68,EW11,1709832128.687039
69,SN10,1709832128.7005904
70,SN12,1709832128.7030172
71,SN13,1709832128.7067094
72,EW11,1709832128.9864528
73,SN10,1709832128.9960196
74,SN12,1709832128.9991393
75,SN13,1709832129.0013475
76,EW11,1709832129.2930467
77,SN10,1709832129.3027828
78,SN12,1709832129.3052301
79,SN13,1709832129.3072264
80,EW11,1709832129.5892973
