,vehicleid,delaytime,,
0,WN03,6.644891977,,
1,WN08,6.628299713,,
2,ES07,6.298974991,,
3,ES018,6.2964468,,
4,SW013,10.21370792,,
5,SW014,10.21588087,,
6,SW023,6.89673233,,
7,NE028,6.5953722,,
8,SW025,6.598525763,,
9,SW032,6.586229324,,
10,SW033,6.578653812,,
11,NE041,6.609521866,,
12,SW042,6.594272137,,
13,NE046,6.593448877,,
14,NE052,6.632019281,,
15,EN111,31.1808188,,
16,EW110,31.8221817,,
17,WE12,35.52821779,,
18,WE15,35.52722955,,
19,WS16,35.55436325,,
20,EN163,9.894512892,,
21,EW135,20.71144795,,
22,EW136,20.7102983,,
23,WE119,29.14612699,,
24,WS115,31.63814855,,
25,EW137,20.70743012,,
26,WE130,24.95308328,,
27,WS167,9.944208384,,
28,EW139,20.70064521,,
29,WE134,24.31884217,,
30,EN175,6.299567938,,
31,EW143,6.287969589,,
32,WE149,6.664680481,,
33,WS179,6.67107892,,
34,EN178,6.274530172,,
35,EW144,6.257778645,,
36,EW145,6.263895988,,
37,WE164,6.600772381,,
38,EN180,6.290616035,,
39,EW151,6.273086071,,
40,WE171,6.631121874,,
41,SN11,40.85017776,,
42,SN14,40.85057259,,
43,SE10,40.86480784,,
44,NS120,32.13836384,,
45,NW122,31.59534478,,
46,SN116,36.33149791,,
47,SE19,39.6424973,,
48,NS155,18.64555717,,
49,NW138,24.95026159,,
50,SN117,36.29558492,,
51,SE112,39.63207459,,
52,NS158,17.72218966,,
53,NW148,21.64101434,,
54,SN129,31.51360536,,
55,NS161,17.73865032,,
56,SE126,33.31459618,,
57,NW159,18.63772106,,
58,SN153,22.49467635,,
59,NS181,8.686122417,,
60,SE147,6.273086548,,
61,NW168,5.991375446,,
62,SN173,6.27728653,,
63,SE150,6.273295879,,
64,NW170,5.941601753,,
65,SN177,6.258004189,,
66,NS191,5.947988033,,
67,SE156,6.265669346,,
68,NW186,5.940127134,,
69,SE162,6.276464224,,
70,NW187,5.960669518,,
71,SE182,6.270859003,,
72,SE198,6.282103777,,
73,SE1102,6.29694438,,
74,SE1104,6.28177619,,
75,SN1109,6.30404067,,
76,NS1108,5.997211218,,
77,SN1121,6.322355986,,
78,NE065,30.91152906,,
79,NE066,30.8871119,,
80,SW069,28.79562402,,
81,NE089,20.95114779,,
82,SW090,19.49212456,,
83,SW095,18.61264634,,
84,NE093,20.65491986,,
85,NE097,19.78220057,,
86,NE099,19.77943373,,
87,NE0106,6.596438646,,
88,SW0131,6.588801861,,
89,SW0133,6.583914995,,
90,SW0134,6.582176447,,
91,NE0140,6.588989496,,
92,EW157,35.66251373,,
93,EN1111,24.88518858,,
94,EW172,35.37731266,,
95,WE174,35.96110988,,
96,WS188,33.60034108,,
97,EN1119,21.59096622,,
98,WE176,35.65083551,,
99,EW1100,28.80116415,,
100,WS1101,29.04844069,,
101,EN1122,20.98799491,,
102,WE184,35.34600902,,
103,EW1125,19.77721524,,
104,WS1113,26.39360332,,
105,EN1137,14.09573221,,
106,WE194,33.81470728,,
107,WS1114,26.35582566,,
108,EN1139,14.09235811,,
109,EW1136,14.98676538,,
110,WE196,33.19048738,,
111,WS1128,19.77061367,,
112,EW1141,6.284438848,,
113,WE1105,6.555077791,,
114,WS1144,6.565787792,,
115,WE1107,6.562268734,,
116,WS1154,6.570030928,,
117,WE1117,6.563747883,,
118,WE1145,6.547848701,,
119,WE1148,6.572491407,,
120,WE1152,6.580013752,,
121,EW1164,6.307391167,,
122,EN1165,6.296383619,,
123,WE1156,6.564386368,,
124,WS1168,6.56541729,,
125,EN1167,6.292100668,,
126,EN1170,6.288548708,,
127,WE1163,6.557379246,,
128,WS1174,6.618640423,,
129,ES021,76.78864908,,
130,ES024,76.47927284,,
131,WN040,70.84532714,,
132,ES027,75.89096427,,
133,WN054,65.7295382,,
134,ES031,74.68326044,,
135,WN0103,44.97790909,,
136,ES060,63.8998301,,
137,WN0110,44.38799,,
138,WN0112,44.33584452,,
139,ES083,6.290753126,,
140,ES085,6.288080215,,
141,WN0123,6.587776423,,
142,ES092,6.290113449,,
143,WN0159,6.586159706,,
144,ES0115,6.29767704,,
145,WN0161,6.585082769,,
146,SW0143,29.08885884,,
147,NE0179,12.6106205,,
148,SW0147,27.91050434,,
149,NE0181,12.32363462,,
150,SW0180,12.29737377,,
151,NE0190,6.588232517,,
152,SN1151,39.10347104,,
153,SE1155,37.3138938,,
154,NS1124,51.7296977,,
155,NW1126,50.24549723,,
156,SN1158,36.39846683,,
157,NS1129,49.32863092,,
158,NW1130,48.74251485,,
159,SE1171,30.71528506,,
160,SN1160,35.12804151,,
161,SE1172,30.64557481,,
162,NS1138,46.54892874,,
163,NW1146,41.16129112,,
164,NS1149,41.68929005,,
165,NW1173,30.33850241,,
166,SN1193,13.51295424,,
167,SE1177,28.52213073,,
168,NS1150,41.71069288,,
169,NW1175,5.998728275,,
170,SN1202,6.300133944,,
171,SE1195,6.299458981,,
172,NS1166,5.986599445,,
173,NW1192,5.966635704,,
174,SN1213,6.286947012,,
175,SE1204,6.273942232,,
176,NS1176,5.966651917,,
177,SE1206,6.283542633,,
178,NW1197,5.875104427,,
179,SN1220,6.208179712,,
180,NS1183,5.869324446,,
181,SE1209,6.18886137,,
182,NS1191,5.828456163,,
183,NS1218,5.900958776,,
184,NW1228,5.991369247,,
185,NS1229,6.008704901,,
186,NW1236,5.98616004,,
187,SE1239,6.308728933,,
188,NS1242,6.006533623,,
189,SE1244,6.290964603,,
190,SE1246,6.290146112,,
191,SE1250,6.294971704,,
192,NS1251,6.017849684,,
193,SE1254,6.300061703,,
194,NW1253,6.002674818,,
195,SW0200,34.79400873,,
196,NE0203,34.84205365,,
197,SW0211,30.90049481,,
198,NE0210,33.0080955,,
199,SW0215,30.22882938,,
200,NE0217,31.48015523,,
201,SW0219,30.19752574,,
202,NE0227,26.9638896,,
