,starttime,endtime,phaseDuration
0,1709840001.2068496,1709840001.4292588,10
1,1709840011.306119,1709840011.3227558,7
2,1709840018.4083972,1709840018.427576,12
3,1709840030.5094428,1709840030.5304193,7
4,1709840037.611223,1709840037.6338472,10
5,1709840047.7057495,1709840047.726396,7
6,1709840054.814959,1709840054.8339548,12
7,1709840066.9077523,1709840066.9273343,8
8,1709840074.8170247,1709840074.8317661,7
9,1709840082.0135975,1709840082.0320435,7
10,1709840089.0167634,1709840089.034345,12
11,1709840101.1138787,1709840101.1533637,9
12,1709840110.212562,1709840110.2330155,7
13,1709840117.3113356,1709840117.3294337,12
14,1709840129.214064,1709840129.2349818,12
15,1709840141.4075744,1709840141.4247642,7
16,1709840148.5107806,1709840148.5319443,7
17,1709840155.6080737,1709840155.628228,7
18,1709840162.712515,1709840162.741208,7
19,1709840169.7096446,1709840169.728338,12
20,1709840181.8156495,1709840181.8338475,10
21,1709840191.9069295,1709840191.9242275,7
22,1709840198.9099083,1709840198.9324193,12
23,1709840211.011822,1709840211.0298789,12
24,1709840223.1081583,1709840223.1256673,12
25,1709840235.2083242,1709840235.2267134,11
26,1709840246.3062391,1709840246.3240712,7
27,1709840253.4127843,1709840253.4348817,7
28,1709840260.5091155,1709840260.5345244,12
29,1709840272.521174,1709840272.551053,12
30,1709840284.615776,1709840284.636055,12
31,1709840296.618394,1709840296.64163,12
32,1709840308.8095577,1709840308.825931,7
33,1709840315.8131301,1709840315.829899,7
34,1709840322.9101813,1709840322.9270873,7
35,1709840330.012931,1709840330.0210423,7
36,1709840337.110771,1709840337.1173124,7
37,1709840344.2189596,1709840344.2250931,7
38,1709840351.212994,1709840351.2225525,7
39,1709840358.307485,1709840358.3148284,7
40,1709840365.4228294,1709840365.4326994,7
41,1709840372.418131,1709840372.4242516,7
42,1709840379.5174913,1709840379.537307,7
43,1709840386.5127025,1709840386.518087,7
44,1709840393.7147353,1709840393.7198796,7
45,1709840400.8096406,1709840400.8145168,7
46,1709840407.812881,1709840407.8180387,7
47,1709840415.0137296,1709840415.0188615,7
48,1709840422.1082935,1709840422.1140878,7
49,1709840429.1100175,1709840429.11522,7
50,1709840436.208988,1709840436.2134092,7
51,1709840443.308808,1709840443.3137789,7
52,1709840450.4086044,1709840450.4137862,7
53,1709840457.4067016,1709840457.4253254,7
54,1709840464.5110595,1709840464.5161142,7
55,1709840471.6118367,1709840471.6281574,7
56,1709840478.7095914,1709840478.7153583,7
57,1709840485.8065455,1709840485.8117275,7
58,1709840492.8089805,1709840492.8251867,7
59,1709840499.9159176,1709840499.9210346,7
60,1709840507.0072045,1709840507.012984,7
61,1709840514.0165951,1709840514.022222,7
62,1709840521.1147327,1709840521.1196997,7
63,1709840528.3085837,1709840528.313013,7
64,1709840535.415208,1709840535.4216785,7
65,1709840542.3188975,1709840542.3247318,7
66,1709840549.4129107,1709840549.4327652,7
67,1709840556.507339,1709840556.5126967,7
68,1709840563.6146417,1709840563.6205587,7
69,1709840570.7074544,1709840570.7285,7
70,1709840577.7095244,1709840577.7158043,7
71,1709840584.7079957,1709840584.7142646,7
72,1709840591.808808,1709840591.814619,7
73,1709840598.9136643,1709840598.9184382,7
74,1709840606.0114155,1709840606.017548,7
75,1709840613.0141158,1709840613.0195622,7
76,1709840620.0118687,1709840620.0173535,7
77,1709840627.1101046,1709840627.116294,7
78,1709840634.2135015,1709840634.219871,7
79,1709840641.314311,1709840641.345115,7
80,1709840648.3151796,1709840648.3347926,7
81,1709840655.51436,1709840655.5354216,12
82,1709840667.5107813,1709840667.5299985,7
83,1709840674.6116202,1709840674.6295366,7
84,1709840681.7132578,1709840681.7332888,7
85,1709840688.7104492,1709840688.7300887,7
86,1709840695.8078907,1709840695.830986,12
87,1709840707.8153596,1709840707.8338196,12
88,1709840720.0130334,1709840720.0319364,12
89,1709840732.012339,1709840732.034555,7
90,1709840739.2116373,1709840739.2346652,8
91,1709840747.3114836,1709840747.3352869,7
92,1709840754.4103394,1709840754.429073,7
93,1709840761.5091646,1709840761.5292926,7
94,1709840768.6134713,1709840768.631415,7
95,1709840775.6151247,1709840775.6338394,7
96,1709840782.7155607,1709840782.734496,7
97,1709840789.8083715,1709840789.8300195,7
98,1709840796.810865,1709840796.8155873,7
99,1709840803.9173508,1709840803.9217484,7
100,1709840811.0146708,1709840811.0198975,7
101,1709840818.014516,1709840818.0192158,7
102,1709840825.1146517,1709840825.1197116,7
103,1709840832.1178415,1709840832.122498,7
104,1709840839.3162994,1709840839.3206203,7
105,1709840846.4189713,1709840846.4238575,7
106,1709840853.4192066,1709840853.4254708,7
107,1709840860.4161568,1709840860.421305,7
108,1709840867.507669,1709840867.5130632,7
109,1709840874.5088558,1709840874.525043,7
110,1709840881.5136423,1709840881.5208647,7
111,1709840888.514221,1709840888.53005,7
112,1709840895.609299,1709840895.6287057,7
113,1709840902.613542,1709840902.6300464,8
114,1709840910.705825,1709840910.7240355,12
115,1709840922.8058453,1709840922.8207045,12
116,1709840934.9058077,1709840934.9255073,12
117,1709840947.4021702,1709840947.4209955,12
118,1709840959.3282728,1709840959.333867,12
119,1709840971.40584,1709840971.4109304,12
