,vehicleid,recievetime
0,EW1,1709839996.9955444
1,EW1,1709839997.0059297
2,EW1,1709839997.015776
3,EW1,1709839997.0221112
4,EW1,1709839997.0282595
5,EW1,1709839997.0325375
6,EW1,1709839997.037052
7,EW1,1709839997.0521374
8,EW1,1709839997.0579414
9,EW1,1709839997.0625095
10,EW1,1709839997.0674014
11,EW1,1709839997.076955
12,EW1,1709839997.0819197
13,EW1,1709839997.0919714
14,EW1,1709839997.0975742
15,EW1,1709839997.1083007
16,EW1,1709839997.1157103
17,EW1,1709839997.1222682
18,EW1,1709839997.1332612
19,EW1,1709839997.1619065
20,EW1,1709839997.1732862
21,EW1,1709839997.184758
22,EW1,1709839997.2102706
23,EW1,1709839997.2185113
24,EW1,1709839997.2378328
25,EW1,1709839997.2451813
26,EW1,1709839997.2550619
27,EW1,1709839997.2613914
28,EW1,1709839997.2717466
29,EW1,1709839997.294374
30,EW1,1709839997.3014793
31,EW1,1709839997.3255239
32,EW1,1709839997.3430755
33,EW1,1709839997.3534248
34,EW1,1709839997.3635523
35,EW1,1709839997.369944
36,EW1,1709839997.376135
37,EW1,1709839997.3842485
38,EW1,1709839997.391843
39,EW1,1709839997.3985403
40,EW1,1709839997.4132493
41,EW1,1709839997.4305053
42,EW1,1709839997.4402034
43,EW1,1709839997.4537876
44,EW1,1709839997.461487
45,EW1,1709839997.46601
46,EW1,1709839997.4722645
47,EW1,1709839997.4800427
48,EW1,1709839997.4876993
49,EW1,1709839997.4964485
50,EW1,1709839997.521263
51,EW1,1709839997.525561
52,EW1,1709839997.530867
53,EW1,1709839997.5393014
54,EW1,1709839997.5594966
55,EW1,1709839997.5646229
56,EW1,1709839997.5699327
57,EW1,1709839997.574933
58,EW1,1709839997.5796301
59,EW1,1709839997.5881577
60,EW1,1709839997.5922582
61,EW1,1709839997.5967977
62,EW1,1709839997.6058125
63,EW1,1709839997.6131632
64,EW1,1709839997.6354988
65,EW1,1709839997.6405394
66,EW1,1709839997.6473897
67,EW1,1709839997.657913
68,EW1,1709839997.6760006
69,EW1,1709839997.6845481
70,EW1,1709839997.6945236
71,EW1,1709839997.701763
72,EW1,1709839997.7135496
73,EW1,1709839997.7196417
74,EW1,1709839997.7294734
75,EW1,1709839997.737104
76,EW1,1709839997.7424932
77,EW1,1709839997.749168
78,EW1,1709839997.756591
79,EW1,1709839997.762892
80,EW1,1709839997.7735782
81,EW1,1709839997.7954223
82,EW1,1709839997.8079624
83,EW1,1709839997.813615
84,EW1,1709839997.8256648
85,EW1,1709839997.8317032
86,EW1,1709839997.8425584
87,EW1,1709839997.8497353
88,EW1,1709839997.8581452
89,EW1,1709839997.8671894
90,EW1,1709839997.8727367
91,EW1,1709839997.8844187
92,EW1,1709839997.8987212
93,EW1,1709839997.9051194
94,EW1,1709839997.9142418
95,EW1,1709839997.9205623
96,EW1,1709839997.9406674
97,EW1,1709839997.9484327
98,EW1,1709839997.9729786
99,EW1,1709839997.980044
100,EW1,1709839997.9949925
101,EW1,1709839998.0048676
102,EW1,1709839998.0104325
103,EW1,1709839998.019544
104,EW1,1709839998.0254872
105,EW1,1709839998.0365345
106,EW1,1709839998.0437348
107,EW1,1709839998.0526035
108,EW1,1709839998.0620418
109,EW1,1709839998.0794015
110,EW1,1709839998.089863
111,EW1,1709839998.097029
112,EW1,1709839998.1038673
113,EW1,1709839998.1166909
114,EW1,1709839998.1255443
115,EW1,1709839998.1323733
116,EW1,1709839998.142433
117,EW1,1709839998.1504264
118,EW1,1709839998.159161
119,EW1,1709839998.1683924
120,EW1,1709839998.17805
121,EW1,1709839998.1854973
122,EW1,1709839998.190935
123,EW1,1709839998.2012403
124,EW1,1709839998.2153373
125,EW1,1709839998.2242017
126,EW1,1709839998.2339323
127,EW1,1709839998.24093
128,EW1,1709839998.2497656
129,EW1,1709839998.2629476
130,EW1,1709839998.2698472
131,EW1,1709839998.2792945
132,EW1,1709839998.3023694
133,EW1,1709839998.3125606
134,EW1,1709839998.3291235
135,EW1,1709839998.3336525
136,EW1,1709839998.3381412
137,EW1,1709839998.3430324
138,EW1,1709839998.3506474
139,EW1,1709839998.3555233
140,EW1,1709839998.3650877
141,EW1,1709839998.3699317
142,EW1,1709839998.382327
143,EW1,1709839998.403566
144,EW1,1709839998.4092195
145,EW1,1709839998.4168613
146,EW1,1709839998.4242609
147,EW1,1709839998.4350996
148,EW1,1709839998.442558
149,EW1,1709839998.463032
150,EW1,1709839998.4730477
151,EW1,1709839998.4795294
