,vehicleid,transtime
0,WN03,1709840000.1713183
1,WN03,1709840000.4806674
2,WE12,1709840000.7704937
3,WE15,1709840000.77391
4,WS16,1709840000.7832763
5,WN03,1709840000.7906814
6,WN08,1709840000.7932127
7,WE12,1709840001.0647538
8,WE15,1709840001.068571
9,WS16,1709840001.0780368
10,WN03,1709840001.0857348
11,WN08,1709840001.0884173
12,WE12,1709840001.3658392
13,WE15,1709840001.369909
14,WS16,1709840001.3794458
15,WN03,1709840001.3875782
16,WN08,1709840001.3910615
17,ES07,1709840001.616329
18,WE12,1709840001.6815603
19,WE15,1709840001.684687
20,WS16,1709840001.6933513
21,WN03,1709840001.7015834
22,WN08,1709840001.7049894
23,ES07,1709840001.9075556
24,SN11,1709840001.9378963
25,SN14,1709840001.9413128
26,SE10,1709840001.9527738
27,WE12,1709840001.9727995
28,WE15,1709840001.975202
29,WS16,1709840001.9816995
30,WN03,1709840001.9874365
31,WN08,1709840001.9910858
32,ES07,1709840002.2070258
33,SN11,1709840002.2487924
34,SN14,1709840002.2531312
35,SE10,1709840002.2656448
36,WE12,1709840002.286395
37,WE15,1709840002.2906427
38,WS16,1709840002.3006618
39,WN03,1709840002.3088863
40,WN08,1709840002.3125267
41,ES07,1709840002.5075967
42,SN11,1709840002.5392678
43,SN14,1709840002.541873
44,SE10,1709840002.5511158
45,WE12,1709840002.5750058
46,WE15,1709840002.580809
47,WS16,1709840002.5906591
48,WN03,1709840002.6027346
49,WN08,1709840002.6067414
50,ES07,1709840002.8221028
51,SN11,1709840002.8571527
52,SN14,1709840002.8630161
53,SE10,1709840002.8750908
54,WE12,1709840002.8966353
55,WE15,1709840002.8994703
56,WS16,1709840002.9067452
57,WN03,1709840002.9143162
58,WN08,1709840002.9178715
59,ES07,1709840003.1132934
60,SN11,1709840003.1521719
61,SN14,1709840003.1562715
62,SE10,1709840003.1657748
63,WE12,1709840003.1944163
64,WE15,1709840003.1980593
65,WS16,1709840003.208299
66,WN03,1709840003.2163131
67,WN08,1709840003.2198985
68,ES07,1709840003.406789
69,SN11,1709840003.4456885
70,SN14,1709840003.4501579
71,SE10,1709840003.459508
72,WE12,1709840003.483815
73,WE15,1709840003.487456
74,WS16,1709840003.496745
75,WN03,1709840003.5065463
76,WN08,1709840003.5102136
77,ES07,1709840003.7069623
78,SN11,1709840003.740484
79,SN14,1709840003.744329
80,SE10,1709840003.7588758
81,WE12,1709840003.7808607
82,WE15,1709840003.7860293
83,WS16,1709840003.7961304
84,WN03,1709840003.8038075
85,WN08,1709840003.8080478
86,ES07,1709840004.0072813
87,EW110,1709840004.0258884
