,vehicleid,delaytime,,
0,WN01,6.646012783,,
1,SW05,7.24507618,,
2,NE00,11.20780635,,
3,NE07,9.331673622,,
4,SW015,6.635402203,,
5,NE021,6.599934101,,
6,EN18,15.30509281,,
7,EW13,16.81727791,,
8,WE19,16.6149261,,
9,WS12,19.63648391,,
10,EN110,15.32493663,,
11,EW16,16.84669042,,
12,WE125,9.002636671,,
13,WS113,15.0908525,,
14,EN119,9.906691313,,
15,EW117,10.81826591,,
16,EN120,9.872514486,,
17,WS114,15.07265139,,
18,EW127,8.708627939,,
19,EW129,8.700809717,,
20,EN123,9.89830637,,
21,WS130,9.965569019,,
22,EW138,6.249626637,,
23,EW139,6.257026672,,
24,WS141,6.620193958,,
25,EW142,6.260035753,,
26,ES011,21.61308837,,
27,WN018,18.73329735,,
28,ES022,15.90478396,,
29,WN032,15.68030977,,
30,ES031,15.29298401,,
31,WN035,15.39741015,,
32,ES036,14.4061923,,
33,ES037,14.38766289,,
34,WN050,11.07395339,,
35,ES057,6.283800364,,
36,ES063,6.273925781,,
37,EW156,11.65823483,,
38,WE158,12.63236403,,
39,WS160,10.23256993,,
40,EW165,7.776816368,,
41,WS167,8.662173271,,
42,EN172,6.297591209,,
43,EW171,6.291438341,,
44,WE174,6.636219263,,
45,EN173,6.278350353,,
46,WS178,6.58558321,,
47,WS179,6.599873066,,
48,WS182,6.728917122,,
49,SN116,34.59430432,,
50,SE112,37.00535178,,
51,NS14,40.048913,,
52,NW126,29.83645391,,
53,SN140,27.39463401,,
54,SE128,31.06294799,,
55,NS124,31.09003401,,
56,NW134,28.36165905,,
57,SN143,26.7673583,,
58,SE147,25.90106416,,
59,NS133,29.22656941,,
60,NW148,24.74286652,,
61,SN146,26.69432688,,
62,SE162,19.23105383,,
63,NS145,26.45122743,,
64,NW153,22.52504683,,
65,SN152,6.26450634,,
66,SE164,6.272564411,,
67,NS166,5.989783287,,
68,NW159,5.981888771,,
69,SN155,6.199927568,,
70,SE169,6.193586588,,
71,NS168,5.888703823,,
72,SN176,6.200466156,,
73,SE170,6.185340643,,
74,NS181,5.888437271,,
