,starttime,endtime,phaseDuration
0,1709846078.13368,1709846078.1337073,5
1,1709846083.233631,1709846083.2336504,5
2,1709846088.2377186,1709846088.2431912,8
3,1709846096.3356726,1709846096.338047,8
4,1709846104.4355662,1709846104.4401057,8
5,1709846112.4370255,1709846112.4399173,8
6,1709846120.5336988,1709846120.539369,8
7,1709846128.5416873,1709846128.5462167,8
8,1709846136.6440423,1709846136.6472979,8
9,1709846144.637329,1709846144.6401207,8
10,1709846152.839248,1709846152.8465292,8
11,1709846160.9425747,1709846160.9464884,8
12,1709846169.0341034,1709846169.0391934,8
13,1709846177.1408432,1709846177.14737,8
14,1709846185.2360122,1709846185.2402167,8
15,1709846193.2385986,1709846193.243457,8
16,1709846201.3389494,1709846201.3415878,8
17,1709846209.4397302,1709846209.4434242,8
18,1709846217.441801,1709846217.4463272,8
19,1709846225.5400283,1709846225.5447834,8
20,1709846233.6374214,1709846233.639183,8
21,1709846241.7357705,1709846241.74143,8
22,1709846249.8394194,1709846249.8428204,8
23,1709846257.943253,1709846257.9505317,8
24,1709846265.9416552,1709846265.9488862,8
25,1709846273.9383438,1709846273.9446895,8
26,1709846282.0352664,1709846282.0390685,8
27,1709846290.036381,1709846290.0387206,8
28,1709846298.140117,1709846298.142914,8
29,1709846306.2372575,1709846306.2445343,8
30,1709846314.2367735,1709846314.2416637,8
31,1709846322.336534,1709846322.3411112,8
32,1709846330.4377615,1709846330.4428275,8
33,1709846338.5457406,1709846338.550872,8
34,1709846346.540144,1709846346.54342,8
35,1709846354.735712,1709846354.7392507,8
36,1709846362.8395052,1709846362.8438482,8
37,1709846370.9361706,1709846370.940443,8
38,1709846379.0443242,1709846379.0479434,8
39,1709846387.0389462,1709846387.043557,8
40,1709846395.1434925,1709846395.147078,8
41,1709846403.136227,1709846403.1409464,8
42,1709846411.140509,1709846411.144909,8
43,1709846419.1401632,1709846419.1438138,8
44,1709846427.2482135,1709846427.2528687,8
45,1709846435.4384396,1709846435.441517,8
46,1709846443.5397046,1709846443.543491,8
47,1709846451.6441267,1709846451.6478796,8
48,1709846459.6462247,1709846459.6504223,8
49,1709846467.8361337,1709846467.8388991,8
50,1709846475.9400134,1709846475.9447145,8
51,1709846483.9399483,1709846483.9450681,8
52,1709846492.0335824,1709846492.0375605,8
53,1709846500.0411644,1709846500.0447857,8
54,1709846508.1383886,1709846508.1424086,8
55,1709846516.2349205,1709846516.2395523,8
56,1709846524.3371422,1709846524.3405104,8
57,1709846532.341674,1709846532.3459609,8
58,1709846540.4388795,1709846540.4443612,8
59,1709846548.4406936,1709846548.4451098,8
60,1709846556.5336275,1709846556.5379038,8
61,1709846564.5372014,1709846564.5449271,8
62,1709846572.5480404,1709846572.5538743,8
63,1709846580.7410314,1709846580.745593,8
64,1709846588.7436302,1709846588.7485917,8
