,vehicleid,recievetime
0,EW1,1709846087.7437923
1,EW1,1709846087.750983
2,EW1,1709846087.76826
3,EW1,1709846087.7745218
4,EW1,1709846087.7793157
5,EW1,1709846087.7839565
6,EW1,1709846087.7888467
7,EW1,1709846087.7949052
8,EW1,1709846087.7996
9,EW1,1709846087.804112
10,EW1,1709846087.8096597
11,EW1,1709846087.8237846
12,EW1,1709846087.8297327
13,EW1,1709846087.8347163
14,EW1,1709846087.8426812
15,EW1,1709846087.8614368
16,EW1,1709846087.8673358
17,EW1,1709846087.8732576
18,EW1,1709846087.8795424
19,EW1,1709846087.8857017
20,EW1,1709846087.8982792
21,EW1,1709846087.9044154
22,EW1,1709846087.9111068
23,EW1,1709846087.9174101
24,EW1,1709846087.9238057
25,EW1,1709846087.9298134
26,EW1,1709846087.9365335
27,EW1,1709846087.94857
28,EW1,1709846087.9534574
29,EW1,1709846087.9581037
30,EW1,1709846087.9627469
31,EW1,1709846087.9688098
32,EW1,1709846087.9763389
33,EW1,1709846087.9848635
34,EW1,1709846087.9947495
35,EW1,1709846088.002886
36,EW1,1709846088.0119798
37,EW1,1709846088.0212493
38,EW1,1709846088.034358
39,EW1,1709846088.037992
40,EW1,1709846088.0450616
41,EW1,1709846088.0497546
42,EW1,1709846088.057244
43,EW1,1709846088.0632262
44,EW1,1709846088.0708232
45,EW1,1709846088.0809476
46,EW1,1709846088.0858595
47,EW1,1709846088.09233
48,EW1,1709846088.0969055
49,EW1,1709846088.1022067
50,EW1,1709846088.1099877
51,EW1,1709846088.124244
52,EW1,1709846088.1386678
53,EW1,1709846088.1616876
54,EW1,1709846088.1923432
55,EW1,1709846088.2122889
56,EW1,1709846088.2243304
57,EW1,1709846088.2328467
58,EW1,1709846088.2474813
59,EW1,1709846088.252158
60,EW1,1709846088.263959
61,EW1,1709846088.268363
62,EW1,1709846088.2801752
63,EW1,1709846088.297966
64,EW1,1709846088.3022068
65,EW1,1709846088.309383
66,EW1,1709846088.318325
67,EW1,1709846088.3252819
68,EW1,1709846088.3344853
69,EW1,1709846088.344387
70,EW1,1709846088.351489
71,EW1,1709846088.3613768
72,EW1,1709846088.3705928
73,EW1,1709846088.3828344
74,EW1,1709846088.4027236
75,EW1,1709846088.410795
76,EW1,1709846088.4319878
77,EW1,1709846088.446094
78,EW1,1709846088.4562192
79,EW1,1709846088.4645007
80,EW1,1709846088.474546
81,EW1,1709846088.4982474
82,EW1,1709846088.5059547
83,EW1,1709846088.5158136
84,EW1,1709846088.5298562
85,EW1,1709846088.5494657
86,EW1,1709846088.5583794
87,EW1,1709846088.5633347
88,EW1,1709846088.5685568
89,EW1,1709846088.5752416
90,EW1,1709846088.598519
91,EW1,1709846088.6060402
92,EW1,1709846088.6171072
93,EW1,1709846088.625416
94,EW1,1709846088.644612
95,EW1,1709846088.6533005
96,EW1,1709846088.6626441
97,EW1,1709846088.669686
98,EW1,1709846088.678966
99,EW1,1709846088.6856658
100,EW1,1709846088.6936233
101,EW1,1709846088.7017307
102,EW1,1709846088.7109783
103,EW1,1709846088.7202246
104,EW1,1709846088.7275074
105,EW1,1709846088.7347775
106,EW1,1709846088.742924
107,EW1,1709846088.7518368
108,EW1,1709846088.7624776
109,EW1,1709846088.7701578
110,EW1,1709846088.7779992
111,EW1,1709846088.7846684
112,EW1,1709846088.7927463
113,EW1,1709846088.8003945
114,EW1,1709846088.809677
115,EW1,1709846088.8164792
116,EW1,1709846088.8246725
117,EW1,1709846088.8304625
118,EW1,1709846088.838063
119,EW1,1709846088.845672
120,EW1,1709846088.8559544
121,EW1,1709846088.860846
122,EW1,1709846088.8666792
123,EW1,1709846088.8741086
124,EW1,1709846088.8808482
125,EW1,1709846088.8895552
126,EW1,1709846088.8959672
127,EW1,1709846088.9035692
128,EW1,1709846088.910544
129,EW1,1709846088.916756
130,EW1,1709846088.924087
131,EW1,1709846088.9299514
132,EW1,1709846088.935717
133,EW1,1709846088.945065
134,EW1,1709846088.953289
135,EW1,1709846088.9611151
136,EW1,1709846088.9676082
137,EW1,1709846088.9752686
138,EW1,1709846088.9992416
139,EW1,1709846089.0044203
140,EW1,1709846089.0131938
141,EW1,1709846089.0193865
142,EW1,1709846089.024536
143,EW1,1709846089.0375686
144,EW1,1709846089.0454464
145,EW1,1709846089.0560377
146,EW1,1709846089.070053
147,EW1,1709846089.0750124
148,EW1,1709846089.0797157
149,EW1,1709846089.0844805
150,EW1,1709846089.0914576
151,EW1,1709846089.0965266
152,EW1,1709846089.106215
153,EW1,1709846089.119984
154,EW1,1709846089.1251419
155,EW1,1709846089.1297657
156,EW1,1709846089.1346927
157,EW1,1709846089.1393847
158,EW1,1709846089.1444485
159,EW1,1709846089.1639822
160,EW1,1709846089.1718848
161,EW1,1709846089.180929
