,vehicleid,transtime
0,WN01,1709846089.3573117
1,WN01,1709846089.6598244
2,WN01,1709846089.952306
3,WS12,1709846090.2554808
4,WN01,1709846090.262148
5,WS12,1709846090.555616
6,WN01,1709846090.5631285
7,NE00,1709846090.8307276
8,WS12,1709846090.8430858
9,WN01,1709846090.849916
10,NE00,1709846091.1457129
11,WS12,1709846091.1601725
12,WN01,1709846091.168251
13,NE00,1709846091.4440196
14,WS12,1709846091.4582155
15,WN01,1709846091.4662917
16,NE00,1709846091.75413
17,WS12,1709846091.7704074
18,WN01,1709846091.7779336
19,NE00,1709846092.0548809
20,WS12,1709846092.0707927
21,WN01,1709846092.077477
22,NE00,1709846092.3498237
23,WS12,1709846092.3698487
24,WN01,1709846092.3801255
25,EW13,1709846092.6270099
26,NE00,1709846092.664254
27,WS12,1709846092.6860094
28,WN01,1709846092.697545
29,EW13,1709846092.9173815
30,NE00,1709846092.9509652
31,WS12,1709846092.9724228
32,WN01,1709846092.9844792
33,EW13,1709846093.2226212
34,NE00,1709846093.2512078
35,WE19,1709846093.264953
36,WS12,1709846093.271598
37,WN01,1709846093.2810445
38,EW13,1709846093.5130084
39,EW16,1709846093.5169342
40,NE00,1709846093.548087
41,NE07,1709846093.5521624
42,WE19,1709846093.5627959
43,WS12,1709846093.568859
44,WN01,1709846093.5789673
45,EW13,1709846093.827494
46,EW16,1709846093.8311858
47,NS14,1709846093.8612375
48,NE00,1709846093.8688917
49,NE07,1709846093.8740826
50,WE19,1709846093.883212
51,WS12,1709846093.8898196
52,WN01,1709846093.9008093
53,EN18,1709846094.1159227
54,EW13,1709846094.127942
55,EW16,1709846094.1314766
56,NS14,1709846094.1586864
57,NE00,1709846094.165503
58,NE07,1709846094.1694694
59,WE19,1709846094.1794512
60,WS12,1709846094.1853638
61,WN01,1709846094.1968806
62,EN18,1709846094.4196923
63,EW13,1709846094.4317381
64,EW16,1709846094.4361541
65,NS14,1709846094.461428
66,NE00,1709846094.4695404
67,NE07,1709846094.4738357
68,WE19,1709846094.48684
69,WS12,1709846094.4930503
70,WN01,1709846094.5034006
71,EN18,1709846094.717311
72,EW13,1709846094.7269883
73,EW16,1709846094.7301884
74,SW05,1709846094.7419627
75,NS14,1709846094.7592773
76,NE00,1709846094.764904
77,NE07,1709846094.7683966
78,WE19,1709846094.7785845
79,WS12,1709846094.78467
80,WN01,1709846094.7928932
81,EN18,1709846095.0116515
82,EN110,1709846095.014901
83,EW13,1709846095.0258706
84,EW16,1709846095.028843
85,SW05,1709846095.040255
86,NS14,1709846095.0560105
87,NE00,1709846095.0620587
88,NE07,1709846095.0653398
89,WE19,1709846095.0765688
90,WS12,1709846095.081347
91,WN01,1709846095.0911734
92,EN18,1709846095.3092678
93,EN110,1709846095.3119624
94,EW13,1709846095.3214326
95,EW16,1709846095.324764
96,SW05,1709846095.3361275
97,NS14,1709846095.352088
98,NE00,1709846095.3591673
99,NE07,1709846095.3625808
100,WE19,1709846095.3745203
101,WS12,1709846095.3802629
102,WN01,1709846095.3902032
103,EN18,1709846095.6132336
104,EN110,1709846095.61675
105,EW13,1709846095.6271996
106,EW16,1709846095.6307049
107,SW05,1709846095.642908
108,NS14,1709846095.6612206
109,NE00,1709846095.6699781
110,NE07,1709846095.6733005
111,WE19,1709846095.6859372
112,WS12,1709846095.6909578
113,WN01,1709846095.7010503
114,ES011,1709846095.899027
115,EN18,1709846095.9095552
116,EN110,1709846095.9126022
117,EW13,1709846095.9220574
118,EW16,1709846095.9243817
119,SW05,1709846095.9368887
120,NS14,1709846095.955335
121,NE00,1709846095.9620533
122,NE07,1709846095.9645867
123,WE19,1709846095.9833627
124,WS12,1709846095.9894652
125,WS113,1709846095.9931047
126,ES011,1709846096.1983087
127,EN18,1709846096.207346
128,EN110,1709846096.2104447
129,EW13,1709846096.219584
130,EW16,1709846096.2216768
131,SW05,1709846096.2312691
132,NS14,1709846096.2480016
133,NE00,1709846096.2550504
134,NE07,1709846096.2578056
135,WE19,1709846096.270033
136,WS12,1709846096.2761912
137,WS113,1709846096.2794716
138,ES011,1709846096.4998364
139,EN18,1709846096.51495
140,EN110,1709846096.5194528
141,EW13,1709846096.5307891
142,EW16,1709846096.533739
143,SW05,1709846096.5475142
144,NS14,1709846096.567294
145,NE00,1709846096.5756228
146,NE07,1709846096.5782826
147,WE19,1709846096.592188
148,WS12,1709846096.600321
149,WS113,1709846096.6049247
150,ES011,1709846096.810275
151,EN18,1709846096.8215919
152,EN110,1709846096.8248847
153,EW13,1709846096.8344603
154,EW16,1709846096.837163
155,SW05,1709846096.8508341
156,SE112,1709846096.8657055
157,NS14,1709846096.872706
158,NE00,1709846096.8821774
159,NE07,1709846096.8848627
160,WE19,1709846096.8994904
161,WS12,1709846096.9061494
162,WS113,1709846096.9100316
163,WS114,1709846096.9141543
164,ES011,1709846097.1048026
165,EN18,1709846097.1162965
166,EN110,1709846097.119988
167,EW13,1709846097.1285057
168,EW16,1709846097.1308897
169,SW05,1709846097.1446993
170,SE112,1709846097.156053
171,NS14,1709846097.1604643
172,NE00,1709846097.1666498
173,NE07,1709846097.1689675
174,WE19,1709846097.1802447
175,WS12,1709846097.1872303
176,WS113,1709846097.19021
177,WS114,1709846097.1929939
178,ES011,1709846097.4048953
