,starttime,endtime,phaseDuration
0,1709636983.8818467,1709636983.8818552,25
1,1709637008.8854828,1709637008.8855288,25
2,1709637033.9865658,1709637033.9865742,25
3,1709637059.1898797,1709637059.1899016,25
4,1709637084.2857983,1709637084.285805,25
5,1709637109.2888398,1709637109.288848,25
6,1709637134.3839014,1709637134.3839083,25
7,1709637159.4829109,1709637159.482921,25
8,1709637184.4867723,1709637184.4867795,25
9,1709637209.5891874,1709637209.5891953,25
10,1709637234.589623,1709637234.5896282,25
11,1709637259.7832444,1709637259.7832499,25
12,1709637284.886346,1709637284.8863523,25
13,1709637309.983191,1709637309.983198,25
14,1709637334.9887912,1709637334.988798,25
15,1709637360.1872995,1709637360.187308,25
16,1709637385.1928768,1709637385.1928837,25
17,1709637410.2915103,1709637410.291515,25
18,1709637435.4872813,1709637435.4872863,25
19,1709637460.5820878,1709637460.5820963,25
20,1709637485.5862381,1709637485.5862463,25
21,1709637510.7849352,1709637510.7849424,25
22,1709637535.7923825,1709637535.7923906,25
23,1709637560.881921,1709637560.8819287,25
24,1709637585.8822224,1709637585.8822281,25
25,1709637610.887603,1709637610.8876085,25
26,1709637635.9864373,1709637635.9864438,25
27,1709637661.0896955,1709637661.0897033,25
28,1709637686.1896799,1709637686.1896863,25
29,1709637711.187038,1709637711.1870453,25
30,1709637736.2895715,1709637736.2895782,25
31,1709637761.288068,1709637761.288074,25
32,1709637786.3927124,1709637786.392719,25
33,1709637811.3929503,1709637811.39296,25
34,1709637836.4902613,1709637836.4902685,25
35,1709637861.5828238,1709637861.5828319,25
36,1709637886.6817017,1709637886.6817114,25
37,1709637911.781742,1709637911.78175,25
38,1709637936.7820072,1709637936.7820163,25
39,1709637962.1953788,1709637962.195387,25
40,1709637987.1817446,1709637987.1817498,25
41,1709638012.2817624,1709638012.2817707,25
42,1709638037.3818116,1709638037.3818197,25
43,1709638062.4817743,1709638062.481784,25
44,1709638087.581784,1709638087.5817916,25
45,1709638112.6821742,1709638112.6821823,25
46,1709638137.781728,1709638137.7817369,25
47,1709638163.1259148,1709638163.1260567,25
