,starttime,endtime,phaseDuration
0,1709653876.0141053,1709653876.0141354,5
1,1709653881.018998,1709653881.0232573,21
2,1709653902.2154715,1709653902.2189379,8
3,1709653910.3179486,1709653910.3257236,8
4,1709653918.329788,1709653918.3378208,8
5,1709653926.3184125,1709653926.3360646,8
6,1709653934.4181771,1709653934.4230695,8
7,1709653942.519398,1709653942.5236068,8
8,1709653950.5186622,1709653950.5242093,8
9,1709653958.6166005,1709653958.621871,8
10,1709653966.618791,1709653966.6221812,8
11,1709653974.7220843,1709653974.7256,8
12,1709653982.6245317,1709653982.6294444,8
13,1709653990.8184795,1709653990.8267543,8
14,1709653998.9282174,1709653998.9381814,8
15,1709654007.0274274,1709654007.034487,8
16,1709654015.021506,1709654015.0241325,8
17,1709654023.2192018,1709654023.224037,8
18,1709654031.2225113,1709654031.2278788,25
19,1709654056.4143417,1709654056.4188292,25
20,1709654081.4203463,1709654081.4231591,8
21,1709654089.5217898,1709654089.5245166,8
22,1709654097.6178782,1709654097.621116,8
23,1709654105.7197714,1709654105.721892,8
24,1709654113.8215327,1709654113.8269403,8
25,1709654121.820753,1709654121.8250377,8
26,1709654129.8198218,1709654129.8242476,8
27,1709654137.9174185,1709654137.9219246,8
28,1709654146.0195758,1709654146.025166,11
29,1709654157.2172787,1709654157.2207239,8
30,1709654165.2295187,1709654165.2323031,8
31,1709654173.2263,1709654173.2307594,8
32,1709654181.4213781,1709654181.4257154,8
33,1709654189.320861,1709654189.3242686,25
34,1709654214.4148397,1709654214.418016,25
35,1709654239.5206282,1709654239.5256903,8
36,1709654247.6160483,1709654247.6219778,8
37,1709654255.6264596,1709654255.631907,8
38,1709654263.6172698,1709654263.6218407,8
39,1709654271.7182302,1709654271.7223608,8
40,1709654279.819863,1709654279.8299146,8
41,1709654287.820758,1709654287.825049,8
42,1709654295.92249,1709654295.9304013,8
43,1709654303.9216292,1709654303.9280384,8
44,1709654312.017921,1709654312.0226219,8
45,1709654320.1181808,1709654320.1232927,8
46,1709654328.1142256,1709654328.1172779,8
47,1709654336.2148075,1709654336.220334,9
48,1709654345.2200866,1709654345.2240214,8
49,1709654353.3167489,1709654353.3249424,13
50,1709654366.4234715,1709654366.4277856,25
51,1709654391.4162395,1709654391.419419,11
52,1709654402.5141165,1709654402.516929,8
53,1709654410.6180036,1709654410.6203253,8
54,1709654418.7155406,1709654418.7195084,8
55,1709654426.815673,1709654426.8210185,8
56,1709654434.9200037,1709654434.9317563,8
57,1709654443.0204823,1709654443.0321734,8
58,1709654450.9239233,1709654450.9325655,8
59,1709654459.0219636,1709654459.0258334,25
60,1709654484.118019,1709654484.12097,8
61,1709654492.2144666,1709654492.217666,8
62,1709654500.3196096,1709654500.3271952,8
63,1709654508.4188893,1709654508.426893,8
64,1709654516.4215348,1709654516.4280446,8
65,1709654524.6188567,1709654524.6226575,8
66,1709654532.617913,1709654532.6203058,25
67,1709654557.6221979,1709654557.627078,8
68,1709654565.6239972,1709654565.629308,8
69,1709654573.8227284,1709654573.8270333,11
70,1709654584.814167,1709654584.8193574,8
71,1709654592.8257904,1709654592.8296342,8
72,1709654601.0180147,1709654601.0222592,8
73,1709654609.02336,1709654609.0278711,8
74,1709654617.2163045,1709654617.219892,8
75,1709654625.3145893,1709654625.3191075,8
76,1709654633.3167682,1709654633.3192623,8
77,1709654641.3197591,1709654641.3229523,8
78,1709654649.4225254,1709654649.4260411,8
79,1709654657.4233716,1709654657.4289663,8
80,1709654665.515144,1709654665.5189245,8
81,1709654673.5222137,1709654673.526598,8
82,1709654681.625833,1709654681.6306767,8
83,1709654689.6289554,1709654689.6338162,8
84,1709654697.6194718,1709654697.6237037,8
85,1709654705.6236851,1709654705.6285293,8
86,1709654713.8216658,1709654713.8249285,8
87,1709654721.815119,1709654721.8194532,8
88,1709654729.8213358,1709654729.8373163,8
89,1709654738.0163584,1709654738.022784,10
90,1709654748.0243149,1709654748.0267136,25
91,1709654773.3747666,1709654773.3783529,25
92,1709654798.4141006,1709654798.4184904,8
93,1709654806.5141423,1709654806.5188994,8
94,1709654814.614085,1709654814.618656,8
95,1709654822.714158,1709654822.71941,8
96,1709654830.814164,1709654830.8205314,8
97,1709654838.9141383,1709654838.9227803,8
98,1709654847.2840238,1709654847.288717,8
99,1709654855.2795382,1709654855.2853212,8
100,1709654863.3301532,1709654863.3371034,8
101,1709654871.5141466,1709654871.5222387,8
