,starttime,endtime,phaseDuration
0,1709651745.4143844,1709651745.4144125,5
1,1709651750.51445,1709651750.527905,8
2,1709651758.6169286,1709651758.6201718,8
3,1709651766.519478,1709651766.521422,8
4,1709651774.615326,1709651774.619293,8
5,1709651782.7202299,1709651782.72555,8
6,1709651790.816783,1709651790.8211687,8
7,1709651798.8187642,1709651798.8241231,8
8,1709651806.9163523,1709651806.9206479,9
9,1709651816.021193,1709651816.0250778,9
10,1709651825.019504,1709651825.023081,25
11,1709651850.1152952,1709651850.1210608,8
12,1709651858.2204356,1709651858.225145,8
13,1709651866.3243432,1709651866.327279,8
14,1709651874.4188957,1709651874.4216847,8
15,1709651882.4218953,1709651882.425494,8
16,1709651890.414416,1709651890.4181654,8
17,1709651898.420923,1709651898.4244623,8
18,1709651906.5178382,1709651906.5213668,9
19,1709651915.5195594,1709651915.5239725,8
20,1709651923.7218256,1709651923.7243462,8
21,1709651931.7185917,1709651931.7250001,8
22,1709651939.9174118,1709651939.9203832,8
23,1709651948.0199556,1709651948.0243564,8
24,1709651956.1162097,1709651956.120063,8
25,1709651964.218364,1709651964.2233753,25
26,1709651989.1213112,1709651989.1262171,25
27,1709652014.2192721,1709652014.223349,8
28,1709652022.2244866,1709652022.2273242,8
29,1709652030.3177032,1709652030.321658,8
30,1709652038.3190207,1709652038.3218422,8
31,1709652046.4198985,1709652046.4266367,8
32,1709652054.5238075,1709652054.5269144,8
33,1709652062.5192463,1709652062.5220068,8
34,1709652070.6207786,1709652070.625149,8
35,1709652078.7269866,1709652078.7301993,8
36,1709652086.7206101,1709652086.7232046,8
37,1709652094.9213896,1709652094.9247813,8
38,1709652103.0203512,1709652103.0273094,8
39,1709652111.0212343,1709652111.0297549,8
40,1709652119.120451,1709652119.126632,8
41,1709652127.2196398,1709652127.2248683,23
42,1709652150.320762,1709652150.3255863,8
43,1709652158.3271396,1709652158.335669,25
44,1709652183.418292,1709652183.4229083,8
45,1709652191.5213153,1709652191.5254776,8
46,1709652199.6228068,1709652199.6272967,8
47,1709652207.624598,1709652207.6271708,8
48,1709652215.7198207,1709652215.7221012,8
49,1709652223.725878,1709652223.728408,8
50,1709652231.9266112,1709652231.9314442,8
51,1709652240.0270424,1709652240.0311725,8
52,1709652248.0227363,1709652248.0256093,8
53,1709652256.1181638,1709652256.1207654,8
54,1709652264.2262974,1709652264.2360785,8
55,1709652272.3214455,1709652272.3254282,8
56,1709652280.3242161,1709652280.3288727,8
57,1709652288.4193585,1709652288.421996,25
58,1709652313.330613,1709652313.3348997,8
59,1709652321.4248316,1709652321.4289675,25
60,1709652346.6146114,1709652346.6201766,8
61,1709652354.6188807,1709652354.6245599,8
62,1709652362.6239169,1709652362.6280222,8
63,1709652370.715661,1709652370.7209613,8
64,1709652378.8173,1709652378.82158,8
65,1709652386.8199496,1709652386.823192,8
66,1709652394.9243538,1709652394.9268587,25
67,1709652420.0230336,1709652420.0270607,8
68,1709652428.0230763,1709652428.0293465,8
69,1709652436.1282003,1709652436.1319618,25
70,1709652461.3189034,1709652461.3220031,8
71,1709652469.3159478,1709652469.31977,8
72,1709652477.3243477,1709652477.3267577,8
73,1709652485.3255975,1709652485.3280048,8
74,1709652493.4256427,1709652493.429824,8
75,1709652501.5284913,1709652501.5310476,8
76,1709652509.616638,1709652509.619483,8
77,1709652517.6228523,1709652517.6286664,8
78,1709652525.7222307,1709652525.7280252,8
79,1709652533.8259637,1709652533.8293884,8
80,1709652541.8224227,1709652541.8247163,8
81,1709652549.919352,1709652549.9236026,11
82,1709652561.0243874,1709652561.0284095,8
83,1709652569.1296673,1709652569.134795,25
84,1709652594.1189075,1709652594.1233757,8
85,1709652602.1247227,1709652602.1285684,25
86,1709652627.3143353,1709652627.3227098,8
87,1709652635.3229773,1709652635.330622,8
88,1709652643.7777328,1709652643.7805922,8
89,1709652651.7328923,1709652651.736405,8
90,1709652659.7484221,1709652659.7517047,18
91,1709652677.9144545,1709652677.9177516,8
92,1709652686.014406,1709652686.0166554,8
93,1709652694.114434,1709652694.1179097,8
94,1709652702.2143703,1709652702.217019,8
95,1709652710.3143566,1709652710.3166177,8
96,1709652718.6206293,1709652718.6240184,8
97,1709652726.6344478,1709652726.6385775,8
98,1709652734.814367,1709652734.8171334,8
99,1709652742.9144154,1709652742.9188404,8
100,1709652751.0145395,1709652751.0171254,8
101,1709652759.114458,1709652759.1167064,8
102,1709652767.2144837,1709652767.2169743,8
103,1709652775.3143592,1709652775.3168225,8
104,1709652783.640086,1709652783.6423588,8
105,1709652791.6461635,1709652791.6481261,8
106,1709652799.714474,1709652799.7173254,8
107,1709652807.81442,1709652807.8171134,8
108,1709652815.9146886,1709652815.91782,8
109,1709652824.0144327,1709652824.0164027,8
110,1709652832.114465,1709652832.1184814,8
111,1709652840.2143896,1709652840.2171006,8
112,1709652848.3144228,1709652848.3176498,8
113,1709652856.668377,1709652856.6707807,8
114,1709652864.6588125,1709652864.6616166,8
115,1709652872.7144067,1709652872.7170067,8
116,1709652880.8144565,1709652880.8182814,8
117,1709652888.9144466,1709652888.9177334,8
118,1709652897.0144875,1709652897.0187054,8
119,1709652905.114407,1709652905.1168745,8
120,1709652913.2144043,1709652913.217104,8
121,1709652921.3144193,1709652921.317374,8
122,1709652929.6386247,1709652929.640562,8
123,1709652937.714369,1709652937.717117,8
