,vehicleid,recievetime
0,SE10,1709651745.7617123
1,ES01,1709651746.0613234
2,EN12,1709651746.0835183
3,SE10,1709651746.10009
4,ES01,1709651746.3465185
5,ES03,1709651746.3503916
6,EN12,1709651746.3627527
7,SE10,1709651746.3731875
8,ES01,1709651746.6475153
9,ES03,1709651746.652228
10,EN12,1709651746.65929
11,EW14,1709651746.6664548
12,SE10,1709651746.6845806
13,ES01,1709651746.9425216
14,ES03,1709651746.9475791
15,EN12,1709651746.9550524
16,EW14,1709651746.9613113
17,SE10,1709651746.973589
18,ES01,1709651747.241899
19,ES03,1709651747.2475498
20,EN12,1709651747.25434
21,EW14,1709651747.2654471
22,SE10,1709651747.2780097
23,ES01,1709651747.5401225
24,ES03,1709651747.545653
25,EN12,1709651747.5529125
26,EW14,1709651747.5625687
27,SE10,1709651747.575162
28,ES01,1709651747.8402092
29,ES03,1709651747.8445458
30,EN12,1709651747.852238
31,EW14,1709651747.8639417
32,SE10,1709651747.8815026
33,ES01,1709651748.14135
34,ES03,1709651748.1476414
35,EN12,1709651748.155454
36,EW14,1709651748.1677945
37,SE10,1709651748.1879694
38,ES01,1709651748.4515166
39,ES03,1709651748.4576356
40,EN12,1709651748.4629
41,EN15,1709651748.4711227
42,EW14,1709651748.4914672
43,SE10,1709651748.4974506
44,ES01,1709651748.740676
45,ES03,1709651748.745663
46,EN12,1709651748.7535484
47,EN15,1709651748.7617338
48,EW14,1709651748.7678275
49,SE10,1709651748.7771537
50,ES01,1709651749.039792
51,ES03,1709651749.047115
52,EN12,1709651749.0540981
53,EN15,1709651749.059427
54,EW14,1709651749.0648105
55,SE10,1709651749.0773056
56,ES01,1709651749.3406546
57,ES03,1709651749.3477237
58,EN12,1709651749.3533525
59,EN15,1709651749.3593676
60,EW14,1709651749.3642282
61,SE10,1709651749.378931
62,ES01,1709651749.64216
63,ES03,1709651749.6497068
64,EN12,1709651749.6558359
65,EN15,1709651749.6617591
66,EW14,1709651749.667256
67,SE10,1709651749.6827846
68,ES01,1709651749.939051
69,ES03,1709651749.9436946
70,EN12,1709651749.9498417
71,EN15,1709651749.963388
72,EW14,1709651749.9693878
73,SE10,1709651749.978834
74,ES01,1709651750.240119
75,ES03,1709651750.2451127
76,EN12,1709651750.2502975
77,EN15,1709651750.2555017
78,EW14,1709651750.2663293
79,SE10,1709651750.2742417
80,ES01,1709651750.5416682
81,ES03,1709651750.5484967
82,EN12,1709651750.554809
83,EN15,1709651750.5600827
84,EW14,1709651750.5718212
85,SE10,1709651750.5827866
86,ES01,1709651750.8404188
87,ES03,1709651750.8454306
88,EN12,1709651750.8512883
89,EN15,1709651750.8571193
90,EW14,1709651750.8650727
91,SE10,1709651750.8848631
92,ES01,1709651751.1473815
93,ES03,1709651751.153274
94,EN12,1709651751.1584718
95,EN15,1709651751.164974
96,EW14,1709651751.170214
97,SE10,1709651751.1846266
98,SE16,1709651751.19133
99,ES01,1709651751.4396405
100,ES03,1709651751.4445927
101,EN12,1709651751.4503794
102,EN15,1709651751.4571111
103,EW14,1709651751.4684274
104,SE10,1709651751.48059
105,SE16,1709651751.4870877
106,ES01,1709651751.740085
107,ES03,1709651751.744352
108,EN12,1709651751.7511551
109,EN15,1709651751.762169
110,EW14,1709651751.7714798
111,SE10,1709651751.7881691
112,SE16,1709651751.793109
113,ES01,1709651752.0395963
114,ES03,1709651752.044211
115,EN12,1709651752.05136
116,EN15,1709651752.057537
117,EW14,1709651752.0632644
118,SE10,1709651752.08134
119,SE16,1709651752.0885491
120,ES01,1709651752.3407872
121,ES03,1709651752.3488142
122,EN12,1709651752.358964
123,EN15,1709651752.3634424
124,EW14,1709651752.372174
125,SE10,1709651752.3865876
126,SE16,1709651752.3906815
127,ES01,1709651752.6552258
128,ES03,1709651752.666437
129,EN12,1709651752.6753411
130,EN15,1709651752.6836865
131,EW14,1709651752.689025
132,SE10,1709651752.7036705
133,SE16,1709651752.7100062
134,SE17,1709651752.7212892
135,ES01,1709651752.9443235
136,ES03,1709651752.9503555
137,EN12,1709651752.9566727
138,EN15,1709651752.9637415
139,EW14,1709651752.972685
140,SN18,1709651752.9879608
141,SE10,1709651753.007175
142,SE16,1709651753.0161428
143,SE17,1709651753.0224586
144,ES01,1709651753.2405725
145,ES03,1709651753.2468748
146,EN12,1709651753.2539535
147,EN15,1709651753.2591536
148,EW14,1709651753.2678258
149,SN18,1709651753.276909
150,SE10,1709651753.2821333
151,SE16,1709651753.2913108
152,SE17,1709651753.2965784
153,ES01,1709651753.5462687
154,ES03,1709651753.55029
155,ES09,1709651753.5553374
156,EN12,1709651753.5695653
157,EN15,1709651753.5861747
158,EW14,1709651753.5921562
159,SN18,1709651753.5994534
160,SE10,1709651753.6042888
161,SE16,1709651753.6093814
162,SE17,1709651753.6156428
163,ES01,1709651753.8466709
164,ES03,1709651753.8562026
165,ES09,1709651753.8651829
166,EN12,1709651753.8701239
167,EN15,1709651753.8751874
168,EW14,1709651753.886561
169,SN18,1709651753.9008548
170,SE10,1709651753.9072163
171,SE16,1709651753.9148808
172,SE17,1709651753.922255
173,ES01,1709651754.1473696
174,ES03,1709651754.1544888
175,ES09,1709651754.160162
176,EN12,1709651754.1697485
177,EN15,1709651754.1754284
178,EW14,1709651754.1850114
179,SN18,1709651754.1936064
180,SE10,1709651754.19919
181,SE16,1709651754.206996
182,SE17,1709651754.2125132
183,ES01,1709651754.4399557
184,ES03,1709651754.4448123
185,ES09,1709651754.4511235
186,EN12,1709651754.458295
187,EN15,1709651754.4638348
188,EW14,1709651754.4720633
189,SN18,1709651754.480792
