,vehicleid,transtime
0,SE10,1709651745.7611065
1,ES01,1709651746.0607922
2,EN12,1709651746.0694451
3,SE10,1709651746.087449
4,ES01,1709651746.346186
5,ES03,1709651746.3492157
6,EN12,1709651746.3560338
7,SE10,1709651746.3724208
8,ES01,1709651746.6471572
9,ES03,1709651746.650674
10,EN12,1709651746.6589935
11,EW14,1709651746.665896
12,SE10,1709651746.6791115
13,ES01,1709651746.9408374
14,ES03,1709651746.9451523
15,EN12,1709651746.9531891
16,EW14,1709651746.9608378
17,SE10,1709651746.9729202
18,ES01,1709651747.2409458
19,ES03,1709651747.2446892
20,EN12,1709651747.2538617
21,EW14,1709651747.2650795
22,SE10,1709651747.2775407
23,ES01,1709651747.53949
24,ES03,1709651747.5428612
25,EN12,1709651747.549842
26,EW14,1709651747.5619845
27,SE10,1709651747.574614
28,ES01,1709651747.8397515
29,ES03,1709651747.8436286
30,EN12,1709651747.8517478
31,EW14,1709651747.8633747
32,SE10,1709651747.8803694
33,ES01,1709651748.140561
34,ES03,1709651748.144789
35,EN12,1709651748.1542618
36,EW14,1709651748.1673105
37,SE10,1709651748.1873732
38,ES01,1709651748.4480066
39,ES03,1709651748.452251
40,EN12,1709651748.4615538
41,EN15,1709651748.465212
42,EW14,1709651748.472944
43,SE10,1709651748.4924295
44,ES01,1709651748.7401798
45,ES03,1709651748.7432623
46,EN12,1709651748.7509687
47,EN15,1709651748.7546513
48,EW14,1709651748.762464
49,SE10,1709651748.7767124
50,ES01,1709651749.039199
51,ES03,1709651749.0427544
52,EN12,1709651749.0524492
53,EN15,1709651749.056522
54,EW14,1709651749.0639803
55,SE10,1709651749.0767727
56,ES01,1709651749.3399274
57,ES03,1709651749.343593
58,EN12,1709651749.3515737
59,EN15,1709651749.3553286
60,EW14,1709651749.3627691
61,SE10,1709651749.3777432
62,ES01,1709651749.6415975
63,ES03,1709651749.6453962
64,EN12,1709651749.6551528
65,EN15,1709651749.6588066
66,EW14,1709651749.6653829
67,SE10,1709651749.6786115
68,ES01,1709651749.938585
69,ES03,1709651749.941161
70,EN12,1709651749.948434
71,EN15,1709651749.9559948
72,EW14,1709651749.9644136
73,SE10,1709651749.978034
74,ES01,1709651750.239611
75,ES03,1709651750.2419133
76,EN12,1709651750.2469964
77,EN15,1709651750.2505531
78,EW14,1709651750.2575536
79,SE10,1709651750.2726414
80,ES01,1709651750.5410485
81,ES03,1709651750.5456955
82,EN12,1709651750.5537388
83,EN15,1709651750.556948
84,EW14,1709651750.564436
85,SE10,1709651750.581893
86,ES01,1709651750.8399088
87,ES03,1709651750.8434348
88,EN12,1709651750.850774
89,EN15,1709651750.8565722
90,EW14,1709651750.864353
91,SE10,1709651750.8832226
92,ES01,1709651751.1462874
93,ES03,1709651751.1503005
94,EN12,1709651751.1579874
95,EN15,1709651751.1614912
96,EW14,1709651751.1697571
97,SE10,1709651751.1827612
98,SE16,1709651751.187824
99,ES01,1709651751.439289
100,ES03,1709651751.441764
101,EN12,1709651751.4487376
102,EN15,1709651751.4544866
103,EW14,1709651751.4614918
104,SE10,1709651751.4774685
105,SE16,1709651751.4830918
106,ES01,1709651751.7395427
107,ES03,1709651751.7430694
108,EN12,1709651751.7505052
109,EN15,1709651751.76158
110,EW14,1709651751.77117
111,SE10,1709651751.7874942
112,SE16,1709651751.7908711
113,ES01,1709651752.039164
114,ES03,1709651752.042265
115,EN12,1709651752.0493786
116,EN15,1709651752.0536964
117,EW14,1709651752.0619037
118,SE10,1709651752.080756
119,SE16,1709651752.0854712
120,ES01,1709651752.340456
121,ES03,1709651752.3485425
122,EN12,1709651752.358651
123,EN15,1709651752.3624008
124,EW14,1709651752.3703268
125,SE10,1709651752.386187
126,SE16,1709651752.3894649
127,ES01,1709651752.6544876
128,ES03,1709651752.6587489
129,EN12,1709651752.672826
130,EN15,1709651752.6767788
131,EW14,1709651752.684608
132,SE10,1709651752.7012756
133,SE16,1709651752.7077987
134,SE17,1709651752.7140124
135,ES01,1709651752.943751
136,ES03,1709651752.9486291
137,EN12,1709651752.9556916
138,EN15,1709651752.9594352
139,EW14,1709651752.9719262
140,SN18,1709651752.9865794
141,SE10,1709651752.9973369
142,SE16,1709651753.001581
143,SE17,1709651753.0049112
144,ES01,1709651753.2399168
145,ES03,1709651753.2450328
146,EN12,1709651753.2535095
147,EN15,1709651753.2569056
148,EW14,1709651753.2640383
149,SN18,1709651753.2737865
150,SE10,1709651753.2811832
151,SE16,1709651753.2849822
152,SE17,1709651753.290275
153,ES01,1709651753.545962
154,ES03,1709651753.549611
155,ES09,1709651753.5527623
156,EN12,1709651753.560943
157,EN15,1709651753.5650635
158,EW14,1709651753.5729058
159,SN18,1709651753.5828407
160,SE10,1709651753.5928104
161,SE16,1709651753.5972974
162,SE17,1709651753.6011727
163,ES01,1709651753.8453
164,ES03,1709651753.850146
165,ES09,1709651753.855992
166,EN12,1709651753.869359
167,EN15,1709651753.8743253
168,EW14,1709651753.8861735
169,SN18,1709651753.9004216
170,SE10,1709651753.9067945
171,SE16,1709651753.9143186
172,SE17,1709651753.9178472
173,ES01,1709651754.1460948
174,ES03,1709651754.150409
175,ES09,1709651754.1543112
176,EN12,1709651754.16257
177,EN15,1709651754.1670907
178,EW14,1709651754.1751037
179,SN18,1709651754.1866336
180,SE10,1709651754.19484
181,SE16,1709651754.1993778
182,SE17,1709651754.208565
183,ES01,1709651754.4395063
184,ES03,1709651754.4429018
185,ES09,1709651754.4499793
186,EN12,1709651754.457759
187,EN15,1709651754.4615126
188,EW14,1709651754.4714732
189,SN18,1709651754.4802096
190,SE10,1709651754.4868464
191,SE16,1709651754.4918797
192,SE17,1709651754.498105
193,ES01,1709651754.748434
194,ES03,1709651754.7526236
195,ES09,1709651754.7563848
196,EN12,1709651754.7640443
197,EN15,1709651754.767044
198,EN110,1709651754.7702107
199,EW14,1709651754.7777193
200,SN18,1709651754.791643
201,SE10,1709651754.8043725
202,SE16,1709651754.8077395
203,SE17,1709651754.8116486
204,ES01,1709651755.0408626
205,ES03,1709651755.0463855
206,ES09,1709651755.050492
207,EN12,1709651755.0626276
208,EN15,1709651755.0676017
209,EN110,1709651755.0712929
210,EW14,1709651755.079373
211,SN18,1709651755.088357
212,SE10,1709651755.0958679
213,SE16,1709651755.0994184
214,SE17,1709651755.1031482
215,ES01,1709651755.342592
216,ES03,1709651755.346623
217,ES09,1709651755.3501928
218,EN12,1709651755.3629704
219,EN15,1709651755.3673687
220,EN110,1709651755.3713565
221,EW14,1709651755.3796525
222,SN18,1709651755.3874617
223,SE10,1709651755.3948007
224,SE16,1709651755.399036
225,SE17,1709651755.4028435
226,ES01,1709651755.6396365
227,ES03,1709651755.645178
228,ES09,1709651755.6495197
229,EN12,1709651755.6563408
230,EN15,1709651755.660027
231,EN110,1709651755.6656625
232,EW14,1709651755.6722517
233,SN18,1709651755.6879885
234,SE10,1709651755.7006104
235,SE16,1709651755.7043095
236,SE17,1709651755.70877
237,ES01,1709651755.9426615
238,ES03,1709651755.9474444
239,ES09,1709651755.954326
240,EN12,1709651755.96311
241,EN15,1709651755.966034
242,EN110,1709651755.9691236
243,EW14,1709651755.9796221
244,SN18,1709651755.9935908
245,SE10,1709651756.0026796
246,SE16,1709651756.0065858
247,SE17,1709651756.013689
248,ES01,1709651756.2405834
249,ES03,1709651756.253504
250,ES09,1709651756.2576616
251,EN12,1709651756.2702365
252,EN15,1709651756.2742858
253,EN110,1709651756.283427
254,EW14,1709651756.2957988
255,SN18,1709651756.3058302
256,SE10,1709651756.313961
257,SE16,1709651756.3178914
258,SE17,1709651756.3215172
259,ES01,1709651756.5412037
260,ES03,1709651756.5449297
261,ES09,1709651756.5498054
262,EN12,1709651756.560395
263,EN15,1709651756.5645292
264,EN110,1709651756.5680287
265,EW14,1709651756.5754576
266,SN18,1709651756.5846019
267,SE10,1709651756.591725
268,SE16,1709651756.5978816
269,SE17,1709651756.6001477
270,ES01,1709651756.846088
271,ES03,1709651756.8513067
272,ES09,1709651756.8551946
273,EN12,1709651756.868302
274,EN15,1709651756.8716822
275,EN110,1709651756.8765402
276,EW14,1709651756.8850653
277,SW011,1709651756.8926132
278,SN18,1709651756.9019136
279,SE10,1709651756.9089649
280,SE16,1709651756.9132211
281,SE17,1709651756.917402
282,ES01,1709651757.139503
283,ES03,1709651757.145855
284,ES09,1709651757.149733
285,EN12,1709651757.1578407
286,EN15,1709651757.1616726
287,EN110,1709651757.1663315
288,EW14,1709651757.1739929
289,SW011,1709651757.181198
290,SN18,1709651757.1885827
291,SE10,1709651757.1968412
292,SE16,1709651757.200606
293,SE17,1709651757.2047117
294,ES01,1709651757.4459991
295,ES03,1709651757.449424
296,ES09,1709651757.454703
297,EN12,1709651757.4634144
298,EN15,1709651757.4686127
299,EN110,1709651757.4726374
300,EW14,1709651757.4797575
301,EW112,1709651757.4830925
302,SW011,1709651757.4909403
303,SN18,1709651757.4989388
304,SE10,1709651757.5074384
305,SE16,1709651757.514609
306,SE17,1709651757.518561
307,ES01,1709651757.7482812
308,ES03,1709651757.7516522
309,ES09,1709651757.7555034
310,EN12,1709651757.764798
311,EN15,1709651757.7685993
312,EN110,1709651757.7718582
313,EW14,1709651757.7808533
314,EW112,1709651757.7848604
315,SW011,1709651757.7936428
316,SW013,1709651757.7964475
317,SN18,1709651757.8018174
318,SE10,1709651757.8096285
319,SE16,1709651757.8133976
320,SE17,1709651757.822124
321,ES01,1709651758.0392592
322,ES03,1709651758.0460708
323,ES09,1709651758.0498166
324,EN12,1709651758.058973
325,EN15,1709651758.068509
326,EN110,1709651758.072424
327,EW14,1709651758.0850952
328,EW112,1709651758.087917
329,SW011,1709651758.0956316
330,SW013,1709651758.100568
331,SN18,1709651758.108878
332,SE10,1709651758.1156888
333,SE16,1709651758.1192205
334,SE17,1709651758.1228774
335,ES01,1709651758.340243
