,vehicleid,recievetime
0,SW00,1709649317.0720282
1,SW00,1709649317.3450847
2,SW00,1709649317.64894
3,SW00,1709649317.9482498
4,SW00,1709649318.2467778
5,SN11,1709649318.2545655
6,EN12,1709649318.5492291
7,SW00,1709649318.565953
8,SN11,1709649318.5743618
9,EN12,1709649318.8409178
10,SW00,1709649318.8517122
11,SN11,1709649318.8608325
12,EN12,1709649319.1379993
13,SW00,1709649319.153021
14,SN11,1709649319.1644483
15,EN12,1709649319.4378483
16,SW00,1709649319.4488368
17,SN11,1709649319.4557726
18,EN12,1709649319.7398567
19,SW00,1709649319.7524874
20,SN11,1709649319.7576299
21,EN12,1709649320.0374687
22,SW00,1709649320.0462656
23,SN11,1709649320.054607
24,EN12,1709649320.341367
25,SW00,1709649320.35533
26,SN11,1709649320.3617997
27,EN12,1709649320.6417994
28,SW00,1709649320.6536655
29,SN11,1709649320.6614292
30,EN12,1709649320.941853
31,SW00,1709649320.9575691
32,SN11,1709649320.9628747
33,EN12,1709649321.240435
34,SW00,1709649321.252263
35,SN11,1709649321.259038
36,EN12,1709649321.5460162
37,EN13,1709649321.5516639
38,SW00,1709649321.566544
39,SN11,1709649321.5747752
40,EN12,1709649321.8384368
41,EN13,1709649321.8427052
42,SW00,1709649321.8530185
43,SN11,1709649321.859747
44,ES04,1709649322.1408808
45,EN12,1709649322.1530507
46,EN13,1709649322.1581347
47,SW00,1709649322.1713994
48,SN11,1709649322.1779687
49,ES04,1709649322.4375937
50,EN12,1709649322.4427462
51,EN13,1709649322.4488595
52,SW00,1709649322.464706
53,SN11,1709649322.4729524
54,ES04,1709649322.745155
55,EN12,1709649322.7593377
56,EN13,1709649322.7646728
57,EN15,1709649322.7711968
58,SW00,1709649322.7829766
59,SN11,1709649322.7874877
60,ES04,1709649323.035308
61,EN12,1709649323.0401056
62,EN13,1709649323.0443904
63,EN15,1709649323.0492377
64,SW00,1709649323.061663
65,SN11,1709649323.066209
66,ES04,1709649323.3368812
67,EN12,1709649323.3434813
68,EN13,1709649323.348494
69,EN15,1709649323.3529458
70,SW00,1709649323.3600283
71,SN11,1709649323.3696191
72,ES04,1709649323.6351209
73,EN12,1709649323.641741
74,EN13,1709649323.6471174
75,EN15,1709649323.6511683
76,SW00,1709649323.6606982
77,SN11,1709649323.6664922
78,ES04,1709649323.9380636
79,EN12,1709649323.945721
80,EN13,1709649323.9514225
81,EN15,1709649323.9608383
82,SW00,1709649323.9660485
83,SW06,1709649323.9703925
84,SN11,1709649323.9849753
85,ES04,1709649324.235784
86,EN12,1709649324.2437983
87,EN13,1709649324.2504625
88,EN15,1709649324.2561567
89,SW00,1709649324.2714274
90,SW06,1709649324.281917
91,SN11,1709649324.2879498
92,ES04,1709649324.5534923
93,ES07,1709649324.5587833
94,EN12,1709649324.5727088
95,EN13,1709649324.5815868
96,EN15,1709649324.5875657
97,EW18,1709649324.5933535
98,SW00,1709649324.610552
99,SW06,1709649324.615638
100,SN11,1709649324.6208282
101,ES04,1709649324.8449554
102,ES07,1709649324.850532
103,EN12,1709649324.8556519
104,EN13,1709649324.8602998
105,EN15,1709649324.8653462
106,EN19,1709649324.8714283
107,EW18,1709649324.8879538
108,SW00,1709649324.8951468
109,SW06,1709649324.9037998
110,SN11,1709649324.9091659
111,ES04,1709649325.1362689
112,ES07,1709649325.1414278
113,EN12,1709649325.1474342
114,EN13,1709649325.152098
115,EN15,1709649325.1556225
116,EN19,1709649325.165822
117,EW18,1709649325.1706326
118,SW00,1709649325.182703
119,SW06,1709649325.1875856
120,SN11,1709649325.1927133
121,ES04,1709649325.435182
122,ES07,1709649325.4400218
123,EN12,1709649325.449565
124,EN13,1709649325.4562352
125,EN15,1709649325.4650128
126,EN19,1709649325.4735777
127,EW18,1709649325.480921
128,SW00,1709649325.4962602
129,SW06,1709649325.5049975
130,SN11,1709649325.5123549
131,ES04,1709649325.7414997
132,ES07,1709649325.7476156
133,EN12,1709649325.7562137
134,EN13,1709649325.7608652
135,EN15,1709649325.7657719
136,EN19,1709649325.7770972
137,EW18,1709649325.7894695
138,SW00,1709649325.7961812
139,SW06,1709649325.801524
140,SN11,1709649325.81079
141,ES04,1709649326.0412726
142,ES07,1709649326.0483158
143,ES010,1709649326.0533776
144,EN12,1709649326.0664423
145,EN13,1709649326.0722365
146,EN15,1709649326.07945
147,EN19,1709649326.08436
148,EW18,1709649326.0896175
149,SW00,1709649326.0953825
150,SW06,1709649326.101111
151,SN11,1709649326.11285
152,ES04,1709649326.35043
153,ES07,1709649326.360045
