,starttime,endtime,phaseDuration,,
0,1709194958,1709194958,5,,2.00272E-05
1,1709194963,1709194963,5,,2.00272E-05
2,1709194968,1709194968,25,,0.005089998
3,1709194993,1709194993,5,,0.003409863
4,1709194998,1709194998,25,,0.002669811
5,1709195023,1709195024,25,,0.004310131
6,1709195048,1709195049,5,,0.005970001
7,1709195054,1709195054,5,,0.006219864
8,1709195059,1709195059,5,,0.006079912
9,1709195064,1709195064,25,,0.007319927
10,1709195089,1709195089,5,,0.004820108
11,1709195094,1709195094,5,,0.004479885
12,1709195099,1709195099,5,,0.004410028
13,1709195104,1709195104,25,,0.002579927
14,1709195129,1709195129,5,,0.002609968
15,1709195134,1709195134,25,,0.004580021
16,1709195159,1709195159,5,,0.003410101
17,1709195164,1709195164,5,,0.002619982
18,1709195169,1709195169,5,,0.004209995
19,1709195174,1709195174,5,,0.003799915
20,1709195179,1709195180,5,,0.005219936
21,1709195185,1709195185,5,,0.002589941
22,1709195190,1709195190,5,,0.004170179
23,1709195195,1709195195,5,,0.003260136
24,1709195200,1709195200,25,,0.004040003
25,1709195225,1709195225,25,,0.002479792
26,1709195250,1709195250,5,,0.005509853
27,1709195255,1709195255,5,,0.009089947
28,1709195260,1709195260,25,,0.007929802
29,1709195285,1709195285,5,,0.006890059
30,1709195290,1709195290,5,,0.003880024
31,1709195295,1709195295,5,,0.008970022
32,1709195301,1709195301,25,,0.005980015
33,1709195326,1709195326,5,,0.00369978
34,1709195331,1709195331,5,,0.002629995
35,1709195336,1709195336,5,,0.002810001
36,1709195341,1709195341,5,,0.002629995
37,1709195346,1709195346,5,,0.002089977
38,1709195351,1709195351,5,,0.00316
39,1709195356,1709195356,5,,0.00296998
40,1709195361,1709195361,25,,0.002880096
41,1709195386,1709195386,5,,0.004899979
42,1709195391,1709195391,5,,0.003579855
43,1709195396,1709195396,5,,0.006489992
44,1709195401,1709195401,5,,0.002810001
45,1709195407,1709195407,5,,0.004040003
46,1709195412,1709195412,5,,0.002780199
47,1709195417,1709195417,5,,0.004199982
48,1709195422,1709195422,5,,0.002750158
49,1709195427,1709195427,5,,0.002979994
50,1709195432,1709195432,5,,0.003089905
51,1709195437,1709195437,5,,0.003410101
52,1709195442,1709195442,5,,0.003989935
53,1709195447,1709195447,5,,0.002919912
54,1709195452,1709195452,5,,0.002899885
55,1709195457,1709195457,5,,0.007239819
56,1709195462,1709195462,5,,0.006160021
57,1709195467,1709195467,5,,0.002929926
58,1709195472,1709195472,25,,0.004909992
59,1709195497,1709195497,5,,0.002089977
60,1709195503,1709195503,5,,0.003020048
61,1709195508,1709195508,5,,0.003010035
62,1709195513,1709195513,5,,0.003040075
63,1709195518,1709195518,5,,0.003000021
64,1709195523,1709195523,5,,0.005089998
65,1709195528,1709195528,5,,0.003780127
66,1709195533,1709195533,5,,0.005280018
67,1709195538,1709195538,5,,0.00736022
68,1709195543,1709195543,5,,0.008479834
69,1709195548,1709195548,5,,0.009930134
70,1709195554,1709195554,5,,0.006059885
71,1709195558,1709195559,5,,0.006150007
72,1709195564,1709195564,15,,0.006150007
73,1709195579,1709195579,5,,0.003119946
74,1709195584,1709195584,25,,0.00240016
75,1709195609,1709195609,8,,0.002769947
76,1709195617,1709195617,13,,0.00267005
77,1709195630,1709195630,25,,0.002039909
78,1709195655,1709195655,25,,0.007089853
79,1709195680,1709195680,5,,0.003439903
80,1709195685,1709195685,5,,0.003050089
81,1709195690,1709195690,5,,0.002650023
82,1709195695,1709195695,5,,0.007250071
83,1709195700,1709195700,25,,0.002570152
84,1709195726,1709195726,5,,0.003620148
85,1709195731,1709195731,5,,0.006920099
86,1709195736,1709195736,5,,0.006370068
87,1709195741,1709195741,5,,0.006999969
88,1709195746,1709195746,25,,0.006000042
89,1709195771,1709195771,5,,0.003590107
90,1709195776,1709195776,8,,0.005810022
91,1709195784,1709195784,5,,0.004650116
92,1709195789,1709195789,5,,0.003329992
93,1709195794,1709195794,14,,0.002430201
94,1709195808,1709195808,25,,0.004050016
95,1709195833,1709195833,5,,0.005130053
96,1709195839,1709195839,5,,0.007999897
97,1709195844,1709195844,25,,0.008759975
98,1709195869,1709195869,5,,0.002909899
99,1709195874,1709195874,5,,0.003390074
100,1709195879,1709195879,5,,0.002779961
101,1709195884,1709195884,5,,0.002690077
102,1709195889,1709195889,5,,0.001950026
103,1709195894,1709195894,5,,0.001729965
104,1709195899,1709195899,5,,0.001960039
105,1709195905,1709195905,5,,0.001859903
106,1709195910,1709195910,5,,0.002629995
107,1709195915,1709195915,5,,0.001590014
108,1709195920,1709195920,5,,0.003619909
109,1709195925,1709195925,5,,0.002320051
110,1709195930,1709195930,5,,0.002160072
111,1709195935,1709195935,5,,0.002249956
112,1709195940,1709195940,5,,0.00177002
113,1709195946,1709195946,5,,0.001820087
114,1709195951,1709195951,5,,0.004479885
115,1709195956,1709195956,5,,0.002269983
116,1709195961,1709195961,5,,0.002500057
117,1709195966,1709195966,5,,0.006369829
118,1709195971,1709195971,5,,0.002520084
119,1709195977,1709195977,5,,0.001760006
120,1709195982,1709195982,5,,0.002540112
121,1709195987,1709195987,5,,0.002300024
122,1709195992,1709195992,5,,0.001840115
123,1709195997,1709195997,5,,0.001869917
124,1709196002,1709196002,5,,0.001660109
125,1709196007,1709196007,5,,0.002079964
,,,,,
,,,,,0.003971111
