,starttime,endtime,phaseDuration,,
0,1709197677,1709197678,7,,0.222310066
1,1709197684,1709197684,12,,0.019009829
2,1709197697,1709197697,7,,0.016160011
3,1709197704,1709197704,12,,0.020230055
4,1709197716,1709197716,7,,0.016949892
5,1709197723,1709197723,7,,0.018899918
6,1709197730,1709197730,7,,0.020689964
7,1709197737,1709197737,7,,0.018029928
8,1709197744,1709197744,12,,0.018249989
9,1709197756,1709197756,7,,0.021980047
10,1709197763,1709197763,12,,0.019370079
11,1709197775,1709197775,7,,0.014449835
12,1709197782,1709197782,7,,0.016390085
13,1709197790,1709197790,12,,0.023519993
14,1709197802,1709197802,7,,0.015820026
15,1709197809,1709197809,7,,0.017100096
16,1709197816,1709197816,7,,0.018079996
17,1709197823,1709197823,12,,0.014179945
18,1709197835,1709197835,11,,0.023519993
19,1709197846,1709197846,7,,0.023640156
20,1709197853,1709197853,12,,0.025150061
21,1709197865,1709197865,7,,0.02064991
22,1709197872,1709197872,7,,0.015049934
23,1709197879,1709197879,12,,0.0176301
24,1709197891,1709197891,11,,0.003900051
25,1709197902,1709197902,7,,0.01402998
26,1709197910,1709197910,12,,0.019129992
27,1709197922,1709197922,7,,0.021620035
28,1709197929,1709197929,12,,0.020949841
29,1709197941,1709197941,12,,0.019399881
30,1709197953,1709197953,7,,0.005520105
31,1709197960,1709197960,7,,0.003829956
32,1709197967,1709197967,7,,0.003690004
33,1709197974,1709197974,12,,0.020169973
34,1709197986,1709197986,7,,0.016049862
35,1709197993,1709197993,7,,0.016429901
36,1709198001,1709198001,7,,0.017950058
37,1709198008,1709198008,12,,0.016560078
38,1709198020,1709198020,7,,0.021939993
39,1709198027,1709198027,7,,0.020089865
40,1709198034,1709198034,12,,0.017100096
41,1709198046,1709198046,7,,0.019730091
42,1709198053,1709198053,7,,0.015480042
43,1709198060,1709198060,12,,0.016709805
44,1709198072,1709198072,7,,0.018509865
45,1709198079,1709198079,7,,0.019619942
46,1709198086,1709198086,7,,0.020410061
47,1709198093,1709198093,7,,0.016489983
48,1709198100,1709198100,7,,0.018200159
49,1709198108,1709198108,12,,0.004100084
50,1709198120,1709198120,12,,0.016980171
51,1709198132,1709198132,7,,0.016960144
52,1709198139,1709198139,7,,0.016759872
53,1709198146,1709198146,7,,0.017000198
54,1709198153,1709198153,12,,0.003740072
55,1709198165,1709198165,7,,0.02200985
56,1709198172,1709198172,10,,0.018610001
57,1709198182,1709198182,12,,0.00391984
58,1709198194,1709198194,7,,0.013000011
59,1709198201,1709198201,7,,0.015120029
60,1709198208,1709198208,7,,0.018750191
61,1709198216,1709198216,12,,0.019079924
62,1709198228,1709198228,7,,0.016680002
63,1709198235,1709198235,7,,0.020560026
64,1709198242,1709198242,7,,0.020539999
65,1709198249,1709198249,12,,0.021950006
66,1709198261,1709198261,10,,0.017640114
67,1709198271,1709198271,11,,0.020109892
68,1709198282,1709198282,7,,0.01782012
69,1709198289,1709198289,7,,0.016720057
70,1709198296,1709198296,7,,0.016109943
71,1709198303,1709198303,7,,0.018059969
72,1709198310,1709198310,7,,0.023389816
73,1709198317,1709198317,7,,0.003940105
74,1709198324,1709198324,7,,0.017289877
75,1709198331,1709198331,7,,0.01967001
76,1709198338,1709198338,7,,0.020620108
77,1709198345,1709198345,7,,0.01928997
78,1709198353,1709198353,7,,0.017610073
79,1709198360,1709198360,12,,0.014189959
80,1709198372,1709198372,12,,0.017459869
81,1709198384,1709198384,7,,0.0177598
82,1709198391,1709198391,7,,0.015300035
83,1709198398,1709198398,7,,0.020040035
84,1709198405,1709198405,7,,0.019340038
85,1709198412,1709198412,7,,0.013960123
86,1709198419,1709198419,12,,0.01658988
87,1709198431,1709198431,7,,0.004299879
88,1709198438,1709198438,7,,0.020330191
89,1709198445,1709198445,7,,0.021019936
90,1709198452,1709198452,7,,0.003560066
91,1709198460,1709198460,7,,0.015010118
92,1709198467,1709198467,12,,0.015820026
93,1709198479,1709198479,7,,0.020269871
94,1709198486,1709198486,7,,0.021730185
95,1709198493,1709198493,7,,0.016699791
96,1709198500,1709198500,7,,0.003900051
97,1709198507,1709198507,12,,0.022099972
98,1709198519,1709198519,7,,0.019809961
99,1709198526,1709198526,7,,0.024680138
100,1709198533,1709198533,7,,0.004800081
101,1709198540,1709198540,7,,0.003740072
102,1709198547,1709198547,7,,0.004040003
103,1709198554,1709198554,7,,0.018009901
104,1709198562,1709198562,12,,0.018539906
105,1709198574,1709198574,7,,0.019340038
106,1709198581,1709198581,11,,0.017710209
107,1709198592,1709198592,12,,0.016520023
108,1709198604,1709198604,12,,0.014800072
109,1709198616,1709198616,12,,0.01327014
110,1709198628,1709198628,12,,0.004990101
111,1709198640,1709198640,12,,0.005429983
,,,,,
,,,,,0.018211254
