,vehicleid,recievetime
0,SW03,1709197675.6454797
1,SW02,1709197675.6616988
2,SW01,1709197675.6766372
3,SW00,1709197675.688655
4,SN13,1709197675.701135
5,SN12,1709197675.714798
6,SN11,1709197675.7247317
7,SN10,1709197675.7346752
8,SE13,1709197675.7484179
9,SE12,1709197675.7642043
10,SE11,1709197675.773831
11,SE10,1709197675.7856576
12,ES03,1709197675.7973979
13,ES02,1709197675.8080463
14,ES01,1709197675.8186316
15,ES00,1709197675.8348198
16,EW13,1709197675.845661
17,EW12,1709197675.8615358
18,EW11,1709197675.872666
19,EW10,1709197675.885008
20,EN13,1709197675.8971875
21,EN12,1709197675.911985
22,EN11,1709197675.9237905
23,EN10,1709197675.9396787
24,SW03,1709197675.9506633
25,SW02,1709197675.9558232
26,SW01,1709197675.9602451
27,SW00,1709197675.9644148
28,SN13,1709197675.9686918
29,SN12,1709197675.9739869
30,SN11,1709197675.9777923
31,SN10,1709197675.9820404
32,SE13,1709197675.9867213
33,SE12,1709197675.9924147
34,SE11,1709197675.9968362
35,SE10,1709197676.0076008
36,ES03,1709197676.0115507
37,ES02,1709197676.0168962
38,ES01,1709197676.0259871
39,ES00,1709197676.0293972
40,EW13,1709197676.036668
41,EW12,1709197676.041761
42,EW11,1709197676.046616
43,EW10,1709197676.0518675
44,EN13,1709197676.0566733
45,EN12,1709197676.0610332
46,EN11,1709197676.0662735
47,EN10,1709197676.0703726
48,SW03,1709197676.0747151
49,SW02,1709197676.0808644
50,SW01,1709197676.09104
51,SW00,1709197676.0955014
52,SN13,1709197676.100582
53,SN12,1709197676.1054113
54,SN11,1709197676.1103222
55,SN10,1709197676.1138825
56,SE13,1709197676.1174858
57,SE12,1709197676.1215062
58,SE11,1709197676.125664
59,SE10,1709197676.1294382
60,ES03,1709197676.133093
61,ES02,1709197676.1366525
62,ES01,1709197676.1435277
63,ES00,1709197676.1481583
64,EW13,1709197676.1592915
65,EW12,1709197676.1636317
66,EW11,1709197676.1690228
67,EW10,1709197676.1733418
68,EN13,1709197676.1774952
69,EN12,1709197676.1815877
70,EN11,1709197676.188632
71,EN10,1709197676.1941576
72,SW03,1709197676.2019658
73,SW02,1709197676.2069635
74,SW01,1709197676.2120242
75,SW00,1709197676.217503
76,SN13,1709197676.2235603
77,SN12,1709197676.2282019
78,SN11,1709197676.2335534
79,SN10,1709197676.2372851
80,SE13,1709197676.2410488
81,SE12,1709197676.2454236
82,SE11,1709197676.2513309
83,SE10,1709197676.2560716
84,ES03,1709197676.2609022
85,ES02,1709197676.2656066
86,ES01,1709197676.2737503
87,ES00,1709197676.2792795
88,EW13,1709197676.2846906
89,EW12,1709197676.2900789
90,EW11,1709197676.2949133
91,EW10,1709197676.2994568
92,EN13,1709197676.305328
93,EN12,1709197676.309478
94,EN11,1709197676.3171165
95,EN10,1709197676.3240466
96,SW03,1709197676.3295593
97,SW02,1709197676.3351595
98,SW01,1709197676.3411016
99,SW00,1709197676.347176
100,SN13,1709197676.353303
101,SN12,1709197676.358102
102,SN11,1709197676.362783
103,SN10,1709197676.3689945
104,SE13,1709197676.3729143
105,SE12,1709197676.376537
106,SE11,1709197676.3806598
107,SE10,1709197676.3835866
108,ES03,1709197676.386705
109,ES02,1709197676.3903368
110,ES01,1709197676.3941927
111,ES00,1709197676.3997142
112,EW13,1709197676.4036264
113,EW12,1709197676.40654
114,EW11,1709197676.4093134
115,EW10,1709197676.4174747
116,EN13,1709197676.4248116
117,EN12,1709197676.4305851
118,EN11,1709197676.434901
119,EN10,1709197676.4391801
120,SW03,1709197676.4434097
121,SW02,1709197676.4477448
122,SW01,1709197676.4569297
123,SW00,1709197676.4614003
124,SN13,1709197676.4660926
125,SN12,1709197676.4751399
126,SN11,1709197676.4800029
127,SN10,1709197676.484548
128,SE13,1709197676.4899054
129,SE12,1709197676.4940498
130,SE11,1709197676.4974272
131,SE10,1709197676.5016234
132,ES03,1709197676.5070975
133,ES02,1709197676.5117033
134,ES01,1709197676.5158956
135,ES00,1709197676.523219
136,EW13,1709197676.5278563
137,EW12,1709197676.5334744
138,EW11,1709197676.538132
139,EW10,1709197676.541346
140,EN13,1709197676.5446255
141,EN12,1709197676.548132
142,EN11,1709197676.5519965
143,EN10,1709197676.558754
144,SW03,1709197676.5629852
145,SW02,1709197676.5671372
146,SW01,1709197676.575039
147,SW00,1709197676.580456
148,SN13,1709197676.5881875
149,SN12,1709197676.5935912
150,SN11,1709197676.5985544
151,SN10,1709197676.6030648
152,SE13,1709197676.6069558
153,SE12,1709197676.6109207
154,SE11,1709197676.6147203
155,SE10,1709197676.6184242
156,ES03,1709197676.622524
157,ES02,1709197676.6262708
158,ES01,1709197676.6307843
159,ES00,1709197676.6339867
160,EW13,1709197676.6371486
161,EW12,1709197676.6405652
162,EW11,1709197676.6446733
163,EW10,1709197676.6507976
164,EN13,1709197676.658291
165,EN12,1709197676.6622512
166,EN11,1709197676.666065
167,EN10,1709197676.6698458
168,SW03,1709197676.6750295
169,SW02,1709197676.6823742
170,SW01,1709197676.6870933
171,SW00,1709197676.6914222
172,SN13,1709197676.6974306
173,SN12,1709197676.7049735
174,SN11,1709197676.709826
175,SN10,1709197676.7146454
176,SE13,1709197676.7210057
177,SE12,1709197676.72546
178,SE11,1709197676.7310247
179,SE10,1709197676.7398193
180,ES03,1709197676.7461324
181,ES02,1709197676.7517838
182,ES01,1709197676.7560945
183,ES00,1709197676.7605302
184,EW13,1709197676.7665503
185,EW12,1709197676.770948
186,EW11,1709197676.774869
187,EW10,1709197676.7790523
188,EN13,1709197676.7831833
189,EN12,1709197676.7872841
190,EN11,1709197676.7912548
191,EN10,1709197676.7995236
192,SW03,1709197676.8048136
193,SW02,1709197676.8094475
194,SW01,1709197676.8148053
195,SW00,1709197676.819723
196,SN13,1709197676.8241413
197,SN12,1709197676.8282378
198,SN11,1709197676.8322992
199,SN10,1709197676.8363874
200,SE13,1709197676.8409476
201,SE12,1709197676.8449733
202,SE11,1709197676.854049
203,SE10,1709197676.8593833
204,ES03,1709197676.8651607
205,ES02,1709197676.8704557
206,ES01,1709197676.8754048
207,ES00,1709197676.879578
208,EW13,1709197676.8838897
209,EW12,1709197676.8881266
210,EW11,1709197676.8939743
211,EW10,1709197676.901553
212,EN13,1709197676.9061491
213,EN12,1709197676.9112325
214,EN11,1709197676.9162657
215,EN10,1709197676.9211085
216,SW03,1709197676.9252315
217,SW02,1709197676.92949
218,SW01,1709197676.9371393
219,SW00,1709197676.9412847
220,SN13,1709197676.946273
221,SN12,1709197676.9526165
222,SN11,1709197676.9574845
223,SN10,1709197676.962656
224,SE13,1709197676.9664772
225,SE12,1709197676.9692564
226,SE11,1709197676.9718904
227,SE10,1709197676.9750705
228,ES03,1709197676.9791193
229,ES02,1709197676.9832232
230,ES01,1709197676.9871044
231,ES00,1709197676.9910378
232,EW13,1709197676.9950562
233,EW12,1709197676.9993625
234,EW11,1709197677.0048566
235,EW10,1709197677.008772
236,EN13,1709197677.0152798
237,EN12,1709197677.0210872
238,EN11,1709197677.0259614
239,EN10,1709197677.0308712
240,SW03,1709197677.0354137
241,SW02,1709197677.039035
242,SW01,1709197677.043052
243,SW00,1709197677.0480034
244,SN13,1709197677.0526323
245,SN12,1709197677.058044
246,SN11,1709197677.0622585
247,SN10,1709197677.0662484
248,SE13,1709197677.0699546
249,SE12,1709197677.0729625
250,SE11,1709197677.0762258
251,SE10,1709197677.0795023
252,ES03,1709197677.0853813
253,ES02,1709197677.0915349
254,ES01,1709197677.096134
255,ES00,1709197677.105477
256,EW13,1709197677.1095216
257,EW12,1709197677.1131117
258,EW11,1709197677.1184938
259,EW10,1709197677.1222792
260,EN13,1709197677.1259704
261,EN12,1709197677.1323578
262,EN11,1709197677.139594
263,EN10,1709197677.1443152
264,SW03,1709197677.148794
265,SW02,1709197677.1526222
266,SW01,1709197677.1571338
267,SW00,1709197677.160574
268,SN13,1709197677.164018
269,SN12,1709197677.1670651
270,SN11,1709197677.170584
271,SN10,1709197677.1749089
272,SE13,1709197677.1804533
273,SE12,1709197677.187309
274,SE11,1709197677.1920416
275,SE10,1709197677.1960318
276,ES03,1709197677.200693
277,ES02,1709197677.204854
278,ES01,1709197677.2088606
279,ES00,1709197677.212756
280,EW13,1709197677.2170606
281,EW12,1709197677.2216475
282,EW11,1709197677.2259586
283,EW10,1709197677.2323925
284,EN13,1709197677.2378027
285,EN12,1709197677.242815
286,EN11,1709197677.2471313
287,EN10,1709197677.250128
288,SW03,1709197677.2543807
289,SW02,1709197677.2581968
290,SW01,1709197677.2620645
291,SW00,1709197677.2668734
292,SN13,1709197677.2731795
293,SN12,1709197677.2777035
294,SN11,1709197677.282857
295,SN10,1709197677.290613
296,SE13,1709197677.2948532
297,SE12,1709197677.300054
298,SE11,1709197677.3039875
299,SE10,1709197677.3081825
300,ES03,1709197677.317702
301,ES02,1709197677.546933
302,ES01,1709197677.551608
303,ES00,1709197677.559377
304,EW13,1709197677.5655556
305,EW12,1709197677.5697818
306,EW11,1709197677.5747962
307,EW10,1709197677.578743
308,EN13,1709197677.5836854
309,EN12,1709197677.5892942
310,EN11,1709197677.5973141
311,EN10,1709197677.6029308
312,SW03,1709197677.6074228
313,SW02,1709197677.6151724
314,SW01,1709197677.6197383
315,SW00,1709197677.6236126
316,SN13,1709197677.628579
317,SN12,1709197677.6337812
318,SN11,1709197677.6397762
319,SN10,1709197677.644607
320,SE13,1709197677.6485686
321,SE12,1709197677.652773
322,SE11,1709197677.6580374
323,SE10,1709197677.663207
324,ES03,1709197677.6672986
325,ES02,1709197677.6718414
326,ES01,1709197677.6762822
327,ES00,1709197677.683984
328,EW13,1709197677.6888628
329,EW12,1709197677.692932
330,EW11,1709197677.6981316
331,EW10,1709197677.7023065
332,EN13,1709197677.7078557
333,EN12,1709197677.716817
334,EN11,1709197677.7244365
335,EN10,1709197677.7296143
336,SW03,1709197677.7337964
337,SW02,1709197677.737726
338,SW01,1709197677.7450616
339,SW00,1709197677.752255
340,SN13,1709197677.7564824
341,SN12,1709197677.7604375
342,SN11,1709197677.7643483
343,SN10,1709197677.768331
344,SE13,1709197677.7729356
345,SE12,1709197677.7830374
346,SE11,1709197677.7876475
347,SE10,1709197677.7947466
348,ES03,1709197677.7995489
349,ES02,1709197677.8049717
350,ES01,1709197677.80982
351,ES00,1709197677.8133082
352,EW13,1709197677.8163605
353,EW12,1709197677.8206384
354,EW11,1709197677.8249044
355,EW10,1709197677.8276432
356,EN13,1709197677.8304377
357,EN12,1709197677.8344097
358,EN11,1709197677.8375907
359,EN10,1709197677.8409116
360,SW03,1709197677.8447757
361,SW02,1709197677.8518062
362,SW01,1709197677.8577938
363,SW00,1709197677.8638062
364,SN13,1709197677.8686678
365,SN12,1709197677.873212
366,SN11,1709197677.8777168
367,SN10,1709197677.8808815
368,SE13,1709197677.8844094
369,SE12,1709197677.887755
370,SE11,1709197677.8916526
371,SE10,1709197677.8957798
372,ES03,1709197677.8998878
373,ES02,1709197677.903661
374,ES01,1709197677.9086568
375,ES00,1709197677.9146793
376,EW13,1709197677.9201133
377,EW12,1709197677.9258451
378,EW11,1709197677.9317029
379,EW10,1709197677.9363072
380,EN13,1709197677.941247
381,EN12,1709197677.9452913
382,EN11,1709197677.949287
383,EN10,1709197677.9533288
384,SW03,1709197677.957267
385,SW02,1709197677.96361
386,SW01,1709197677.9709542
387,SW00,1709197677.9764009
388,SN13,1709197677.9814076
389,SN12,1709197677.986608
390,SN11,1709197677.9912992
391,SN10,1709197677.9957905
392,SE13,1709197678.0002294
393,SE12,1709197678.0041394
394,SE11,1709197678.008027
395,SE10,1709197678.0150182
396,ES03,1709197678.019489
397,ES02,1709197678.0241537
398,ES01,1709197678.029879
399,ES00,1709197678.0351834
400,EW13,1709197678.0403378
401,EW12,1709197678.0461538
402,EW11,1709197678.0493302
403,EW10,1709197678.052666
404,EN13,1709197678.0559037
405,EN12,1709197678.0594532
406,EN11,1709197678.0627506
407,EN10,1709197678.0654786
408,SW03,1709197678.0723097
409,SW02,1709197678.079511
410,SW01,1709197678.0863962
411,SW00,1709197678.0918946
412,SN13,1709197678.0968096
413,SN12,1709197678.1027966
414,SN11,1709197678.1075335
415,SN10,1709197678.1118515
416,SE13,1709197678.114492
417,SE12,1709197678.1172442
418,SE11,1709197678.1206849
419,SE10,1709197678.124927
420,ES03,1709197678.1286888
421,ES02,1709197678.1324723
422,ES01,1709197678.1372268
423,ES00,1709197678.1413014
424,EW13,1709197678.1467204
425,EW12,1709197678.1550038
426,EW11,1709197678.159575
427,EW10,1709197678.165979
428,EN13,1709197678.171463
429,EN12,1709197678.1753085
430,EN11,1709197678.178668
431,EN10,1709197678.1829247
432,SW03,1709197678.1867566
433,SW02,1709197678.1906903
434,SW01,1709197678.1953108
435,SW00,1709197678.202276
436,SN13,1709197678.2090812
437,SN12,1709197678.218032
438,SN11,1709197678.2232254
439,SN10,1709197678.226997
440,SE13,1709197678.2308557
441,SE12,1709197678.2338252
442,SE11,1709197678.236886
443,SE10,1709197678.239482
444,ES03,1709197678.2437608
445,ES02,1709197678.252013
446,ES01,1709197678.2602375
447,ES00,1709197678.2662685
448,EW13,1709197678.2730007
449,EW12,1709197678.2783945
450,EW11,1709197678.2817748
451,EW10,1709197678.2848284
452,EN13,1709197678.2881625
453,EN12,1709197678.2970207
454,EN11,1709197678.3012774
455,EN10,1709197678.3066878
456,SW03,1709197678.3129737
457,SW02,1709197678.3168774
458,SW01,1709197678.3255785
459,SW00,1709197678.3301501
460,SN13,1709197678.334928
461,SN12,1709197678.3383908
462,SN11,1709197678.3416443
463,SN10,1709197678.345173
464,SE13,1709197678.3479636
465,SE12,1709197678.3514545
466,SE11,1709197678.354985
467,SE10,1709197678.3628728
468,ES03,1709197678.3680105
469,ES02,1709197678.377704
470,ES01,1709197678.382028
471,ES00,1709197678.3860877
472,EW13,1709197678.3906908
473,EW12,1709197678.394933
474,EW11,1709197678.3999207
475,EW10,1709197678.4052367
476,EN13,1709197678.409143
477,EN12,1709197678.4131525
478,EN11,1709197678.4174833
479,EN10,1709197678.4225316
480,SW03,1709197678.4298787
481,SW02,1709197678.4339974
482,SW01,1709197678.4383402
483,SW00,1709197678.4426174
484,SN13,1709197678.4483397
485,SN12,1709197678.4526284
486,SN11,1709197678.4569683
487,SN10,1709197678.46285
488,SE13,1709197678.4667401
489,SE12,1709197678.4700468
490,SE11,1709197678.475392
491,SE10,1709197678.4795861
492,ES03,1709197678.4835293
493,ES02,1709197678.4877408
494,ES01,1709197678.4929295
495,ES00,1709197678.499756
496,EW13,1709197678.5049803
497,EW12,1709197678.512007
498,EW11,1709197678.517383
499,EW10,1709197678.522651
500,EN13,1709197678.5267742
501,EN12,1709197678.5306952
502,EN11,1709197678.534938
503,EN10,1709197678.5391383
504,SW03,1709197678.5441513
505,SW02,1709197678.549395
506,SW01,1709197678.5537674
507,SW00,1709197678.5617707
508,SN13,1709197678.5669968
509,SN12,1709197678.5715363
510,SN11,1709197678.575056
511,SN10,1709197678.58406
512,SE13,1709197678.5884233
513,SE12,1709197678.592508
514,SE11,1709197678.5985112
515,SE10,1709197678.6027973
516,ES03,1709197678.606679
517,ES02,1709197678.610784
518,ES01,1709197678.6142292
519,ES00,1709197678.617346
520,EW13,1709197678.6212015
521,EW12,1709197678.6249254
522,EW11,1709197678.6291752
523,EW10,1709197678.6335201
524,EN13,1709197678.639521
525,EN12,1709197678.650417
526,EN11,1709197678.6549835
527,EN10,1709197678.6591094
528,SW03,1709197678.6639032
529,SW02,1709197678.6682045
530,SW01,1709197678.6724124
531,SW00,1709197678.6769123
532,SN13,1709197678.6808918
533,SN12,1709197678.6847086
534,SN11,1709197678.6889005
535,SN10,1709197678.6930397
536,SE13,1709197678.6989048
537,SE12,1709197678.7045593
538,SE11,1709197678.7113092
539,SE10,1709197678.715218
540,ES03,1709197678.7200391
541,ES02,1709197678.723906
542,ES01,1709197678.727747
543,ES00,1709197678.7316086
544,EW13,1709197678.7352045
545,EW12,1709197678.7387562
546,EW11,1709197678.7423043
547,EW10,1709197678.7454345
548,EN13,1709197678.750298
549,EN12,1709197678.7551746
550,EN11,1709197678.7595615
551,EN10,1709197678.7633133
552,SW03,1709197678.7669303
553,SW02,1709197678.7706609
554,SW01,1709197678.7742057
555,SW00,1709197678.77814
556,SN13,1709197678.7830896
557,SN12,1709197678.788014
558,SN11,1709197678.796057
559,SN10,1709197678.8018816
560,SE13,1709197678.806154
561,SE12,1709197678.8106017
562,SE11,1709197678.8146017
563,SE10,1709197678.8184485
564,ES03,1709197678.822679
565,ES02,1709197678.8263974
566,ES01,1709197678.8321908
567,ES00,1709197678.83788
568,EW13,1709197678.8433752
569,EW12,1709197678.8493907
570,EW11,1709197678.8539796
571,EW10,1709197678.858429
572,EN13,1709197678.8633082
573,EN12,1709197678.8674839
574,EN11,1709197678.8715222
575,EN10,1709197678.8753567
576,SW03,1709197678.8792944
577,SW02,1709197678.8825455
578,SW01,1709197678.8854983
579,SW00,1709197678.8881967
580,SN13,1709197678.8912876
581,SN12,1709197678.893989
582,SN11,1709197678.8976262
583,SN10,1709197678.902384
584,SE13,1709197678.9067776
585,SE12,1709197678.911705
586,SE11,1709197678.9188638
