,vehicleid,transtime
0,SW03,1709197675.644798
1,SW02,1709197675.6466925
2,SW01,1709197675.6490314
3,SW00,1709197675.6511154
4,SN13,1709197675.6529567
5,SN12,1709197675.654637
6,SN11,1709197675.6573677
7,SN10,1709197675.6715136
8,SE13,1709197675.6736443
9,SE12,1709197675.675729
10,SE11,1709197675.677771
11,SE10,1709197675.679646
12,ES03,1709197675.6817234
13,ES02,1709197675.6836598
14,ES01,1709197675.6856377
15,ES00,1709197675.6894698
16,EW13,1709197675.6925578
17,EW12,1709197675.6954818
18,EW11,1709197675.6979532
19,EW10,1709197675.7003107
20,EN13,1709197675.7027493
21,EN12,1709197675.7049294
22,EN11,1709197675.708163
23,EN10,1709197675.7112713
24,SW03,1709197675.7141263
25,SW02,1709197675.7161107
26,SW01,1709197675.7176955
27,SW00,1709197675.7191646
28,SN13,1709197675.720678
29,SN12,1709197675.7224104
30,SN11,1709197675.7238722
31,SN10,1709197675.7261355
32,SE13,1709197675.72821
33,SE12,1709197675.7302768
34,SE11,1709197675.7322958
35,SE10,1709197675.734381
36,ES03,1709197675.736901
37,ES02,1709197675.7407331
38,ES01,1709197675.7463977
39,ES00,1709197675.748637
40,EW13,1709197675.750989
41,EW12,1709197675.7533276
42,EW11,1709197675.7561007
43,EW10,1709197675.760223
44,EN13,1709197675.7625713
45,EN12,1709197675.7649229
46,EN11,1709197675.7668393
47,EN10,1709197675.7689912
48,SW03,1709197675.7724633
49,SW02,1709197675.7749066
50,SW01,1709197675.7771113
51,SW00,1709197675.778742
52,SN13,1709197675.781217
53,SN12,1709197675.783935
54,SN11,1709197675.7861984
55,SN10,1709197675.7885664
56,SE13,1709197675.792054
57,SE12,1709197675.7948034
58,SE11,1709197675.7973764
59,SE10,1709197675.8000884
60,ES03,1709197675.8028872
61,ES02,1709197675.8053963
62,ES01,1709197675.8079388
63,ES00,1709197675.810134
64,EW13,1709197675.8124392
65,EW12,1709197675.8145666
66,EW11,1709197675.8172169
67,EW10,1709197675.8195071
68,EN13,1709197675.8216934
69,EN12,1709197675.8239312
70,EN11,1709197675.826177
71,EN10,1709197675.8290079
72,SW03,1709197675.8345296
73,SW02,1709197675.8371644
74,SW01,1709197675.8396502
75,SW00,1709197675.8418076
76,SN13,1709197675.843986
77,SN12,1709197675.8463364
78,SN11,1709197675.8492992
79,SN10,1709197675.8518405
80,SE13,1709197675.8543875
81,SE12,1709197675.856708
82,SE11,1709197675.859255
83,SE10,1709197675.8619535
