,vehicleid,recievetime
0,SW03,1709194964.1485245
1,SW02,1709194964.1542485
2,SW01,1709194964.1658983
3,SW00,1709194964.1771235
4,SN13,1709194964.1882715
5,SN12,1709194964.199832
6,SN11,1709194964.2111747
7,SN10,1709194964.2247024
8,SE13,1709194964.237872
9,SE12,1709194964.2529511
10,SE11,1709194964.2651508
11,SE10,1709194964.279256
12,ES03,1709194964.293266
13,ES02,1709194964.304983
14,ES01,1709194964.3160985
15,ES00,1709194964.3264577
16,EW13,1709194964.3446138
17,EW12,1709194964.361847
18,EW11,1709194964.373381
19,EW10,1709194964.3934476
20,EN13,1709194964.4078012
21,EN12,1709194964.4170008
22,EN11,1709194964.4285462
23,EN10,1709194964.4406116
24,SW03,1709194964.4556673
25,SW02,1709194964.461484
26,SW01,1709194964.4676535
27,SW00,1709194964.4746923
28,SN13,1709194964.4794707
29,SN12,1709194964.483784
30,SN11,1709194964.487965
31,SN10,1709194964.4920123
32,SE13,1709194964.496786
33,SE12,1709194964.5010312
34,SE11,1709194964.507753
35,SE10,1709194964.5144603
36,ES03,1709194964.520579
37,ES02,1709194964.5271833
38,ES01,1709194964.5321653
39,ES00,1709194964.5363507
40,EW13,1709194964.5426905
41,EW12,1709194964.5470057
42,EW11,1709194964.551316
43,EW10,1709194964.5567648
44,EN13,1709194964.561094
45,EN12,1709194964.5647264
46,EN11,1709194964.5690072
47,EN10,1709194964.5790513
48,SW03,1709194964.5840118
49,SW02,1709194964.5888863
50,SW01,1709194964.5937517
51,SW00,1709194964.5983212
52,SN13,1709194964.6030228
53,SN12,1709194964.6081374
54,SN11,1709194964.6127672
55,SN10,1709194964.6172252
56,SE13,1709194964.6220677
57,SE12,1709194964.629525
58,SE11,1709194964.6347675
59,SE10,1709194964.6395211
60,ES03,1709194964.6506596
61,ES02,1709194964.659405
62,ES01,1709194964.66556
63,ES00,1709194964.672394
64,EW13,1709194964.6776493
65,EW12,1709194964.6843827
66,EW11,1709194964.6923783
67,EW10,1709194964.7001626
68,EN13,1709194964.7094643
69,EN12,1709194964.7166007
70,EN11,1709194964.7239792
71,EN10,1709194964.7287023
72,SW03,1709194964.7358823
73,SW02,1709194964.743066
74,SW01,1709194964.7521613
75,SW00,1709194964.758221
76,SN13,1709194964.7643428
77,SN12,1709194964.7707026
78,SN11,1709194964.7749202
79,SN10,1709194964.7791557
80,SE13,1709194964.7843454
81,SE12,1709194964.7894933
82,SE11,1709194964.794994
83,SE10,1709194964.8069727
84,ES03,1709194964.8219635
85,ES02,1709194964.8264103
86,ES01,1709194964.8343039
87,ES00,1709194964.8404295
88,EW13,1709194964.8448312
89,EW12,1709194964.8502922
90,EW11,1709194964.8583536
91,EW10,1709194964.8633075
92,EN13,1709194964.8749585
93,EN12,1709194964.8795583
94,EN11,1709194964.883922
95,EN10,1709194964.8882372
96,SW03,1709194964.8939064
97,SW02,1709194964.8984797
98,SW01,1709194964.9041393
99,SW00,1709194964.9104087
100,SN13,1709194964.9200144
101,SN12,1709194964.9278102
102,SN11,1709194964.9336035
103,SN10,1709194964.9394069
104,SE13,1709194964.943819
105,SE12,1709194964.9474497
106,SE11,1709194964.9527137
107,SE10,1709194964.957044
108,ES03,1709194964.9613447
109,ES02,1709194964.9656267
110,ES01,1709194964.9717999
111,ES00,1709194964.975557
112,EW13,1709194964.9794533
113,EW12,1709194964.9833186
114,EW11,1709194964.9879546
115,EW10,1709194964.9927018
116,EN13,1709194964.9978578
117,EN12,1709194965.002068
118,EN11,1709194965.014337
119,EN10,1709194965.0186567
120,SW03,1709194965.0297217
121,SW02,1709194965.0338583
122,SW01,1709194965.0379977
123,SW00,1709194965.04355
124,SN13,1709194965.048252
125,SN12,1709194965.0528731
126,SN11,1709194965.0575228
127,SN10,1709194965.0625434
128,SE13,1709194965.0668647
129,SE12,1709194965.0712838
130,SE11,1709194965.08019
131,SE10,1709194965.0845385
132,ES03,1709194965.0949366
133,ES02,1709194965.102142
134,ES01,1709194965.1082191
135,ES00,1709194965.1125586
136,EW13,1709194965.1169028
137,EW12,1709194965.1216152
138,EW11,1709194965.125632
139,EW10,1709194965.1315868
140,EN13,1709194965.1421824
141,EN12,1709194965.1479309
142,EN11,1709194965.153197
143,EN10,1709194965.1582613
144,SW03,1709194965.1639576
145,SW02,1709194965.1684053
146,SW01,1709194965.1734774
147,SW00,1709194965.1779108
148,SN13,1709194965.182593
149,SN12,1709194965.190204
150,SN11,1709194965.1981409
151,SN10,1709194965.2030647
152,SE13,1709194965.213297
153,SE12,1709194965.2174997
154,SE11,1709194965.2216432
155,SE10,1709194965.2290902
156,ES03,1709194965.2336447
157,ES02,1709194965.2383583
158,ES01,1709194965.2443206
159,ES00,1709194965.249216
160,EW13,1709194965.2540398
161,EW12,1709194965.26223
162,EW11,1709194965.268499
163,EW10,1709194965.2769773
164,EN13,1709194965.2827291
165,EN12,1709194965.2870386
166,EN11,1709194965.2957673
167,EN10,1709194965.301607
168,SW03,1709194965.3111534
169,SW02,1709194965.3154867
170,SW01,1709194965.3206513
171,SW00,1709194965.3266473
172,SN13,1709194965.33099
173,SN12,1709194965.335635
174,SN11,1709194965.3397782
175,SN10,1709194965.344475
176,SE13,1709194965.3486507
177,SE12,1709194965.3560247
178,SE11,1709194965.365025
179,SE10,1709194965.377287
180,ES03,1709194965.381661
181,ES02,1709194965.3854656
182,ES01,1709194965.3913758
183,ES00,1709194965.3957741
184,EW13,1709194965.4004617
185,EW12,1709194965.405213
186,EW11,1709194965.409945
187,EW10,1709194965.4141614
188,EN13,1709194965.4181054
189,EN12,1709194965.4226823
190,EN11,1709194965.4270997
191,EN10,1709194965.4314044
192,SW03,1709194965.4462483
193,SW02,1709194965.4503245
194,SW01,1709194965.4567099
195,SW00,1709194965.4610753
196,SN13,1709194965.4659147
197,SN12,1709194965.474358
198,SN11,1709194965.4789565
199,SN10,1709194965.4833667
200,SE13,1709194965.4907901
201,SE12,1709194965.4952745
202,SE11,1709194965.499984
203,SE10,1709194965.5088866
204,ES03,1709194965.5145428
205,ES02,1709194965.5197825
206,ES01,1709194965.5265074
207,ES00,1709194965.5322998
208,EW13,1709194965.5364087
209,EW12,1709194965.5418737
210,EW11,1709194965.5460365
211,EW10,1709194965.5512688
212,EN13,1709194965.5552971
213,EN12,1709194965.5612967
214,EN11,1709194965.5674963
215,EN10,1709194965.5720015
216,SW03,1709194965.57609
217,SW02,1709194965.582629
218,SW01,1709194965.5862975
219,SW00,1709194965.590218
220,SN13,1709194965.595605
221,SN12,1709194965.6002548
222,SN11,1709194965.609433
223,SN10,1709194965.614793
224,SE13,1709194965.6198292
225,SE12,1709194965.6284113
226,SE11,1709194965.632919
227,SE10,1709194965.6388829
228,ES03,1709194965.644137
229,ES02,1709194965.6488862
230,ES01,1709194965.661248
231,ES00,1709194965.6700308
232,EW13,1709194965.6754243
233,EW12,1709194965.679667
234,EW11,1709194965.6865578
235,EW10,1709194965.6910253
236,EN13,1709194965.695407
237,EN12,1709194965.7013144
238,EN11,1709194965.706274
239,EN10,1709194965.7108586
240,SW03,1709194965.7162886
241,SW02,1709194965.7224174
242,SW01,1709194965.7265177
243,SW00,1709194965.7328663
244,SN13,1709194965.737902
245,SN12,1709194965.7431262
246,SN11,1709194965.7500188
247,SN10,1709194965.7571683
