,starttime,endtime,phaseDuration,,
0,1709221296,1709221296,25,,0
1,1709221321,1709221321,25,,0
2,1709221346,1709221346,25,,1.00136E-05
3,1709221371,1709221371,25,,1.00136E-05
4,1709221396,1709221396,25,,1.00136E-05
5,1709221421,1709221421,25,,1.00136E-05
6,1709221446,1709221446,25,,0
7,1709221471,1709221471,25,,9.77516E-06
8,1709221496,1709221496,25,,0
9,1709221521,1709221521,25,,0
10,1709221546,1709221546,25,,1.00136E-05
11,1709221571,1709221571,25,,1.00136E-05
12,1709221597,1709221597,25,,1.00136E-05
13,1709221622,1709221622,25,,0
14,1709221647,1709221647,25,,1.00136E-05
15,1709221672,1709221672,25,,1.00136E-05
16,1709221697,1709221697,25,,0
17,1709221722,1709221722,25,,0
18,1709221747,1709221747,25,,1.00136E-05
19,1709221772,1709221772,25,,1.00136E-05
20,1709221797,1709221797,25,,0
21,1709221822,1709221822,25,,1.00136E-05
22,1709221847,1709221847,25,,0
23,1709221872,1709221872,25,,1.00136E-05
24,1709221897,1709221897,25,,0
25,1709221922,1709221922,25,,0
26,1709221948,1709221948,25,,1.00136E-05
27,1709221973,1709221973,25,,1.00136E-05
28,1709221998,1709221998,25,,1.00136E-05
29,1709222023,1709222023,25,,1.00136E-05
30,1709222048,1709222048,25,,0
31,1709222073,1709222073,25,,1.00136E-05
32,1709222098,1709222098,25,,0
33,1709222123,1709222123,25,,1.00136E-05
34,1709222148,1709222148,25,,0
35,1709222173,1709222173,25,,1.00136E-05
36,1709222198,1709222198,25,,1.00136E-05
37,1709222223,1709222223,25,,0
38,1709222249,1709222249,25,,1.00136E-05
,,,,,
,,,,,5.89933E-06
