,vehicleid,recievetime,,,
0,SW02,1709221295,1709221294,,0.39628005
1,SW01,1709221295,1709221294,,0.405440092
2,SW00,1709221295,1709221294,,0.419569969
3,SN12,1709221295,1709221294,,0.426609993
4,SE11,1709221295,1709221294,,0.441590071
5,ES01,1709221295,1709221294,,0.437560081
6,EW10,1709221295,1709221294,,0.436939955
7,SW03,1709221295,1709221294,,0.434010029
8,SN12,1709221295,1709221294,,0.434999943
9,SN11,1709221295,1709221294,,0.437239885
10,SE10,1709221295,1709221294,,0.437259912
11,ES01,1709221295,1709221294,,0.446739912
12,EW13,1709221295,1709221294,,0.451470137
13,EN13,1709221295,1709221294,,0.456169844
14,SW03,1709221295,,,
15,SW01,1709221295,,,0.43299142
16,SN13,1709221295,,,
17,SE13,1709221295,,,
18,ES02,1709221295,,,
19,EW13,1709221295,,,
20,EW11,1709221295,,,
21,EN11,1709221295,,,
22,SN13,1709221295,,,
23,SN11,1709221295,,,
24,SE13,1709221295,,,
25,SE11,1709221295,,,
26,ES03,1709221295,,,
27,EW13,1709221295,,,
28,EW10,1709221295,,,
29,EN12,1709221295,,,
30,SW01,1709221295,,,
31,SN13,1709221295,,,
32,SN11,1709221295,,,
33,SE12,1709221295,,,
34,ES00,1709221295,,,
35,EW10,1709221295,,,
36,EN11,1709221295,,,
37,EN10,1709221295,,,
38,SN13,1709221295,,,
39,SN10,1709221295,,,
40,SE10,1709221295,,,
41,ES02,1709221295,,,
42,ES01,1709221295,,,
43,EW12,1709221295,,,
44,EN11,1709221295,,,
45,EN10,1709221295,,,
46,SW02,1709221295,,,
47,SW01,1709221295,,,
48,SN13,1709221295,,,
49,SN10,1709221295,,,
50,SE12,1709221295,,,
51,SE10,1709221295,,,
52,ES02,1709221295,,,
53,ES00,1709221295,,,
54,EW12,1709221295,,,
55,EW10,1709221295,,,
56,EN10,1709221295,,,
57,SW03,1709221295,,,
58,SW00,1709221295,,,
59,SN11,1709221295,,,
60,SE13,1709221295,,,
61,SE11,1709221295,,,
62,ES03,1709221295,,,
63,ES01,1709221295,,,
64,EW13,1709221295,,,
65,EW11,1709221295,,,
66,EN13,1709221295,,,
67,EN11,1709221295,,,
68,SW03,1709221295,,,
69,SW01,1709221295,,,
70,SN13,1709221295,,,
71,SN11,1709221295,,,
72,SE13,1709221295,,,
73,SE11,1709221295,,,
74,ES02,1709221295,,,
75,ES01,1709221295,,,
76,EW13,1709221295,,,
77,EW12,1709221295,,,
78,EW10,1709221295,,,
79,EN12,1709221295,,,
80,EN10,1709221295,,,
81,SW02,1709221295,,,
82,SW00,1709221295,,,
83,SN13,1709221295,,,
84,SN11,1709221295,,,
85,SE13,1709221295,,,
86,SE11,1709221295,,,
87,SE10,1709221295,,,
88,ES02,1709221295,,,
89,ES00,1709221295,,,
90,EW12,1709221295,,,
91,EN13,1709221295,,,
92,EN11,1709221295,,,
93,SW03,1709221295,,,
94,SW00,1709221295,,,
95,SN12,1709221295,,,
96,SE13,1709221295,,,
97,SE12,1709221295,,,
98,SE10,1709221295,,,
99,ES01,1709221295,,,
100,ES00,1709221295,,,
101,EW12,1709221295,,,
102,EW10,1709221295,,,
103,EN12,1709221295,,,
104,EN11,1709221295,,,
105,SW03,1709221295,,,
106,SW02,1709221295,,,
107,SN13,1709221295,,,
108,SN12,1709221295,,,
109,SN10,1709221295,,,
110,SE12,1709221295,,,
111,SE10,1709221295,,,
112,ES01,1709221295,,,
113,ES00,1709221296,,,
114,EW11,1709221296,,,
115,EN13,1709221296,,,
116,EN12,1709221296,,,
117,SW03,1709221296,,,
118,SW02,1709221296,,,
119,SW01,1709221296,,,
120,SN12,1709221296,,,
121,SN10,1709221296,,,
122,SE12,1709221296,,,
123,SE10,1709221296,,,
124,ES02,1709221296,,,
125,ES00,1709221296,,,
126,EW12,1709221296,,,
127,EW10,1709221296,,,
128,EN11,1709221296,,,
129,EN10,1709221296,,,
130,SW02,1709221296,,,
131,SW00,1709221296,,,
132,SN12,1709221296,,,
133,SN10,1709221296,,,
134,SE12,1709221296,,,
135,SE10,1709221296,,,
136,ES02,1709221296,,,
137,ES01,1709221296,,,
138,EW13,1709221296,,,
139,EW11,1709221296,,,
140,EN13,1709221296,,,
141,EN11,1709221296,,,
142,EN10,1709221296,,,
143,SW02,1709221296,,,
144,SW01,1709221296,,,
145,SN12,1709221296,,,
146,SE13,1709221296,,,
147,SE11,1709221296,,,
148,ES02,1709221296,,,
149,ES01,1709221296,,,
150,EW13,1709221296,,,
151,EW11,1709221296,,,
152,EN13,1709221296,,,
153,EN11,1709221296,,,
154,SW03,1709221296,,,
155,SW00,1709221296,,,
156,SN13,1709221296,,,
157,SN11,1709221296,,,
158,SE13,1709221296,,,
159,SE11,1709221296,,,
160,ES03,1709221296,,,
161,ES01,1709221296,,,
162,ES00,1709221296,,,
163,EW12,1709221296,,,
164,EW10,1709221296,,,
165,EN12,1709221296,,,
166,SW03,1709221296,,,
