,vehicleid,transtime
0,SW03,1709221294.1987162
1,SW02,1709221294.2004514
2,SW01,1709221294.203046
3,SW00,1709221294.205389
4,SN13,1709221294.2123644
5,SN12,1709221294.214448
6,SN11,1709221294.2167768
7,SN10,1709221294.218732
8,SE13,1709221294.2207704
9,SE12,1709221294.2242467
10,SE11,1709221294.2279046
11,SE10,1709221294.2306986
12,ES03,1709221294.233199
13,ES02,1709221294.2354503
14,ES01,1709221294.2376344
15,ES00,1709221294.2426033
16,EW13,1709221294.246743
17,EW12,1709221294.2492955
18,EW11,1709221294.2529314
19,EW10,1709221294.2550464
20,EN13,1709221294.2605171
21,EN12,1709221294.2631478
22,EN11,1709221294.2656002
23,EN10,1709221294.268099
24,SW03,1709221294.2724128
25,SW02,1709221294.2753453
26,SW01,1709221294.277649
27,SW00,1709221294.2806816
28,SN13,1709221294.283966
29,SN12,1709221294.2859974
30,SN11,1709221294.2885308
31,SN10,1709221294.2907684
32,SE13,1709221294.2928348
33,SE12,1709221294.2952092
34,SE11,1709221294.2975156
35,SE10,1709221294.2999341
36,ES03,1709221294.3022428
37,ES02,1709221294.3043065
38,ES01,1709221294.306444
39,ES00,1709221294.3086324
40,EW13,1709221294.310846
41,EW12,1709221294.3130503
42,EW11,1709221294.3147957
43,EW10,1709221294.3169415
44,EN13,1709221294.319416
45,EN12,1709221294.3220024
46,EN11,1709221294.324455
47,EN10,1709221294.3272378
48,SW03,1709221294.3326921
49,SW02,1709221294.3356407
50,SW01,1709221294.3380723
51,SW00,1709221294.3419504
52,SN13,1709221294.344571
53,SN12,1709221294.3470569
54,SN11,1709221294.349445
55,SN10,1709221294.3520956
56,SE13,1709221294.355305
57,SE12,1709221294.3590357
58,SE11,1709221294.3616023
59,SE10,1709221294.364098
60,ES03,1709221294.3710213
61,ES02,1709221294.3759856
62,ES01,1709221294.3797667
63,ES00,1709221294.3826492
64,EW13,1709221294.384991
65,EW12,1709221294.3874435
66,EW11,1709221294.3907046
67,EW10,1709221294.3932447
68,EN13,1709221294.3974686
69,EN12,1709221294.3998392
70,EN11,1709221294.4024768
71,EN10,1709221294.4057653
72,SW03,1709221294.415788
73,SW02,1709221294.4198494
74,SW01,1709221294.423187
75,SW00,1709221294.4295917
76,SN13,1709221294.4324615
77,SN12,1709221294.4347334
78,SN11,1709221294.4369936
79,SN10,1709221294.4392607
80,SE13,1709221294.4421968
81,SE12,1709221294.4465506
82,SE11,1709221294.4501092
83,SE10,1709221294.4533436
84,ES03,1709221294.4565191
85,ES02,1709221294.4598813
86,ES01,1709221294.4630744
87,ES00,1709221294.4663832
88,EW13,1709221294.469526
89,EW12,1709221294.476425
90,EW11,1709221294.4801354
91,EW10,1709221294.483679
92,EN13,1709221294.4864967
93,EN12,1709221294.4890773
94,EN11,1709221294.4939017
95,EN10,1709221294.496855
96,SW03,1709221294.5022054
97,SW02,1709221294.5060635
98,SW01,1709221294.5120144
99,SW00,1709221294.5150702
100,SN13,1709221294.5175824
101,SN12,1709221294.5214076
