,vehicleid,transtime
0,SW03,1709194964.1454933
1,SW02,1709194964.14793
2,SW01,1709194964.1508226
3,SW00,1709194964.1533668
4,SN13,1709194964.1557598
5,SN12,1709194964.158627
6,SN11,1709194964.1612508
7,SN10,1709194964.1636
8,SE13,1709194964.1658568
9,SE12,1709194964.1681104
10,SE11,1709194964.1706152
11,SE10,1709194964.1729755
12,ES03,1709194964.1750503
13,ES02,1709194964.177468
14,ES01,1709194964.180139
15,ES00,1709194964.18269
16,EW13,1709194964.184746
17,EW12,1709194964.1866667
18,EW11,1709194964.1886375
19,EW10,1709194964.1906846
20,EN13,1709194964.1926563
21,EN12,1709194964.194654
22,EN11,1709194964.1966236
23,EN10,1709194964.1992183
24,SW03,1709194964.2029226
25,SW02,1709194964.2058647
26,SW01,1709194964.2088244
27,SW00,1709194964.2122688
28,SN13,1709194964.2185814
29,SN12,1709194964.2211733
30,SN11,1709194964.2236514
31,SN10,1709194964.2262235
32,SE13,1709194964.2300174
33,SE12,1709194964.232469
34,SE11,1709194964.23509
35,SE10,1709194964.2374678
36,ES03,1709194964.239744
37,ES02,1709194964.2420342
38,ES01,1709194964.244176
39,ES00,1709194964.2464342
40,EW13,1709194964.2491572
41,EW12,1709194964.2514544
42,EW11,1709194964.2535806
43,EW10,1709194964.2556703
44,EN13,1709194964.257839
45,EN12,1709194964.2609746
46,EN11,1709194964.2648232
47,EN10,1709194964.2674713
48,SW03,1709194964.271635
49,SW02,1709194964.2746205
50,SW01,1709194964.2776299
51,SW00,1709194964.2829754
52,SN13,1709194964.2858307
53,SN12,1709194964.2882032
54,SN11,1709194964.2904763
55,SN10,1709194964.2921143
56,SE13,1709194964.2938898
57,SE12,1709194964.2978234
58,SE11,1709194964.3001907
59,SE10,1709194964.3021607
60,ES03,1709194964.3040535
61,ES02,1709194964.3060114
62,ES01,1709194964.3080113
63,ES00,1709194964.3113146
64,EW13,1709194964.3134942
65,EW12,1709194964.3156278
66,EW11,1709194964.3178086
67,EW10,1709194964.3200045
68,EN13,1709194964.322123
69,EN12,1709194964.324778
