,starttime,endtime,phaseDuration,,
0,1709234690,1709234690,5,,2.00272E-05
1,1709234695,1709234695,25,,0.006870031
2,1709234720,1709234720,25,,0.005630016
3,1709234745,1709234745,10,,0.005820036
4,1709234755,1709234755,5,,0.004950047
5,1709234760,1709234760,25,,0.003759861
6,1709234786,1709234786,25,,0.011550188
7,1709234811,1709234811,25,,0.009680033
8,1709234836,1709234836,25,,0.007169962
9,1709234861,1709234861,25,,0.008620024
10,1709234886,1709234886,25,,0.005559921
11,1709234911,1709234911,25,,0.013599873
12,1709234936,1709234936,25,,0.003810167
13,1709234961,1709234961,25,,0.007950068
14,1709234986,1709234986,25,,0.004410028
15,1709235011,1709235011,5,,0.012169838
16,1709235016,1709235016,25,,0.007309914
17,1709235041,1709235041,5,,0.005689859
18,1709235046,1709235046,5,,0.009189844
19,1709235052,1709235052,25,,0.004270077
20,1709235077,1709235077,5,,0.009039879
21,1709235082,1709235082,5,,0.00880003
22,1709235087,1709235087,25,,0.011689901
23,1709235112,1709235112,5,,0.004369974
24,1709235117,1709235117,5,,0.006180048
25,1709235122,1709235122,5,,0.005510092
26,1709235127,1709235127,25,,0.005509853
27,1709235152,1709235152,25,,0.005589962
28,1709235177,1709235177,5,,0.007810116
29,1709235182,1709235182,25,,0.003970146
30,1709235207,1709235207,25,,0.007579803
31,1709235233,1709235233,25,,0.004439831
32,1709235258,1709235258,5,,0.005210161
33,1709235263,1709235263,5,,0.005899906
34,1709235268,1709235268,5,,0.005460024
35,1709235273,1709235273,25,,0.009050131
36,1709235298,1709235298,5,,0.008499861
37,1709235303,1709235303,5,,0.013120174
38,1709235308,1709235308,25,,0.010730028
39,1709235333,1709235333,5,,0.004890203
40,1709235338,1709235338,5,,0.003599882
41,1709235343,1709235343,25,,0.004510164
42,1709235368,1709235368,5,,0.007960081
43,1709235373,1709235373,5,,0.012109995
44,1709235378,1709235378,5,,0.007659912
45,1709235383,1709235383,25,,0.008050203
46,1709235409,1709235409,25,,0.009280205
47,1709235434,1709235434,5,,0.00748992
48,1709235439,1709235439,25,,0.002530098
49,1709235464,1709235464,25,,0.01109004
50,1709235489,1709235489,5,,0.007159948
51,1709235494,1709235494,5,,0.007319927
52,1709235499,1709235499,25,,0.00383997
53,1709235524,1709235524,25,,0.003940105
54,1709235549,1709235549,25,,0.009720087
55,1709235574,1709235574,25,,0.004980087
56,1709235599,1709235599,5,,0.004950047
57,1709235604,1709235604,25,,0.005389929
58,1709235630,1709235630,5,,0.003679991
59,1709235635,1709235635,5,,0.0041399
60,1709235640,1709235640,5,,0.004719973
61,1709235645,1709235645,5,,0.005840063
62,1709235650,1709235650,5,,0.004650116
63,1709235655,1709235655,5,,0.009790182
64,1709235660,1709235660,5,,0.005559921
65,1709235666,1709235666,5,,0.007359982
66,1709235671,1709235671,5,,0.004610062
67,1709235676,1709235676,5,,0.003999949
68,1709235681,1709235681,5,,0.003849983
69,1709235686,1709235686,5,,0.004150152
70,1709235691,1709235691,5,,0.003969908
71,1709235696,1709235696,5,,0.004669905
72,1709235702,1709235702,5,,0.004730225
73,1709235707,1709235707,5,,0.003489971
74,1709235712,1709235712,5,,0.005079985
75,1709235717,1709235717,5,,0.005049944
76,1709235722,1709235722,5,,0.005170107
77,1709235727,1709235727,5,,0.005300045
78,1709235732,1709235732,5,,0.003669977
79,1709235738,1709235738,5,,0.004950047
80,1709235743,1709235743,5,,0.005459785
81,1709235748,1709235748,5,,0.006269932
82,1709235753,1709235753,5,,0.01466012
83,1709235758,1709235758,5,,0.004189968
84,1709235763,1709235763,5,,0.005550146
85,1709235769,1709235769,5,,0.005280018
86,1709235774,1709235774,5,,0.00515008
87,1709235779,1709235779,5,,0.004379988
88,1709235784,1709235784,5,,0.003479958
89,1709235789,1709235789,5,,0.005620003
90,1709235794,1709235794,5,,0.005970001
91,1709235799,1709235799,5,,0.006119967
92,1709235805,1709235805,5,,0.004930019
93,1709235810,1709235810,5,,0.005069971
94,1709235815,1709235815,5,,0.003590107
95,1709235820,1709235820,5,,0.004659891
96,1709235825,1709235825,5,,0.006290197
97,1709235830,1709235830,5,,0.004830122
98,1709235835,1709235835,5,,0.004080057
99,1709235840,1709235840,5,,0.005650043
100,1709235846,1709235846,5,,0.004909992
101,1709235851,1709235851,5,,0.003299952
102,1709235856,1709235856,5,,0.003820181
103,1709235861,1709235861,5,,0.00383997
104,1709235866,1709235866,5,,0.004759789
105,1709235871,1709235871,5,,0.004129887
106,1709235876,1709235876,5,,0.004150152
107,1709235882,1709235882,5,,0.005300045
108,1709235887,1709235887,5,,0.005059958
109,1709235892,1709235892,5,,0.003480196
110,1709235897,1709235897,5,,0.004860163
111,1709235902,1709235902,5,,0.005169868
112,1709235907,1709235907,5,,0.004040003
113,1709235912,1709235912,5,,0.003530025
114,1709235918,1709235918,5,,0.004230022
115,1709235923,1709235923,5,,0.005000114
116,1709235928,1709235928,5,,0.004590034
117,1709235933,1709235933,5,,0.004889965
118,1709235938,1709235938,5,,0.003710032
119,1709235943,1709235943,5,,0.004640102
120,1709235948,1709235948,5,,0.005219936
121,1709235953,1709235953,5,,0.003830194
122,1709235958,1709235958,5,,0.005089998
123,1709235964,1709235964,5,,0.005789995
124,1709235969,1709235969,5,,0.004800081
125,1709235974,1709235974,5,,0.004689932
126,1709235979,1709235979,5,,0.008190155
127,1709235984,1709235984,5,,0.006939888
128,1709235989,1709235989,5,,0.003979921
129,1709235994,1709235994,5,,0.005879879
130,1709235999,1709235999,5,,0.005870104
131,1709236004,1709236004,5,,0.003910065
132,1709236010,1709236010,5,,0.004000187
133,1709236015,1709236015,5,,0.006119967
134,1709236020,1709236020,5,,0.003569841
135,1709236025,1709236025,5,,0.004509926
136,1709236030,1709236030,5,,0.010240078
137,1709236035,1709236035,5,,0.00454998
138,1709236040,1709236040,5,,0.004539967
139,1709236045,1709236045,5,,0.004159927
140,1709236050,1709236050,5,,0.005569935
141,1709236056,1709236056,5,,0.003969908
142,1709236061,1709236061,5,,0.005759954
143,1709236066,1709236066,5,,0.003780127
144,1709236071,1709236071,5,,0.004519939
145,1709236076,1709236076,5,,0.005490065
146,1709236081,1709236081,5,,0.005069971
147,1709236086,1709236086,5,,0.004129887
148,1709236091,1709236091,5,,0.00462985
149,1709236096,1709236096,5,,0.004479885
150,1709236101,1709236101,5,,0.004379988
151,1709236107,1709236107,5,,0.00342989
152,1709236112,1709236112,5,,0.005369902
153,1709236117,1709236117,5,,0.004609823
154,1709236122,1709236122,5,,0.009609938
155,1709236127,1709236127,5,,0.003269911
156,1709236132,1709236132,5,,0.004400015
157,1709236137,1709236137,5,,0.00481987
158,1709236142,1709236142,5,,0.004699945
159,1709236148,1709236148,5,,0.004529953
160,1709236153,1709236153,5,,0.005660057
161,1709236158,1709236158,5,,0.004479885
162,1709236163,1709236163,5,,0.006710052
163,1709236168,1709236168,5,,0.004969835
164,1709236173,1709236173,5,,0.004699945
165,1709236178,1709236178,5,,0.005020142
166,1709236183,1709236183,5,,0.003530025
167,1709236188,1709236188,5,,0.005480051
168,1709236194,1709236194,5,,0.003890038
169,1709236199,1709236199,5,,0.004220009
170,1709236204,1709236204,5,,0.005100012
171,1709236209,1709236209,5,,0.003540039
172,1709236214,1709236214,5,,0.005169868
173,1709236219,1709236219,5,,0.006330013
174,1709236224,1709236224,5,,0.009850025
175,1709236230,1709236230,5,,0.006109953
176,1709236235,1709236235,5,,0.005230188
177,1709236240,1709236240,5,,0.005700111
178,1709236245,1709236245,5,,0.003819942
179,1709236250,1709236250,5,,0.003849983
180,1709236255,1709236255,5,,0.004839897
181,1709236260,1709236260,5,,0.004270077
182,1709236265,1709236265,5,,0.004669905
183,1709236270,1709236270,5,,0.005160093
184,1709236275,1709236275,5,,0.006119967
185,1709236281,1709236281,5,,0.003559828
186,1709236286,1709236286,5,,0.006000042
187,1709236291,1709236291,5,,0.003139973
188,1709236296,1709236296,5,,0.014130116
189,1709236301,1709236301,5,,0.005059958
190,1709236306,1709236306,5,,0.012490034
191,1709236312,1709236312,5,,0.007009983
192,1709236317,1709236317,5,,0.005049944
193,1709236322,1709236322,5,,0.005510092
194,1709236327,1709236327,5,,0.003769875
195,1709236332,1709236332,5,,0.004999876
196,1709236337,1709236337,5,,0.004570007
197,1709236342,1709236342,5,,0.003760099
198,1709236348,1709236348,5,,0.004580021
199,1709236353,1709236353,5,,0.00496006
200,1709236358,1709236358,5,,0.003780127
201,1709236363,1709236363,5,,0.003629923
202,1709236368,1709236368,5,,0.006299973
203,1709236373,1709236373,5,,0.007649899
204,1709236378,1709236378,5,,0.005349874
205,1709236384,1709236384,5,,0.005089998
206,1709236389,1709236389,5,,0.002850056
207,1709236394,1709236394,5,,0.003770113
208,1709236399,1709236399,5,,0.010319948
209,1709236404,1709236404,5,,0.005959988
210,1709236409,1709236409,5,,0.008820057
211,1709236414,1709236414,5,,0.004480124
212,1709236420,1709236420,5,,0.009320021
213,1709236425,1709236425,5,,0.006239891
214,1709236430,1709236430,5,,0.00530982
215,1709236435,1709236435,5,,0.003740072
216,1709236440,1709236440,5,,0.006150007
217,1709236446,1709236446,5,,0.004989862
218,1709236451,1709236451,5,,0.005319834
219,1709236456,1709236456,5,,0.004450083
220,1709236461,1709236461,5,,0.004539967
221,1709236466,1709236466,5,,0.004460096
222,1709236471,1709236471,5,,0.004450083
223,1709236476,1709236476,5,,0.005810022
224,1709236482,1709236482,5,,0.005279779
225,1709236487,1709236487,5,,0.003580093
226,1709236492,1709236492,5,,0.006610155
227,1709236497,1709236497,5,,0.004760027
228,1709236502,1709236502,5,,0.004090071
229,1709236507,1709236507,5,,0.004009962
