,starttime,endtime,phaseDuration,,
0,1709237163,1709237164,20,,0.215579987
1,1709237183,1709237183,20,,0.01962018
2,1709237203,1709237203,12,,0.02602005
3,1709237216,1709237216,12,,0.021830082
4,1709237228,1709237228,12,,0.021389961
5,1709237240,1709237240,12,,0.016620159
6,1709237252,1709237252,20,,0.024300098
7,1709237272,1709237272,12,,0.023989916
8,1709237284,1709237284,12,,0.02421999
9,1709237296,1709237296,12,,0.020840168
10,1709237308,1709237308,12,,0.028240204
11,1709237320,1709237320,12,,0.029820204
12,1709237332,1709237332,20,,0.022830009
13,1709237352,1709237352,20,,0.025189877
14,1709237373,1709237373,12,,0.020809889
15,1709237385,1709237385,12,,0.025909901
16,1709237397,1709237397,12,,0.021249771
17,1709237409,1709237409,12,,0.023939848
18,1709237421,1709237421,12,,0.024879932
19,1709237433,1709237433,12,,0.023689985
20,1709237445,1709237445,20,,0.024950027
21,1709237465,1709237465,12,,0.029730082
22,1709237477,1709237477,12,,0.024999857
23,1709237489,1709237489,20,,0.024739981
24,1709237509,1709237509,12,,0.024780035
25,1709237522,1709237522,12,,0.021460056
26,1709237534,1709237534,20,,0.020580053
27,1709237554,1709237554,12,,0.021080017
28,1709237566,1709237566,12,,0.027339935
29,1709237578,1709237578,12,,0.02049017
30,1709237590,1709237590,12,,0.022209883
31,1709237602,1709237602,12,,0.018830061
32,1709237614,1709237614,12,,0.022930145
33,1709237626,1709237626,20,,0.026899815
34,1709237646,1709237646,12,,0.019710064
35,1709237658,1709237658,12,,0.030489922
36,1709237670,1709237670,12,,0.023280144
37,1709237682,1709237682,12,,0.021070004
38,1709237695,1709237695,12,,0.025439978
39,1709237707,1709237707,12,,0.021450043
40,1709237719,1709237719,20,,0.025339842
41,1709237739,1709237739,20,,0.02410984
42,1709237759,1709237759,12,,0.026030064
43,1709237771,1709237771,12,,0.005870104
44,1709237783,1709237783,12,,0.032049894
45,1709237795,1709237795,12,,0.023859978
46,1709237807,1709237807,20,,0.033200026
47,1709237827,1709237827,12,,0.024990082
48,1709237839,1709237839,14,,0.032000065
49,1709237853,1709237853,12,,0.02173996
50,1709237866,1709237866,12,,0.021519899
51,1709237878,1709237878,12,,0.022099972
52,1709237890,1709237890,20,,0.027479887
53,1709237910,1709237910,20,,0.020759821
54,1709237930,1709237930,12,,0.009059906
55,1709237942,1709237942,12,,0.027800083
56,1709237954,1709237954,12,,0.024270058
57,1709237966,1709237966,20,,0.026350021
58,1709237986,1709237986,12,,0.023020029
59,1709237998,1709237998,20,,0.028490067
60,1709238018,1709238018,12,,0.017889977
61,1709238030,1709238030,12,,0.02147007
62,1709238042,1709238042,12,,0.024340153
63,1709238055,1709238055,12,,0.021349907
64,1709238067,1709238067,12,,0.014919996
65,1709238079,1709238079,12,,0.020679951
66,1709238091,1709238091,12,,0.005620003
67,1709238103,1709238103,12,,0.004790068
68,1709238115,1709238115,12,,0.005589962
69,1709238128,1709238128,12,,0.006289959
70,1709238140,1709238140,12,,0.004829884
71,1709238152,1709238152,12,,0.005190134
72,1709238164,1709238164,12,,0.006370068
73,1709238176,1709238176,12,,0.006249905
74,1709238188,1709238188,12,,0.006410122
75,1709238200,1709238200,12,,0.006560087
,,,,,0.023579215
