,vehicleid,recievetime
0,NE09,1709237159.7774713
1,NE08,1709237159.7874336
2,NE07,1709237159.8055785
3,NE06,1709237159.819925
4,NE05,1709237159.8345752
5,NE04,1709237159.8492777
6,NE03,1709237159.8641121
7,NE02,1709237159.8764572
8,NE01,1709237159.888184
9,NE00,1709237159.8991694
10,NS19,1709237159.9164531
11,NS18,1709237159.9365084
12,NS17,1709237159.9491553
13,NS16,1709237159.9591296
14,NS15,1709237159.9683096
15,NS14,1709237159.9860976
16,NS13,1709237159.9994223
17,NS12,1709237160.016796
18,NS11,1709237160.0319018
19,NS10,1709237160.047435
20,NW19,1709237160.0620127
21,NW18,1709237160.0749438
22,NW17,1709237160.0876317
23,NW16,1709237160.0996974
24,NW15,1709237160.1121514
25,NW14,1709237160.1248283
26,NW13,1709237160.1450105
27,NW12,1709237160.1562505
28,NW11,1709237160.1672301
29,NW10,1709237160.178109
30,SW09,1709237160.1887624
31,SW08,1709237160.2037642
32,SW07,1709237160.2170923
33,SW06,1709237160.2324238
34,SW05,1709237160.251182
35,SW04,1709237160.271883
36,SW03,1709237160.280601
37,SW02,1709237160.2946472
38,SW01,1709237160.3111312
39,SW00,1709237160.3261635
40,SN19,1709237160.3374522
41,SN18,1709237160.3496242
42,SN17,1709237160.3637304
43,SN16,1709237160.3793705
44,SN15,1709237160.391472
45,SN14,1709237160.4048736
46,SN13,1709237160.4166255
47,SN12,1709237160.428538
48,SN11,1709237160.4385464
49,SN10,1709237160.4508123
50,SE19,1709237160.4728768
51,SE18,1709237160.488669
52,SE17,1709237160.5038624
53,SE16,1709237160.5159771
54,SE15,1709237160.5290868
55,SE14,1709237160.5406892
56,SE13,1709237160.5530484
57,SE12,1709237160.5649803
58,SE11,1709237160.5754085
59,SE10,1709237160.5902758
60,WN09,1709237160.606735
61,WN08,1709237160.6206434
62,WN07,1709237160.630599
63,WN06,1709237160.64406
64,WN05,1709237160.653927
65,WN04,1709237160.6653574
66,WN03,1709237160.6794145
67,WN02,1709237160.694281
68,WN01,1709237160.7088811
69,WN00,1709237160.7222998
70,WE19,1709237160.7393932
71,WE18,1709237160.7540803
72,WE17,1709237160.765517
73,WE16,1709237160.7758102
74,WE15,1709237160.7863433
75,WE14,1709237160.8094392
76,WE13,1709237160.8225267
77,WE12,1709237160.831787
78,WE11,1709237160.842584
79,WE10,1709237160.8567028
80,WS19,1709237160.8720846
81,WS18,1709237160.8836691
82,WS17,1709237160.8957973
83,WS16,1709237160.912701
84,WS15,1709237160.9255104
85,WS14,1709237160.9391935
86,WS13,1709237160.9512944
87,WS12,1709237160.9659944
88,WS11,1709237160.9765759
89,WS10,1709237160.9929793
90,ES09,1709237161.007389
91,ES08,1709237161.0210655
92,ES07,1709237161.0319145
93,ES06,1709237161.043051
94,ES05,1709237161.0565977
95,ES04,1709237161.0724487
96,ES03,1709237161.0852191
97,ES02,1709237161.0977046
98,ES01,1709237161.109378
99,ES00,1709237161.1212788
100,EW19,1709237161.1440556
101,EW18,1709237161.1572642
102,EW17,1709237161.170738
103,EW16,1709237161.18219
104,EW15,1709237161.1994057
105,EW14,1709237161.215938
106,EW13,1709237161.2276757
107,EW12,1709237161.2381442
108,EW11,1709237161.2522619
109,EW10,1709237161.2711847
110,EN19,1709237161.2825594
111,EN18,1709237161.298402
112,EN17,1709237161.3133173
113,EN16,1709237161.3297114
114,EN15,1709237161.344275
115,EN14,1709237161.3616166
116,EN13,1709237161.377246
117,EN12,1709237161.4038596
118,EN11,1709237161.4204483
119,EN10,1709237161.4381957
120,NE09,1709237161.4544196
121,NE08,1709237161.4605942
122,NE07,1709237161.4656804
123,NE06,1709237161.4723272
124,NE05,1709237161.480653
125,NE04,1709237161.4861624
126,NE03,1709237161.4932134
127,NE02,1709237161.4999144
128,NE01,1709237161.5047581
129,NE00,1709237161.5123417
130,NS19,1709237161.5184298
131,NS18,1709237161.5235198
132,NS17,1709237161.5304074
133,NS16,1709237161.5358841
134,NS15,1709237161.5412385
135,NS14,1709237161.5465016
