,vehicleid,transtime
0,NE09,1709237159.7767844
1,NE08,1709237159.7784917
2,NE07,1709237159.782287
3,NE06,1709237159.7849586
4,NE05,1709237159.7906432
5,NE04,1709237159.7936413
6,NE03,1709237159.797789
7,NE02,1709237159.80058
8,NE01,1709237159.8033988
9,NE00,1709237159.8063514
10,NS19,1709237159.80901
11,NS18,1709237159.8122296
12,NS17,1709237159.8145773
13,NS16,1709237159.8169684
14,NS15,1709237159.8193886
15,NS14,1709237159.8219504
16,NS13,1709237159.8251972
17,NS12,1709237159.8280551
18,NS11,1709237159.8319087
19,NS10,1709237159.8351033
20,NW19,1709237159.8419456
21,NW18,1709237159.8461986
22,NW17,1709237159.8487885
23,NW16,1709237159.8517373
24,NW15,1709237159.8553936
25,NW14,1709237159.8577619
26,NW13,1709237159.8605509
27,NW12,1709237159.8636308
28,NW11,1709237159.866369
29,NW10,1709237159.8686457
30,SW09,1709237159.8714852
31,SW08,1709237159.8738143
32,SW07,1709237159.8760614
33,SW06,1709237159.878217
34,SW05,1709237159.8806543
35,SW04,1709237159.8830292
36,SW03,1709237159.8853312
37,SW02,1709237159.8877642
38,SW01,1709237159.8897736
39,SW00,1709237159.8916805
40,SN19,1709237159.893682
41,SN18,1709237159.895581
42,SN17,1709237159.897992
43,SN16,1709237159.900337
44,SN15,1709237159.9044578
45,SN14,1709237159.9070268
46,SN13,1709237159.9104986
47,SN12,1709237159.9129815
48,SN11,1709237159.9154704
49,SN10,1709237159.9194214
50,SE19,1709237159.9231684
51,SE18,1709237159.9267147
52,SE17,1709237159.9303246
53,SE16,1709237159.9329476
54,SE15,1709237159.9355037
55,SE14,1709237159.938019
56,SE13,1709237159.9404705
57,SE12,1709237159.9435148
58,SE11,1709237159.9460757
59,SE10,1709237159.948382
60,WN09,1709237159.950758
61,WN08,1709237159.9533687
62,WN07,1709237159.9560878
63,WN06,1709237159.9583695
64,WN05,1709237159.9605124
65,WN04,1709237159.962654
66,WN03,1709237159.964744
67,WN02,1709237159.9669292
68,WN01,1709237159.9690628
69,WN00,1709237159.9777162
70,WE19,1709237159.9814548
71,WE18,1709237159.9839573
72,WE17,1709237159.986737
73,WE16,1709237159.98919
74,WE15,1709237159.9928732
75,WE14,1709237159.9960513
76,WE13,1709237159.9986827
77,WE12,1709237160.0010786
78,WE11,1709237160.003676
79,WE10,1709237160.0107644
80,WS19,1709237160.0170763
81,WS18,1709237160.0197468
82,WS17,1709237160.0265577
83,WS16,1709237160.0292265
84,WS15,1709237160.031581
85,WS14,1709237160.0352042
86,WS13,1709237160.0376275
87,WS12,1709237160.042241
88,WS11,1709237160.0469453
89,WS10,1709237160.0525818
90,ES09,1709237160.0563946
91,ES08,1709237160.0598812
92,ES07,1709237160.0640962
93,ES06,1709237160.066672
94,ES05,1709237160.068769
95,ES04,1709237160.070741
96,ES03,1709237160.0726066
97,ES02,1709237160.0743134
98,ES01,1709237160.076711
99,ES00,1709237160.079109
100,EW19,1709237160.0814893
101,EW18,1709237160.0837162
102,EW17,1709237160.0860674
103,EW16,1709237160.0890083
104,EW15,1709237160.091584
105,EW14,1709237160.093967
106,EW13,1709237160.096235
107,EW12,1709237160.098585
108,EW11,1709237160.10101
109,EW10,1709237160.1043513
110,EN19,1709237160.1066914
111,EN18,1709237160.1089299
112,EN17,1709237160.1172564
113,EN16,1709237160.1208913
114,EN15,1709237160.1235774
115,EN14,1709237160.1265116
116,EN13,1709237160.1289437
117,EN12,1709237160.1317396
118,EN11,1709237160.1353488
119,EN10,1709237160.1408038
