,vehicleid,recievetime
0,NE09,1709234691.6510968
1,NE08,1709234691.657635
2,NE07,1709234691.672419
3,NE06,1709234691.6839604
4,NE05,1709234691.6957722
5,NE04,1709234691.7080653
6,NE03,1709234691.720404
7,NE02,1709234691.7332203
8,NE01,1709234691.7459006
9,NE00,1709234691.7566154
10,NS19,1709234691.7693143
11,NS18,1709234691.7825572
12,NS17,1709234691.7939916
13,NS16,1709234691.8062668
14,NS15,1709234691.8197248
15,NS14,1709234691.8318703
16,NS13,1709234691.843539
17,NS12,1709234691.8546143
18,NS11,1709234691.8674476
19,NS10,1709234691.8793297
20,NW19,1709234691.8904388
21,NW18,1709234691.9029813
22,NW17,1709234691.9192977
23,NW16,1709234691.932944
24,NW15,1709234691.9445336
25,NW14,1709234691.9577837
26,NW13,1709234691.9713602
27,NW12,1709234691.9860342
28,NW11,1709234691.9993725
29,NW10,1709234692.014421
30,SW09,1709234692.0260243
31,SW08,1709234692.0421484
32,SW07,1709234692.0577261
33,SW06,1709234692.0791209
34,SW05,1709234692.0913172
35,SW04,1709234692.1068695
36,SW03,1709234692.1234963
37,SW02,1709234692.135587
38,SW01,1709234692.1498497
39,SW00,1709234692.1611795
40,SN19,1709234692.177434
41,SN18,1709234692.189665
42,SN17,1709234692.2029572
43,SN16,1709234692.2147422
44,SN15,1709234692.2306478
45,SN14,1709234692.240443
46,SN13,1709234692.2524838
47,SN12,1709234692.264099
48,SN11,1709234692.2754784
49,SN10,1709234692.2860162
50,SE19,1709234692.2957227
51,SE18,1709234692.3069048
52,SE17,1709234692.3194885
53,SE16,1709234692.3294222
54,SE15,1709234692.3381956
55,SE14,1709234692.3494003
56,SE13,1709234692.3602765
57,SE12,1709234692.3730228
58,SE11,1709234692.38515
59,SE10,1709234692.3989887
60,WN09,1709234692.411345
61,WN08,1709234692.422891
62,WN07,1709234692.4353294
63,WN06,1709234692.448938
64,WN05,1709234692.4584787
65,WN04,1709234692.4712207
66,WN03,1709234692.4855301
67,WN02,1709234692.5011327
68,WN01,1709234692.5187793
69,WN00,1709234692.5300503
70,WE19,1709234692.542085
71,WE18,1709234692.5557604
72,WE17,1709234692.567682
73,WE16,1709234692.580213
74,WE15,1709234692.592345
75,WE14,1709234692.6052623
76,WE13,1709234692.6179328
77,WE12,1709234692.634125
78,WE11,1709234692.646777
79,WE10,1709234692.6622727
80,WS19,1709234692.675773
81,WS18,1709234692.689746
82,WS17,1709234692.7037835
83,WS16,1709234692.716753
84,WS15,1709234692.728831
85,WS14,1709234692.7406113
86,WS13,1709234692.7528627
87,WS12,1709234692.7652566
88,WS11,1709234692.7762759
89,WS10,1709234692.7867239
90,ES09,1709234692.7986362
91,ES08,1709234692.8136344
92,ES07,1709234692.82748
93,ES06,1709234692.8390965
94,ES05,1709234692.8564703
95,ES04,1709234692.8728049
96,ES03,1709234692.8844657
97,ES02,1709234692.8966124
98,ES01,1709234692.906624
99,ES00,1709234692.9194849
100,EW19,1709234692.9372175
101,EW18,1709234692.9504724
102,EW17,1709234692.9640632
103,EW16,1709234692.9782927
104,EW15,1709234692.9947362
105,EW14,1709234693.00529
106,EW13,1709234693.018307
107,EW12,1709234693.0348735
108,EW11,1709234693.0487332
109,EW10,1709234693.069461
110,EN19,1709234693.082709
111,EN18,1709234693.094906
112,EN17,1709234693.1103818
113,EN16,1709234693.1226053
114,EN15,1709234693.1357648
115,EN14,1709234693.1512525
116,EN13,1709234693.1620772
117,EN12,1709234693.1732738
118,EN11,1709234693.1884694
119,EN10,1709234693.2023928
120,NE09,1709234693.2168958
121,NE08,1709234693.2221127
122,NE07,1709234693.228158
123,NE06,1709234693.2333426
124,NE05,1709234693.2381694
125,NE04,1709234693.2427347
126,NE03,1709234693.2476363
127,NE02,1709234693.252476
128,NE01,1709234693.257095
129,NE00,1709234693.262005
130,NS19,1709234693.2668498
131,NS18,1709234693.2722933
132,NS17,1709234693.279999
133,NS16,1709234693.2858844
134,NS15,1709234693.2899837
135,NS14,1709234693.296683
136,NS13,1709234693.3013911
137,NS12,1709234693.3059838
138,NS11,1709234693.3120294
139,NS10,1709234693.3167937
140,NW19,1709234693.3215923
141,NW18,1709234693.3275137
142,NW17,1709234693.332796
143,NW16,1709234693.3376744
144,NW15,1709234693.3432806
145,NW14,1709234693.3489614
146,NW13,1709234693.3543472
147,NW12,1709234693.359429
148,NW11,1709234693.3632593
149,NW10,1709234693.3688383
150,SW09,1709234693.3736541
151,SW08,1709234693.3821115
152,SW07,1709234693.3866642
153,SW06,1709234693.3911777
154,SW05,1709234693.3977103
155,SW04,1709234693.4031293
156,SW03,1709234693.409841
157,SW02,1709234693.4207056
158,SW01,1709234693.4251444
159,SW00,1709234693.4361928
160,SN19,1709234693.440907
161,SN18,1709234693.4459577
162,SN17,1709234693.451425
163,SN16,1709234693.4570804
164,SN15,1709234693.4626238
165,SN14,1709234693.4668996
166,SN13,1709234693.472004
167,SN12,1709234693.476998
168,SN11,1709234693.482104
169,SN10,1709234693.4926314
170,SE19,1709234693.4986277
171,SE18,1709234693.5036006
172,SE17,1709234693.508886
173,SE16,1709234693.5140648
174,SE15,1709234693.519336
175,SE14,1709234693.5239086
176,SE13,1709234693.5290494
177,SE12,1709234693.5347736
178,SE11,1709234693.540895
179,SE10,1709234693.5468447
180,WN09,1709234693.5526664
181,WN08,1709234693.5579898
182,WN07,1709234693.564347
183,WN06,1709234693.5700357
184,WN05,1709234693.5759408
185,WN04,1709234693.5808516
186,WN03,1709234693.5856555
187,WN02,1709234693.5907362
188,WN01,1709234693.5973082
189,WN00,1709234693.602348
190,WE19,1709234693.6099787
191,WE18,1709234693.6159809
192,WE17,1709234693.6229417
193,WE16,1709234693.63196
194,WE15,1709234693.6365612
195,WE14,1709234693.6450033
196,WE13,1709234693.6495855
197,WE12,1709234693.654448
198,WE11,1709234693.6617947
199,WE10,1709234693.6669266
200,WS19,1709234693.67151
201,WS18,1709234693.6773417
202,WS17,1709234693.689883
203,WS16,1709234693.696351
204,WS15,1709234693.7026358
205,WS14,1709234693.7079608
206,WS13,1709234693.7193134
207,WS12,1709234693.724104
208,WS11,1709234693.7303557
209,WS10,1709234693.7354455
210,ES09,1709234693.7407606
211,ES08,1709234693.7469354
212,ES07,1709234693.7520263
213,ES06,1709234693.7564025
214,ES05,1709234693.7616231
215,ES04,1709234693.7664073
216,ES03,1709234693.771217
217,ES02,1709234693.7777112
218,ES01,1709234693.7847168
219,ES00,1709234693.7939746
220,EW19,1709234693.7987144
221,EW18,1709234693.8034024
222,EW17,1709234693.8122468
223,EW16,1709234693.8175545
224,EW15,1709234693.8220513
225,EW14,1709234693.8305793
226,EW13,1709234693.835423
227,EW12,1709234693.8399637
228,EW11,1709234693.8520355
229,EW10,1709234693.859261
230,EN19,1709234693.8663676
231,EN18,1709234693.872511
232,EN17,1709234693.880632
233,EN16,1709234693.885094
234,EN15,1709234693.889919
235,EN14,1709234693.8948689
236,EN13,1709234693.9026616
237,EN12,1709234693.9095516
238,EN11,1709234693.9153254
239,EN10,1709234693.9223642
240,NE09,1709234693.9288688
241,NE08,1709234693.934341
242,NE07,1709234693.9389687
243,NE06,1709234693.9445133
244,NE05,1709234693.9494512
245,NE04,1709234693.954363
246,NE03,1709234693.9612746
247,NE02,1709234693.9660795
248,NE01,1709234693.971085
249,NE00,1709234693.979322
250,NS19,1709234693.984513
251,NS18,1709234693.992008
252,NS17,1709234693.9987824
253,NS16,1709234694.003256
254,NS15,1709234694.0082777
255,NS14,1709234694.016528
256,NS13,1709234694.0213583
257,NS12,1709234694.0270972
258,NS11,1709234694.0325863
259,NS10,1709234694.0372128
260,NW19,1709234694.0458944
261,NW18,1709234694.0508797
262,NW17,1709234694.0560248
263,NW16,1709234694.0678022
264,NW15,1709234694.0746698
265,NW14,1709234694.0879884
266,NW13,1709234694.093121
267,NW12,1709234694.1040206
268,NW11,1709234694.1098409
269,NW10,1709234694.1151218
270,SW09,1709234694.1201568
271,SW08,1709234694.125476
272,SW07,1709234694.1305063
273,SW06,1709234694.1355102
274,SW05,1709234694.145744
275,SW04,1709234694.150452
276,SW03,1709234694.16461
277,SW02,1709234694.1703851
278,SW01,1709234694.1770134
279,SW00,1709234694.1838236
280,SN19,1709234694.1888292
281,SN18,1709234694.1973896
282,SN17,1709234694.2027607
283,SN16,1709234694.2088184
284,SN15,1709234694.2150335
285,SN14,1709234694.2199845
286,SN13,1709234694.2287536
287,SN12,1709234694.23404
288,SN11,1709234694.2388794
289,SN10,1709234694.2489243
290,SE19,1709234694.2534664
291,SE18,1709234694.2591743
292,SE17,1709234694.2664585
293,SE16,1709234694.2714372
294,SE15,1709234694.2792604
295,SE14,1709234694.287018
