,starttime,endtime,phaseDuration,,
0,1709233394,1709233394,25,,4.00543E-05
1,1709233419,1709233419,25,,9.77516E-06
2,1709233444,1709233444,25,,0
3,1709233469,1709233469,25,,1.00136E-05
4,1709233494,1709233494,25,,1.00136E-05
5,1709233519,1709233519,25,,6.98566E-05
6,1709233544,1709233544,25,,1.00136E-05
7,1709233569,1709233569,25,,9.01222E-05
8,1709233594,1709233594,25,,5.98431E-05
9,1709233620,1709233620,25,,1.00136E-05
10,1709233645,1709233645,25,,1.00136E-05
11,1709233670,1709233670,25,,1.00136E-05
12,1709233695,1709233695,25,,1.00136E-05
13,1709233720,1709233720,25,,0
14,1709233745,1709233745,25,,1.00136E-05
15,1709233770,1709233770,25,,0
16,1709233795,1709233795,25,,0
17,1709233820,1709233820,25,,1.00136E-05
18,1709233845,1709233845,25,,9.77516E-06
19,1709233870,1709233870,25,,1.00136E-05
20,1709233895,1709233895,25,,0
21,1709233921,1709233921,25,,0
22,1709233946,1709233946,25,,1.00136E-05
23,1709233971,1709233971,25,,1.00136E-05
24,1709233996,1709233996,25,,0
25,1709234021,1709234021,25,,0
26,1709234046,1709234046,25,,1.00136E-05
27,1709234071,1709234071,25,,0.000109911
28,1709234096,1709234096,25,,1.00136E-05
29,1709234121,1709234121,25,,0
30,1709234146,1709234146,25,,1.00136E-05
31,1709234171,1709234171,25,,0
32,1709234196,1709234196,25,,1.00136E-05
33,1709234221,1709234221,25,,0
34,1709234246,1709234246,25,,0
35,1709234272,1709234272,25,,1.00136E-05
36,1709234297,1709234297,25,,0
37,1709234322,1709234322,25,,0
38,1709234347,1709234347,25,,1.00136E-05
39,1709234372,1709234372,25,,1.00136E-05
,,,,,
,,,,,1.44899E-05
