,vehicleid,recievetime
0,NE09,1709233395.5922341
1,NE08,1709233395.601535
2,NE07,1709233395.621314
3,NE06,1709233395.641174
4,NE01,1709233395.6586978
5,NS14,1709233395.6786854
6,NW18,1709233395.6932518
7,NW13,1709233395.706954
8,NW10,1709233395.7194333
9,SW06,1709233395.7311199
10,SW02,1709233395.74451
11,SN17,1709233395.7616062
12,SN12,1709233395.7771509
13,SE17,1709233395.7981083
14,SE15,1709233395.8108273
15,SE10,1709233395.8294857
16,WN04,1709233395.849386
17,WE18,1709233395.867917
18,WE13,1709233395.883324
19,WS19,1709233395.8967035
20,WS15,1709233395.9076307
21,WS10,1709233395.924094
22,ES06,1709233395.9382427
23,ES01,1709233395.9539566
24,EW17,1709233395.9676387
25,EW13,1709233395.9794168
26,EN19,1709233395.9911268
27,EN14,1709233396.0032778
28,EN11,1709233396.0178647
29,NE06,1709233396.0305178
30,NE04,1709233396.0369456
31,NE01,1709233396.049936
32,NE00,1709233396.054727
33,NS16,1709233396.0675178
34,NS11,1709233396.083374
35,NW15,1709233396.103681
36,NW11,1709233396.1169603
37,SW06,1709233396.128327
38,SW04,1709233396.133058
39,SW00,1709233396.1455882
40,SN17,1709233396.1640956
41,SN15,1709233396.1706347
42,SN10,1709233396.1825085
43,SE14,1709233396.197445
44,SE11,1709233396.210782
45,WN06,1709233396.224757
46,WN01,1709233396.237585
47,WE16,1709233396.2498112
48,WS19,1709233396.2696848
49,WS18,1709233396.274756
50,WS13,1709233396.2898831
51,ES08,1709233396.305588
52,ES03,1709233396.3164132
53,ES00,1709233396.3269804
54,EW16,1709233396.339975
55,EW12,1709233396.3521316
56,EN17,1709233396.3677304
57,EN13,1709233396.3825974
58,EN10,1709233396.399144
59,NE03,1709233396.4156713
60,NS18,1709233396.4282265
61,NS13,1709233396.441453
62,NW18,1709233396.453907
63,NW17,1709233396.45927
64,NW12,1709233396.4741704
65,SW06,1709233396.496718
66,SW05,1709233396.5035298
67,SN19,1709233396.5151324
68,SN15,1709233396.5281382
69,SN11,1709233396.538948
70,SE18,1709233396.5555742
71,SE13,1709233396.5677683
72,WN08,1709233396.5790746
73,WN02,1709233396.5926285
74,WE17,1709233396.6021585
75,WE13,1709233396.6136155
76,WS18,1709233396.6264307
77,WS16,1709233396.6317682
78,WS10,1709233396.6481106
79,ES08,1709233396.653338
80,ES06,1709233396.6580508
81,ES05,1709233396.6617413
82,EW18,1709233396.6740592
83,EW13,1709233396.6871073
84,EW10,1709233396.6958637
85,EN16,1709233396.7091749
86,EN12,1709233396.7197409
87,NE08,1709233396.736761
88,NE06,1709233396.7434597
89,NE04,1709233396.7483602
90,NE02,1709233396.7533212
91,NS17,1709233396.7645142
92,NS12,1709233396.7771041
93,NW18,1709233396.7868307
94,NW15,1709233396.7960548
95,NW12,1709233396.8035564
96,SW09,1709233396.810686
97,SW05,1709233396.8245013
98,SW03,1709233396.8296876
99,SN18,1709233396.8481646
100,SN14,1709233396.860313
101,SE19,1709233396.8725488
102,SE15,1709233396.8841672
103,SE13,1709233396.88956
104,SE11,1709233396.8944561
105,WN09,1709233396.8999171
106,WN06,1709233396.910928
107,WN04,1709233396.9145997
108,WN03,1709233396.9179056
109,WE18,1709233396.931224
110,WE16,1709233396.941331
111,WE14,1709233396.946035
112,WS19,1709233396.9603572
113,WS17,1709233396.9655678
114,WS13,1709233396.9768538
115,WS11,1709233396.983076
116,ES06,1709233396.9985209
117,ES04,1709233397.005703
118,EW19,1709233397.0206828
119,EW14,1709233397.036217
120,EW10,1709233397.0515983
121,EN19,1709233397.0552933
122,EN17,1709233397.0608394
123,EN15,1709233397.0668502
124,EN11,1709233397.0784738
125,NE09,1709233397.082485
126,NE07,1709233397.0870948
127,NE04,1709233397.092934
128,NE02,1709233397.0975184
129,NE00,1709233397.1014369
130,NS19,1709233397.1056516
131,NS14,1709233397.1157951
132,NS12,1709233397.1201766
133,NS10,1709233397.1246414
134,NW15,1709233397.1369386
135,NW14,1709233397.1426682
136,SW08,1709233397.1564875
137,SW04,1709233397.1671286
138,SW02,1709233397.171292
139,SW00,1709233397.176187
140,SN19,1709233397.18159
141,SN16,1709233397.1902914
142,SN11,1709233397.205458
143,SE19,1709233397.2096295
144,SE17,1709233397.213812
145,SE14,1709233397.2177644
146,SE12,1709233397.2217076
147,WN07,1709233397.2352061
148,WN02,1709233397.2501674
149,WN00,1709233397.2554462
150,WE16,1709233397.2656713
151,WE14,1709233397.2694461
152,WE12,1709233397.2737868
153,WS18,1709233397.2819993
154,WS16,1709233397.2859414
155,WS14,1709233397.290507
156,ES07,1709233397.3079789
157,ES02,1709233397.3181274
158,EW19,1709233397.331467
159,EW15,1709233397.3404896
160,EW13,1709233397.3513262
161,EW11,1709233397.3554869
162,EN17,1709233397.3660696
163,EN15,1709233397.370464
164,EN12,1709233397.375558
165,EN10,1709233397.38085
166,NE09,1709233397.3841376
167,NE07,1709233397.387342
168,NE05,1709233397.3920956
169,NE01,1709233397.4027405
170,NS15,1709233397.4152324
171,NS11,1709233397.427782
172,NS10,1709233397.4319627
173,NW18,1709233397.436001
174,NW16,1709233397.4406993
175,NW11,1709233397.458317
176,SW07,1709233397.4664018
177,SW03,1709233397.4767816
178,SW02,1709233397.4814403
179,SN19,1709233397.485938
180,SN17,1709233397.4907959
181,SN15,1709233397.4955099
182,SN13,1709233397.5009358
183,SE17,1709233397.514028
184,SE15,1709233397.518261
185,SE12,1709233397.52536
186,SE10,1709233397.529575
187,WN08,1709233397.5368347
188,WN06,1709233397.5436301
189,WN04,1709233397.5480838
190,WN02,1709233397.5537255
191,WN00,1709233397.5586777
192,WE18,1709233397.5624652
193,WE16,1709233397.5675025
194,WE10,1709233397.5816758
195,WS15,1709233397.5963023
196,WS13,1709233397.600246
197,WS11,1709233397.60462
198,WS10,1709233397.6089685
199,ES08,1709233397.6123414
200,ES06,1709233397.6178424
201,ES04,1709233397.6220763
202,ES02,1709233397.6294763
203,ES00,1709233397.634026
204,EW18,1709233397.6384246
205,EW16,1709233397.6429362
206,EW15,1709233397.6478472
207,EW13,1709233397.652613
208,EW11,1709233397.6576023
209,EN19,1709233397.6635869
210,EN18,1709233397.669015
211,EN14,1709233397.6796608
212,EN11,1709233397.6900105
213,NE08,1709233397.696209
214,NE06,1709233397.700355
215,NE04,1709233397.7046375
216,NE02,1709233397.7096033
217,NS19,1709233397.7155907
218,NS17,1709233397.7201922
219,NS15,1709233397.7249625
