,vehicleid,transtime
0,NE09,1709233395.591378
1,NE08,1709233395.5944638
2,NE07,1709233395.5976686
3,NE06,1709233395.6050408
4,NE05,1709233395.608525
5,NE04,1709233395.611416
6,NE03,1709233395.6149557
7,NE02,1709233395.6194847
8,NE01,1709233395.6233122
9,NE00,1709233395.627343
10,NS19,1709233395.6302757
11,NS18,1709233395.6379755
12,NS17,1709233395.641709
13,NS16,1709233395.644389
14,NS15,1709233395.6470172
15,NS14,1709233395.6510894
16,NS13,1709233395.6542895
17,NS12,1709233395.6569116
18,NS11,1709233395.660915
19,NS10,1709233395.6635745
20,NW19,1709233395.6665332
21,NW18,1709233395.6700094
22,NW17,1709233395.6727438
23,NW16,1709233395.67576
24,NW15,1709233395.678224
25,NW14,1709233395.6807036
26,NW13,1709233395.6830707
27,NW12,1709233395.685406
28,NW11,1709233395.6877134
29,NW10,1709233395.690376
30,SW09,1709233395.6929796
31,SW08,1709233395.696042
32,SW07,1709233395.6987278
33,SW06,1709233395.7012827
34,SW05,1709233395.7035737
35,SW04,1709233395.706328
36,SW03,1709233395.7092547
37,SW02,1709233395.7124052
38,SW01,1709233395.7150254
39,SW00,1709233395.7191904
40,SN19,1709233395.7214909
41,SN18,1709233395.7240071
42,SN17,1709233395.7279027
43,SN16,1709233395.7337542
44,SN15,1709233395.7365317
45,SN14,1709233395.7390351
46,SN13,1709233395.7417047
47,SN12,1709233395.747308
48,SN11,1709233395.7504463
49,SN10,1709233395.7534122
50,SE19,1709233395.7567878
51,SE18,1709233395.759958
52,SE17,1709233395.7650352
53,SE16,1709233395.7681623
54,SE15,1709233395.7709653
55,SE14,1709233395.773671
56,SE13,1709233395.7768471
57,SE12,1709233395.7797554
58,SE11,1709233395.7828887
59,SE10,1709233395.7921436
60,WN09,1709233395.7950625
61,WN08,1709233395.797502
62,WN07,1709233395.805619
63,WN06,1709233395.8082197
64,WN05,1709233395.8109066
65,WN04,1709233395.8138337
66,WN03,1709233395.821297
67,WN02,1709233395.8245683
68,WN01,1709233395.827677
69,WN00,1709233395.830241
70,WE19,1709233395.832358
71,WE18,1709233395.8345563
72,WE17,1709233395.8369834
73,WE16,1709233395.8414915
74,WE15,1709233395.844802
75,WE14,1709233395.85389
76,WE13,1709233395.856407
77,WE12,1709233395.8595374
78,WE11,1709233395.8618536
79,WE10,1709233395.864281
80,WS19,1709233395.8665998
81,WS18,1709233395.8689647
82,WS17,1709233395.8712745
83,WS16,1709233395.8743076
84,WS15,1709233395.8772144
85,WS14,1709233395.8813002
86,WS13,1709233395.8851116
87,WS12,1709233395.888787
88,WS11,1709233395.8913403
89,WS10,1709233395.8944333
90,ES09,1709233395.8972235
91,ES08,1709233395.8998754
92,ES07,1709233395.9025168
93,ES06,1709233395.905176
94,ES05,1709233395.907943
95,ES04,1709233395.9109597
96,ES03,1709233395.9138222
97,ES02,1709233395.9166756
98,ES01,1709233395.9195642
99,ES00,1709233395.9278717
100,EW19,1709233395.932519
101,EW18,1709233395.9352124
102,EW17,1709233395.937867
103,EW16,1709233395.9408035
104,EW15,1709233395.9435503
105,EW14,1709233395.946164
106,EW13,1709233395.9492328
107,EW12,1709233395.9526656
108,EW11,1709233395.9560025
