,vehicleid,transtime
0,NE09,1709234691.6505084
1,NE08,1709234691.6523407
2,NE07,1709234691.6550643
3,NE06,1709234691.65752
4,NE05,1709234691.659845
5,NE04,1709234691.664672
6,NE03,1709234691.6676402
7,NE02,1709234691.6700387
8,NE01,1709234691.6721933
9,NE00,1709234691.6744301
10,NS19,1709234691.677238
11,NS18,1709234691.6797106
12,NS17,1709234691.6820877
13,NS16,1709234691.6843219
14,NS15,1709234691.6865997
15,NS14,1709234691.6889691
16,NS13,1709234691.6912453
17,NS12,1709234691.693652
18,NS11,1709234691.6960537
19,NS10,1709234691.6989405
20,NW19,1709234691.7013445
21,NW18,1709234691.7039049
22,NW17,1709234691.705862
23,NW16,1709234691.7075818
24,NW15,1709234691.7095158
25,NW14,1709234691.712069
26,NW13,1709234691.7146418
27,NW12,1709234691.7172883
28,NW11,1709234691.7196398
29,NW10,1709234691.7223475
30,SW09,1709234691.7254124
31,SW08,1709234691.72818
32,SW07,1709234691.7305727
33,SW06,1709234691.7329648
34,SW05,1709234691.7351785
35,SW04,1709234691.7377882
36,SW03,1709234691.7401204
37,SW02,1709234691.7424417
38,SW01,1709234691.7451167
39,SW00,1709234691.7473636
40,SN19,1709234691.7495573
41,SN18,1709234691.7513723
42,SN17,1709234691.753223
43,SN16,1709234691.7553298
44,SN15,1709234691.7569592
45,SN14,1709234691.7588587
46,SN13,1709234691.761586
47,SN12,1709234691.7637563
48,SN11,1709234691.766138
49,SN10,1709234691.7700925
50,SE19,1709234691.7777748
51,SE18,1709234691.780108
52,SE17,1709234691.7824883
53,SE16,1709234691.7847528
54,SE15,1709234691.7874103
55,SE14,1709234691.7896187
56,SE13,1709234691.7917905
57,SE12,1709234691.7941406
58,SE11,1709234691.7970443
59,SE10,1709234691.7997885
60,WN09,1709234691.8027477
61,WN08,1709234691.8045325
62,WN07,1709234691.8069432
63,WN06,1709234691.809243
64,WN05,1709234691.8141968
65,WN04,1709234691.8163927
66,WN03,1709234691.8187037
67,WN02,1709234691.821098
68,WN01,1709234691.823301
69,WN00,1709234691.8258276
70,WE19,1709234691.8287325
71,WE18,1709234691.8307078
72,WE17,1709234691.8327508
73,WE16,1709234691.8349056
74,WE15,1709234691.8371837
75,WE14,1709234691.839518
76,WE13,1709234691.8416011
77,WE12,1709234691.8450947
78,WE11,1709234691.8498504
79,WE10,1709234691.85235
80,WS19,1709234691.854748
81,WS18,1709234691.8572295
82,WS17,1709234691.8593862
83,WS16,1709234691.8629482
84,WS15,1709234691.8660357
85,WS14,1709234691.8684666
86,WS13,1709234691.8709168
87,WS12,1709234691.8733478
88,WS11,1709234691.875318
89,WS10,1709234691.8777802
90,ES09,1709234691.8805912
91,ES08,1709234691.883865
92,ES07,1709234691.886266
93,ES06,1709234691.8886275
94,ES05,1709234691.8909743
95,ES04,1709234691.8931062
96,ES03,1709234691.8967733
97,ES02,1709234691.8990319
98,ES01,1709234691.9013484
99,ES00,1709234691.9035556
