,starttime,endtime,phaseDuration,,
0,1709161129,1709161129,5,,0.000219822
1,1709161135,1709161135,5,,2.00272E-05
2,1709161140,1709161140,5,,2.00272E-05
3,1709161145,1709161145,5,,0.003200054
4,1709161150,1709161150,5,,0.002520084
5,1709161155,1709161155,5,,0.002460003
6,1709161160,1709161160,5,,0.002249956
7,1709161165,1709161165,5,,2.00272E-05
8,1709161170,1709161170,5,,2.00272E-05
9,1709161175,1709161175,5,,2.00272E-05
10,1709161180,1709161180,5,,5.00679E-05
11,1709161186,1709161186,5,,6.00815E-05
12,1709161191,1709161191,5,,3.00407E-05
13,1709161196,1709161196,5,,2.00272E-05
14,1709161201,1709161201,5,,2.00272E-05
15,1709161206,1709161206,5,,2.00272E-05
16,1709161211,1709161211,5,,0.005379915
17,1709161216,1709161216,5,,0.006899834
18,1709161221,1709161221,5,,0.005579948
19,1709161226,1709161226,5,,0.00545001
20,1709161231,1709161231,5,,0.008029938
21,1709161237,1709161237,5,,0.004649878
22,1709161242,1709161242,5,,0.003390074
23,1709161247,1709161247,5,,0.004080057
24,1709161252,1709161252,5,,0.004209995
25,1709161257,1709161257,5,,0.004169941
26,1709161262,1709161262,5,,0.005929947
27,1709161267,1709161267,5,,0.003360033
28,1709161272,1709161272,5,,0.008069992
29,1709161277,1709161277,5,,0.003789902
30,1709161282,1709161282,5,,0.003439903
31,1709161287,1709161287,5,,0.003259897
32,1709161292,1709161292,5,,0.005879879
33,1709161298,1709161298,5,,0.005470037
34,1709161302,1709161302,5,,0.004290104
35,1709161308,1709161308,5,,0.005360126
36,1709161313,1709161313,5,,1.97887E-05
37,1709161318,1709161318,5,,2.00272E-05
38,1709161323,1709161323,5,,2.00272E-05
39,1709161328,1709161328,5,,2.00272E-05
40,1709161333,1709161333,5,,2.00272E-05
41,1709161338,1709161338,5,,2.00272E-05
42,1709161343,1709161343,5,,4.00543E-05
43,1709161348,1709161348,5,,2.00272E-05
44,1709161353,1709161353,5,,2.00272E-05
45,1709161359,1709161359,5,,0.00564003
46,1709161364,1709161364,5,,0.009249926
47,1709161369,1709161369,5,,0.004899979
48,1709161374,1709161374,5,,0.003560066
49,1709161379,1709161379,5,,1.97887E-05
50,1709161384,1709161384,5,,2.00272E-05
51,1709161389,1709161389,5,,2.00272E-05
52,1709161394,1709161394,5,,1.97887E-05
53,1709161399,1709161399,5,,1.00136E-05
54,1709161404,1709161404,5,,2.00272E-05
55,1709161409,1709161409,5,,1.00136E-05
56,1709161415,1709161415,5,,2.00272E-05
57,1709161420,1709161420,5,,0.003730059
58,1709161425,1709161425,5,,2.00272E-05
59,1709161430,1709161430,5,,0.003590107
60,1709161435,1709161435,5,,0.009629965
61,1709161440,1709161440,5,,0.007309914
62,1709161445,1709161445,5,,0.01177001
63,1709161450,1709161450,5,,0.00654006
64,1709161455,1709161455,5,,0.005049944
65,1709161460,1709161460,5,,0.005529881
66,1709161465,1709161465,5,,0.007430077
67,1709161470,1709161470,5,,0.004810095
68,1709161475,1709161475,5,,0.00474
69,1709161480,1709161480,5,,0.005759954
70,1709161485,1709161485,5,,0.007730007
71,1709161490,1709161490,5,,0.003439903
72,1709161495,1709161495,5,,0.003509998
73,1709161501,1709161501,5,,0.003329992
74,1709161506,1709161506,5,,0.004400015
75,1709161511,1709161511,5,,0.004070044
76,1709161516,1709161516,5,,0.002310038
77,1709161521,1709161521,5,,0.003600121
78,1709161526,1709161526,5,,0.003750086
79,1709161531,1709161531,5,,0.003499985
80,1709161536,1709161536,5,,0.003740072
81,1709161541,1709161541,5,,2.00272E-05
82,1709161546,1709161546,5,,0.005049944
83,1709161551,1709161551,5,,0.005929947
84,1709161556,1709161556,5,,0.008359909
85,1709161562,1709161562,5,,0.00688982
86,1709161567,1709161567,5,,0.007750034
87,1709161572,1709161572,5,,2.00272E-05
88,1709161577,1709161577,5,,2.00272E-05
89,1709161582,1709161582,5,,2.00272E-05
90,1709161587,1709161587,5,,2.00272E-05
91,1709161592,1709161592,5,,2.00272E-05
92,1709161597,1709161597,5,,2.00272E-05
93,1709161602,1709161602,5,,3.00407E-05
94,1709161607,1709161607,5,,0.00466013
95,1709161612,1709161612,5,,2.00272E-05
96,1709161618,1709161618,5,,2.00272E-05
97,1709161623,1709161623,5,,2.00272E-05
98,1709161628,1709161628,5,,1.00136E-05
99,1709161633,1709161633,5,,0.005550146
100,1709161638,1709161638,5,,0.004410028
101,1709161643,1709161643,5,,0.003299952
102,1709161648,1709161648,5,,2.00272E-05
103,1709161653,1709161653,5,,2.00272E-05
104,1709161658,1709161658,5,,2.00272E-05
105,1709161663,1709161663,5,,1.97887E-05
106,1709161668,1709161668,5,,2.00272E-05
107,1709161674,1709161674,5,,0.003690004
108,1709161679,1709161679,5,,0.002789974
109,1709161684,1709161684,5,,2.00272E-05
110,1709161689,1709161689,5,,2.00272E-05
111,1709161694,1709161694,5,,2.00272E-05
112,1709161699,1709161699,5,,1.00136E-05
113,1709161704,1709161704,5,,0.005390167
114,1709161709,1709161709,5,,0.006210089
115,1709161714,1709161714,5,,0.00406003
116,1709161719,1709161719,5,,0.00541997
117,1709161724,1709161724,5,,0.005169868
118,1709161729,1709161729,5,,2.00272E-05
119,1709161734,1709161734,5,,0.002840042
120,1709161740,1709161740,5,,9.77516E-06
121,1709161745,1709161745,5,,2.00272E-05
122,1709161750,1709161750,5,,2.00272E-05
123,1709161755,1709161755,5,,2.00272E-05
124,1709161760,1709161760,5,,2.00272E-05
125,1709161765,1709161765,5,,2.00272E-05
126,1709161770,1709161770,5,,2.00272E-05
127,1709161775,1709161775,5,,2.00272E-05
128,1709161780,1709161780,5,,0.003859997
129,1709161785,1709161785,5,,0.004580021
130,1709161790,1709161790,5,,0.005699873
131,1709161795,1709161795,5,,0.005059958
132,1709161801,1709161801,5,,0.004349947
133,1709161806,1709161806,5,,0.003549814
134,1709161811,1709161811,5,,2.00272E-05
135,1709161816,1709161816,5,,2.00272E-05
136,1709161821,1709161821,5,,2.00272E-05
137,1709161826,1709161826,5,,2.00272E-05
138,1709161831,1709161831,5,,2.00272E-05
139,1709161836,1709161836,5,,2.00272E-05
140,1709161841,1709161841,5,,2.00272E-05
141,1709161846,1709161846,5,,2.00272E-05
142,1709161851,1709161851,5,,2.00272E-05
143,1709161857,1709161857,5,,9.77516E-06
144,1709161862,1709161862,5,,2.00272E-05
145,1709161867,1709161867,5,,0.007830143
146,1709161872,1709161872,5,,0.004209995
147,1709161877,1709161877,5,,0.004090071
148,1709161882,1709161882,5,,0.00425005
149,1709161887,1709161887,5,,2.00272E-05
150,1709161892,1709161892,5,,2.00272E-05
151,1709161897,1709161897,5,,2.00272E-05
152,1709161902,1709161902,5,,2.00272E-05
153,1709161907,1709161907,5,,2.00272E-05
154,1709161913,1709161913,5,,2.00272E-05
155,1709161918,1709161918,5,,2.00272E-05
156,1709161923,1709161923,5,,1.00136E-05
157,1709161928,1709161928,5,,1.00136E-05
158,1709161933,1709161933,5,,0.003329992
159,1709161938,1709161938,5,,0.003739834
160,1709161943,1709161943,5,,0.003700018
161,1709161948,1709161948,5,,0.003509998
162,1709161953,1709161953,5,,2.00272E-05
163,1709161958,1709161958,5,,1.97887E-05
164,1709161963,1709161963,5,,2.00272E-05
165,1709161969,1709161969,5,,2.00272E-05
166,1709161974,1709161974,5,,2.00272E-05
167,1709161979,1709161979,5,,2.00272E-05
168,1709161984,1709161984,5,,2.00272E-05
169,1709161989,1709161989,5,,2.00272E-05
170,1709161994,1709161994,5,,2.00272E-05
171,1709161999,1709161999,5,,0.002729893
172,1709162004,1709162004,5,,0.002990007
173,1709162009,1709162009,5,,0.001909971
174,1709162014,1709162014,5,,0.004490137
175,1709162019,1709162019,5,,0.003690004
176,1709162024,1709162024,5,,0.003669977
177,1709162030,1709162030,5,,2.00272E-05
178,1709162035,1709162035,5,,1.00136E-05
179,1709162040,1709162040,5,,1.97887E-05
180,1709162045,1709162045,5,,2.00272E-05
181,1709162050,1709162050,5,,1.00136E-05
182,1709162055,1709162055,5,,2.00272E-05
183,1709162060,1709162060,5,,2.00272E-05
184,1709162066,1709162066,5,,1.97887E-05
185,1709162071,1709162071,5,,1.00136E-05
186,1709162076,1709162076,5,,2.00272E-05
187,1709162081,1709162081,5,,1.97887E-05
188,1709162086,1709162086,5,,2.00272E-05
189,1709162091,1709162091,5,,1.97887E-05
190,1709162096,1709162096,5,,2.00272E-05
191,1709162101,1709162101,5,,2.00272E-05
192,1709162106,1709162106,5,,1.97887E-05
193,1709162112,1709162112,5,,1.00136E-05
194,1709162117,1709162117,5,,2.00272E-05
195,1709162122,1709162122,5,,2.00272E-05
196,1709162127,1709162127,5,,1.00136E-05
197,1709162132,1709162132,5,,2.00272E-05
198,1709162137,1709162137,5,,2.00272E-05
199,1709162142,1709162142,5,,2.98023E-05
200,1709162147,1709162147,5,,1.00136E-05
201,1709162152,1709162152,5,,2.00272E-05
202,1709162157,1709162157,5,,2.00272E-05
203,1709162163,1709162163,5,,1.00136E-05
204,1709162168,1709162168,5,,1.00136E-05
205,1709162173,1709162173,5,,2.00272E-05
206,1709162178,1709162178,5,,2.00272E-05
207,1709162183,1709162183,5,,1.00136E-05
208,1709162188,1709162188,5,,2.00272E-05
209,1709162193,1709162193,5,,2.00272E-05
210,1709162198,1709162198,5,,2.00272E-05
211,1709162204,1709162204,5,,1.00136E-05
212,1709162209,1709162209,5,,2.00272E-05
213,1709162214,1709162214,5,,2.00272E-05
214,1709162219,1709162219,5,,2.00272E-05
215,1709162224,1709162224,5,,1.00136E-05
216,1709162229,1709162229,5,,9.77516E-06
217,1709162234,1709162234,5,,1.00136E-05
218,1709162239,1709162239,5,,2.00272E-05
219,1709162244,1709162244,5,,2.00272E-05
220,1709162250,1709162250,5,,2.00272E-05
221,1709162255,1709162255,5,,2.00272E-05
222,1709162260,1709162260,5,,2.00272E-05
223,1709162265,1709162265,5,,2.00272E-05
224,1709162270,1709162270,5,,2.00272E-05
225,1709162275,1709162275,5,,1.97887E-05
226,1709162280,1709162280,5,,2.00272E-05
227,1709162285,1709162285,5,,2.00272E-05
228,1709162290,1709162290,5,,2.00272E-05
229,1709162295,1709162295,5,,1.00136E-05
230,1709162300,1709162300,5,,2.00272E-05
231,1709162306,1709162306,5,,9.77516E-06
232,1709162311,1709162311,5,,1.97887E-05
233,1709162316,1709162316,5,,2.00272E-05
234,1709162321,1709162321,5,,1.00136E-05
235,1709162326,1709162326,5,,2.00272E-05
236,1709162331,1709162331,5,,2.00272E-05
237,1709162336,1709162336,5,,2.00272E-05
238,1709162341,1709162341,5,,2.00272E-05
239,1709162346,1709162346,5,,1.00136E-05
240,1709162351,1709162351,5,,2.00272E-05
241,1709162356,1709162356,5,,2.00272E-05
242,1709162362,1709162362,5,,9.77516E-06
243,1709162367,1709162367,5,,2.00272E-05
244,1709162372,1709162372,5,,2.00272E-05
245,1709162377,1709162377,5,,2.00272E-05
246,1709162382,1709162382,5,,1.00136E-05
247,1709162387,1709162387,5,,9.77516E-06
248,1709162392,1709162392,5,,2.00272E-05
249,1709162397,1709162397,5,,2.00272E-05
250,1709162402,1709162402,5,,2.00272E-05
251,1709162408,1709162408,5,,2.00272E-05
252,1709162413,1709162413,5,,1.00136E-05
253,1709162418,1709162418,5,,1.00136E-05
254,1709162423,1709162423,5,,1.00136E-05
255,1709162428,1709162428,5,,1.00136E-05
256,1709162433,1709162433,5,,1.00136E-05
257,1709162438,1709162438,5,,1.97887E-05
258,1709162443,1709162443,5,,1.00136E-05
259,1709162449,1709162449,5,,1.00136E-05
260,1709162454,1709162454,5,,2.00272E-05
261,1709162459,1709162459,5,,2.00272E-05
262,1709162464,1709162464,5,,1.97887E-05
263,1709162469,1709162469,5,,2.00272E-05
264,1709162474,1709162474,5,,2.00272E-05
265,1709162479,1709162479,5,,1.00136E-05
266,1709162484,1709162484,5,,2.00272E-05
267,1709162490,1709162490,5,,1.00136E-05
268,1709162495,1709162495,5,,2.00272E-05
269,1709162500,1709162500,5,,2.00272E-05
270,1709162505,1709162505,5,,1.00136E-05
271,1709162510,1709162510,5,,2.00272E-05
272,1709162515,1709162515,5,,2.00272E-05
273,1709162520,1709162520,5,,2.00272E-05
274,1709162525,1709162525,5,,1.00136E-05
275,1709162531,1709162531,5,,2.00272E-05
276,1709162536,1709162536,5,,2.00272E-05
277,1709162541,1709162541,5,,2.00272E-05
278,1709162546,1709162546,5,,1.97887E-05
279,1709162551,1709162551,5,,1.97887E-05
280,1709162556,1709162556,5,,2.00272E-05
281,1709162561,1709162561,5,,1.00136E-05
282,1709162566,1709162566,5,,3.00407E-05
283,1709162571,1709162571,5,,2.00272E-05
284,1709162577,1709162577,5,,2.00272E-05
285,1709162582,1709162582,5,,2.00272E-05
286,1709162587,1709162587,5,,9.77516E-06
287,1709162592,1709162592,5,,2.00272E-05
288,1709162597,1709162597,5,,2.00272E-05
289,1709162602,1709162602,5,,1.00136E-05
290,1709162607,1709162607,5,,1.00136E-05
291,1709162612,1709162612,5,,2.00272E-05
292,1709162617,1709162617,5,,2.00272E-05
293,1709162622,1709162622,5,,1.00136E-05
294,1709162628,1709162628,5,,1.97887E-05
295,1709162633,1709162633,5,,1.97887E-05
296,1709162638,1709162638,5,,2.00272E-05
297,1709162643,1709162643,5,,2.00272E-05
298,1709162648,1709162648,5,,2.00272E-05
299,1709162653,1709162653,5,,2.00272E-05
300,1709162658,1709162658,5,,2.00272E-05
301,1709162663,1709162663,5,,2.00272E-05
302,1709162668,1709162668,5,,2.00272E-05
303,1709162674,1709162674,5,,2.00272E-05
304,1709162679,1709162679,5,,2.00272E-05
305,1709162684,1709162684,5,,2.00272E-05
306,1709162689,1709162689,5,,2.00272E-05
307,1709162694,1709162694,5,,2.00272E-05
308,1709162699,1709162699,5,,1.00136E-05
309,1709162704,1709162704,5,,1.00136E-05
310,1709162709,1709162709,5,,2.00272E-05
311,1709162715,1709162715,5,,1.00136E-05
312,1709162720,1709162720,5,,2.00272E-05
313,1709162725,1709162725,5,,2.00272E-05
314,1709162730,1709162730,5,,1.00136E-05
315,1709162735,1709162735,5,,1.97887E-05
316,1709162740,1709162740,5,,2.00272E-05
317,1709162745,1709162745,5,,2.00272E-05
318,1709162750,1709162750,5,,2.00272E-05
319,1709162755,1709162755,5,,4.00543E-05
320,1709162760,1709162760,5,,2.00272E-05
321,1709162766,1709162766,5,,1.00136E-05
322,1709162771,1709162771,5,,1.00136E-05
323,1709162776,1709162776,5,,2.00272E-05
324,1709162781,1709162781,5,,2.00272E-05
325,1709162786,1709162786,5,,1.00136E-05
326,1709162791,1709162791,5,,2.00272E-05
327,1709162796,1709162796,5,,2.00272E-05
328,1709162801,1709162801,5,,2.00272E-05
329,1709162806,1709162806,5,,2.00272E-05
330,1709162812,1709162812,5,,2.00272E-05
331,1709162817,1709162817,5,,1.00136E-05
332,1709162822,1709162822,5,,2.00272E-05
333,1709162827,1709162827,5,,1.00136E-05
334,1709162832,1709162832,5,,2.00272E-05
335,1709162837,1709162837,5,,1.97887E-05
336,1709162842,1709162842,5,,1.00136E-05
337,1709162847,1709162847,5,,2.00272E-05
338,1709162852,1709162852,5,,3.00407E-05
339,1709162858,1709162858,5,,2.00272E-05
340,1709162863,1709162863,5,,2.00272E-05
341,1709162868,1709162868,5,,1.00136E-05
342,1709162873,1709162873,5,,2.00272E-05
343,1709162878,1709162878,5,,3.00407E-05
344,1709162883,1709162883,5,,2.00272E-05
345,1709162888,1709162888,5,,2.00272E-05
346,1709162893,1709162893,5,,1.00136E-05
347,1709162898,1709162898,5,,2.00272E-05
348,1709162903,1709162903,5,,2.00272E-05
349,1709162909,1709162909,5,,1.00136E-05
350,1709162914,1709162914,5,,2.00272E-05
351,1709162919,1709162919,5,,1.00136E-05
352,1709162924,1709162924,5,,2.00272E-05
353,1709162929,1709162929,5,,1.00136E-05
354,1709162934,1709162934,5,,2.00272E-05
355,1709162939,1709162939,5,,2.00272E-05
356,1709162944,1709162944,5,,2.00272E-05
357,1709162949,1709162949,5,,1.97887E-05
358,1709162954,1709162954,5,,2.00272E-05
359,1709162959,1709162959,5,,2.00272E-05
360,1709162964,1709162964,5,,1.97887E-05
361,1709162970,1709162970,5,,1.00136E-05
362,1709162975,1709162975,5,,2.00272E-05
363,1709162980,1709162980,5,,2.00272E-05
364,1709162985,1709162985,5,,2.00272E-05
365,1709162990,1709162990,5,,2.00272E-05
366,1709162995,1709162995,5,,2.00272E-05
367,1709163000,1709163000,5,,2.00272E-05
368,1709163005,1709163005,5,,2.00272E-05
369,1709163010,1709163010,5,,2.00272E-05
370,1709163016,1709163016,5,,2.00272E-05
371,1709163021,1709163021,5,,2.00272E-05
372,1709163026,1709163026,5,,3.00407E-05
373,1709163031,1709163031,5,,2.00272E-05
374,1709163036,1709163036,5,,2.00272E-05
375,1709163041,1709163041,5,,9.77516E-06
376,1709163046,1709163046,5,,2.00272E-05
377,1709163051,1709163051,5,,2.00272E-05
378,1709163056,1709163056,5,,2.00272E-05
