,starttime,endtime,phaseDuration,,
0,1709167615,1709167615,12,,0.222790003
1,1709167627,1709167627,7,,0.018079996
2,1709167685,1709167685,12,,0.027610064
3,1709167697,1709167697,7,,0.021079779
4,1709167755,1709167755,12,,0.017260075
5,1709167767,1709167767,7,,0.018709898
6,1709167810,1709167810,12,,0.029279947
7,1709167843,1709167843,12,,0.027279854
8,1709167870,1709167870,12,,0.01880002
9,1709167913,1709167913,7,,0.022190094
10,1709167940,1709167940,12,,0.022030115
11,1709167973,1709167973,7,,0.017469883
12,1709167995,1709167995,12,,0.023099899
13,1709168027,1709168027,12,,0.028470039
14,1709168055,1709168055,12,,0.025109768
15,1709168087,1709168087,12,,0.022340059
16,1709168115,1709168115,12,,0.021269798
17,1709168152,1709168152,12,,0.018270016
18,1709168175,1709168175,7,,0.018620014
19,1709168217,1709168217,7,,0.013050079
20,1709168245,1709168245,12,,0.017750025
21,1709168277,1709168277,7,,0.019590139
22,1709168310,1709168310,7,,0.021029949
23,1709168337,1709168337,12,,0.019779921
24,1709168400,1709168400,12,,0.019929886
25,1709168412,1709168412,7,,0.018650055
26,1709168419,1709168419,7,,0.020550013
27,1709168472,1709168472,7,,0.018510103
28,1709168479,1709168479,12,,0.019340038
29,1709168491,1709168491,7,,0.018360138
,,,,,
,,,,,0.027543322
