,starttime,endtime,,
0,1709167612,1709167612,,3.98159E-05
1,1709167612,1709167612,,2.00272E-05
2,1709167612,1709167612,,2.00272E-05
3,1709167612,1709167612,,2.00272E-05
4,1709167612,1709167612,,2.00272E-05
5,1709167612,1709167612,,3.00407E-05
6,1709167612,1709167612,,2.00272E-05
7,1709167613,1709167613,,2.00272E-05
8,1709167613,1709167613,,2.00272E-05
9,1709167613,1709167613,,2.00272E-05
10,1709167613,1709167613,,2.00272E-05
11,1709167613,1709167613,,1.97887E-05
12,1709167613,1709167613,,2.00272E-05
13,1709167613,1709167613,,2.00272E-05
14,1709167613,1709167613,,1.00136E-05
15,1709167613,1709167613,,2.00272E-05
16,1709167613,1709167613,,2.00272E-05
17,1709167614,1709167614,,2.00272E-05
18,1709167614,1709167614,,2.00272E-05
19,1709167614,1709167614,,2.00272E-05
20,1709167614,1709167614,,2.00272E-05
21,1709167614,1709167614,,2.00272E-05
22,1709167614,1709167614,,3.00407E-05
23,1709167614,1709167614,,2.00272E-05
24,1709167614,1709167614,,3.00407E-05
25,1709167614,1709167614,,2.00272E-05
26,1709167614,1709167614,,2.00272E-05
27,1709167615,1709167615,,2.00272E-05
28,1709167615,1709167615,,2.00272E-05
29,1709167615,1709167615,,2.00272E-05
30,1709167615,1709167615,,1.00136E-05
31,1709167615,1709167615,,9.01222E-05
32,1709167615,1709167615,,2.00272E-05
33,1709167615,1709167615,,2.00272E-05
34,1709167615,1709167615,,2.00272E-05
35,1709167615,1709167615,,3.00407E-05
36,1709167616,1709167616,,2.00272E-05
37,1709167616,1709167616,,2.00272E-05
38,1709167616,1709167616,,2.00272E-05
39,1709167616,1709167616,,2.00272E-05
40,1709167616,1709167616,,2.00272E-05
41,1709167616,1709167616,,2.00272E-05
42,1709167616,1709167616,,2.00272E-05
43,1709167616,1709167616,,2.00272E-05
44,1709167616,1709167616,,2.00272E-05
45,1709167616,1709167616,,2.00272E-05
46,1709167617,1709167617,,2.00272E-05
47,1709167617,1709167617,,2.00272E-05
48,1709167617,1709167617,,2.00272E-05
49,1709167617,1709167617,,2.00272E-05
50,1709167617,1709167617,,0
51,1709167617,1709167617,,1.00136E-05
52,1709167617,1709167617,,1.00136E-05
53,1709167617,1709167617,,0
54,1709167617,1709167617,,9.77516E-06
55,1709167617,1709167617,,0
56,1709167618,1709167618,,1.00136E-05
57,1709167618,1709167618,,1.00136E-05
58,1709167618,1709167618,,1.00136E-05
59,1709167618,1709167618,,0
60,1709167618,1709167618,,1.00136E-05
61,1709167618,1709167618,,0
62,1709167618,1709167618,,1.00136E-05
63,1709167618,1709167618,,1.00136E-05
64,1709167618,1709167618,,0.000180006
65,1709167618,1709167618,,4.00543E-05
66,1709167619,1709167619,,5.00679E-05
67,1709167619,1709167619,,5.00679E-05
68,1709167619,1709167619,,5.00679E-05
69,1709167619,1709167619,,8.01086E-05
70,1709167619,1709167619,,7.00951E-05
71,1709167619,1709167619,,9.01222E-05
72,1709167619,1709167619,,5.98431E-05
73,1709167619,1709167619,,3.00407E-05
74,1709167619,1709167619,,8.01086E-05
75,1709167619,1709167619,,8.01086E-05
76,1709167620,1709167620,,6.00815E-05
77,1709167620,1709167620,,7.00951E-05
78,1709167620,1709167620,,4.98295E-05
79,1709167620,1709167620,,8.01086E-05
80,1709167620,1709167620,,3.98159E-05
81,1709167620,1709167620,,4.00543E-05
82,1709167620,1709167620,,4.00543E-05
83,1709167620,1709167620,,5.00679E-05
84,1709167620,1709167620,,7.00951E-05
85,1709167620,1709167620,,4.98295E-05
86,1709167621,1709167621,,4.00543E-05
87,1709167621,1709167621,,6.98566E-05
88,1709167621,1709167621,,4.00543E-05
89,1709167621,1709167621,,5.00679E-05
90,1709167621,1709167621,,4.98295E-05
91,1709167621,1709167621,,7.00951E-05
92,1709167621,1709167621,,5.00679E-05
93,1709167621,1709167621,,5.98431E-05
94,1709167621,1709167621,,8.98838E-05
95,1709167621,1709167621,,4.98295E-05
96,1709167622,1709167622,,7.98702E-05
97,1709167622,1709167622,,8.98838E-05
98,1709167622,1709167622,,7.00951E-05
99,1709167622,1709167622,,4.00543E-05
100,1709167622,1709167622,,6.98566E-05
101,1709167622,1709167622,,8.01086E-05
102,1709167622,1709167622,,4.00543E-05
103,1709167622,1709167622,,8.01086E-05
104,1709167622,1709167622,,7.00951E-05
105,1709167622,1709167622,,6.98566E-05
106,1709167623,1709167623,,7.98702E-05
107,1709167623,1709167623,,5.00679E-05
108,1709167623,1709167623,,5.00679E-05
109,1709167623,1709167623,,4.00543E-05
110,1709167623,1709167623,,6.00815E-05
111,1709167623,1709167623,,8.01086E-05
112,1709167623,1709167623,,5.00679E-05
113,1709167623,1709167623,,5.00679E-05
114,1709167623,1709167623,,4.98295E-05
115,1709167623,1709167623,,4.98295E-05
116,1709167624,1709167624,,5.98431E-05
117,1709167624,1709167624,,4.00543E-05
118,1709167624,1709167624,,5.98431E-05
119,1709167624,1709167624,,7.98702E-05
120,1709167624,1709167624,,6.00815E-05
121,1709167624,1709167624,,7.98702E-05
122,1709167624,1709167624,,9.98974E-05
123,1709167624,1709167624,,0.000100136
124,1709167624,1709167624,,5.98431E-05
125,1709167624,1709167624,,9.01222E-05
126,1709167625,1709167625,,9.01222E-05
127,1709167625,1709167625,,5.00679E-05
128,1709167625,1709167625,,5.00679E-05
129,1709167625,1709167625,,5.98431E-05
130,1709167625,1709167625,,5.98431E-05
131,1709167625,1709167625,,4.98295E-05
132,1709167625,1709167625,,6.98566E-05
133,1709167625,1709167625,,6.98566E-05
134,1709167625,1709167625,,4.00543E-05
135,1709167625,1709167625,,6.98566E-05
136,1709167626,1709167626,,6.00815E-05
137,1709167626,1709167626,,7.00951E-05
138,1709167626,1709167626,,5.00679E-05
139,1709167626,1709167626,,5.00679E-05
140,1709167626,1709167626,,5.00679E-05
141,1709167626,1709167626,,9.01222E-05
142,1709167626,1709167626,,6.98566E-05
143,1709167626,1709167626,,7.98702E-05
144,1709167626,1709167626,,5.00679E-05
145,1709167626,1709167626,,6.00815E-05
146,1709167627,1709167627,,9.01222E-05
147,1709167627,1709167627,,6.00815E-05
148,1709167627,1709167627,,8.01086E-05
149,1709167627,1709167627,,5.00679E-05
150,1709167627,1709167627,,5.00679E-05
151,1709167627,1709167627,,4.98295E-05
152,1709167627,1709167627,,8.01086E-05
153,1709167627,1709167627,,7.00951E-05
154,1709167627,1709167627,,6.98566E-05
155,1709167627,1709167627,,9.98974E-05
156,1709167628,1709167628,,5.00679E-05
157,1709167628,1709167628,,5.00679E-05
158,1709167628,1709167628,,6.98566E-05
159,1709167628,1709167628,,4.00543E-05
160,1709167628,1709167628,,3.00407E-05
161,1709167628,1709167628,,4.00543E-05
162,1709167628,1709167628,,7.00951E-05
163,1709167628,1709167628,,6.00815E-05
164,1709167628,1709167628,,7.98702E-05
165,1709167628,1709167628,,7.98702E-05
166,1709167629,1709167629,,7.00951E-05
167,1709167629,1709167629,,8.98838E-05
168,1709167629,1709167629,,6.00815E-05
169,1709167629,1709167629,,3.98159E-05
170,1709167629,1709167629,,3.98159E-05
171,1709167629,1709167629,,0
172,1709167629,1709167629,,1.00136E-05
173,1709167629,1709167629,,0
174,1709167629,1709167629,,9.77516E-06
175,1709167629,1709167629,,9.77516E-06
176,1709167630,1709167630,,9.77516E-06
177,1709167630,1709167630,,1.00136E-05
178,1709167630,1709167630,,1.00136E-05
179,1709167630,1709167630,,1.00136E-05
180,1709167630,1709167630,,1.00136E-05
181,1709167630,1709167630,,1.00136E-05
182,1709167630,1709167630,,1.00136E-05
183,1709167630,1709167630,,1.00136E-05
184,1709167630,1709167630,,0
185,1709167630,1709167630,,9.77516E-06
186,1709167631,1709167631,,1.00136E-05
187,1709167631,1709167631,,1.00136E-05
188,1709167631,1709167631,,0
189,1709167631,1709167631,,2.00272E-05
190,1709167631,1709167631,,1.00136E-05
191,1709167631,1709167631,,2.00272E-05
192,1709167631,1709167631,,1.97887E-05
193,1709167631,1709167631,,2.00272E-05
194,1709167631,1709167631,,3.00407E-05
195,1709167631,1709167631,,1.00136E-05
196,1709167632,1709167632,,1.00136E-05
197,1709167632,1709167632,,2.00272E-05
198,1709167632,1709167632,,2.98023E-05
199,1709167632,1709167632,,2.00272E-05
200,1709167632,1709167632,,2.00272E-05
201,1709167632,1709167632,,2.00272E-05
202,1709167632,1709167632,,2.00272E-05
203,1709167632,1709167632,,1.97887E-05
204,1709167632,1709167632,,2.00272E-05
205,1709167632,1709167632,,2.00272E-05
206,1709167633,1709167633,,1.00136E-05
207,1709167633,1709167633,,1.00136E-05
208,1709167633,1709167633,,2.00272E-05
209,1709167633,1709167633,,2.00272E-05
210,1709167633,1709167633,,1.00136E-05
211,1709167633,1709167633,,3.00407E-05
212,1709167633,1709167633,,2.00272E-05
213,1709167633,1709167633,,2.00272E-05
214,1709167633,1709167633,,2.00272E-05
215,1709167633,1709167633,,1.97887E-05
216,1709167634,1709167634,,2.00272E-05
217,1709167634,1709167634,,2.00272E-05
218,1709167634,1709167634,,2.00272E-05
219,1709167634,1709167634,,1.97887E-05
220,1709167634,1709167634,,3.00407E-05
221,1709167634,1709167634,,2.00272E-05
222,1709167634,1709167634,,2.00272E-05
223,1709167634,1709167634,,2.00272E-05
224,1709167634,1709167634,,1.00136E-05
225,1709167634,1709167634,,2.00272E-05
226,1709167635,1709167635,,2.00272E-05
227,1709167635,1709167635,,4.00543E-05
228,1709167635,1709167635,,1.97887E-05
229,1709167635,1709167635,,2.98023E-05
230,1709167635,1709167635,,2.00272E-05
231,1709167635,1709167635,,2.00272E-05
232,1709167635,1709167635,,1.97887E-05
233,1709167635,1709167635,,2.00272E-05
234,1709167635,1709167635,,2.00272E-05
235,1709167635,1709167635,,2.00272E-05
236,1709167636,1709167636,,5.98431E-05
237,1709167636,1709167636,,2.00272E-05
238,1709167636,1709167636,,2.00272E-05
239,1709167636,1709167636,,1.97887E-05
240,1709167636,1709167636,,2.00272E-05
241,1709167636,1709167636,,3.98159E-05
242,1709167636,1709167636,,1.00136E-05
243,1709167636,1709167636,,0
244,1709167636,1709167636,,0
245,1709167636,1709167636,,1.00136E-05
246,1709167637,1709167637,,1.00136E-05
247,1709167637,1709167637,,1.00136E-05
248,1709167637,1709167637,,1.00136E-05
249,1709167637,1709167637,,0
250,1709167637,1709167637,,0
251,1709167637,1709167637,,1.00136E-05
252,1709167637,1709167637,,0
253,1709167637,1709167637,,1.00136E-05
254,1709167637,1709167637,,1.00136E-05
255,1709167637,1709167637,,1.00136E-05
256,1709167638,1709167638,,1.00136E-05
257,1709167638,1709167638,,1.00136E-05
258,1709167638,1709167638,,1.00136E-05
259,1709167638,1709167638,,1.00136E-05
260,1709167638,1709167638,,1.00136E-05
261,1709167638,1709167638,,1.00136E-05
262,1709167638,1709167638,,1.00136E-05
263,1709167638,1709167638,,0
264,1709167638,1709167638,,1.00136E-05
265,1709167638,1709167638,,0
266,1709167639,1709167639,,0
267,1709167639,1709167639,,1.00136E-05
268,1709167639,1709167639,,1.00136E-05
269,1709167639,1709167639,,1.00136E-05
270,1709167639,1709167639,,0
271,1709167639,1709167639,,0
272,1709167639,1709167639,,1.00136E-05
273,1709167639,1709167639,,0
274,1709167639,1709167639,,0
275,1709167639,1709167639,,1.00136E-05
276,1709167640,1709167640,,1.00136E-05
277,1709167640,1709167640,,1.00136E-05
278,1709167640,1709167640,,9.77516E-06
279,1709167640,1709167640,,9.77516E-06
280,1709167640,1709167640,,0
281,1709167640,1709167640,,1.00136E-05
282,1709167640,1709167640,,0
283,1709167640,1709167640,,0
284,1709167640,1709167640,,1.00136E-05
285,1709167640,1709167640,,1.00136E-05
286,1709167641,1709167641,,1.00136E-05
287,1709167641,1709167641,,1.00136E-05
288,1709167641,1709167641,,1.00136E-05
289,1709167641,1709167641,,1.00136E-05
290,1709167641,1709167641,,1.00136E-05
291,1709167641,1709167641,,1.00136E-05
292,1709167641,1709167641,,1.00136E-05
293,1709167641,1709167641,,1.00136E-05
294,1709167641,1709167641,,2.00272E-05
295,1709167641,1709167641,,3.00407E-05
296,1709167642,1709167642,,2.00272E-05
297,1709167642,1709167642,,1.00136E-05
298,1709167642,1709167642,,2.00272E-05
299,1709167642,1709167642,,2.00272E-05
300,1709167642,1709167642,,2.00272E-05
301,1709167642,1709167642,,2.00272E-05
302,1709167642,1709167642,,1.97887E-05
303,1709167642,1709167642,,1.00136E-05
304,1709167642,1709167642,,2.00272E-05
305,1709167642,1709167642,,2.00272E-05
306,1709167643,1709167643,,1.97887E-05
307,1709167643,1709167643,,2.00272E-05
308,1709167643,1709167643,,1.97887E-05
309,1709167643,1709167643,,2.00272E-05
310,1709167643,1709167643,,2.00272E-05
311,1709167643,1709167643,,2.00272E-05
312,1709167643,1709167643,,2.00272E-05
313,1709167643,1709167643,,2.00272E-05
314,1709167643,1709167643,,2.00272E-05
315,1709167643,1709167643,,2.00272E-05
316,1709167644,1709167644,,1.00136E-05
317,1709167644,1709167644,,2.00272E-05
318,1709167644,1709167644,,2.00272E-05
319,1709167644,1709167644,,2.00272E-05
320,1709167644,1709167644,,2.00272E-05
321,1709167644,1709167644,,2.00272E-05
322,1709167644,1709167644,,2.00272E-05
323,1709167644,1709167644,,1.00136E-05
324,1709167644,1709167644,,2.00272E-05
325,1709167644,1709167644,,0.000200033
326,1709167645,1709167645,,2.00272E-05
327,1709167645,1709167645,,2.00272E-05
328,1709167645,1709167645,,1.00136E-05
329,1709167645,1709167645,,2.00272E-05
330,1709167645,1709167645,,2.00272E-05
331,1709167645,1709167645,,2.00272E-05
332,1709167645,1709167645,,2.00272E-05
333,1709167645,1709167645,,1.00136E-05
334,1709167645,1709167645,,1.97887E-05
335,1709167645,1709167645,,2.00272E-05
336,1709167646,1709167646,,1.00136E-05
337,1709167646,1709167646,,1.00136E-05
338,1709167646,1709167646,,2.00272E-05
339,1709167646,1709167646,,2.00272E-05
340,1709167646,1709167646,,1.97887E-05
341,1709167646,1709167646,,2.00272E-05
342,1709167646,1709167646,,1.00136E-05
343,1709167646,1709167646,,2.00272E-05
344,1709167646,1709167646,,1.00136E-05
345,1709167646,1709167646,,2.00272E-05
346,1709167647,1709167647,,2.00272E-05
347,1709167647,1709167647,,2.00272E-05
348,1709167647,1709167647,,1.00136E-05
349,1709167647,1709167647,,2.00272E-05
350,1709167647,1709167647,,1.97887E-05
351,1709167647,1709167647,,2.00272E-05
352,1709167647,1709167647,,1.00136E-05
353,1709167647,1709167647,,2.00272E-05
354,1709167647,1709167647,,2.00272E-05
355,1709167647,1709167647,,2.00272E-05
356,1709167648,1709167648,,2.00272E-05
357,1709167648,1709167648,,1.97887E-05
358,1709167648,1709167648,,1.00136E-05
359,1709167648,1709167648,,1.97887E-05
360,1709167648,1709167648,,1.00136E-05
361,1709167648,1709167648,,2.00272E-05
362,1709167648,1709167648,,1.00136E-05
363,1709167648,1709167648,,2.00272E-05
364,1709167648,1709167648,,2.00272E-05
365,1709167648,1709167648,,1.97887E-05
366,1709167649,1709167649,,2.00272E-05
367,1709167649,1709167649,,2.00272E-05
368,1709167649,1709167649,,9.77516E-06
369,1709167649,1709167649,,2.00272E-05
370,1709167649,1709167649,,2.00272E-05
371,1709167649,1709167649,,2.00272E-05
372,1709167649,1709167649,,2.00272E-05
373,1709167649,1709167649,,2.98023E-05
374,1709167649,1709167649,,2.00272E-05
375,1709167649,1709167649,,2.00272E-05
376,1709167650,1709167650,,1.00136E-05
377,1709167650,1709167650,,1.00136E-05
378,1709167650,1709167650,,1.97887E-05
379,1709167650,1709167650,,1.97887E-05
380,1709167650,1709167650,,2.00272E-05
381,1709167650,1709167650,,2.00272E-05
382,1709167650,1709167650,,2.00272E-05
383,1709167650,1709167650,,2.00272E-05
384,1709167650,1709167650,,1.00136E-05
385,1709167650,1709167650,,1.97887E-05
386,1709167651,1709167651,,1.00136E-05
387,1709167651,1709167651,,1.97887E-05
388,1709167651,1709167651,,2.00272E-05
389,1709167651,1709167651,,2.00272E-05
390,1709167651,1709167651,,1.00136E-05
391,1709167651,1709167651,,1.00136E-05
392,1709167651,1709167651,,2.00272E-05
393,1709167651,1709167651,,2.00272E-05
394,1709167651,1709167651,,2.00272E-05
395,1709167651,1709167651,,2.00272E-05
396,1709167652,1709167652,,2.00272E-05
397,1709167652,1709167652,,2.00272E-05
398,1709167652,1709167652,,2.00272E-05
399,1709167652,1709167652,,1.00136E-05
400,1709167652,1709167652,,2.00272E-05
401,1709167652,1709167652,,1.97887E-05
402,1709167652,1709167652,,2.00272E-05
403,1709167652,1709167652,,2.00272E-05
404,1709167652,1709167652,,1.00136E-05
405,1709167652,1709167652,,2.00272E-05
406,1709167653,1709167653,,2.00272E-05
407,1709167653,1709167653,,2.00272E-05
408,1709167653,1709167653,,2.00272E-05
409,1709167653,1709167653,,2.00272E-05
410,1709167653,1709167653,,2.00272E-05
411,1709167653,1709167653,,3.00407E-05
412,1709167653,1709167653,,3.00407E-05
413,1709167653,1709167653,,2.00272E-05
414,1709167653,1709167653,,2.00272E-05
415,1709167653,1709167653,,2.00272E-05
416,1709167654,1709167654,,2.00272E-05
417,1709167654,1709167654,,2.00272E-05
418,1709167654,1709167654,,2.00272E-05
419,1709167654,1709167654,,2.00272E-05
420,1709167654,1709167654,,1.00136E-05
421,1709167654,1709167654,,2.00272E-05
422,1709167654,1709167654,,2.00272E-05
423,1709167654,1709167654,,2.00272E-05
424,1709167654,1709167654,,2.00272E-05
425,1709167654,1709167654,,1.97887E-05
426,1709167655,1709167655,,2.00272E-05
427,1709167655,1709167655,,1.00136E-05
428,1709167655,1709167655,,1.00136E-05
429,1709167655,1709167655,,1.00136E-05
430,1709167655,1709167655,,2.00272E-05
431,1709167655,1709167655,,1.00136E-05
432,1709167655,1709167655,,1.97887E-05
433,1709167655,1709167655,,2.00272E-05
434,1709167655,1709167655,,2.00272E-05
435,1709167655,1709167655,,2.00272E-05
436,1709167656,1709167656,,1.00136E-05
437,1709167656,1709167656,,2.00272E-05
438,1709167656,1709167656,,9.77516E-06
439,1709167656,1709167656,,2.00272E-05
440,1709167656,1709167656,,2.00272E-05
441,1709167656,1709167656,,2.00272E-05
442,1709167656,1709167656,,3.00407E-05
443,1709167656,1709167656,,2.00272E-05
444,1709167656,1709167656,,1.00136E-05
445,1709167656,1709167656,,2.00272E-05
446,1709167657,1709167657,,1.00136E-05
447,1709167657,1709167657,,0
448,1709167657,1709167657,,1.00136E-05
449,1709167657,1709167657,,0
450,1709167657,1709167657,,1.00136E-05
451,1709167657,1709167657,,0
452,1709167657,1709167657,,1.00136E-05
453,1709167657,1709167657,,1.00136E-05
454,1709167657,1709167657,,1.00136E-05
455,1709167657,1709167657,,0
456,1709167658,1709167658,,0
457,1709167658,1709167658,,0
458,1709167658,1709167658,,0
459,1709167658,1709167658,,1.00136E-05
460,1709167658,1709167658,,0
461,1709167658,1709167658,,0
462,1709167658,1709167658,,0
463,1709167658,1709167658,,0
464,1709167658,1709167658,,1.00136E-05
465,1709167658,1709167658,,1.00136E-05
466,1709167659,1709167659,,0
467,1709167659,1709167659,,1.00136E-05
468,1709167659,1709167659,,0
469,1709167659,1709167659,,0
470,1709167659,1709167659,,0
471,1709167659,1709167659,,1.00136E-05
472,1709167659,1709167659,,0
473,1709167659,1709167659,,0
474,1709167659,1709167659,,1.00136E-05
475,1709167659,1709167659,,0
476,1709167660,1709167660,,1.00136E-05
477,1709167660,1709167660,,0
478,1709167660,1709167660,,1.00136E-05
