,vehicleid,recievetime
0,EW1,1709167612.9327524
1,EW1,1709167612.9398177
2,EW1,1709167612.9445643
3,EW1,1709167612.9517345
4,EW1,1709167612.9586613
5,EW1,1709167612.9651117
6,EW1,1709167612.9775743
7,EW1,1709167612.9839385
8,EW1,1709167612.9901376
9,EW1,1709167612.9949121
10,EW1,1709167613.0008159
11,EW1,1709167613.0062616
12,EW1,1709167613.0121782
13,EW1,1709167613.017641
14,EW1,1709167613.023191
15,EW1,1709167613.0336385
16,EW1,1709167613.0413594
17,EW1,1709167613.0460167
18,EW1,1709167613.0516396
19,EW1,1709167613.0574753
20,EW1,1709167613.0616348
21,EW1,1709167613.0673301
22,EW1,1709167613.0755723
23,EW1,1709167613.0799623
24,EW1,1709167613.0880156
25,EW1,1709167613.094887
26,EW1,1709167613.1005797
27,EW1,1709167613.113287
28,EW1,1709167613.119208
29,EW1,1709167613.1261644
30,EW1,1709167613.1334403
31,EW1,1709167613.1406984
32,EW1,1709167613.1461885
33,EW1,1709167613.1582003
34,EW1,1709167613.163205
35,EW1,1709167613.1685183
36,EW1,1709167613.1741803
37,EW1,1709167613.1802557
38,EW1,1709167613.1865718
39,EW1,1709167613.1921294
40,EW1,1709167613.20584
41,EW1,1709167613.2102113
42,EW1,1709167613.2135217
43,EW1,1709167613.2170093
44,EW1,1709167613.2213957
45,EW1,1709167613.2259014
46,EW1,1709167613.2327857
47,EW1,1709167613.2450528
48,EW1,1709167613.2509933
49,EW1,1709167613.2552137
50,EW1,1709167613.261333
51,EW1,1709167613.2687814
52,EW1,1709167613.2735124
53,EW1,1709167613.2785854
54,EW1,1709167613.2837558
55,EW1,1709167613.2909188
56,EW1,1709167613.296895
57,EW1,1709167613.3039687
58,EW1,1709167613.3097486
59,EW1,1709167613.3167484
60,EW1,1709167613.3231173
61,EW1,1709167613.3403356
62,EW1,1709167613.3462954
63,EW1,1709167613.3515527
64,EW1,1709167613.3574493
65,EW1,1709167613.3635418
66,EW1,1709167613.3765187
67,EW1,1709167613.3812785
68,EW1,1709167613.3864465
69,EW1,1709167613.3915107
70,EW1,1709167613.39905
71,EW1,1709167613.4197755
72,EW1,1709167613.4253666
73,EW1,1709167613.4299643
74,EW1,1709167613.4374638
75,EW1,1709167613.4441223
76,EW1,1709167613.4507778
77,EW1,1709167613.4586892
78,EW1,1709167613.4655726
79,EW1,1709167613.472923
80,EW1,1709167613.4789503
81,EW1,1709167613.4879725
82,EW1,1709167613.4945846
83,EW1,1709167613.5025263
84,EW1,1709167613.5084374
85,EW1,1709167613.5148525
86,EW1,1709167613.5227828
87,EW1,1709167613.5309806
88,EW1,1709167613.5385904
89,EW1,1709167613.5435922
90,EW1,1709167613.5606577
91,EW1,1709167613.5652266
92,EW1,1709167613.5700116
93,EW1,1709167613.5749586
94,EW1,1709167613.5796344
95,EW1,1709167613.5878625
96,EW1,1709167613.5923238
97,EW1,1709167613.596453
98,EW1,1709167613.6026373
99,EW1,1709167613.6069274
100,EW1,1709167613.6117277
101,EW1,1709167613.6192446
102,EW1,1709167613.6244059
103,EW1,1709167613.6302965
104,EW1,1709167613.6368523
105,EW1,1709167613.6427512
106,EW1,1709167613.6478007
107,EW1,1709167613.6531117
108,EW1,1709167613.6566885
109,EW1,1709167613.6608336
110,EW1,1709167613.6653643
111,EW1,1709167613.6751902
112,EW1,1709167613.6809547
113,EW1,1709167613.699323
114,EW1,1709167613.7051148
115,EW1,1709167613.713536
116,EW1,1709167613.719399
117,EW1,1709167613.7257047
118,EW1,1709167613.7439198
119,EW1,1709167613.7486975
120,EW1,1709167613.7541838
121,EW1,1709167613.7594857
122,EW1,1709167613.7641666
123,EW1,1709167613.7692537
124,EW1,1709167613.7738545
125,EW1,1709167613.793104
126,EW1,1709167613.7990541
127,EW1,1709167613.8048165
128,EW1,1709167613.809485
129,EW1,1709167613.8140554
130,EW1,1709167613.8194253
131,EW1,1709167613.8249357
132,EW1,1709167613.8300385
133,EW1,1709167613.8438668
134,EW1,1709167613.847828
135,EW1,1709167613.8533561
136,EW1,1709167613.856899
137,EW1,1709167613.8606477
138,EW1,1709167613.8658495
139,EW1,1709167613.8775
140,EW1,1709167613.8849382
141,EW1,1709167613.8939986
142,EW1,1709167613.9004257
143,EW1,1709167613.908007
144,EW1,1709167613.9193237
145,EW1,1709167613.9260411
146,EW1,1709167613.9308796
147,EW1,1709167613.9396486
148,EW1,1709167613.9469528
149,EW1,1709167613.9594207
150,EW1,1709167613.9662833
151,EW1,1709167613.970803
152,EW1,1709167613.9782586
153,EW1,1709167613.9855542
154,EW1,1709167613.9925942
155,EW1,1709167613.9976597
156,EW1,1709167614.0053606
157,EW1,1709167614.010463
158,EW1,1709167614.0173512
159,EW1,1709167614.0241814
160,EW1,1709167614.0340655
161,EW1,1709167614.0454562
162,EW1,1709167614.053128
163,EW1,1709167614.0586236
164,EW1,1709167614.066068
165,EW1,1709167614.070933
