,starttime,endtime,phaseDuration,,
0,1709222624,1709222624,25,,1.00136E-05
1,1709222649,1709222649,25,,9.77516E-06
2,1709222674,1709222674,25,,1.00136E-05
3,1709222699,1709222699,25,,9.77516E-06
4,1709222724,1709222724,25,,0
5,1709222749,1709222749,25,,0
6,1709222774,1709222774,25,,1.00136E-05
7,1709222799,1709222799,25,,1.00136E-05
8,1709222824,1709222824,25,,1.00136E-05
9,1709222850,1709222850,25,,9.77516E-06
10,1709222875,1709222875,25,,0
11,1709222900,1709222900,25,,1.00136E-05
12,1709222925,1709222925,25,,1.00136E-05
13,1709222950,1709222950,25,,1.00136E-05
14,1709222975,1709222975,25,,0
15,1709223000,1709223000,25,,9.77516E-06
16,1709223025,1709223025,25,,1.00136E-05
17,1709223050,1709223050,25,,0
18,1709223075,1709223075,25,,1.00136E-05
19,1709223100,1709223100,25,,1.00136E-05
20,1709223125,1709223125,25,,1.00136E-05
21,1709223151,1709223151,25,,1.00136E-05
22,1709223176,1709223176,25,,1.00136E-05
23,1709223201,1709223201,25,,1.00136E-05
24,1709223226,1709223226,25,,0
25,1709223251,1709223251,25,,1.00136E-05
26,1709223276,1709223276,25,,1.00136E-05
27,1709223301,1709223301,25,,7.00951E-05
28,1709223326,1709223326,25,,1.00136E-05
29,1709223351,1709223351,25,,1.00136E-05
30,1709223376,1709223376,25,,1.00136E-05
31,1709223401,1709223401,25,,1.00136E-05
32,1709223426,1709223426,25,,1.00136E-05
33,1709223451,1709223451,25,,6.00815E-05
34,1709223477,1709223477,25,,1.00136E-05
35,1709223502,1709223502,25,,1.00136E-05
36,1709223527,1709223527,25,,1.00136E-05
37,1709223552,1709223552,25,,3.00407E-05
38,1709223577,1709223577,25,,0
,,,,,
,,,,,1.15297E-05
