,starttime,endtime,,
0,1709222622,1709222622,,1.00136E-05
1,1709222622,1709222622,,1.00136E-05
2,1709222622,1709222622,,0
3,1709222622,1709222622,,0
4,1709222622,1709222622,,0
5,1709222622,1709222622,,1.00136E-05
6,1709222622,1709222622,,1.00136E-05
7,1709222622,1709222622,,1.00136E-05
8,1709222623,1709222623,,0
9,1709222623,1709222623,,1.00136E-05
10,1709222623,1709222623,,1.00136E-05
11,1709222623,1709222623,,0
12,1709222623,1709222623,,1.00136E-05
13,1709222623,1709222623,,0
14,1709222623,1709222623,,1.00136E-05
15,1709222623,1709222623,,0
16,1709222623,1709222623,,0
17,1709222624,1709222624,,1.00136E-05
18,1709222624,1709222624,,0
19,1709222624,1709222624,,1.00136E-05
20,1709222624,1709222624,,1.00136E-05
21,1709222624,1709222624,,1.00136E-05
22,1709222624,1709222624,,1.00136E-05
23,1709222624,1709222624,,9.77516E-06
24,1709222624,1709222624,,1.00136E-05
25,1709222624,1709222624,,0
26,1709222624,1709222624,,1.00136E-05
27,1709222625,1709222625,,0
28,1709222625,1709222625,,1.00136E-05
29,1709222625,1709222625,,1.00136E-05
30,1709222625,1709222625,,1.00136E-05
31,1709222625,1709222625,,1.00136E-05
32,1709222625,1709222625,,1.00136E-05
33,1709222625,1709222625,,1.00136E-05
34,1709222625,1709222625,,1.00136E-05
35,1709222625,1709222625,,1.00136E-05
36,1709222625,1709222625,,1.00136E-05
37,1709222626,1709222626,,0
38,1709222626,1709222626,,9.77516E-06
39,1709222626,1709222626,,1.00136E-05
40,1709222626,1709222626,,3.00407E-05
41,1709222626,1709222626,,2.00272E-05
42,1709222626,1709222626,,3.00407E-05
43,1709222626,1709222626,,2.00272E-05
44,1709222626,1709222626,,2.00272E-05
45,1709222626,1709222626,,3.00407E-05
46,1709222626,1709222626,,1.97887E-05
47,1709222626,1709222626,,2.00272E-05
48,1709222627,1709222627,,1.97887E-05
49,1709222627,1709222627,,2.00272E-05
50,1709222627,1709222627,,2.00272E-05
51,1709222627,1709222627,,1.97887E-05
52,1709222627,1709222627,,6.00815E-05
53,1709222627,1709222627,,2.98023E-05
54,1709222627,1709222627,,3.00407E-05
55,1709222627,1709222627,,3.00407E-05
56,1709222627,1709222627,,3.00407E-05
57,1709222627,1709222627,,3.00407E-05
58,1709222628,1709222628,,2.98023E-05
59,1709222628,1709222628,,2.00272E-05
60,1709222628,1709222628,,2.00272E-05
61,1709222628,1709222628,,1.97887E-05
62,1709222628,1709222628,,4.00543E-05
63,1709222628,1709222628,,1.00136E-05
64,1709222628,1709222628,,2.00272E-05
65,1709222629,1709222629,,4.00543E-05
66,1709222629,1709222629,,3.00407E-05
67,1709222629,1709222629,,2.00272E-05
68,1709222629,1709222629,,2.00272E-05
69,1709222629,1709222629,,2.00272E-05
70,1709222629,1709222629,,2.00272E-05
71,1709222629,1709222629,,2.00272E-05
72,1709222629,1709222629,,2.00272E-05
73,1709222629,1709222629,,7.00951E-05
74,1709222630,1709222630,,3.00407E-05
75,1709222630,1709222630,,2.00272E-05
76,1709222630,1709222630,,2.00272E-05
77,1709222630,1709222630,,2.00272E-05
78,1709222630,1709222630,,1.97887E-05
79,1709222630,1709222630,,2.00272E-05
80,1709222630,1709222630,,2.98023E-05
81,1709222630,1709222630,,2.00272E-05
82,1709222630,1709222630,,2.00272E-05
83,1709222630,1709222630,,2.00272E-05
84,1709222631,1709222631,,1.97887E-05
85,1709222631,1709222631,,2.00272E-05
86,1709222631,1709222631,,2.00272E-05
87,1709222631,1709222631,,1.00136E-05
88,1709222631,1709222631,,1.97887E-05
89,1709222631,1709222631,,3.00407E-05
90,1709222631,1709222631,,2.00272E-05
91,1709222631,1709222631,,2.98023E-05
92,1709222631,1709222631,,2.98023E-05
93,1709222631,1709222631,,2.00272E-05
94,1709222632,1709222632,,2.98023E-05
95,1709222632,1709222632,,2.00272E-05
96,1709222632,1709222632,,3.00407E-05
97,1709222632,1709222632,,2.00272E-05
98,1709222632,1709222632,,2.00272E-05
99,1709222632,1709222632,,1.97887E-05
100,1709222632,1709222632,,2.98023E-05
101,1709222632,1709222632,,3.00407E-05
102,1709222632,1709222632,,3.00407E-05
103,1709222632,1709222632,,2.00272E-05
104,1709222633,1709222633,,2.98023E-05
105,1709222633,1709222633,,2.00272E-05
106,1709222633,1709222633,,3.00407E-05
107,1709222633,1709222633,,2.00272E-05
108,1709222633,1709222633,,4.98295E-05
109,1709222633,1709222633,,3.00407E-05
110,1709222633,1709222633,,2.00272E-05
111,1709222633,1709222633,,1.00136E-05
112,1709222633,1709222633,,3.00407E-05
113,1709222633,1709222633,,1.97887E-05
114,1709222634,1709222634,,3.00407E-05
115,1709222634,1709222634,,2.00272E-05
116,1709222634,1709222634,,3.00407E-05
117,1709222634,1709222634,,2.00272E-05
118,1709222634,1709222634,,2.00272E-05
119,1709222634,1709222634,,2.00272E-05
120,1709222634,1709222634,,2.00272E-05
121,1709222634,1709222634,,2.00272E-05
122,1709222634,1709222634,,2.00272E-05
123,1709222634,1709222634,,3.98159E-05
124,1709222635,1709222635,,2.00272E-05
125,1709222635,1709222635,,2.00272E-05
126,1709222635,1709222635,,3.00407E-05
127,1709222635,1709222635,,2.00272E-05
128,1709222635,1709222635,,2.00272E-05
129,1709222635,1709222635,,2.00272E-05
130,1709222635,1709222635,,1.97887E-05
131,1709222635,1709222635,,2.00272E-05
132,1709222635,1709222635,,2.00272E-05
133,1709222635,1709222635,,2.00272E-05
134,1709222635,1709222635,,2.00272E-05
135,1709222636,1709222636,,3.00407E-05
