,vehicleid,recievetime
0,EW1,1709222633.196584
1,EW1,1709222633.202844
2,EW1,1709222633.209822
3,EW1,1709222633.2205536
4,EW1,1709222633.226826
5,EW1,1709222633.2337317
6,EW1,1709222633.239356
7,EW1,1709222633.2536466
8,EW1,1709222633.2616167
9,EW1,1709222633.267974
10,EW1,1709222633.2771776
11,EW1,1709222633.2847152
12,EW1,1709222633.2944336
13,EW1,1709222633.3005157
14,EW1,1709222633.3064723
15,EW1,1709222633.3112123
16,EW1,1709222633.317903
17,EW1,1709222633.3260818
18,EW1,1709222633.331086
19,EW1,1709222633.337548
20,EW1,1709222633.3449585
21,EW1,1709222633.3557968
22,EW1,1709222633.3617678
23,EW1,1709222633.3692997
24,EW1,1709222633.376533
25,EW1,1709222633.3826296
26,EW1,1709222633.3897858
27,EW1,1709222633.3955235
28,EW1,1709222633.4020178
29,EW1,1709222633.4101512
30,EW1,1709222633.417113
31,EW1,1709222633.4280274
32,EW1,1709222633.433922
33,EW1,1709222633.439589
34,EW1,1709222633.4464674
35,EW1,1709222633.4554398
36,EW1,1709222633.4619517
37,EW1,1709222633.4680989
38,EW1,1709222633.476252
39,EW1,1709222633.4924533
40,EW1,1709222633.4975054
41,EW1,1709222633.502204
42,EW1,1709222633.5078387
43,EW1,1709222633.5174282
44,EW1,1709222633.526548
45,EW1,1709222633.5351424
46,EW1,1709222633.5409498
47,EW1,1709222633.5476482
48,EW1,1709222633.5560064
49,EW1,1709222633.5640225
50,EW1,1709222633.5686245
51,EW1,1709222633.5768003
52,EW1,1709222633.5846527
53,EW1,1709222633.5907605
54,EW1,1709222633.601314
55,EW1,1709222633.6071024
56,EW1,1709222633.6118417
57,EW1,1709222633.6162665
58,EW1,1709222633.6255589
59,EW1,1709222633.6322978
60,EW1,1709222633.6466577
61,EW1,1709222633.6515815
62,EW1,1709222633.6565552
63,EW1,1709222633.660577
64,EW1,1709222633.6642504
65,EW1,1709222633.6794565
66,EW1,1709222633.6920085
67,EW1,1709222633.6987655
68,EW1,1709222633.7088847
69,EW1,1709222633.7150416
70,EW1,1709222633.721681
71,EW1,1709222633.7255569
72,EW1,1709222633.7301812
73,EW1,1709222633.735025
74,EW1,1709222633.7397497
75,EW1,1709222633.7504249
76,EW1,1709222633.7553103
77,EW1,1709222633.7601748
78,EW1,1709222633.765562
79,EW1,1709222633.7749283
80,EW1,1709222633.7831707
81,EW1,1709222633.7908392
82,EW1,1709222633.7950475
83,EW1,1709222633.8011067
84,EW1,1709222633.8074353
85,EW1,1709222633.8223722
86,EW1,1709222633.8309405
87,EW1,1709222633.835512
88,EW1,1709222633.840913
89,EW1,1709222633.8455124
90,EW1,1709222633.85063
91,EW1,1709222633.8552465
92,EW1,1709222633.8591917
93,EW1,1709222633.8647342
94,EW1,1709222633.8701358
95,EW1,1709222633.8821
96,EW1,1709222633.888256
97,EW1,1709222633.8947625
98,EW1,1709222633.9018168
99,EW1,1709222633.9128566
100,EW1,1709222633.9170144
101,EW1,1709222633.9210331
102,EW1,1709222633.9258378
103,EW1,1709222633.9300325
104,EW1,1709222633.9374912
105,EW1,1709222633.9464242
106,EW1,1709222633.9533584
107,EW1,1709222633.9595747
108,EW1,1709222633.9658134
109,EW1,1709222633.9718847
110,EW1,1709222633.9784353
111,EW1,1709222633.983018
112,EW1,1709222633.9871209
113,EW1,1709222633.994674
114,EW1,1709222633.999817
115,EW1,1709222634.0063655
116,EW1,1709222634.0117667
117,EW1,1709222634.0185702
118,EW1,1709222634.0250118
119,EW1,1709222634.041906
120,EW1,1709222634.0468829
121,EW1,1709222634.051944
122,EW1,1709222634.056832
123,EW1,1709222634.061055
124,EW1,1709222634.072288
125,EW1,1709222634.0810194
126,EW1,1709222634.0860465
127,EW1,1709222634.092025
128,EW1,1709222634.0982633
129,EW1,1709222634.1086645
130,EW1,1709222634.1152143
131,EW1,1709222634.1216502
132,EW1,1709222634.1273835
133,EW1,1709222634.1341624
134,EW1,1709222634.1412396
135,EW1,1709222634.1481462
136,EW1,1709222634.154057
137,EW1,1709222634.1602015
138,EW1,1709222634.166803
139,EW1,1709222634.1744742
140,EW1,1709222634.1809099
141,EW1,1709222634.1868684
142,EW1,1709222634.1926887
143,EW1,1709222634.1968703
144,EW1,1709222634.2012255
145,EW1,1709222634.206326
146,EW1,1709222634.210453
147,EW1,1709222634.2147481
148,EW1,1709222634.2189014
149,EW1,1709222634.2252328
150,EW1,1709222634.2348642
151,EW1,1709222634.2521274
152,EW1,1709222634.2565155
153,EW1,1709222634.2610002
154,EW1,1709222634.2666068
155,EW1,1709222634.2705653
156,EW1,1709222634.2775927
157,EW1,1709222634.2840753
158,EW1,1709222634.3035214
159,EW1,1709222634.3089166
160,EW1,1709222634.3165076
161,EW1,1709222634.3361256
162,EW1,1709222634.342185
163,EW1,1709222634.3465164
164,EW1,1709222634.350938
165,EW1,1709222634.3554547
166,EW1,1709222634.359575
167,EW1,1709222634.3648295
168,EW1,1709222634.3737023
169,EW1,1709222634.378101
170,EW1,1709222634.382411
171,EW1,1709222634.3867884
172,EW1,1709222634.3923535
173,EW1,1709222634.3983202
174,EW1,1709222634.4031782
175,EW1,1709222634.408796
176,EW1,1709222634.4157543
177,EW1,1709222634.42484
178,EW1,1709222634.4298127
179,EW1,1709222634.4436212
180,EW1,1709222634.44777
181,EW1,1709222634.4551408
182,EW1,1709222634.4617424
183,EW1,1709222634.478115
184,EW1,1709222634.4839253
185,EW1,1709222634.4904597
186,EW1,1709222634.496646
187,EW1,1709222634.5031624
188,EW1,1709222634.509422
189,EW1,1709222634.5141957
190,EW1,1709222634.5202005
191,EW1,1709222634.5275805
192,EW1,1709222634.5334811
193,EW1,1709222634.5394151
194,EW1,1709222634.5460649
195,EW1,1709222634.5527322
196,EW1,1709222634.5579774
197,EW1,1709222634.5663214
198,EW1,1709222634.5710065
199,EW1,1709222634.575114
200,EW1,1709222634.5829504
201,EW1,1709222634.5921395
202,EW1,1709222634.5968072
203,EW1,1709222634.601024
204,EW1,1709222634.605729
205,EW1,1709222634.611665
206,EW1,1709222634.6180885
207,EW1,1709222634.6321642
208,EW1,1709222634.6367786
209,EW1,1709222634.6409826
210,EW1,1709222634.6460862
211,EW1,1709222634.6528609
212,EW1,1709222634.660016
213,EW1,1709222634.6665745
214,EW1,1709222634.6735606
215,EW1,1709222634.6794565
216,EW1,1709222634.685477
217,EW1,1709222634.6921408
218,EW1,1709222634.6984806
219,EW1,1709222634.7071548
220,EW1,1709222634.7148209
221,EW1,1709222634.7190397
222,EW1,1709222634.7234347
223,EW1,1709222634.7270396
224,EW1,1709222634.7321768
225,EW1,1709222634.7396002
226,EW1,1709222634.745656
227,EW1,1709222634.7521682
228,EW1,1709222634.7591038
229,EW1,1709222634.7658224
230,EW1,1709222634.7726905
231,EW1,1709222634.7769976
232,EW1,1709222634.7824874
233,EW1,1709222634.787962
234,EW1,1709222634.7932022
235,EW1,1709222634.7999122
236,EW1,1709222634.8071585
237,EW1,1709222634.8136566
238,EW1,1709222634.8214965
239,EW1,1709222634.8274035
240,EW1,1709222634.832786
241,EW1,1709222634.838416
242,EW1,1709222634.844388
243,EW1,1709222634.8502724
244,EW1,1709222634.8586216
245,EW1,1709222634.865013
246,EW1,1709222634.8763404
247,EW1,1709222634.885198
248,EW1,1709222634.8901916
249,EW1,1709222634.894814
250,EW1,1709222634.9021058
251,EW1,1709222634.910715
252,EW1,1709222634.9169447
253,EW1,1709222634.9211965
254,EW1,1709222634.9260392
255,EW1,1709222634.9321597
256,EW1,1709222634.9369235
257,EW1,1709222634.941508
258,EW1,1709222634.9459825
259,EW1,1709222634.950207
260,EW1,1709222634.953835
261,EW1,1709222634.958289
262,EW1,1709222634.9629784
263,EW1,1709222634.978911
264,EW1,1709222634.9829645
265,EW1,1709222634.9877987
266,EW1,1709222634.9924645
267,EW1,1709222634.9970922
268,EW1,1709222635.0045052
269,EW1,1709222635.0197668
270,EW1,1709222635.0240715
271,EW1,1709222635.028148
272,EW1,1709222635.032198
273,EW1,1709222635.0366335
274,EW1,1709222635.0448632
275,EW1,1709222635.0508208
276,EW1,1709222635.0553153
277,EW1,1709222635.059716
278,EW1,1709222635.0641625
279,EW1,1709222635.0764468
280,EW1,1709222635.0808098
281,EW1,1709222635.0862274
282,EW1,1709222635.0918984
283,EW1,1709222635.095366
284,EW1,1709222635.099595
285,EW1,1709222635.1034536
286,EW1,1709222635.108599
287,EW1,1709222635.1131868
288,EW1,1709222635.1197295
289,EW1,1709222635.124075
