x,y
0,0
-0.383936999,-0.103208473
-0.76787535,-0.206411695
-1.151814019,-0.309611257
-1.535752211,-0.41280907
-1.91968913,-0.516006723
-2.303623742,-0.619205967
-2.687555331,-0.722408632
-3.071483021,-0.825616309
-3.455406018,-0.92883051
-3.83932448,-1.032051235
-4.223238646,-1.135278244
-4.607148595,-1.23851138
-4.991054566,-1.341750482
-5.374956799,-1.444995312
-5.758855531,-1.548245552
-6.142750921,-1.651501202
-6.526643129,-1.754761864
-6.910532394,-1.858027458
-7.294418954,-1.961297747
-7.678302967,-2.06457257
-8.062184674,-2.167851689
-8.446064233,-2.271134786
-8.829941803,-2.374421861
-9.213817781,-2.477712595
-9.597692169,-2.581006751
-9.981565204,-2.684304247
-10.3654372,-2.787604767
-10.74930825,-2.890908151
-11.13317858,-2.99421424
-11.51704843,-3.097522715
-11.90091797,-3.200833498
-12.28478742,-3.30414627
-12.66865704,-3.407460951
-13.05252689,-3.510777223
-13.43639722,-3.614094927
-13.82026835,-3.717413904
-14.20414035,-3.820733836
-14.58801346,-3.924054643
-14.97188793,-4.027376086
-15.35576383,-4.130697927
-15.73964156,-4.234020007
-16.12352119,-4.337342086
-16.50740298,-4.440663927
-16.89128707,-4.543985371
-17.27517371,-4.647306257
-17.65906306,-4.750626348
-18.04295542,-4.853945404
-18.42685089,-4.957263268
-18.81074971,-5.060579619
-19.1946521,-5.163894459
-19.57855823,-5.26720747
-19.96246834,-5.370518412
-20.34638258,-5.473827126
-20.7303012,-5.577133374
-21.11422436,-5.680437076
-21.49815229,-5.783737834
-21.88208523,-5.887035649
-22.26602334,-5.990330123
-22.64996686,-6.093621176
-23.03391596,-6.196908569
-23.41787077,-6.300192143
-23.80183164,-6.40347158
-24.18579752,-6.506746562
-24.56976316,-6.610015657
-24.95372211,-6.713277354
-25.33766802,-6.81652998
-25.72159452,-6.919772106
-26.10549516,-7.023002059
-26.48936374,-7.126218249
-26.87319374,-7.229419243
-27.25697878,-7.332603372
-27.64071259,-7.435769043
-28.02438864,-7.538914666
-28.40800073,-7.642038809
-28.79154241,-7.7451398
-29.17500939,-7.848217323
-29.55847653,-7.951318474
-29.94211957,-8.054550734
-30.32612077,-8.158025324
-30.71066248,-8.261853702
-31.09592688,-8.366147169
-31.48209624,-8.471017103
-31.86905058,-8.576336851
-32.25220172,-8.678462955
-32.62487206,-8.772384221
-32.99993594,-8.872591896
-33.39688579,-8.994200872
-33.80199433,-9.095399187
-34.19315706,-9.120088009
-34.55016524,-9.020283527
-34.86645807,-8.806431215
-35.1414535,-8.514571756
-35.37462281,-8.180804786
-35.57047455,-7.832287054
-35.7443381,-7.476964363
-35.91294454,-7.120294141
-36.08998296,-6.766799105
-36.27739445,-6.417391691
-36.47428401,-6.072112791
-36.67975685,-5.731003297
-36.8929179,-5.39410418
-37.11287237,-5.061456254
-37.33872477,-4.733099058
-37.56950014,-4.408787001
-37.80404904,-4.087652278
-38.04119944,-3.768745221
-38.27977892,-3.451116004
-38.51861537,-3.133814878
