,starttime,endtime,phaseDuration
0,1709072152.1682026,1709072152.1682484,5
1,1709072157.2680993,1709072157.2681184,5
2,1709072162.3680706,1709072162.368092,5
3,1709072167.4745884,1709072167.4773414,5
4,1709072172.568385,1709072172.5706022,5
5,1709072177.668197,1709072177.6708028,5
6,1709072182.7703114,1709072182.7703316,5
7,1709072187.868123,1709072187.8681438,5
8,1709072192.9684563,1709072192.968479,5
9,1709072198.0680807,1709072198.0680995,5
10,1709072203.168086,1709072203.1681066,5
11,1709072208.268037,1709072208.2680519,5
12,1709072213.3680654,1709072213.3680837,5
13,1709072218.4681509,1709072218.46817,5
14,1709072223.5680492,1709072223.5680695,5
15,1709072228.6681714,1709072228.6681914,5
16,1709072233.6712725,1709072233.6768022,5
17,1709072238.6724718,1709072238.6771376,5
18,1709072243.7290294,1709072243.7314754,5
19,1709072248.8680503,1709072248.8680677,5
20,1709072253.9680672,1709072253.9680865,5
21,1709072259.06808,1709072259.0680974,5
22,1709072264.1681814,1709072264.1682012,5
23,1709072269.2680655,1709072269.2680824,5
24,1709072274.368047,1709072274.3680644,5
25,1709072279.4680998,1709072279.4681175,5
26,1709072284.56951,1709072284.5695288,5
27,1709072289.6681554,1709072289.668179,5
28,1709072294.7692676,1709072294.7725053,5
29,1709072299.6737757,1709072299.6780858,5
30,1709072304.8681524,1709072304.871931,5
31,1709072309.9724014,1709072309.975269,5
32,1709072314.9691136,1709072314.9747632,5
33,1709072319.9725676,1709072319.9772666,5
34,1709072325.17033,1709072325.1735346,5
35,1709072330.2683737,1709072330.2726424,5
36,1709072335.3749104,1709072335.3776996,5
37,1709072340.4705179,1709072340.472899,5
38,1709072345.5703251,1709072345.5725126,5
39,1709072350.6680663,1709072350.668086,5
40,1709072355.7680736,1709072355.7680898,5
41,1709072360.8680513,1709072360.8680658,5
42,1709072365.9680376,1709072365.9680526,5
43,1709072371.0681062,1709072371.0681245,5
44,1709072376.1680484,1709072376.1680684,5
45,1709072381.272785,1709072381.2728038,5
46,1709072386.268176,1709072386.2754247,5
47,1709072391.3745944,1709072391.3798034,5
48,1709072396.4680378,1709072396.4680538,5
49,1709072401.4742126,1709072401.4831138,5
50,1709072406.5752442,1709072406.579975,5
51,1709072411.668132,1709072411.668156,5
52,1709072416.7694502,1709072416.7694724,5
53,1709072421.868094,1709072421.8681145,5
54,1709072426.9680374,1709072426.9680533,5
55,1709072432.0680969,1709072432.068117,5
56,1709072437.1683116,1709072437.1683311,5
57,1709072442.2680979,1709072442.2681208,5
58,1709072447.3680592,1709072447.368094,5
59,1709072452.3708081,1709072452.3755229,5
60,1709072457.468074,1709072457.468093,5
61,1709072462.56809,1709072462.5681076,5
62,1709072467.6681776,1709072467.668206,5
63,1709072472.7679188,1709072472.773005,5
64,1709072477.7750025,1709072477.786714,5
65,1709072482.968201,1709072482.968219,5
66,1709072488.0680478,1709072488.0680625,5
67,1709072493.1680725,1709072493.168093,5
68,1709072498.2680583,1709072498.2680736,5
69,1709072503.3680673,1709072503.3680818,5
70,1709072508.3708398,1709072508.375441,5
71,1709072513.468021,1709072513.4732895,5
72,1709072518.568053,1709072518.5680704,5
73,1709072523.5680776,1709072523.568099,5
74,1709072528.6680572,1709072528.6680753,5
75,1709072533.768062,1709072533.7680802,5
76,1709072538.8680644,1709072538.868106,5
77,1709072543.973794,1709072543.9785233,5
78,1709072549.0681345,1709072549.070716,5
79,1709072554.1711302,1709072554.174363,5
80,1709072559.268411,1709072559.2684295,5
81,1709072564.3688443,1709072564.3688684,5
82,1709072569.4680576,1709072569.468072,5
83,1709072574.5680695,1709072574.5680876,5
84,1709072579.6680973,1709072579.6681163,5
85,1709072584.768126,1709072584.7681448,5
86,1709072589.8680983,1709072589.8681166,5
87,1709072594.9681733,1709072594.9681911,5
88,1709072600.0680468,1709072600.0680652,5
89,1709072605.1681008,1709072605.168118,5
90,1709072610.2681034,1709072610.2681222,5
91,1709072615.3680942,1709072615.368113,5
92,1709072620.4680882,1709072620.4681065,5
93,1709072625.4730403,1709072625.4762502,5
94,1709072630.5680592,1709072630.568078,5
95,1709072635.6680489,1709072635.6680658,5
96,1709072640.7680628,1709072640.7680774,5
97,1709072645.8680282,1709072645.868043,5
98,1709072650.9680376,1709072650.968054,5
99,1709072656.068073,1709072656.0680926,5
100,1709072661.1681342,1709072661.1681552,5
101,1709072666.2681906,1709072666.2682092,5
102,1709072671.368136,1709072671.3681564,5
103,1709072676.4682386,1709072676.4682627,5
104,1709072681.5682795,1709072681.573244,5
105,1709072686.6721094,1709072686.676553,5
106,1709072691.7681096,1709072691.7681284,5
107,1709072696.8680568,1709072696.8680744,5
108,1709072701.9681342,1709072701.9681525,5
109,1709072706.9681609,1709072706.9738882,5
110,1709072712.0730846,1709072712.0771568,10
111,1709072722.1687515,1709072722.173867,25
112,1709072747.2711582,1709072747.277024,17
113,1709072764.2717779,1709072764.2762952,5
114,1709072769.4718063,1709072769.4767232,5
115,1709072774.5747092,1709072774.5794127,5
116,1709072779.568143,1709072779.5681598,5
117,1709072784.6680925,1709072784.6681106,5
118,1709072789.768118,1709072789.7681353,5
119,1709072794.8680763,1709072794.8680966,5
120,1709072799.9681208,1709072799.9681401,5
121,1709072805.0681112,1709072805.06813,5
122,1709072810.168065,1709072810.1680806,5
123,1709072815.2680323,1709072815.268048,5
124,1709072820.368054,1709072820.3680727,5
125,1709072825.468107,1709072825.468128,5
126,1709072830.4732537,1709072830.4796863,5
