,starttime,endtime,phaseDuration
0,1708610944.3150048,1708610944.31503,5
1,1708610949.3189309,1708610949.3419774,5
2,1708610954.4233582,1708610954.451921,5
3,1708610959.6205995,1708610959.6558318,5
4,1708610964.6178808,1708610964.6471481,5
5,1708610969.7206867,1708610969.7448938,5
6,1708610974.8193557,1708610974.846243,5
7,1708610979.9166946,1708610979.939941,5
8,1708610985.0243485,1708610985.0502818,5
9,1708610990.119593,1708610990.1437485,5
10,1708610995.2165508,1708610995.23948,5
11,1708611000.3215122,1708611000.3465877,5
12,1708611005.3179586,1708611005.3407722,5
13,1708611010.4209433,1708611010.4465601,5
14,1708611015.519279,1708611015.5415535,5
15,1708611020.6201274,1708611020.642863,5
16,1708611025.6188538,1708611025.6538432,5
17,1708611030.6199176,1708611030.6466918,5
18,1708611035.7168038,1708611035.7383106,5
19,1708611040.7231503,1708611040.7503695,5
20,1708611045.8208404,1708611045.8420377,5
21,1708611050.9187872,1708611050.940427,5
22,1708611056.0185153,1708611056.0403786,5
23,1708611061.0204973,1708611061.0414982,5
24,1708611066.223363,1708611066.2594457,5
25,1708611071.216472,1708611071.2403467,5
26,1708611076.3157163,1708611076.3402061,5
27,1708611081.3225331,1708611081.3514729,5
28,1708611086.4270148,1708611086.4536672,5
29,1708611091.5223668,1708611091.5493338,5
30,1708611096.620545,1708611096.6547933,5
31,1708611101.7167265,1708611101.7391706,5
32,1708611106.717292,1708611106.7464235,5
33,1708611111.8188596,1708611111.8385723,5
34,1708611116.918544,1708611116.950498,5
35,1708611122.01489,1708611122.0374258,5
36,1708611127.0254142,1708611127.0533752,5
37,1708611132.2193084,1708611132.2444644,5
38,1708611137.3193016,1708611137.3452003,5
39,1708611142.4234731,1708611142.4435997,5
40,1708611147.417394,1708611147.4424503,5
41,1708611152.5179596,1708611152.5400746,5
42,1708611157.5229025,1708611157.547797,5
43,1708611162.5211005,1708611162.547824,5
44,1708611167.6197026,1708611167.6458132,5
45,1708611172.7151217,1708611172.7481575,5
46,1708611177.718146,1708611177.7524388,5
