,vehicleid,recievetime
0,EW1,1709072163.214106
1,EW1,1709072163.2481248
2,EW1,1709072163.2526658
3,EW1,1709072163.2604268
4,EW1,1709072163.2688115
5,EW1,1709072163.2741234
6,EW1,1709072163.2785742
7,EW1,1709072163.2948189
8,EW1,1709072163.2992709
9,EW1,1709072163.3059902
10,EW1,1709072163.3131914
11,EW1,1709072163.329358
12,EW1,1709072163.334591
13,EW1,1709072163.3393223
14,EW1,1709072163.3499992
15,EW1,1709072163.3545024
16,EW1,1709072163.3596494
17,EW1,1709072163.3642638
18,EW1,1709072163.3688848
19,EW1,1709072163.373359
20,EW1,1709072163.378406
21,EW1,1709072163.3831007
22,EW1,1709072163.393954
23,EW1,1709072163.410072
24,EW1,1709072163.4272928
25,EW1,1709072163.4433231
26,EW1,1709072163.451154
27,EW1,1709072163.461201
28,EW1,1709072163.4712157
29,EW1,1709072163.4802315
30,EW1,1709072163.4883687
31,EW1,1709072163.4978929
32,EW1,1709072163.518412
33,EW1,1709072163.5320842
34,EW1,1709072163.540128
35,EW1,1709072163.5507793
36,EW1,1709072163.5574992
37,EW1,1709072163.564576
38,EW1,1709072163.5733821
39,EW1,1709072163.5829387
40,EW1,1709072163.5912752
41,EW1,1709072163.596409
42,EW1,1709072163.603777
43,EW1,1709072163.610419
44,EW1,1709072163.6165934
45,EW1,1709072163.6220536
46,EW1,1709072163.6297534
47,EW1,1709072163.6362808
48,EW1,1709072163.6469126
49,EW1,1709072163.6565988
50,EW1,1709072163.6621218
51,EW1,1709072163.6678445
52,EW1,1709072163.6797936
53,EW1,1709072163.6864002
54,EW1,1709072163.7004657
55,EW1,1709072163.7061563
56,EW1,1709072163.7172825
57,EW1,1709072163.7239394
58,EW1,1709072163.7308757
59,EW1,1709072163.735958
60,EW1,1709072163.7419622
61,EW1,1709072163.7487915
62,EW1,1709072163.7566254
63,EW1,1709072163.7642024
64,EW1,1709072163.77562
65,EW1,1709072163.8007045
66,EW1,1709072163.806574
67,EW1,1709072163.8146048
68,EW1,1709072163.8213677
69,EW1,1709072163.829561
70,EW1,1709072163.8355994
71,EW1,1709072163.84194
72,EW1,1709072163.8516965
73,EW1,1709072163.8587897
74,EW1,1709072163.86687
75,EW1,1709072163.8739984
76,EW1,1709072163.8940978
77,EW1,1709072163.8988674
78,EW1,1709072163.906905
79,EW1,1709072163.9138432
80,EW1,1709072163.9241385
81,EW1,1709072163.9287236
82,EW1,1709072163.9344702
83,EW1,1709072163.9391723
84,EW1,1709072163.9439309
85,EW1,1709072163.9518864
86,EW1,1709072163.958339
87,EW1,1709072163.9643097
88,EW1,1709072163.9700427
89,EW1,1709072163.9818869
90,EW1,1709072164.0006282
91,EW1,1709072164.0088842
92,EW1,1709072164.01641
93,EW1,1709072164.0356865
94,EW1,1709072164.0467823
95,EW1,1709072164.0520217
96,EW1,1709072164.0649624
97,EW1,1709072164.0701182
98,EW1,1709072164.0798924
99,EW1,1709072164.0848882
100,EW1,1709072164.092512
101,EW1,1709072164.101329
102,EW1,1709072164.112985
103,EW1,1709072164.1243732
104,EW1,1709072164.1327522
105,EW1,1709072164.137025
106,EW1,1709072164.1438696
107,EW1,1709072164.1691504
108,EW1,1709072164.176092
109,EW1,1709072164.181401
110,EW1,1709072164.1858687
111,EW1,1709072164.1907058
112,EW1,1709072164.1949515
113,EW1,1709072164.1993718
114,EW1,1709072164.2040763
115,EW1,1709072164.2119172
116,EW1,1709072164.2160408
117,EW1,1709072164.220766
118,EW1,1709072164.2320154
119,EW1,1709072164.24014
120,EW1,1709072164.246614
121,EW1,1709072164.2522528
122,EW1,1709072164.2736905
123,EW1,1709072164.2885804
124,EW1,1709072164.2957299
125,EW1,1709072164.3005435
126,EW1,1709072164.3082416
127,EW1,1709072164.3138084
128,EW1,1709072164.3205912
129,EW1,1709072164.3273947
130,EW1,1709072164.3375437
131,EW1,1709072164.3475106
132,EW1,1709072164.3530176
133,EW1,1709072164.3615973
134,EW1,1709072164.3775928
135,EW1,1709072164.3836534
136,EW1,1709072164.3910635
137,EW1,1709072164.3969436
138,EW1,1709072164.4050133
139,EW1,1709072164.4223998
140,EW1,1709072164.4271522
141,EW1,1709072164.431829
142,EW1,1709072164.4419286
