,starttime,endtime,
0,1709072151,1709072151,1.00136E-05
1,1709072151,1709072151,1.00136E-05
2,1709072151,1709072151,1.00136E-05
3,1709072151,1709072151,1.00136E-05
4,1709072151,1709072151,1.00136E-05
5,1709072151,1709072151,0
6,1709072151,1709072151,0
7,1709072152,1709072152,1.00136E-05
8,1709072152,1709072152,0
9,1709072152,1709072152,1.00136E-05
10,1709072152,1709072152,1.00136E-05
11,1709072152,1709072152,1.00136E-05
12,1709072152,1709072152,0
13,1709072152,1709072152,1.00136E-05
14,1709072152,1709072152,1.00136E-05
15,1709072152,1709072152,1.00136E-05
16,1709072152,1709072152,1.00136E-05
17,1709072153,1709072153,0
18,1709072153,1709072153,1.00136E-05
19,1709072153,1709072153,1.00136E-05
20,1709072153,1709072153,1.00136E-05
21,1709072153,1709072153,1.00136E-05
22,1709072153,1709072153,1.00136E-05
23,1709072153,1709072153,1.00136E-05
24,1709072153,1709072153,0
25,1709072153,1709072153,0
26,1709072153,1709072153,1.00136E-05
27,1709072154,1709072154,1.00136E-05
28,1709072154,1709072154,1.00136E-05
29,1709072154,1709072154,0
30,1709072154,1709072154,1.00136E-05
31,1709072154,1709072154,0
32,1709072154,1709072154,1.00136E-05
33,1709072154,1709072154,0
34,1709072154,1709072154,0
35,1709072154,1709072154,1.00136E-05
36,1709072154,1709072154,1.00136E-05
37,1709072155,1709072155,0
38,1709072155,1709072155,1.00136E-05
39,1709072155,1709072155,1.00136E-05
40,1709072155,1709072155,1.00136E-05
41,1709072155,1709072155,0
42,1709072155,1709072155,1.00136E-05
43,1709072155,1709072155,0
44,1709072155,1709072155,0
45,1709072155,1709072155,1.00136E-05
46,1709072155,1709072155,0
47,1709072156,1709072156,1.00136E-05
48,1709072156,1709072156,9.77516E-06
49,1709072156,1709072156,0
50,1709072156,1709072156,1.00136E-05
51,1709072156,1709072156,0
52,1709072156,1709072156,0
53,1709072156,1709072156,1.00136E-05
54,1709072156,1709072156,0
55,1709072156,1709072156,1.00136E-05
56,1709072156,1709072156,0
57,1709072157,1709072157,9.77516E-06
58,1709072157,1709072157,1.00136E-05
59,1709072157,1709072157,1.00136E-05
60,1709072157,1709072157,9.77516E-06
61,1709072157,1709072157,1.00136E-05
62,1709072157,1709072157,0
63,1709072157,1709072157,1.00136E-05
64,1709072157,1709072157,1.00136E-05
65,1709072157,1709072157,9.77516E-06
66,1709072157,1709072157,9.77516E-06
67,1709072158,1709072158,1.00136E-05
68,1709072158,1709072158,1.00136E-05
69,1709072158,1709072158,1.00136E-05
70,1709072158,1709072158,1.00136E-05
71,1709072158,1709072158,1.00136E-05
72,1709072158,1709072158,1.00136E-05
73,1709072158,1709072158,9.77516E-06
74,1709072159,1709072159,1.00136E-05
75,1709072159,1709072159,1.00136E-05
76,1709072159,1709072159,1.00136E-05
77,1709072159,1709072159,0
78,1709072159,1709072159,0
79,1709072159,1709072159,3.00407E-05
80,1709072159,1709072159,1.00136E-05
81,1709072159,1709072159,1.00136E-05
82,1709072159,1709072159,0
83,1709072159,1709072159,0
84,1709072160,1709072160,0
85,1709072160,1709072160,0
86,1709072160,1709072160,1.00136E-05
87,1709072160,1709072160,0
88,1709072160,1709072160,1.00136E-05
89,1709072160,1709072160,0
90,1709072160,1709072160,1.00136E-05
91,1709072160,1709072160,1.00136E-05
