,vehicleid,transtime
0,NE011,1708634359.6072187
1,NE010,1708634359.6090035
2,NE09,1708634359.633494
3,NE08,1708634359.635727
4,NE07,1708634359.6378386
5,NE06,1708634359.6401277
6,NE05,1708634359.6423175
7,NE04,1708634359.6480389
8,NE03,1708634359.6504345
9,NE02,1708634359.652632
10,NE01,1708634359.654965
11,NE00,1708634359.657283
12,NS111,1708634359.6605184
13,NS110,1708634359.662899
14,NS19,1708634359.665392
15,NS18,1708634359.6675951
16,NS17,1708634359.6697078
17,NS16,1708634359.6718595
18,NS15,1708634359.6738486
19,NS14,1708634359.6763852
20,NS13,1708634359.678811
21,NS12,1708634359.681896
22,NS11,1708634359.6867518
23,NS10,1708634359.6888976
24,NW111,1708634359.691361
25,NW110,1708634359.6937754
26,NW19,1708634359.6962886
27,NW18,1708634359.6984725
28,NW17,1708634359.7003858
29,NW16,1708634359.7022674
30,NW15,1708634359.7040892
31,NW14,1708634359.705917
32,NW13,1708634359.7078032
33,NW12,1708634359.7096937
34,NW11,1708634359.7118478
35,NW10,1708634359.7139482
36,SW011,1708634359.715893
37,SW010,1708634359.718022
38,SW09,1708634359.7201464
39,SW08,1708634359.7222917
40,SW07,1708634359.724315
41,SW06,1708634359.7263582
42,SW05,1708634359.7283955
43,SW04,1708634359.7300985
44,SW03,1708634359.7320657
45,SW02,1708634359.7338288
46,SW01,1708634359.7360966
47,SW00,1708634359.738001
48,SN111,1708634359.7416668
49,SN110,1708634359.7437446
50,SN19,1708634359.7458494
51,SN18,1708634359.7480114
52,SN17,1708634359.75002
53,SN16,1708634359.7519429
54,SN15,1708634359.7536151
55,SN14,1708634359.7557971
56,SN13,1708634359.7577004
57,SN12,1708634359.7601538
58,SN11,1708634359.762912
59,SN10,1708634359.7647617
60,SE111,1708634359.766686
61,SE110,1708634359.7682688
62,SE19,1708634359.7701287
63,SE18,1708634359.7724874
64,SE17,1708634359.777745
65,SE16,1708634359.7811892
66,SE15,1708634359.784044
67,SE14,1708634359.7859144
68,SE13,1708634359.7875917
69,SE12,1708634359.7893944
70,SE11,1708634359.7914662
71,SE10,1708634359.793604
72,WN010,1708634359.7966692
73,WN09,1708634359.8003862
74,WN08,1708634359.8024824
75,WN07,1708634359.8046236
76,WN06,1708634359.8068025
77,WN05,1708634359.8105505
78,WN04,1708634359.8144667
79,WN03,1708634359.8177836
80,WN02,1708634359.820534
81,WN01,1708634359.823305
82,WN00,1708634359.8264608
83,WE110,1708634359.8293152
84,WE19,1708634359.831972
85,WE18,1708634359.8345892
86,WE17,1708634359.837197
87,WE16,1708634359.839737
88,WE15,1708634359.8422978
89,WE14,1708634359.8449306
90,WE13,1708634359.848422
91,WE12,1708634359.851857
92,WE11,1708634359.856569
93,WE10,1708634359.8591135
94,WS110,1708634359.8618283
