,starttime,endtime,phaseDuration,,
0,1709218152,1709218152,5,,6.00815E-05
1,1709218157,1709218157,5,,0.004800081
2,1709218162,1709218162,5,,0.004729986
3,1709218167,1709218167,5,,0.00831008
4,1709218172,1709218172,5,,0.004189968
5,1709218177,1709218177,5,,0.005089998
6,1709218182,1709218182,5,,0.006029844
7,1709218187,1709218187,5,,0.004130125
8,1709218192,1709218192,5,,0.005620003
9,1709218198,1709218198,5,,0.00459981
10,1709218203,1709218203,5,,0.004359961
11,1709218208,1709218208,5,,0.004510164
12,1709218213,1709218213,25,,0.004220009
13,1709218238,1709218238,5,,0.004070044
14,1709218243,1709218243,5,,0.004889965
15,1709218248,1709218248,5,,0.005789995
16,1709218253,1709218253,5,,0.005270004
17,1709218258,1709218258,25,,0.00518012
18,1709218283,1709218283,5,,0.004989862
19,1709218288,1709218288,5,,0.009239912
20,1709218293,1709218293,5,,0.008620024
21,1709218298,1709218298,5,,0.004649878
22,1709218304,1709218304,5,,0.004029989
23,1709218309,1709218309,25,,0.003990173
24,1709218334,1709218334,25,,0.011100054
25,1709218359,1709218359,5,,0.00999999
26,1709218364,1709218364,25,,0.00425005
27,1709218389,1709218389,5,,0.003400087
28,1709218394,1709218394,5,,0.005639791
29,1709218399,1709218399,5,,0.00474
30,1709218404,1709218404,8,,0.003130198
31,1709218412,1709218412,20,,0.008270025
32,1709218432,1709218432,5,,0.00398016
33,1709218437,1709218437,5,,0.003469944
34,1709218443,1709218443,25,,0.004649878
35,1709218468,1709218468,5,,0.003890038
36,1709218473,1709218473,25,,0.003409863
37,1709218498,1709218498,5,,0.008179903
38,1709218503,1709218503,5,,0.007780075
39,1709218508,1709218508,5,,0.012089968
40,1709218513,1709218513,5,,0.012989998
41,1709218518,1709218518,5,,0.008110046
42,1709218523,1709218523,5,,0.019000053
43,1709218528,1709218528,5,,0.013180017
44,1709218533,1709218533,5,,0.013280153
45,1709218538,1709218538,25,,0.009089947
46,1709218564,1709218564,5,,0.004319906
47,1709218569,1709218569,25,,0.003690004
48,1709218594,1709218594,5,,0.005020142
49,1709218599,1709218599,5,,0.004970074
50,1709218604,1709218604,5,,0.005620003
51,1709218609,1709218609,5,,0.010509968
52,1709218614,1709218614,5,,0.005470037
53,1709218619,1709218619,5,,0.006869793
54,1709218624,1709218624,5,,0.011940002
55,1709218629,1709218629,5,,0.014320135
56,1709218634,1709218634,5,,0.008179903
57,1709218640,1709218640,5,,0.005279779
58,1709218644,1709218644,25,,0.005779982
59,1709218670,1709218670,5,,0.004360199
60,1709218675,1709218675,5,,0.010259867
61,1709218680,1709218680,5,,0.005529881
62,1709218685,1709218685,5,,0.006869793
63,1709218690,1709218690,5,,0.005190134
64,1709218695,1709218695,5,,0.005519867
65,1709218700,1709218700,25,,0.005679846
66,1709218725,1709218725,5,,0.004119873
67,1709218730,1709218730,5,,0.005280018
68,1709218735,1709218735,5,,0.007130146
69,1709218740,1709218740,5,,0.006190062
70,1709218745,1709218745,25,,0.00296998
71,1709218770,1709218770,25,,0.005249977
72,1709218796,1709218796,25,,0.010020018
73,1709218821,1709218821,5,,0.005019903
74,1709218826,1709218826,5,,0.004190207
75,1709218831,1709218831,9,,0.003659964
76,1709218840,1709218840,25,,0.004719973
77,1709218865,1709218865,25,,0.004790068
78,1709218890,1709218890,8,,0.008679867
79,1709218898,1709218898,5,,0.017309904
80,1709218903,1709218903,5,,0.006939888
81,1709218908,1709218908,5,,0.008499861
82,1709218913,1709218913,5,,0.008300066
83,1709218918,1709218918,25,,0.004879951
84,1709218943,1709218943,5,,0.004529953
85,1709218948,1709218948,5,,0.008229971
86,1709218953,1709218953,5,,0.005019903
87,1709218958,1709218958,5,,0.00541997
88,1709218964,1709218964,5,,0.007499933
89,1709218969,1709218969,5,,0.013479948
90,1709218974,1709218974,5,,0.013750076
91,1709218979,1709218979,5,,0.007419825
92,1709218984,1709218984,5,,0.01809001
93,1709218989,1709218989,5,,0.010479927
94,1709218994,1709218994,5,,0.014500141
95,1709218999,1709218999,25,,0.008440018
96,1709219024,1709219024,25,,0.010930061
97,1709219049,1709219049,5,,0.004489899
98,1709219054,1709219054,5,,0.003200054
99,1709219060,1709219060,25,,0.003630161
100,1709219085,1709219085,25,,0.00977993
,,,,,0.00690316
