,starttime,endtime,phaseDuration,,
0,1709217033,1709217033,7,,0.220879793
1,1709217040,1709217040,7,,0.021339893
2,1709217047,1709217047,10,,0.021919966
3,1709217057,1709217057,11,,0.019619942
4,1709217068,1709217068,11,,0.018249989
5,1709217079,1709217079,11,,0.029910088
6,1709217090,1709217090,11,,0.026299953
7,1709217101,1709217101,11,,0.022379875
8,1709217112,1709217112,11,,0.021090031
9,1709217123,1709217123,11,,0.019490004
10,1709217134,1709217134,11,,0.023699999
11,1709217145,1709217145,11,,0.024460077
12,1709217157,1709217157,11,,0.019599915
13,1709217168,1709217168,11,,0.021120071
14,1709217179,1709217179,11,,0.02489996
15,1709217190,1709217190,11,,0.022629976
16,1709217201,1709217201,10,,0.021420002
17,1709217211,1709217211,12,,0.030230045
18,1709217223,1709217223,10,,0.032739878
19,1709217233,1709217233,7,,0.018670082
20,1709217240,1709217240,11,,0.022400141
21,1709217251,1709217251,11,,0.023790121
22,1709217262,1709217262,11,,0.021330118
23,1709217273,1709217273,11,,0.019260168
24,1709217285,1709217285,11,,0.020109892
25,1709217296,1709217296,11,,0.017240047
26,1709217307,1709217307,7,,0.020230055
27,1709217314,1709217314,11,,0.018190145
28,1709217325,1709217325,11,,0.024450064
29,1709217336,1709217336,11,,0.029119968
30,1709217347,1709217347,11,,0.020530224
31,1709217358,1709217358,11,,0.027170181
32,1709217369,1709217369,11,,0.023580074
33,1709217380,1709217380,12,,0.026600122
34,1709217392,1709217392,11,,0.027530193
35,1709217403,1709217403,11,,0.021009922
36,1709217414,1709217414,11,,0.019099951
37,1709217425,1709217425,12,,0.023720026
38,1709217437,1709217437,11,,0.023550034
39,1709217448,1709217449,11,,0.031389952
40,1709217460,1709217460,11,,0.038689852
41,1709217471,1709217471,10,,0.027089834
42,1709217481,1709217481,12,,0.004830122
43,1709217493,1709217493,11,,0.023519993
44,1709217504,1709217504,11,,0.019340038
45,1709217515,1709217515,10,,0.025259972
46,1709217525,1709217525,10,,0.02173996
47,1709217535,1709217535,11,,0.022680044
48,1709217546,1709217546,11,,0.021510124
49,1709217557,1709217557,10,,0.021790028
50,1709217567,1709217567,11,,0.031110048
51,1709217578,1709217578,11,,0.02421999
52,1709217589,1709217589,11,,0.026970148
53,1709217600,1709217601,11,,0.029989958
54,1709217611,1709217611,12,,0.022079945
55,1709217624,1709217624,12,,0.023330212
56,1709217636,1709217636,11,,0.017179966
57,1709217647,1709217647,11,,0.017339945
58,1709217658,1709217658,11,,0.020399809
59,1709217669,1709217669,11,,0.029930115
60,1709217680,1709217680,12,,0.033109903
61,1709217692,1709217692,11,,0.022270203
62,1709217703,1709217703,11,,0.028130054
63,1709217714,1709217714,11,,0.021430016
64,1709217725,1709217725,11,,0.021579981
65,1709217736,1709217736,11,,0.020699978
66,1709217747,1709217747,11,,0.017699957
67,1709217759,1709217759,12,,0.019019842
68,1709217771,1709217771,12,,0.021409988
69,1709217783,1709217783,12,,0.019429922
70,1709217795,1709217795,12,,0.022050142
71,1709217807,1709217807,12,,0.005949974
72,1709217819,1709217819,12,,0.006299973
73,1709217831,1709217831,12,,0.007949829
74,1709217843,1709217843,12,,0.008640051
75,1709217855,1709217855,12,,0.008460045
76,1709217867,1709217867,12,,0.006249905
77,1709217879,1709217879,12,,0.008709908
78,1709217891,1709217891,12,,0.007799864
79,1709217904,1709217904,12,,0.012880087
80,1709217916,1709217916,12,,0.008010149
81,1709217928,1709217928,12,,0.007019997
82,1709217940,1709217940,12,,0.008440018
83,1709217952,1709217952,12,,0.004719973
84,1709217964,1709217964,12,,0.003859997
85,1709217976,1709217976,12,,0.005730152
86,1709217988,1709217988,12,,0.004709959
,,,,,
,,,,,0.022439206
