,starttime,endtime
0,1709217027.5152194,1709217027.5152302
1,1709217027.569847,1709217027.5698543
2,1709217027.6696808,1709217027.6696882
3,1709217027.769768,1709217027.7697737
4,1709217027.8696172,1709217027.8696225
5,1709217027.97002,1709217027.9700272
6,1709217028.069754,1709217028.0697598
7,1709217028.1700842,1709217028.1700926
8,1709217028.2703543,1709217028.2703624
9,1709217028.3698993,1709217028.369907
10,1709217028.4791694,1709217028.4791749
11,1709217028.5772848,1709217028.5772913
12,1709217028.6768816,1709217028.676888
13,1709217028.772214,1709217028.7722201
14,1709217028.8747602,1709217028.874766
15,1709217028.9731674,1709217028.9731712
16,1709217029.0709028,1709217029.070909
17,1709217029.180375,1709217029.1803808
18,1709217029.2739196,1709217029.2739255
19,1709217029.3922424,1709217029.3922517
20,1709217029.4787302,1709217029.4787502
21,1709217029.587664,1709217029.5959911
22,1709217029.6717186,1709217029.6769414
23,1709217029.7734044,1709217029.7768953
24,1709217029.8723934,1709217029.8795102
25,1709217029.9792917,1709217029.983417
26,1709217030.0814104,1709217030.0854275
27,1709217030.176165,1709217030.1810331
28,1709217030.2835357,1709217030.287642
29,1709217030.3733842,1709217030.3774943
30,1709217030.475518,1709217030.4807186
31,1709217030.5741415,1709217030.5804524
32,1709217030.6731737,1709217030.6804807
33,1709217030.7819734,1709217030.7884018
34,1709217030.889792,1709217030.8946865
35,1709217030.974109,1709217030.979027
36,1709217031.084042,1709217031.0881636
37,1709217031.183553,1709217031.1876879
38,1709217031.2788084,1709217031.2840343
39,1709217031.371513,1709217031.3761616
40,1709217031.4929342,1709217031.5036378
41,1709217031.5730858,1709217031.5789385
42,1709217031.671749,1709217031.6756268
43,1709217031.7723055,1709217031.7779012
44,1709217031.8787236,1709217031.882991
45,1709217031.970082,1709217031.9737308
46,1709217032.0762308,1709217032.082615
47,1709217032.173448,1709217032.177519
48,1709217032.2858384,1709217032.2894423
49,1709217032.384438,1709217032.3899918
50,1709217032.4819777,1709217032.4857829
51,1709217032.5711355,1709217032.576329
52,1709217032.9005299,1709217032.9154603
53,1709217032.929848,1709217032.9341857
54,1709217032.975733,1709217032.9807594
55,1709217033.0767994,1709217033.0810935
56,1709217033.1743712,1709217033.178536
57,1709217033.2794516,1709217033.2835717
58,1709217033.3769114,1709217033.3835015
59,1709217033.4770942,1709217033.4825852
60,1709217033.5832067,1709217033.5873609
61,1709217033.6769004,1709217033.681737
62,1709217033.7754521,1709217033.7795177
63,1709217033.8806846,1709217033.884898
64,1709217033.9767327,1709217033.9801111
65,1709217034.0830085,1709217034.0873585
66,1709217034.185031,1709217034.1891015
67,1709217034.2895646,1709217034.2955418
68,1709217034.373591,1709217034.3783014
69,1709217034.4808252,1709217034.4854534
70,1709217034.5852036,1709217034.5884936
71,1709217034.6798398,1709217034.6836905
72,1709217034.7744238,1709217034.7823274
73,1709217034.8719192,1709217034.8753788
74,1709217034.9841282,1709217034.9945984
75,1709217035.0797215,1709217035.0843034
76,1709217035.185944,1709217035.190051
77,1709217035.272974,1709217035.2758687
78,1709217035.3754103,1709217035.379186
79,1709217035.4768107,1709217035.480604
80,1709217035.934907,1709217035.9415843
81,1709217035.9500537,1709217035.9539344
82,1709217035.9746032,1709217035.9791355
83,1709217036.0741856,1709217036.0810175
84,1709217036.1723878,1709217036.1772976
85,1709217036.2746158,1709217036.278131
86,1709217036.3735204,1709217036.3770797
87,1709217036.4734316,1709217036.4777234
88,1709217036.577968,1709217036.5848408
89,1709217036.6763995,1709217036.6798177
90,1709217036.7761383,1709217036.7798665
91,1709217036.880879,1709217036.884628
92,1709217036.9768965,1709217036.9806187
93,1709217037.0776026,1709217037.0817633
94,1709217037.1752627,1709217037.1791153
95,1709217037.2746303,1709217037.2783659
96,1709217037.3863082,1709217037.3906384
97,1709217037.4789684,1709217037.486107
98,1709217037.5851185,1709217037.5943925
99,1709217037.6772354,1709217037.6823037
100,1709217037.775893,1709217037.7793975
101,1709217037.8823624,1709217037.886173
102,1709217037.9771643,1709217037.9804966
103,1709217038.074484,1709217038.0790997
104,1709217038.1730158,1709217038.1766396
105,1709217038.2750638,1709217038.2793367
106,1709217038.3786652,1709217038.3829744
107,1709217038.480828,1709217038.4850726
108,1709217038.5746782,1709217038.5782971
109,1709217038.6733954,1709217038.678901
110,1709217038.774395,1709217038.7787428
111,1709217038.8792012,1709217038.8824954
112,1709217038.970731,1709217038.9739509
113,1709217039.08235,1709217039.0863378
114,1709217039.1804285,1709217039.1862364
115,1709217039.2795136,1709217039.2839127
116,1709217039.380554,1709217039.3907695
117,1709217039.472203,1709217039.475551
118,1709217039.5774946,1709217039.5812426
119,1709217039.700371,1709217039.7044103
120,1709217039.7712088,1709217039.7745283
121,1709217039.883305,1709217039.8871107
122,1709217039.9783018,1709217039.987696
123,1709217040.081513,1709217040.0858667
124,1709217040.176808,1709217040.1827428
125,1709217040.2784026,1709217040.2819417
126,1709217040.3787277,1709217040.382726
127,1709217040.48432,1709217040.487999
128,1709217040.572874,1709217040.576672
129,1709217040.679303,1709217040.6835113
130,1709217040.7785301,1709217040.781783
131,1709217040.8757343,1709217040.8781595
132,1709217040.9776175,1709217040.9815192
133,1709217041.0719938,1709217041.0761292
134,1709217041.176127,1709217041.1839056
135,1709217041.2763143,1709217041.2792768
136,1709217041.3718362,1709217041.3758633
137,1709217041.4724474,1709217041.4770596
138,1709217041.571409,1709217041.5748894
139,1709217041.673744,1709217041.6780443
140,1709217041.7904112,1709217041.7954378
141,1709217041.8706038,1709217041.8747485
142,1709217041.9819043,1709217041.9899569
143,1709217042.0753295,1709217042.0790665
144,1709217042.1755424,1709217042.1822577
145,1709217042.281986,1709217042.287001
146,1709217042.3737736,1709217042.377692
147,1709217042.4715776,1709217042.4754221
148,1709217042.5866725,1709217042.590719
149,1709217042.6742082,1709217042.6779792
150,1709217042.7829363,1709217042.7917905
151,1709217042.8742557,1709217042.8784475
152,1709217042.9736788,1709217042.976618
153,1709217043.0708807,1709217043.0739813
154,1709217043.1745465,1709217043.1779447
155,1709217043.274474,1709217043.27761
156,1709217043.3749368,1709217043.3785007
157,1709217043.47211,1709217043.4757757
158,1709217043.5779707,1709217043.5860646
159,1709217043.6767542,1709217043.682197
160,1709217043.7763088,1709217043.7798083
161,1709217043.8786821,1709217043.8823006
162,1709217043.9747865,1709217043.978361
163,1709217044.0704274,1709217044.0740168
164,1709217044.1712554,1709217044.1745572
165,1709217044.2732816,1709217044.2768726
166,1709217044.3708792,1709217044.3746834
167,1709217044.4736404,1709217044.4770076
168,1709217044.5729818,1709217044.576332
169,1709217044.6786323,1709217044.6821227
170,1709217044.7788935,1709217044.782681
171,1709217044.872051,1709217044.8796751
172,1709217044.9754233,1709217044.978689
173,1709217045.080817,1709217045.0845995
174,1709217045.1865954,1709217045.1895082
175,1709217045.2706547,1709217045.2738106
176,1709217045.3730893,1709217045.376487
177,1709217045.4804678,1709217045.4843981
178,1709217045.577367,1709217045.5810864
179,1709217045.6713018,1709217045.6748219
180,1709217045.777705,1709217045.7811675
181,1709217045.8732634,1709217045.8789616
182,1709217045.97767,1709217045.9808698
183,1709217046.0766423,1709217046.0799348
184,1709217046.1738777,1709217046.1772738
185,1709217046.2758045,1709217046.2868412
186,1709217046.373559,1709217046.3776424
187,1709217046.4774168,1709217046.4820154
188,1709217046.588535,1709217046.591145
189,1709217046.7095835,1709217046.7148132
190,1709217046.7805176,1709217046.7838378
191,1709217046.8725562,1709217046.8754795
192,1709217046.9906573,1709217046.9960449
193,1709217047.0752702,1709217047.0798624
194,1709217047.1744597,1709217047.1773822
195,1709217047.2739446,1709217047.277256
196,1709217047.377833,1709217047.380908
197,1709217047.4794903,1709217047.4820704
198,1709217047.5743067,1709217047.5778174
199,1709217047.6722984,1709217047.6781666
200,1709217047.7783878,1709217047.7814517
201,1709217047.8725572,1709217047.8753848
202,1709217047.9738686,1709217047.9766362
203,1709217048.0750904,1709217048.0801485
204,1709217048.1750653,1709217048.1782737
205,1709217048.274906,1709217048.2795966
206,1709217048.3756437,1709217048.3789618
207,1709217048.473419,1709217048.4762273
208,1709217048.5801904,1709217048.5824606
209,1709217048.6762269,1709217048.6789858
210,1709217048.784961,1709217048.7873917
211,1709217048.8753266,1709217048.8791056
212,1709217048.9726045,1709217048.978468
213,1709217049.0844038,1709217049.0892985
214,1709217049.171549,1709217049.174942
215,1709217049.2728407,1709217049.2754676
216,1709217049.3768458,1709217049.3794575
217,1709217049.472143,1709217049.475571
218,1709217049.570925,1709217049.5739436
219,1709217049.6746106,1709217049.6777332
220,1709217049.7722774,1709217049.7758636
221,1709217049.8750083,1709217049.8780363
222,1709217050.007712,1709217050.0103416
223,1709217050.0810013,1709217050.0842838
224,1709217050.171048,1709217050.1756783
225,1709217050.2745388,1709217050.2772412
226,1709217050.3716984,1709217050.3750637
227,1709217050.4797676,1709217050.4827807
228,1709217050.5725658,1709217050.5767136
229,1709217050.6739423,1709217050.676453
230,1709217050.7726579,1709217050.7760031
231,1709217050.8718345,1709217050.8747203
232,1709217050.9724822,1709217050.976124
233,1709217051.0707192,1709217051.073882
234,1709217051.1745617,1709217051.1773896
235,1709217051.2720225,1709217051.2744715
236,1709217051.37406,1709217051.3760405
237,1709217051.4730687,1709217051.4758818
238,1709217051.5715394,1709217051.5763724
239,1709217051.6845527,1709217051.6870751
240,1709217051.7774198,1709217051.7804432
241,1709217051.875567,1709217051.8787904
242,1709217051.977253,1709217051.9833663
243,1709217052.073213,1709217052.0757532
244,1709217052.1714842,1709217052.1746185
245,1709217052.2707624,1709217052.2744813
246,1709217052.3734412,1709217052.3768032
247,1709217052.4755423,1709217052.4779327
248,1709217052.5739083,1709217052.5769987
249,1709217052.676261,1709217052.679195
250,1709217052.7707987,1709217052.7732859
251,1709217052.873031,1709217052.875896
252,1709217052.9763806,1709217052.9795477
253,1709217053.0751154,1709217053.0773218
254,1709217053.1732566,1709217053.1764984
255,1709217053.271524,1709217053.2747042
256,1709217053.3728943,1709217053.3754225
257,1709217053.4812624,1709217053.48462
258,1709217053.5737042,1709217053.5765252
259,1709217053.6751168,1709217053.6779366
260,1709217053.7729619,1709217053.7759485
261,1709217053.8754532,1709217053.8783574
262,1709217053.9774513,1709217053.9801407
263,1709217054.073903,1709217054.0765305
264,1709217054.1720266,1709217054.1749947
265,1709217054.2728598,1709217054.2753134
266,1709217054.3725574,1709217054.3758032
267,1709217054.472457,1709217054.4759727
268,1709217054.5789628,1709217054.5819254
269,1709217054.6758296,1709217054.678599
270,1709217054.770796,1709217054.7735472
271,1709217054.871208,1709217054.874289
272,1709217054.9757884,1709217054.97876
273,1709217055.074516,1709217055.077123
274,1709217055.180481,1709217055.1833045
275,1709217055.2722323,1709217055.274924
276,1709217055.3701096,1709217055.3731043
277,1709217055.4735575,1709217055.4760153
278,1709217055.571201,1709217055.5746775
279,1709217055.6705387,1709217055.6734524
280,1709217055.771255,1709217055.7741086
281,1709217055.871343,1709217055.8737133
282,1709217055.9717026,1709217055.9743261
283,1709217056.0737362,1709217056.0765944
284,1709217056.17279,1709217056.175576
285,1709217056.2722235,1709217056.2750514
286,1709217056.3725295,1709217056.3755288
287,1709217056.47467,1709217056.4773972
288,1709217056.5739367,1709217056.5793548
289,1709217056.6750102,1709217056.677813
290,1709217056.792139,1709217056.794829
291,1709217056.8761113,1709217056.8790085
292,1709217056.973803,1709217056.9763832
293,1709217057.0726147,1709217057.0764754
294,1709217057.1751435,1709217057.177823
295,1709217057.274053,1709217057.2767358
296,1709217057.3697007,1709217057.3724837
297,1709217057.4720895,1709217057.474906
298,1709217057.5708883,1709217057.574455
299,1709217057.6754935,1709217057.6786935
300,1709217057.7743955,1709217057.777213
301,1709217057.8723438,1709217057.8749127
302,1709217057.9754798,1709217057.9781466
303,1709217058.0709403,1709217058.0735893
304,1709217058.1739578,1709217058.1766531
305,1709217058.2722516,1709217058.2749288
306,1709217058.3737738,1709217058.3765378
307,1709217058.4726415,1709217058.4752777
308,1709217058.5737245,1709217058.5762951
309,1709217058.6749823,1709217058.677822
310,1709217058.7740035,1709217058.774011
311,1709217058.8742979,1709217058.8743029
312,1709217058.9754505,1709217058.9754565
313,1709217059.0725293,1709217059.0725336
314,1709217059.1726456,1709217059.1726532
315,1709217059.2832904,1709217059.283296
316,1709217059.3732102,1709217059.3732162
317,1709217059.4754877,1709217059.475493
318,1709217059.575823,1709217059.5758288
319,1709217059.675583,1709217059.675591
320,1709217059.770899,1709217059.7709033
321,1709217059.870843,1709217059.8708494
322,1709217059.9713693,1709217059.9713748
323,1709217060.0730076,1709217060.0730126
324,1709217060.1755378,1709217060.1755435
325,1709217060.2790275,1709217060.2790322
326,1709217060.3755383,1709217060.3755448
327,1709217060.4731545,1709217060.4731603
328,1709217060.5762534,1709217060.5762591
329,1709217060.6753643,1709217060.6753693
330,1709217060.7732704,1709217060.7732759
331,1709217060.8731675,1709217060.8731747
332,1709217060.975264,1709217060.9752705
333,1709217061.0756185,1709217061.0756233
334,1709217061.17084,1709217061.1708457
335,1709217061.2717898,1709217061.2717953
336,1709217061.3719003,1709217061.3719075
337,1709217061.4719894,1709217061.471995
338,1709217061.5739343,1709217061.5739424
339,1709217061.6774187,1709217061.6774256
340,1709217061.775735,1709217061.7757404
341,1709217061.8808832,1709217061.8808897
342,1709217061.9763565,1709217061.9763622
343,1709217062.070955,1709217062.070961
344,1709217062.1727993,1709217062.1728044
345,1709217062.27666,1709217062.2766669
346,1709217062.3700068,1709217062.3700118
347,1709217062.4835393,1709217062.4835467
348,1709217062.5708008,1709217062.570806
349,1709217062.6751297,1709217062.6751366
350,1709217062.7735243,1709217062.7735293
351,1709217062.884456,1709217062.8844638
352,1709217062.9724877,1709217062.972494
353,1709217063.0751412,1709217063.075148
354,1709217063.1746826,1709217063.1746874
355,1709217063.2720106,1709217063.2720153
356,1709217063.373998,1709217063.374003
357,1709217063.4733374,1709217063.4733427
358,1709217063.5729246,1709217063.5729308
359,1709217063.6857195,1709217063.6857262
360,1709217063.773031,1709217063.7730365
361,1709217063.874462,1709217063.8744683
362,1709217063.9751542,1709217063.9751604
363,1709217064.078723,1709217064.0787299
364,1709217064.1774137,1709217064.1774201
365,1709217064.2832108,1709217064.283218
366,1709217064.3738341,1709217064.3738394
367,1709217064.4757142,1709217064.475722
368,1709217064.5748527,1709217064.574858
369,1709217064.6811323,1709217064.6811397
370,1709217064.7812624,1709217064.781268
371,1709217064.8808637,1709217064.8808699
372,1709217064.9757686,1709217064.9757762
373,1709217065.073861,1709217065.0738678
374,1709217065.1756208,1709217065.1756265
375,1709217065.282424,1709217065.282432
376,1709217065.3753755,1709217065.375382
377,1709217065.4735181,1709217065.4735243
378,1709217065.5698721,1709217065.5698783
379,1709217065.6804585,1709217065.6804664
380,1709217065.775072,1709217065.7750788
381,1709217065.8766878,1709217065.8766947
382,1709217065.9840045,1709217065.9840114
383,1709217066.0718114,1709217066.0718188
384,1709217066.1724527,1709217066.1724586
385,1709217066.2775102,1709217066.2775168
386,1709217066.3851972,1709217066.385203
387,1709217066.473253,1709217066.4732594
388,1709217066.5725164,1709217066.572522
389,1709217066.6703951,1709217066.6704016
390,1709217066.7772152,1709217066.777221
391,1709217066.8725421,1709217066.8725524
392,1709217066.9799392,1709217066.9799452
393,1709217067.0763671,1709217067.0763736
394,1709217067.1754794,1709217067.1754863
395,1709217067.2771218,1709217067.2771277
396,1709217067.3798518,1709217067.379857
397,1709217067.4746108,1709217067.4746163
398,1709217067.5766597,1709217067.5766659
399,1709217067.6770868,1709217067.6770914
400,1709217067.7701666,1709217067.7701719
401,1709217067.896335,1709217067.8963392
402,1709217067.9708304,1709217067.9708357
403,1709217068.0806184,1709217068.0806274
404,1709217068.1714323,1709217068.171439
405,1709217068.272256,1709217068.2722635
406,1709217068.3721163,1709217068.3721213
407,1709217068.4745002,1709217068.4745088
408,1709217068.576709,1709217068.576715
409,1709217068.671288,1709217068.6712937
410,1709217068.7754793,1709217068.7754867
411,1709217068.8758848,1709217068.8758905
412,1709217068.9798648,1709217068.9798708
413,1709217069.0904903,1709217069.0904956
414,1709217069.180238,1709217069.1802442
415,1709217069.2849247,1709217069.2849298
416,1709217069.376502,1709217069.3765123
417,1709217069.4707258,1709217069.4707341
418,1709217069.57959,1709217069.579596
419,1709217069.6745296,1709217069.6745374
420,1709217069.7772624,1709217069.7772686
421,1709217069.8793259,1709217069.882237
422,1709217069.9768078,1709217069.9798064
423,1709217070.0810852,1709217070.084299
424,1709217070.177712,1709217070.1821918
425,1709217070.2738838,1709217070.2769446
426,1709217070.3761113,1709217070.379298
427,1709217070.4834166,1709217070.4867165
428,1709217070.577063,1709217070.5797455
429,1709217070.678131,1709217070.681214
430,1709217070.776351,1709217070.7791822
431,1709217070.870594,1709217070.8736057
432,1709217070.9761527,1709217070.9787643
433,1709217071.0732942,1709217071.0764585
434,1709217071.1750798,1709217071.1808765
435,1709217071.2761586,1709217071.2789543
436,1709217071.3889225,1709217071.391489
437,1709217071.480956,1709217071.48343
438,1709217071.571684,1709217071.574697
439,1709217071.6769052,1709217071.6794405
440,1709217071.7718458,1709217071.774064
441,1709217071.8736103,1709217071.876108
442,1709217071.9728756,1709217071.9753308
443,1709217072.0810313,1709217072.0841763
444,1709217072.1767387,1709217072.179087
445,1709217072.2755158,1709217072.278348
446,1709217072.377377,1709217072.3803701
447,1709217072.4783285,1709217072.4809353
448,1709217072.586591,1709217072.5897608
449,1709217072.6963973,1709217072.6992495
450,1709217072.7753203,1709217072.7828658
451,1709217072.8814175,1709217072.8841848
452,1709217072.9722612,1709217072.974979
453,1709217073.0712256,1709217073.0740337
454,1709217073.1786048,1709217073.1814132
455,1709217073.281157,1709217073.2852755
456,1709217073.3760173,1709217073.378767
457,1709217073.4773872,1709217073.4801464
458,1709217073.5723882,1709217073.5752716
459,1709217073.6724143,1709217073.6759126
460,1709217073.778209,1709217073.7843423
461,1709217073.8816416,1709217073.8897357
462,1709217073.9741042,1709217073.9776366
463,1709217074.073379,1709217074.0763497
464,1709217074.1830454,1709217074.1861062
465,1709217074.275271,1709217074.2785223
466,1709217074.3799381,1709217074.3832324
467,1709217074.486518,1709217074.489415
468,1709217074.5777593,1709217074.5801954
469,1709217074.6748512,1709217074.676816
470,1709217074.777431,1709217074.7802923
471,1709217074.874178,1709217074.8777041
472,1709217074.986363,1709217074.9890726
473,1709217075.072176,1709217075.0748131
474,1709217075.194669,1709217075.1990316
475,1709217075.2774405,1709217075.2801845
476,1709217075.3727574,1709217075.3752322
477,1709217075.480465,1709217075.4832923
478,1709217075.5718615,1709217075.574921
479,1709217075.685266,1709217075.6933928
480,1709217075.778901,1709217075.7820015
481,1709217075.8807924,1709217075.8836262
482,1709217075.971375,1709217075.9745255
483,1709217076.0725741,1709217076.0749488
484,1709217076.1729708,1709217076.1751304
485,1709217076.2759893,1709217076.2791243
486,1709217076.3844752,1709217076.3884494
487,1709217076.4739833,1709217076.477322
488,1709217076.593931,1709217076.5984666
489,1709217076.687038,1709217076.6915255
490,1709217076.7741804,1709217076.7773776
491,1709217076.8742938,1709217076.8773882
492,1709217076.979057,1709217076.981931
493,1709217077.0728476,1709217077.075865
494,1709217077.1751955,1709217077.1777668
495,1709217077.2768223,1709217077.2797258
496,1709217077.3721807,1709217077.3748937
497,1709217077.4718747,1709217077.4745326
498,1709217077.5798278,1709217077.5825596
499,1709217077.6815538,1709217077.684603
500,1709217077.7743888,1709217077.7781463
501,1709217077.8903391,1709217077.8937602
502,1709217077.973075,1709217077.9763174
503,1709217078.075967,1709217078.0851972
504,1709217078.1728327,1709217078.175785
505,1709217078.2754846,1709217078.2783864
506,1709217078.3747668,1709217078.380034
507,1709217078.474093,1709217078.4771595
508,1709217078.575034,1709217078.5778484
