,vehicleid,recievetime
0,NE02,1709217030.7112594
1,NE01,1709217030.7202454
2,NE00,1709217030.736845
3,NS14,1709217030.7530904
4,NS13,1709217030.767761
5,NS12,1709217030.7776842
6,NS11,1709217030.7945135
7,NS10,1709217030.8069491
8,NW14,1709217030.821619
9,NW13,1709217030.8368905
10,NW12,1709217030.8512876
11,NW11,1709217030.8639588
12,NW10,1709217030.8761508
13,SW04,1709217030.889116
14,SW03,1709217030.9015396
15,SW02,1709217030.9146457
16,SW01,1709217030.9256852
17,SW00,1709217030.9380553
18,SN14,1709217030.9554348
19,SN13,1709217030.9712515
20,SN12,1709217030.984633
21,SN11,1709217030.9970124
22,SN10,1709217031.0112715
23,SE14,1709217031.0241508
24,SE13,1709217031.0407655
25,SE12,1709217031.0542293
26,SE11,1709217031.0662694
27,SE10,1709217031.0777051
28,WN04,1709217031.0909538
29,WN03,1709217031.1063797
30,WN02,1709217031.119803
31,WN01,1709217031.1322205
32,WN00,1709217031.141974
33,WE14,1709217031.1531942
34,WE13,1709217031.1664565
35,WE12,1709217031.1805387
36,WE11,1709217031.190141
37,WE10,1709217031.2054217
38,WS14,1709217031.2171264
39,WS13,1709217031.2279084
40,WS12,1709217031.2382376
41,WS11,1709217031.2496092
42,WS10,1709217031.2629597
43,ES04,1709217031.2772694
44,ES03,1709217031.2900798
45,ES02,1709217031.3091784
46,ES01,1709217031.322164
47,ES00,1709217031.3341115
48,EW14,1709217031.3472278
49,EW13,1709217031.3568532
50,EW12,1709217031.369387
51,EW11,1709217031.3862667
52,EW10,1709217031.403652
53,EN14,1709217031.414818
54,EN13,1709217031.426525
55,EN12,1709217031.4387612
56,EN11,1709217031.4506285
57,EN10,1709217031.4616134
58,NE04,1709217031.4764044
59,NE03,1709217031.492929
60,NE02,1709217031.511126
61,NE01,1709217031.516064
62,NE00,1709217031.5203116
63,NS14,1709217031.526005
64,NS13,1709217031.5308251
65,NS12,1709217031.5348141
66,NS11,1709217031.5390794
67,NS10,1709217031.5437424
68,NW14,1709217031.5484297
69,NW13,1709217031.5529006
70,NW12,1709217031.5615578
71,NW11,1709217031.5663102
72,NW10,1709217031.5720887
73,SW04,1709217031.5791314
74,SW03,1709217031.5840333
75,SW02,1709217031.5883796
76,SW01,1709217031.5926135
77,SW00,1709217031.5971034
78,SN14,1709217031.6013567
79,SN13,1709217031.6058643
80,SN12,1709217031.6130664
81,SN11,1709217031.6181667
82,SN10,1709217031.622577
83,SE14,1709217031.6281717
84,SE13,1709217031.633691
