,vehicleid,transtime
0,NE04,1709217029.1347423
1,NE03,1709217029.1360953
2,NE02,1709217029.1387382
3,NE01,1709217029.1408517
4,NE00,1709217029.147138
5,NS14,1709217029.1509354
6,NS13,1709217029.15536
7,NS12,1709217029.157875
8,NS11,1709217029.1617
9,NS10,1709217029.1650405
10,NW14,1709217029.167255
11,NW13,1709217029.169379
12,NW12,1709217029.17156
13,NW11,1709217029.1738803
14,NW10,1709217029.1760254
15,SW04,1709217029.1784136
16,SW03,1709217029.1810846
17,SW02,1709217029.183595
18,SW01,1709217029.186042
19,SW00,1709217029.1883185
20,SN14,1709217029.1906984
21,SN13,1709217029.1931787
22,SN12,1709217029.1954842
23,SN11,1709217029.201676
24,SN10,1709217029.209376
25,SE14,1709217029.212328
26,SE13,1709217029.2147303
27,SE12,1709217029.2179842
28,SE11,1709217029.220974
29,SE10,1709217029.223471
30,WN04,1709217029.2260644
31,WN03,1709217029.2292259
32,WN02,1709217029.2316918
33,WN01,1709217029.23414
34,WN00,1709217029.2367573
35,WE14,1709217029.239044
36,WE13,1709217029.2415617
37,WE12,1709217029.2444685
38,WE11,1709217029.2469652
39,WE10,1709217029.2493289
40,WS14,1709217029.2515633
41,WS13,1709217029.25389
42,WS12,1709217029.2565038
43,WS11,1709217029.258174
44,WS10,1709217029.261776
45,ES04,1709217029.264484
46,ES03,1709217029.2664115
47,ES02,1709217029.268744
48,ES01,1709217029.2713847
49,ES00,1709217029.2731333
50,EW14,1709217029.2761858
51,EW13,1709217029.2823644
52,EW12,1709217029.2851832
53,EW11,1709217029.2879496
54,EW10,1709217029.2915606
55,EN14,1709217029.2956047
56,EN13,1709217029.2980106
57,EN12,1709217029.3001292
58,EN11,1709217029.3023853
59,EN10,1709217029.3045645
60,NE04,1709217029.307644
61,NE03,1709217029.3106034
62,NE02,1709217029.3133826
63,NE01,1709217029.3159747
64,NE00,1709217029.318438
65,NS14,1709217029.320848
66,NS13,1709217029.323606
67,NS12,1709217029.3264298
68,NS11,1709217029.3290517
69,NS10,1709217029.3332915
70,NW14,1709217029.3354988
71,NW13,1709217029.3378472
72,NW12,1709217029.3399289
73,NW11,1709217029.3421004
