,starttime,endtime
0,1709218149.9857714,1709218149.9857836
1,1709218150.0425105,1709218150.04252
2,1709218150.1472769,1709218150.147284
3,1709218150.2474313,1709218150.2474394
4,1709218150.3498697,1709218150.3501813
5,1709218150.4412344,1709218150.4412417
6,1709218150.5375297,1709218150.5375373
7,1709218150.6388452,1709218150.638853
8,1709218150.7417393,1709218150.7417488
9,1709218150.841505,1709218150.8415148
10,1709218150.9384885,1709218150.9384975
11,1709218151.0467818,1709218151.046791
12,1709218151.1513476,1709218151.1513562
13,1709218151.2457426,1709218151.2457523
14,1709218151.349744,1709218151.3497527
15,1709218151.444199,1709218151.444208
16,1709218151.53841,1709218151.5384178
17,1709218151.6396968,1709218151.6397052
18,1709218151.753321,1709218151.7533283
19,1709218151.8519619,1709218151.8519688
20,1709218151.940934,1709218151.9409409
21,1709218152.037267,1709218152.037275
22,1709218152.1389518,1709218152.1389613
23,1709218152.2419045,1709218152.2419121
24,1709218152.3490686,1709218152.3490763
25,1709218152.43983,1709218152.4398375
26,1709218152.5401552,1709218152.5401633
27,1709218152.659601,1709218152.6596103
28,1709218152.7456636,1709218152.7456715
29,1709218152.8506227,1709218152.8506298
30,1709218152.9372075,1709218152.9372141
31,1709218153.0453303,1709218153.0453372
32,1709218153.1525977,1709218153.152604
33,1709218153.2414641,1709218153.2414708
34,1709218153.3466609,1709218153.346669
35,1709218153.4413269,1709218153.4413347
36,1709218153.5445228,1709218153.54453
37,1709218153.6380436,1709218153.63805
38,1709218153.7479808,1709218153.7479875
39,1709218153.8485155,1709218153.848525
40,1709218153.9497306,1709218153.9497378
41,1709218154.0472493,1709218154.0472574
42,1709218154.1465666,1709218154.1465735
43,1709218154.237823,1709218154.2378309
44,1709218154.3529088,1709218154.3529162
45,1709218154.4444556,1709218154.4444628
46,1709218154.5448956,1709218154.5449064
47,1709218154.641548,1709218154.6415586
48,1709218154.7697377,1709218154.7697473
49,1709218154.8497915,1709218154.8498003
50,1709218154.9522893,1709218154.9522977
51,1709218155.0497887,1709218155.049796
52,1709218155.1464884,1709218155.1464972
53,1709218155.2452943,1709218155.2453017
54,1709218155.3376184,1709218155.3376238
55,1709218155.4385386,1709218155.4385467
56,1709218155.53748,1709218155.537488
57,1709218155.6504936,1709218155.6505015
58,1709218155.7392344,1709218155.739243
59,1709218155.8441765,1709218155.8441846
60,1709218155.946909,1709218155.9469159
61,1709218156.0484357,1709218156.0484416
62,1709218156.156086,1709218156.1560938
63,1709218156.246718,1709218156.2467246
64,1709218156.3433077,1709218156.343316
65,1709218156.4393058,1709218156.4393141
66,1709218156.5479217,1709218156.5479298
67,1709218156.6434312,1709218156.6434376
68,1709218156.7393072,1709218156.7393155
69,1709218156.8443646,1709218156.8443704
70,1709218156.9410703,1709218156.9410784
71,1709218157.0481067,1709218157.0481133
72,1709218157.1465392,1709218157.1465466
73,1709218157.241606,1709218157.241613
74,1709218157.3487263,1709218157.3487358
75,1709218157.4670022,1709218157.4670117
76,1709218157.5592213,1709218157.5592287
77,1709218157.660257,1709218157.6602654
78,1709218157.7384603,1709218157.7384686
79,1709218158.365131,1709218158.3651385
80,1709218158.3723752,1709218158.3723845
81,1709218158.4429805,1709218158.4429893
82,1709218158.5461695,1709218158.5461793
83,1709218158.6445951,1709218158.6446047
84,1709218158.7802155,1709218158.7802246
85,1709218158.852823,1709218158.8528333
86,1709218158.9593937,1709218158.9594023
87,1709218159.0490959,1709218159.0491042
88,1709218159.1467395,1709218159.1467474
89,1709218159.2466826,1709218159.2466905
90,1709218159.3422022,1709218159.3422098
91,1709218159.4419866,1709218159.4419959
92,1709218159.5583825,1709218159.5583918
93,1709218159.6458397,1709218159.6458478
94,1709218159.747917,1709218159.7479246
95,1709218159.8420496,1709218159.8420608
96,1709218159.9423885,1709218159.9423957
97,1709218160.040596,1709218160.0406039
98,1709218160.1463456,1709218160.146354
99,1709218160.239851,1709218160.239858
100,1709218160.3438709,1709218160.343879
101,1709218160.4607108,1709218160.4607234
102,1709218160.5513892,1709218160.5513973
103,1709218160.6528885,1709218160.6528974
104,1709218160.739915,1709218160.7399213
105,1709218160.8426883,1709218160.842696
106,1709218160.9475036,1709218160.94751
107,1709218161.0456374,1709218161.0456452
108,1709218161.1434882,1709218161.1434963
109,1709218161.2401001,1709218161.240108
110,1709218161.343186,1709218161.3431923
111,1709218161.4421008,1709218161.4421086
112,1709218161.5532014,1709218161.5532088
113,1709218161.6473823,1709218161.6473897
114,1709218161.743034,1709218161.7430415
115,1709218161.8457763,1709218161.845784
116,1709218161.9415898,1709218161.9415972
117,1709218162.060982,1709218162.0609884
118,1709218162.1484716,1709218162.1484783
119,1709218162.248287,1709218162.2482944
120,1709218162.3406966,1709218162.340705
121,1709218162.4506986,1709218162.4507074
122,1709218162.5418646,1709218162.541872
123,1709218162.6466465,1709218162.6466558
124,1709218162.763701,1709218162.7637103
125,1709218162.8457708,1709218162.8457804
126,1709218162.940549,1709218162.9405568
127,1709218163.0416167,1709218163.041624
128,1709218163.1446667,1709218163.1446743
129,1709218163.256955,1709218163.256962
130,1709218163.337685,1709218163.3376923
131,1709218163.4436567,1709218163.4436655
132,1709218163.5372357,1709218163.5372431
133,1709218163.6465633,1709218163.6465716
134,1709218163.7515557,1709218163.751563
135,1709218163.843244,1709218163.8432524
136,1709218163.9402473,1709218163.9402542
137,1709218164.050036,1709218164.050045
138,1709218164.1397674,1709218164.139776
139,1709218164.247886,1709218164.2478933
140,1709218164.3532672,1709218164.3532746
141,1709218164.451978,1709218164.4519958
142,1709218164.5430253,1709218164.5430331
143,1709218164.6408534,1709218164.6408596
144,1709218164.7375567,1709218164.7376077
145,1709218164.83849,1709218164.8384964
146,1709218164.9399667,1709218164.9399743
147,1709218165.0458903,1709218165.0458968
148,1709218165.1463156,1709218165.1463234
149,1709218165.240686,1709218165.240694
150,1709218165.352635,1709218165.3526435
151,1709218165.4409637,1709218165.440971
152,1709218165.539207,1709218165.5392144
153,1709218165.6425374,1709218165.6425452
154,1709218165.7476366,1709218165.7476468
155,1709218165.8540387,1709218165.8540466
156,1709218165.9518352,1709218165.9518435
157,1709218166.0429854,1709218166.0429926
158,1709218166.140402,1709218166.1404107
159,1709218166.2407947,1709218166.2408018
160,1709218166.343673,1709218166.3436818
161,1709218166.4407866,1709218166.4407942
162,1709218166.5513966,1709218166.5514033
163,1709218166.6417305,1709218166.6417396
164,1709218166.7496443,1709218166.7496574
165,1709218166.839671,1709218166.8396792
166,1709218166.9419012,1709218166.9419098
167,1709218167.0376198,1709218167.037628
168,1709218167.1500328,1709218167.1500523
169,1709218167.24064,1709218167.240648
170,1709218167.3414729,1709218167.3414795
171,1709218167.456177,1709218167.456185
172,1709218167.545613,1709218167.5456212
173,1709218167.6532202,1709218167.6532292
174,1709218167.7455382,1709218167.7455463
175,1709218167.8556795,1709218167.8556867
176,1709218167.9389148,1709218167.9389217
177,1709218168.0377405,1709218168.0377474
178,1709218168.1505418,1709218168.1505504
179,1709218168.2505856,1709218168.2505913
180,1709218168.3542054,1709218168.354211
181,1709218168.4514353,1709218168.451442
182,1709218168.5500245,1709218168.5500307
183,1709218168.6634276,1709218168.6634362
184,1709218168.7562819,1709218168.7562883
185,1709218168.845964,1709218168.8459697
186,1709218168.9389193,1709218168.938925
187,1709218169.0437496,1709218169.0437555
188,1709218169.1570086,1709218169.1668446
189,1709218169.2411056,1709218169.2449102
190,1709218169.3412,1709218169.3479989
191,1709218169.4441352,1709218169.4480631
192,1709218169.5585067,1709218169.565533
193,1709218169.6555753,1709218169.6593664
194,1709218169.73976,1709218169.74555
195,1709218169.8404462,1709218169.84397
196,1709218169.9414656,1709218169.945048
197,1709218170.0398002,1709218170.0434427
198,1709218170.146299,1709218170.1502538
199,1709218170.246081,1709218170.252022
200,1709218170.3555355,1709218170.3592744
201,1709218170.4479828,1709218170.4515717
202,1709218170.5508974,1709218170.5595074
203,1709218170.648147,1709218170.6517222
204,1709218170.7535043,1709218170.758319
205,1709218170.8556228,1709218170.8599637
206,1709218170.94725,1709218170.9522567
207,1709218171.0456228,1709218171.0487638
208,1709218171.150267,1709218171.1529236
209,1709218171.2446551,1709218171.2480366
210,1709218171.3377175,1709218171.3405244
211,1709218171.4422505,1709218171.4463527
212,1709218171.5493734,1709218171.5526166
213,1709218171.6559253,1709218171.6644702
214,1709218171.7465937,1709218171.7496474
215,1709218171.8427944,1709218171.8460639
216,1709218171.9366858,1709218171.9396768
217,1709218172.0422027,1709218172.0454097
218,1709218172.155062,1709218172.160352
219,1709218172.2402005,1709218172.2428966
220,1709218172.3428178,1709218172.3452246
221,1709218172.4440722,1709218172.446874
222,1709218172.5438485,1709218172.546484
223,1709218172.645758,1709218172.6483958
224,1709218172.7431421,1709218172.7469518
225,1709218172.8393955,1709218172.8438518
226,1709218172.94311,1709218172.9465804
227,1709218173.042933,1709218173.0464754
228,1709218173.13977,1709218173.1442165
229,1709218173.242962,1709218173.2471924
230,1709218173.3500621,1709218173.3538265
231,1709218173.4511485,1709218173.4537835
232,1709218173.5427914,1709218173.5456443
233,1709218173.642561,1709218173.647151
234,1709218173.742395,1709218173.745542
235,1709218173.8438,1709218173.846513
236,1709218173.9467473,1709218173.9522917
237,1709218174.0467012,1709218174.0540354
238,1709218174.1478899,1709218174.1478958
239,1709218174.2386749,1709218174.238681
240,1709218174.3431516,1709218174.3431575
241,1709218174.4417648,1709218174.4417708
242,1709218174.540666,1709218174.5406713
243,1709218174.6433825,1709218174.6433883
244,1709218174.7448957,1709218174.7449012
245,1709218174.8545713,1709218174.854577
246,1709218174.937363,1709218174.9373693
247,1709218175.0411909,1709218175.041196
248,1709218175.147876,1709218175.1478808
249,1709218175.241598,1709218175.2416027
250,1709218175.3488872,1709218175.3488915
251,1709218175.4459803,1709218175.445985
252,1709218175.5405872,1709218175.5405946
253,1709218175.6483305,1709218175.6483371
254,1709218175.744783,1709218175.7447898
255,1709218175.8427622,1709218175.8427734
256,1709218175.9454713,1709218175.9454782
257,1709218176.052187,1709218176.052194
258,1709218176.1405094,1709218176.1405163
259,1709218176.23941,1709218176.239417
260,1709218176.3435757,1709218176.3435812
261,1709218176.4437432,1709218176.4437501
262,1709218176.5390425,1709218176.5390506
263,1709218176.6407895,1709218176.640797
264,1709218176.7404904,1709218176.7404985
265,1709218176.8424273,1709218176.8424332
266,1709218176.939061,1709218176.9390695
267,1709218177.041727,1709218177.0417345
268,1709218177.1408346,1709218177.1408422
269,1709218177.2471924,1709218177.2472007
270,1709218177.3459363,1709218177.3459444
271,1709218177.4447293,1709218177.4447367
272,1709218177.5408192,1709218177.540826
273,1709218177.649694,1709218177.6497006
274,1709218177.7386732,1709218177.7386801
275,1709218177.8496165,1709218177.8496244
276,1709218177.9476821,1709218177.9476893
277,1709218178.039423,1709218178.0394304
278,1709218178.1419616,1709218178.1419685
279,1709218178.238224,1709218178.2382312
280,1709218178.3412774,1709218178.3412852
281,1709218178.4423501,1709218178.4423573
282,1709218178.5435553,1709218178.543562
283,1709218178.6424305,1709218178.642437
284,1709218178.7418466,1709218178.7418537
285,1709218178.842598,1709218178.8426056
286,1709218178.942556,1709218178.942562
287,1709218179.0379593,1709218179.0379648
288,1709218179.1404874,1709218179.1405025
289,1709218179.2410913,1709218179.241098
290,1709218179.3446734,1709218179.3446789
291,1709218179.4474463,1709218179.447452
292,1709218179.544495,1709218179.5445018
293,1709218179.6459215,1709218179.6459281
294,1709218179.7399414,1709218179.7399478
295,1709218179.8388057,1709218179.8388152
296,1709218179.9396513,1709218179.9396594
297,1709218180.0502236,1709218180.0502303
298,1709218180.1445055,1709218180.144514
299,1709218180.2411082,1709218180.2411149
300,1709218180.3436513,1709218180.3436587
301,1709218180.4376407,1709218180.437648
302,1709218180.543191,1709218180.543197
303,1709218180.645414,1709218180.645422
304,1709218180.7383885,1709218180.738395
305,1709218180.8393993,1709218180.8394074
306,1709218180.9456985,1709218180.9457078
307,1709218181.0416553,1709218181.0416636
308,1709218181.138683,1709218181.13869
309,1709218181.239432,1709218181.2394404
310,1709218181.337543,1709218181.3375509
311,1709218181.439963,1709218181.4399705
312,1709218181.5403373,1709218181.5403454
313,1709218181.6515548,1709218181.651561
314,1709218181.7408128,1709218181.7408192
315,1709218181.8522534,1709218181.8522604
316,1709218181.9422617,1709218181.9422688
317,1709218182.0454001,1709218182.045407
318,1709218182.1503773,1709218182.1503856
319,1709218182.2399955,1709218182.2400029
320,1709218182.3491974,1709218182.3492053
321,1709218182.439947,1709218182.4399524
322,1709218182.5410945,1709218182.5411012
323,1709218182.640216,1709218182.6402218
324,1709218182.7412615,1709218182.7412689
325,1709218182.851903,1709218182.8519094
326,1709218182.937764,1709218182.9377713
327,1709218183.0445173,1709218183.0445242
328,1709218183.1405776,1709218183.1405847
329,1709218183.238122,1709218183.238127
330,1709218183.340877,1709218183.3408825
331,1709218183.4449046,1709218183.4449112
332,1709218183.5394986,1709218183.5395045
333,1709218183.639457,1709218183.6394615
334,1709218183.7442317,1709218183.7442381
335,1709218183.8390126,1709218183.839019
336,1709218183.9368153,1709218183.9368248
337,1709218184.0394175,1709218184.0394242
338,1709218184.1400185,1709218184.140026
339,1709218184.242375,1709218184.2423813
340,1709218184.353909,1709218184.353919
341,1709218184.4392977,1709218184.439305
342,1709218184.5396037,1709218184.5396085
343,1709218184.640187,1709218184.640196
344,1709218184.7412171,1709218184.7412233
345,1709218184.84604,1709218184.846047
346,1709218184.9418466,1709218184.9418552
347,1709218185.0413208,1709218185.0413287
348,1709218185.1413207,1709218185.1413286
349,1709218185.2426386,1709218185.2426457
350,1709218185.35125,1709218185.3512564
351,1709218185.4394584,1709218185.439467
352,1709218185.5402596,1709218185.5402677
353,1709218185.6467063,1709218185.6467152
354,1709218185.745396,1709218185.745404
355,1709218185.8384883,1709218185.838496
356,1709218185.9444697,1709218185.9444785
357,1709218186.0456114,1709218186.0456195
358,1709218186.1396148,1709218186.1396246
359,1709218186.23909,1709218186.2390983
360,1709218186.3430927,1709218186.3430996
361,1709218186.4422984,1709218186.4423068
362,1709218186.551047,1709218186.5510533
363,1709218186.648552,1709218186.64856
364,1709218186.7372553,1709218186.7372625
365,1709218186.8524156,1709218186.852423
366,1709218186.9393814,1709218186.9393883
367,1709218187.0386739,1709218187.03868
368,1709218187.1394508,1709218187.1394565
369,1709218187.3461552,1709218187.3461614
370,1709218187.44322,1709218187.4432309
371,1709218187.5520706,1709218187.5520775
372,1709218187.65194,1709218187.6519475
373,1709218187.7397435,1709218187.7397504
374,1709218187.8378417,1709218187.8378491
375,1709218187.9406931,1709218187.9406996
376,1709218188.038556,1709218188.038565
377,1709218188.1374598,1709218188.1374664
378,1709218188.2384958,1709218188.2385027
379,1709218188.338745,1709218188.3387516
380,1709218188.436662,1709218188.4366693
381,1709218188.5464625,1709218188.5464704
382,1709218188.6472063,1709218188.6472132
383,1709218188.7394867,1709218188.7394946
384,1709218188.842666,1709218188.8426752
385,1709218188.940504,1709218188.9405127
386,1709218189.0432415,1709218189.0432491
387,1709218189.1376948,1709218189.1377025
388,1709218189.2472558,1709218189.2472641
389,1709218189.3402557,1709218189.3402638
390,1709218189.4517493,1709218189.451757
