,vehicleid,recievetime
0,NE04,1709218152.5006292
1,NE03,1709218152.511647
2,NE02,1709218152.5261338
3,NE01,1709218152.5383263
4,NE00,1709218152.5640454
5,NS14,1709218152.5789132
6,NS13,1709218152.5906858
7,NS12,1709218152.602398
8,NS11,1709218152.6156394
9,NS10,1709218152.632361
10,NW14,1709218152.6452582
11,NW13,1709218152.6606357
12,NW12,1709218152.6736856
13,NW11,1709218152.6854715
14,NW10,1709218152.6976864
15,SW04,1709218152.7124102
16,SW03,1709218152.7274137
17,SW02,1709218152.7386527
18,SW01,1709218152.7492228
19,SW00,1709218152.7594326
20,SN14,1709218152.769091
21,SN13,1709218152.7800355
22,SN12,1709218152.790756
23,SN11,1709218152.805048
24,SN10,1709218152.8166034
25,SE14,1709218152.827395
26,SE13,1709218152.8375714
27,SE12,1709218152.84829
28,SE11,1709218152.8643157
29,SE10,1709218152.878332
30,WN04,1709218152.8886952
31,WN03,1709218152.899128
32,WN02,1709218152.9122794
33,WN01,1709218152.9246714
34,WN00,1709218152.935621
35,WE14,1709218152.9465113
36,WE13,1709218152.9571366
37,WE12,1709218152.9680007
38,WE11,1709218152.9808378
39,WE10,1709218152.9922
40,WS14,1709218153.0023775
41,WS13,1709218153.0124319
42,WS12,1709218153.0326827
43,WS11,1709218153.0446675
44,WS10,1709218153.054437
45,ES04,1709218153.0677314
46,ES03,1709218153.0856287
47,ES02,1709218153.0961056
48,ES01,1709218153.1066499
49,ES00,1709218153.117763
50,EW14,1709218153.1301436
51,EW13,1709218153.1458075
52,EW12,1709218153.1569557
53,EW11,1709218153.1679504
54,EW10,1709218153.1802287
55,EN14,1709218153.1904335
56,EN13,1709218153.2019584
57,EN12,1709218153.2178118
58,EN11,1709218153.2289333
59,EN10,1709218153.2406013
60,NE04,1709218153.256106
61,NE03,1709218153.2622278
62,NE02,1709218153.2697906
63,NE01,1709218153.2754245
64,NE00,1709218153.2807035
65,NS14,1709218153.2853968
66,NS13,1709218153.2903929
67,NS12,1709218153.2964802
68,NS11,1709218153.3004665
69,NS10,1709218153.3051996
70,NW14,1709218153.3114843
71,NW13,1709218153.3155727
72,NW12,1709218153.3201551
73,NW11,1709218153.3289773
74,NW10,1709218153.3336935
75,SW04,1709218153.3432822
76,SW03,1709218153.3490603
77,SW02,1709218153.353671
78,SW01,1709218153.36116
79,SW00,1709218153.3657606
80,SN14,1709218153.3703363
81,SN13,1709218153.374576
82,SN12,1709218153.3804097
83,SN11,1709218153.3858554
84,SN10,1709218153.390499
85,SE14,1709218153.4035246
86,SE13,1709218153.4108193
87,SE12,1709218153.4182057
88,SE11,1709218153.42284
89,SE10,1709218153.427304
90,WN04,1709218153.437535
91,WN03,1709218153.443357
92,WN02,1709218153.4588957
93,WN01,1709218153.463292
94,WN00,1709218153.4754183
95,WE14,1709218153.4808164
96,WE13,1709218153.492856
97,WE12,1709218153.497742
