,starttime,endtime,phaseDuration,,
0,1709227336,1709227336,25,,1.00136E-05
1,1709227361,1709227361,25,,0
2,1709227386,1709227386,25,,1.00136E-05
3,1709227411,1709227411,25,,1.00136E-05
4,1709227437,1709227437,25,,1.00136E-05
5,1709227462,1709227462,25,,1.00136E-05
6,1709227487,1709227487,25,,0
7,1709227512,1709227512,25,,1.00136E-05
8,1709227537,1709227537,25,,0
9,1709227562,1709227562,25,,0
10,1709227587,1709227587,25,,1.00136E-05
11,1709227612,1709227612,25,,1.00136E-05
12,1709227637,1709227637,25,,0
13,1709227662,1709227662,25,,0
14,1709227687,1709227687,25,,0
15,1709227713,1709227713,25,,1.00136E-05
16,1709227738,1709227738,25,,0
17,1709227763,1709227763,25,,1.00136E-05
18,1709227788,1709227788,25,,1.00136E-05
19,1709227813,1709227813,25,,1.00136E-05
20,1709227838,1709227838,25,,1.00136E-05
21,1709227863,1709227863,25,,1.00136E-05
22,1709227888,1709227888,25,,1.00136E-05
23,1709227913,1709227913,25,,1.00136E-05
24,1709227938,1709227938,25,,0
25,1709227963,1709227963,25,,1.00136E-05
26,1709227988,1709227988,25,,1.00136E-05
27,1709228013,1709228013,25,,9.77516E-06
28,1709228039,1709228039,25,,1.00136E-05
29,1709228064,1709228064,25,,0
30,1709228089,1709228089,25,,0
31,1709228114,1709228114,25,,0
32,1709228139,1709228139,25,,0
33,1709228164,1709228164,25,,1.00136E-05
34,1709228189,1709228189,25,,0
35,1709228214,1709228214,25,,0
36,1709228239,1709228239,25,,0
37,1709228264,1709228264,25,,1.00136E-05
38,1709228289,1709228289,25,,1.00136E-05
39,1709228315,1709228315,25,,0
,,,,,
,,,,,5.75185E-06
