,vehicleid,recievetime
0,SN12,1709227339.9528663
1,SN11,1709227339.9588678
2,SN10,1709227339.9736414
3,SE11,1709227339.9891367
4,WN01,1709227339.9999466
5,WE11,1709227340.0163887
6,WS11,1709227340.0279195
7,ES01,1709227340.0400274
8,EW12,1709227340.0519352
9,EN12,1709227340.0635595
10,NE02,1709227340.074839
11,NS13,1709227340.0871086
12,NW13,1709227340.0985327
13,SW03,1709227340.1093264
14,SN14,1709227340.1199386
15,SE14,1709227340.1312773
16,WN03,1709227340.1452496
17,WE13,1709227340.1570122
18,WS14,1709227340.1695254
19,WS10,1709227340.179318
20,ES00,1709227340.1898782
21,EW12,1709227340.2010746
22,EN14,1709227340.2068942
23,NE04,1709227340.2191992
24,NE00,1709227340.2296796
25,NS11,1709227340.2413461
26,NW11,1709227340.2530477
27,SW01,1709227340.265573
28,SN11,1709227340.2784786
29,SE13,1709227340.2840617
30,WN04,1709227340.2960916
31,WE14,1709227340.3059554
32,WE10,1709227340.3150198
33,WS12,1709227340.3231955
34,ES01,1709227340.3385801
35,EW13,1709227340.345974
36,EN14,1709227340.3572285
37,EN11,1709227340.363729
38,NE01,1709227340.3758736
39,NS10,1709227340.390578
40,NW10,1709227340.4032626
41,SW00,1709227340.4155862
42,SN10,1709227340.4286063
43,SE14,1709227340.4336846
44,SE11,1709227340.4382687
45,SE10,1709227340.4427338
46,WN00,1709227340.4522326
47,WS14,1709227340.4641435
48,WS11,1709227340.4768987
49,ES04,1709227340.482289
50,ES00,1709227340.4933338
51,EW14,1709227340.4969158
52,EN14,1709227340.5067537
53,EN11,1709227340.5137694
54,NE04,1709227340.5184062
55,NE02,1709227340.5247474
56,NE00,1709227340.5298777
57,NS13,1709227340.5347323
58,NS11,1709227340.540119
59,NW14,1709227340.5451758
60,SW03,1709227340.5586212
61,SW01,1709227340.564438
62,SN14,1709227340.5690627
63,SN12,1709227340.5736344
64,SN10,1709227340.579204
65,SE13,1709227340.5846276
66,SE11,1709227340.5892406
67,WN04,1709227340.5945864
68,WN02,1709227340.5989673
69,WE12,1709227340.6099143
70,WS13,1709227340.6236534
71,ES03,1709227340.6355922
72,EW14,1709227340.645845
73,EW13,1709227340.6499186
74,EW12,1709227340.6534832
75,EW10,1709227340.6582017
76,EN11,1709227340.6700501
77,NE04,1709227340.6754386
78,NE01,1709227340.680875
79,NE00,1709227340.6859868
80,NS13,1709227340.6893654
81,NS11,1709227340.6940806
82,NW14,1709227340.6994555
83,NW12,1709227340.703797
84,SW03,1709227340.7152438
85,SW01,1709227340.720358
86,SN14,1709227340.7253466
87,SN13,1709227340.7297626
88,SE13,1709227340.7405
89,SE10,1709227340.7462502
90,WN03,1709227340.7507727
91,WN01,1709227340.755844
92,WE14,1709227340.761034
93,WE12,1709227340.7655988
94,WE10,1709227340.770021
95,WS13,1709227340.775116
96,WS11,1709227340.7805824
97,ES04,1709227340.7852924
98,ES02,1709227340.789973
99,EW13,1709227340.80265
100,EW11,1709227340.8072522
101,EN10,1709227340.8213155
102,NE00,1709227340.8323474
103,NS14,1709227340.8381643
104,NW14,1709227340.849498
105,NW12,1709227340.8544292
106,NW10,1709227340.8588712
107,SW04,1709227340.8633027
108,SN14,1709227340.873491
109,SN12,1709227340.8785236
110,SE14,1709227340.884616
111,SE12,1709227340.891444
112,WN02,1709227340.9022198
113,WN00,1709227340.9064715
114,WE13,1709227340.9106398
115,WE11,1709227340.9154532
116,WS13,1709227340.9197977
117,WS11,1709227340.9245808
118,ES04,1709227340.9290476
119,ES02,1709227340.9344027
120,ES00,1709227340.9393551
121,EW14,1709227340.9450986
122,EW12,1709227340.9484062
123,EW11,1709227340.9526293
124,EN13,1709227340.957802
125,EN10,1709227340.9680548
126,NE03,1709227340.971324
127,NS14,1709227340.9845128
128,NS12,1709227340.988814
129,NW13,1709227341.0000703
130,NW10,1709227341.00533
131,SW03,1709227341.0100365
132,SW01,1709227341.014991
133,SN14,1709227341.0196574
134,SN13,1709227341.0238762
135,SN11,1709227341.028697
136,SE14,1709227341.0335424
137,SE12,1709227341.0373266
138,SE11,1709227341.0412943
139,WN04,1709227341.047047
140,WN02,1709227341.0528176
141,WN00,1709227341.058119
142,WE13,1709227341.0628974
143,WE11,1709227341.067034
144,WE10,1709227341.0749302
145,WS14,1709227341.0804892
146,WS11,1709227341.0959399
147,ES03,1709227341.1126869
148,ES02,1709227341.1176226
149,ES01,1709227341.1244276
150,ES00,1709227341.131018
151,EW14,1709227341.1358836
152,EW12,1709227341.1437902
153,EW10,1709227341.1480327
154,EN14,1709227341.1517644
155,EN12,1709227341.1553938
156,EN10,1709227341.1606286
157,NE03,1709227341.1654158
158,NE01,1709227341.1700156
159,NS14,1709227341.1747873
160,NS11,1709227341.183816
161,NW14,1709227341.1886673
162,NW11,1709227341.195053
163,SW04,1709227341.2001028
164,SW02,1709227341.2049139
165,SN12,1709227341.2194793
166,SE14,1709227341.227286
167,SE12,1709227341.2317767
168,SE10,1709227341.2363863
169,WN03,1709227341.242969
170,WN01,1709227341.2486434
171,WE14,1709227341.2531598
172,WE12,1709227341.257842
173,WE10,1709227341.265839
174,WS13,1709227341.2713754
175,WS12,1709227341.2761338
176,ES04,1709227341.2820375
177,ES03,1709227341.2879329
178,ES02,1709227341.2934997
179,ES00,1709227341.2984402
180,EW14,1709227341.3039947
181,EW13,1709227341.3098664
182,EW11,1709227341.3145514
183,EN14,1709227341.320079
184,EN12,1709227341.3273094
185,EN11,1709227341.3311422
186,NE04,1709227341.3356516
187,NE01,1709227341.3409154
188,NS14,1709227341.347304
189,NS12,1709227341.351714
190,NS10,1709227341.3558362
191,NW14,1709227341.3608205
192,NW12,1709227341.3680205
193,NW10,1709227341.372729
194,SW03,1709227341.3802218
195,SW01,1709227341.3853283
196,SW00,1709227341.3896923
197,SN13,1709227341.3944187
198,SN12,1709227341.3989055
199,SN10,1709227341.4036064
200,SE13,1709227341.408185
201,SE12,1709227341.411998
202,SE10,1709227341.4158313
203,WN04,1709227341.4201045
204,WN02,1709227341.4252436
205,WN01,1709227341.429802
206,WN00,1709227341.4347787
207,WE14,1709227341.4424803
208,WE12,1709227341.4475508
209,WE10,1709227341.4533463
210,WS13,1709227341.4593337
211,WS11,1709227341.465069
212,ES04,1709227341.470019
213,ES02,1709227341.4750152
214,ES00,1709227341.480576
215,EW14,1709227341.484865
216,EW12,1709227341.4890444
217,EW10,1709227341.49439
218,EN13,1709227341.4999487
219,EN12,1709227341.5048802
220,EN10,1709227341.5122602
221,NE03,1709227341.5174606
222,NE01,1709227341.5218332
223,NS13,1709227341.5277143
224,NS12,1709227341.5323648
225,NS11,1709227341.5380008
226,NW13,1709227341.5453374
227,NW11,1709227341.5499032
228,SW04,1709227341.554272
229,SW03,1709227341.558799
230,SW00,1709227341.5631692
231,SN12,1709227341.5734873
232,SE14,1709227341.5848415
233,SE12,1709227341.5908606
234,SE10,1709227341.5964856
235,WN03,1709227341.6019359
236,WN01,1709227341.60618
237,WN00,1709227341.6108174
238,WE13,1709227341.6146421
239,WE11,1709227341.6192627
240,WS13,1709227341.625571
241,WS12,1709227341.6297982
242,WS10,1709227341.6338944
243,ES03,1709227341.6383338
244,ES01,1709227341.644062
245,ES00,1709227341.6488233
246,EW14,1709227341.654183
247,EW12,1709227341.660165
248,EW10,1709227341.663965
249,EN14,1709227341.6682158
250,EN12,1709227341.672299
251,EN10,1709227341.6779413
252,NE02,1709227341.6851935
253,NE01,1709227341.6892877
254,NS14,1709227341.6940148
255,NS12,1709227341.6975012
256,NS10,1709227341.701372
257,NW13,1709227341.7071788
258,NW11,1709227341.7120264
259,SW04,1709227341.7168028
260,SW02,1709227341.7229438
261,SN14,1709227341.7283568
262,SN12,1709227341.7325842
263,SN11,1709227341.7371068
264,SE12,1709227341.7484987
265,SE10,1709227341.7534533
266,WN03,1709227341.7581034
267,WN01,1709227341.7641194
268,WE13,1709227341.7709713
269,WE11,1709227341.7762198
270,WS14,1709227341.7815025
271,WS12,1709227341.7861917
272,ES04,1709227341.7907763
273,ES02,1709227341.796064
274,ES00,1709227341.8004525
275,EW14,1709227341.8048093
276,EW13,1709227341.8094072
277,EW11,1709227341.8143232
278,EN14,1709227341.8192909
279,EN12,1709227341.8239703
280,EN10,1709227341.82809
281,NE04,1709227341.8329792
282,NE01,1709227341.8397052
283,NE00,1709227341.8453608
284,NS13,1709227341.8511925
285,NS11,1709227341.856961
286,NW14,1709227341.862699
287,NW12,1709227341.8679733
288,NW10,1709227341.8726492
289,SW02,1709227341.8779595
290,SW01,1709227341.8829074
291,SN14,1709227341.8872545
292,SN12,1709227341.8923707
293,SN10,1709227341.8965092
294,SE14,1709227341.901201
295,SE12,1709227341.9087787
296,WN04,1709227341.9165504
297,WN03,1709227341.9214373
298,WN01,1709227341.92732
299,WE14,1709227341.931948
300,WE12,1709227341.9365098
301,WE10,1709227341.94096
302,WS12,1709227341.947802
303,ES04,1709227341.9534705
304,ES03,1709227341.958157
305,ES02,1709227341.9626396
306,ES00,1709227341.9670444
307,EW14,1709227341.9707797
308,EW13,1709227341.975267
309,EW11,1709227341.9809747
310,EN14,1709227341.9857304
311,EN12,1709227341.9905832
312,EN10,1709227341.995401
313,NE03,1709227341.999997
314,NE01,1709227342.0047264
315,NS14,1709227342.0094066
316,NS13,1709227342.0141654
317,NS10,1709227342.0191903
318,NW13,1709227342.0241094
319,NW12,1709227342.02837
320,NW10,1709227342.0348613
321,SW03,1709227342.041255
322,SW01,1709227342.0461662
323,SN14,1709227342.0506864
324,SN12,1709227342.0554957
325,SN10,1709227342.0604532
326,SE13,1709227342.0649009
327,SE12,1709227342.069095
328,WN04,1709227342.078249
329,WN02,1709227342.084014
330,WN00,1709227342.0904684
331,WE13,1709227342.0954661
332,WE11,1709227342.100402
333,WS14,1709227342.1052
334,WS12,1709227342.1104004
335,WS10,1709227342.115219
336,ES03,1709227342.120158
337,ES01,1709227342.1261556
338,EW14,1709227342.133487
339,EW13,1709227342.1377916
340,EW11,1709227342.1427555
341,EN14,1709227342.1478658
342,EN12,1709227342.1528144
343,EN11,1709227342.158005
344,NE03,1709227342.1627984
345,NE01,1709227342.1673005
346,NS14,1709227342.171729
347,NS12,1709227342.178276
348,NS10,1709227342.185292
349,NW13,1709227342.1907604
350,NW10,1709227342.1968389
351,SW03,1709227342.202434
352,SW00,1709227342.208423
353,SN13,1709227342.2151191
354,SN10,1709227342.2207954
355,SE13,1709227342.225897
356,SE11,1709227342.2299848
357,WN03,1709227342.239227
358,WN01,1709227342.2463102
359,WE14,1709227342.2515485
360,WE11,1709227342.2583573
361,WE10,1709227342.262408
362,WS13,1709227342.2670982
363,WS11,1709227342.2715988
364,ES03,1709227342.2783122
365,ES00,1709227342.28584
366,EW14,1709227342.290159
367,EW11,1709227342.2968736
368,EN14,1709227342.3025763
369,EN12,1709227342.3087626
370,NE04,1709227342.315142
371,NE02,1709227342.3206267
372,NE00,1709227342.3263292
373,NS12,1709227342.3319094
374,NS10,1709227342.3371592
375,NW14,1709227342.342168
376,NW12,1709227342.3517144
377,SW04,1709227342.357234
378,SW02,1709227342.3639622
379,SW00,1709227342.3688617
380,SN14,1709227342.3720908
381,SN12,1709227342.3772647
382,SE14,1709227342.3822885
383,SE12,1709227342.3868754
384,SE10,1709227342.3913617
385,WN03,1709227342.3959475
386,WE13,1709227342.4059544
387,WE11,1709227342.4134643
388,WE10,1709227342.4193301
389,WS13,1709227342.4245996
390,WS11,1709227342.429898
391,ES04,1709227342.4342835
392,ES01,1709227342.4387379
393,EW14,1709227342.4424472
394,EW13,1709227342.4464698
395,EW11,1709227342.4507294
396,EN14,1709227342.4549935
397,EN12,1709227342.4592838
398,EN10,1709227342.46534
399,NE03,1709227342.4748151
400,NE01,1709227342.4786017
401,NS14,1709227342.4835122
402,NS13,1709227342.486574
403,NS11,1709227342.491568
404,NW14,1709227342.4958198
405,NW13,1709227342.4990013
406,NW11,1709227342.50371
407,SW04,1709227342.5082152
408,SW02,1709227342.5127654
409,SW00,1709227342.517839
410,SN13,1709227342.5221672
411,SN11,1709227342.5266304
412,SN10,1709227342.529832
413,SE13,1709227342.5336814
414,SE11,1709227342.5380795
415,WN03,1709227342.5433633
416,WN02,1709227342.5478249
417,WN00,1709227342.5518277
418,WE13,1709227342.5561204
419,WE11,1709227342.560746
420,WS14,1709227342.5655422
421,WS13,1709227342.5698774
422,WS11,1709227342.5739722
423,ES04,1709227342.5786095
424,ES02,1709227342.5834088
425,ES00,1709227342.588045
426,EW14,1709227342.5937977
427,EW12,1709227342.598165
428,EW10,1709227342.6025448
429,EN13,1709227342.6072116
430,EN11,1709227342.6112397
431,NE04,1709227342.6153505
432,NE02,1709227342.6198816
433,NE00,1709227342.6248136
434,NS13,1709227342.6289504
435,NS11,1709227342.6333141
436,NW14,1709227342.6377122
437,NW12,1709227342.6422155
438,NW10,1709227342.6466758
439,SW04,1709227342.6532905
440,SW01,1709227342.6584728
441,SN14,1709227342.6632044
442,SN12,1709227342.6676888
443,SN10,1709227342.6722155
444,SE13,1709227342.6768136
445,SE11,1709227342.6817162
446,WN04,1709227342.6861289
447,WN02,1709227342.6907265
448,WN01,1709227342.695704
449,WE14,1709227342.7001164
450,WE12,1709227342.7045982
451,WS14,1709227342.7098308
452,WS12,1709227342.7143807
453,WS10,1709227342.7188094
454,ES04,1709227342.7236557
455,ES02,1709227342.7279952
456,ES00,1709227342.7324827
457,EW13,1709227342.7366652
458,EW12,1709227342.7440076
459,EW11,1709227342.7485743
460,EN14,1709227342.7526145
461,EN12,1709227342.7574284
462,EN10,1709227342.7618258
463,NE03,1709227342.7662942
464,NE01,1709227342.769826
465,NE00,1709227342.7741728
466,NS13,1709227342.7789783
467,NS11,1709227342.7837079
468,NW13,1709227342.7920086
469,NW11,1709227342.7962718
470,SW04,1709227342.8008347
471,SW02,1709227342.8060627
472,SW00,1709227342.8115063
473,SN13,1709227342.816108
474,SN11,1709227342.819882
475,SE14,1709227342.8257267
476,SE12,1709227342.8302174
477,SE10,1709227342.8347075
478,WN03,1709227342.8390796
479,WN01,1709227342.8436482
480,WE14,1709227342.8479013
481,WE12,1709227342.852479
482,WE10,1709227342.8569055
483,WS12,1709227342.8613112
484,ES04,1709227342.865697
485,ES02,1709227342.8701515
486,ES00,1709227342.8748229
487,EW14,1709227342.8791614
488,EW12,1709227342.8840647
489,EW10,1709227342.8909137
490,EN12,1709227342.8965912
491,EN11,1709227342.9001262
492,NE04,1709227342.903212
493,NE03,1709227342.9075196
494,NE00,1709227342.912485
495,NS14,1709227342.9167714
496,NS12,1709227342.9212503
497,NW14,1709227342.9281323
498,NW12,1709227342.9330218
499,NW10,1709227342.9373846
500,SW03,1709227342.942085
501,SW02,1709227342.946638
502,SW00,1709227342.951199
503,SN13,1709227342.955776
504,SN11,1709227342.9602733
505,SE14,1709227342.9648747
506,SE12,1709227342.9694057
507,SE10,1709227342.974303
508,WN03,1709227342.978888
509,WN01,1709227342.9832692
510,WN00,1709227342.9870453
511,WE13,1709227342.991146
512,WE11,1709227342.9956255
513,WS14,1709227343.0029893
514,WS11,1709227343.008783
515,ES04,1709227343.0141668
516,ES02,1709227343.0191417
517,ES00,1709227343.0239687
518,EW14,1709227343.027563
519,EW13,1709227343.0312114
520,EW11,1709227343.0348194
521,EW10,1709227343.0378997
522,EN13,1709227343.0439343
523,EN11,1709227343.0485895
524,NE04,1709227343.0531502
525,NE02,1709227343.0594158
526,NE00,1709227343.0640297
527,NS13,1709227343.0688908
528,NS11,1709227343.075513
529,NW14,1709227343.0804842
530,NW12,1709227343.0851183
531,NW10,1709227343.0905411
532,SW03,1709227343.0959978
533,SW02,1709227343.0995197
534,SW00,1709227343.1035109
535,SN14,1709227343.1078107
536,SN12,1709227343.114196
537,SN10,1709227343.1187992
538,SE13,1709227343.123659
539,SE11,1709227343.1279912
540,WN04,1709227343.1323676
541,WN03,1709227343.1365988
542,WN01,1709227343.1412778
543,WE14,1709227343.146442
544,WE12,1709227343.1509638
545,WE10,1709227343.15561
546,WS13,1709227343.1602154
547,WS11,1709227343.1648767
548,ES04,1709227343.1693645
549,ES02,1709227343.173635
550,ES00,1709227343.1780694
551,EW13,1709227343.1824937
552,EW11,1709227343.1872046
553,EN14,1709227343.193811
554,EN12,1709227343.1987512
555,EN10,1709227343.2033732
556,NE03,1709227343.2080624
557,NE01,1709227343.212079
558,NE00,1709227343.2168808
559,NS13,1709227343.2210755
560,NS11,1709227343.226525
561,NW14,1709227343.2312
562,NW12,1709227343.2344763
563,NW11,1709227343.2381153
564,SW04,1709227343.2423453
565,SW02,1709227343.2457476
566,SW00,1709227343.250439
567,SN13,1709227343.2554626
568,SN11,1709227343.2592847
569,SN10,1709227343.2636685
570,SE13,1709227343.2682047
571,SE10,1709227343.2727067
572,WN03,1709227343.2786386
573,WN01,1709227343.282805
574,WN00,1709227343.2857416
575,WE14,1709227343.2906148
576,WE11,1709227343.2970903
577,WS14,1709227343.3015172
578,WS12,1709227343.306639
579,WS10,1709227343.3108728
580,ES03,1709227343.3157938
581,ES01,1709227343.319008
