,vehicleid,transtime
0,NE04,1709227338.4848745
1,NE03,1709227338.4862208
2,NE02,1709227338.488428
3,NE01,1709227338.4907303
4,NE00,1709227338.4930713
5,NS14,1709227338.4961908
6,NS13,1709227338.4981585
7,NS12,1709227338.500067
8,NS11,1709227338.5027714
9,NS10,1709227338.5050151
10,NW14,1709227338.5072076
11,NW13,1709227338.5097532
12,NW12,1709227338.5145802
13,NW11,1709227338.5181549
14,NW10,1709227338.5204904
15,SW04,1709227338.5233753
16,SW03,1709227338.5256941
17,SW02,1709227338.528055
18,SW01,1709227338.5305383
19,SW00,1709227338.5352564
20,SN14,1709227338.5379312
21,SN13,1709227338.5403547
22,SN12,1709227338.5426967
23,SN11,1709227338.5449953
24,SN10,1709227338.547943
25,SE14,1709227338.5520804
26,SE13,1709227338.554776
27,SE12,1709227338.5572238
28,SE11,1709227338.5595672
29,SE10,1709227338.5619607
30,WN04,1709227338.5643678
31,WN03,1709227338.5666864
32,WN02,1709227338.569151
33,WN01,1709227338.5715866
34,WN00,1709227338.573998
35,WE14,1709227338.576787
36,WE13,1709227338.5792367
37,WE12,1709227338.5814228
38,WE11,1709227338.5838466
39,WE10,1709227338.586183
40,WS14,1709227338.58821
41,WS13,1709227338.5904346
42,WS12,1709227338.5928116
43,WS11,1709227338.5954409
44,WS10,1709227338.598141
45,ES04,1709227338.6003745
46,ES03,1709227338.6021743
47,ES02,1709227338.603908
48,ES01,1709227338.6062133
49,ES00,1709227338.607854
50,EW14,1709227338.6095948
51,EW13,1709227338.6123095
52,EW12,1709227338.614944
53,EW11,1709227338.6174111
54,EW10,1709227338.6198304
55,EN14,1709227338.6216285
56,EN13,1709227338.6237981
57,EN12,1709227338.6258452
58,EN11,1709227338.6283405
59,EN10,1709227338.6317
60,NE04,1709227338.63667
61,NE03,1709227338.6393921
62,NE02,1709227338.6416805
63,NE01,1709227338.6443703
64,NE00,1709227338.647244
65,NS14,1709227338.64939
66,NS13,1709227338.6510992
67,NS12,1709227338.6527276
68,NS11,1709227338.6548023
69,NS10,1709227338.656806
70,NW14,1709227338.6585636
71,NW13,1709227338.6606266
72,NW12,1709227338.6644523
73,NW11,1709227338.668412
74,NW10,1709227338.6711843
75,SW04,1709227338.6737854
76,SW03,1709227338.6763358
77,SW02,1709227338.6794071
78,SW01,1709227338.68209
79,SW00,1709227338.684723
80,SN14,1709227338.6871598
81,SN13,1709227338.6891448
82,SN12,1709227338.69121
83,SN11,1709227338.6936553
84,SN10,1709227338.6963627
85,SE14,1709227338.6985846
86,SE13,1709227338.7007346
87,SE12,1709227338.702983
88,SE11,1709227338.7048237
89,SE10,1709227338.7068398
90,WN04,1709227338.7095227
91,WN03,1709227338.7117546
92,WN02,1709227338.7139626
93,WN01,1709227338.7162735
94,WN00,1709227338.7187545
95,WE14,1709227338.7248945
96,WE13,1709227338.7284184
97,WE12,1709227338.7315688
98,WE11,1709227338.7341511
99,WE10,1709227338.7364254
100,WS14,1709227338.7381837
101,WS13,1709227338.7400298
102,WS12,1709227338.7421312
103,WS11,1709227338.745055
104,WS10,1709227338.7475054
105,ES04,1709227338.7497063
106,ES03,1709227338.752063
107,ES02,1709227338.7543728
108,ES01,1709227338.7565112
109,ES00,1709227338.75878
110,EW14,1709227338.7617676
111,EW13,1709227338.7641559
112,EW12,1709227338.7663743
113,EW11,1709227338.768456
114,EW10,1709227338.7712295
115,EN14,1709227338.7741213
116,EN13,1709227338.7767522
117,EN12,1709227338.7790089
118,EN11,1709227338.781439
119,EN10,1709227338.7838347
120,NE04,1709227338.7879872
121,NE03,1709227338.795566
122,NE02,1709227338.797808
123,NE01,1709227338.799782
124,NE00,1709227338.802499
125,NS14,1709227338.8048475
126,NS13,1709227338.8072722
127,NS12,1709227338.8099127
128,NS11,1709227338.8124382
129,NS10,1709227338.8148553
130,NW14,1709227338.8172169
131,NW13,1709227338.8195782
132,NW12,1709227338.8220603
133,NW11,1709227338.824508
134,NW10,1709227338.8273096
135,SW04,1709227338.829956
136,SW03,1709227338.8324218
137,SW02,1709227338.834954
138,SW01,1709227338.8374152
139,SW00,1709227338.8398082
140,SN14,1709227338.84254
141,SN13,1709227338.8452556
142,SN12,1709227338.8483741
143,SN11,1709227338.850669
144,SN10,1709227338.8530066
145,SE14,1709227338.855262
146,SE13,1709227338.8574662
147,SE12,1709227338.8597171
148,SE11,1709227338.862118
149,SE10,1709227338.8644185
150,WN04,1709227338.8665705
151,WN03,1709227338.868739
152,WN02,1709227338.8708873
153,WN01,1709227338.872763
154,WN00,1709227338.8750267
155,WE14,1709227338.8773112
156,WE13,1709227338.8790712
157,WE12,1709227338.8810313
158,WE11,1709227338.8827825
159,WE10,1709227338.8848078
160,WS14,1709227338.8885994
161,WS13,1709227338.8913043
162,WS12,1709227338.8946626
163,WS11,1709227338.8970923
164,WS10,1709227338.8993406
165,ES04,1709227338.9019246
166,ES03,1709227338.9042962
167,ES02,1709227338.9061139
168,ES01,1709227338.9078567
169,ES00,1709227338.9102688
170,EW14,1709227338.9121718
171,EW13,1709227338.914037
172,EW12,1709227338.9158692
173,EW11,1709227338.9176972
174,EW10,1709227338.919377
175,EN14,1709227338.9210725
176,EN13,1709227338.9258296
177,EN12,1709227338.9290953
178,EN11,1709227338.9314203
179,EN10,1709227338.933595
180,NE04,1709227338.9370868
181,NE03,1709227338.9393756
182,NE02,1709227338.941335
183,NE01,1709227338.9448743
184,NE00,1709227338.9477484
185,NS14,1709227338.9506981
186,NS13,1709227338.9540987
187,NS12,1709227338.9565063
188,NS11,1709227338.9590156
189,NS10,1709227338.9621596
190,NW14,1709227338.9656198
191,NW13,1709227338.9678419
192,NW12,1709227338.9700558
193,NW11,1709227338.9723809
194,NW10,1709227338.9745123
195,SW04,1709227338.9764252
196,SW03,1709227338.9790888
197,SW02,1709227338.9816391
198,SW01,1709227338.983783
199,SW00,1709227338.9863884
200,SN14,1709227338.9884207
201,SN13,1709227338.9907296
202,SN12,1709227338.9931512
203,SN11,1709227338.9955328
204,SN10,1709227338.9977534
205,SE14,1709227338.9998152
206,SE13,1709227339.0019464
207,SE12,1709227339.004107
208,SE11,1709227339.0063045
209,SE10,1709227339.0086505
210,WN04,1709227339.0113275
211,WN03,1709227339.0139875
212,WN02,1709227339.0170465
213,WN01,1709227339.0199704
214,WN00,1709227339.0228415
215,WE14,1709227339.024671
216,WE13,1709227339.0263672
217,WE12,1709227339.0288765
218,WE11,1709227339.0335033
219,WE10,1709227339.0358331
220,WS14,1709227339.0380073
221,WS13,1709227339.0400987
222,WS12,1709227339.042148
223,WS11,1709227339.0443113
224,WS10,1709227339.0464833
225,ES04,1709227339.0489094
226,ES03,1709227339.0517867
227,ES02,1709227339.0545027
228,ES01,1709227339.0569277
229,ES00,1709227339.0594206
230,EW14,1709227339.0623543
231,EW13,1709227339.0650432
232,EW12,1709227339.0676355
233,EW11,1709227339.0699937
234,EW10,1709227339.072345
235,EN14,1709227339.0748923
236,EN13,1709227339.077998
237,EN12,1709227339.0804918
238,EN11,1709227339.0830252
239,EN10,1709227339.0855868
240,NE04,1709227339.08983
241,NE03,1709227339.0922291
242,NE02,1709227339.0947974
243,NE01,1709227339.0973947
244,NE00,1709227339.1000051
245,NS14,1709227339.1027148
246,NS13,1709227339.105992
247,NS12,1709227339.1085181
248,NS11,1709227339.1120539
249,NS10,1709227339.1156776
250,NW14,1709227339.1181936
251,NW13,1709227339.1216116
252,NW12,1709227339.1240427
253,NW11,1709227339.1266851
254,NW10,1709227339.1291764
255,SW04,1709227339.1318433
256,SW03,1709227339.1345787
257,SW02,1709227339.1370912
258,SW01,1709227339.139932
259,SW00,1709227339.1427212
260,SN14,1709227339.1460004
261,SN13,1709227339.1500576
262,SN12,1709227339.1530437
263,SN11,1709227339.1555095
264,SN10,1709227339.1577582
265,SE14,1709227339.1610994
266,SE13,1709227339.1646183
267,SE12,1709227339.1676157
268,SE11,1709227339.1711323
269,SE10,1709227339.173731
270,WN04,1709227339.176365
271,WN03,1709227339.1797302
272,WN02,1709227339.1829758
273,WN01,1709227339.185466
274,WN00,1709227339.187346
275,WE14,1709227339.1893513
276,WE13,1709227339.1918137
277,WE12,1709227339.1944554
278,WE11,1709227339.1968875
279,WE10,1709227339.1991496
280,WS14,1709227339.2008295
281,WS13,1709227339.2028296
282,WS12,1709227339.2048635
283,WS11,1709227339.2069886
284,WS10,1709227339.2089643
285,ES04,1709227339.2109842
286,ES03,1709227339.2132928
287,ES02,1709227339.216563
288,ES01,1709227339.2193313
289,ES00,1709227339.222057
290,EW14,1709227339.224774
291,EW13,1709227339.2274108
292,EW12,1709227339.230137
293,EW11,1709227339.2335513
294,EW10,1709227339.2357826
295,EN14,1709227339.238246
296,EN13,1709227339.240486
297,EN12,1709227339.2433462
298,EN11,1709227339.2456071
299,EN10,1709227339.2479177
300,NE04,1709227339.2523305
301,NE03,1709227339.2548459
302,NE02,1709227339.2572346
303,NE01,1709227339.2596667
304,NE00,1709227339.2632546
305,NS14,1709227339.2657874
306,NS13,1709227339.2681224
307,NS12,1709227339.271831
308,NS11,1709227339.2744753
309,NS10,1709227339.276851
310,NW14,1709227339.2791011
311,NW13,1709227339.281559
312,NW12,1709227339.2839913
313,NW11,1709227339.286411
314,NW10,1709227339.2903392
315,SW04,1709227339.292857
316,SW03,1709227339.296469
317,SW02,1709227339.2989447
318,SW01,1709227339.3017862
319,SW00,1709227339.3043864
320,SN14,1709227339.3068848
321,SN13,1709227339.3102932
322,SN12,1709227339.3131783
323,SN11,1709227339.3153548
324,SN10,1709227339.3176482
325,SE14,1709227339.3199542
326,SE13,1709227339.322419
327,SE12,1709227339.3247178
328,SE11,1709227339.3277013
329,SE10,1709227339.329632
330,WN04,1709227339.3313715
331,WN03,1709227339.3334315
332,WN02,1709227339.3358293
333,WN01,1709227339.3381648
334,WN00,1709227339.34154
335,WE14,1709227339.3447373
336,WE13,1709227339.3476598
337,WE12,1709227339.350187
338,WE11,1709227339.351865
339,WE10,1709227339.3541877
340,WS14,1709227339.3565533
341,WS13,1709227339.358942
342,WS12,1709227339.3650734
343,WS11,1709227339.3676276
344,WS10,1709227339.369827
345,ES04,1709227339.3718596
346,ES03,1709227339.3736622
347,ES02,1709227339.3757477
348,ES01,1709227339.378284
349,ES00,1709227339.381624
350,EW14,1709227339.3844745
351,EW13,1709227339.3872905
352,EW12,1709227339.3896234
353,EW11,1709227339.3920155
354,EW10,1709227339.3944926
355,EN14,1709227339.397432
356,EN13,1709227339.399785
357,EN12,1709227339.4039783
358,EN11,1709227339.4062989
359,EN10,1709227339.4087322
360,NE04,1709227339.4131057
361,NE03,1709227339.4156938
362,NE02,1709227339.4179072
363,NE01,1709227339.420074
364,NE00,1709227339.4227865
365,NS14,1709227339.4252841
366,NS13,1709227339.4280477
367,NS12,1709227339.4303029
368,NS11,1709227339.4326744
369,NS10,1709227339.4351304
370,NW14,1709227339.4375434
371,NW13,1709227339.4398382
372,NW12,1709227339.4422147
373,NW11,1709227339.444845
374,NW10,1709227339.447226
375,SW04,1709227339.449748
376,SW03,1709227339.452046
377,SW02,1709227339.4618843
378,SW01,1709227339.4657118
379,SW00,1709227339.4678988
380,SN14,1709227339.471294
381,SN13,1709227339.4751081
382,SN12,1709227339.477553
383,SN11,1709227339.4799838
384,SN10,1709227339.48281
385,SE14,1709227339.4852057
386,SE13,1709227339.4875433
387,SE12,1709227339.490372
388,SE11,1709227339.4933314
389,SE10,1709227339.495828
390,WN04,1709227339.4980311
391,WN03,1709227339.500396
392,WN02,1709227339.5025303
393,WN01,1709227339.5045104
394,WN00,1709227339.5066128
395,WE14,1709227339.508666
396,WE13,1709227339.5110154
397,WE12,1709227339.5137348
398,WE11,1709227339.5195303
399,WE10,1709227339.5220487
400,WS14,1709227339.5243251
401,WS13,1709227339.526596
402,WS12,1709227339.5293393
403,WS11,1709227339.5316284
404,WS10,1709227339.5342774
405,ES04,1709227339.5364764
406,ES03,1709227339.538715
407,ES02,1709227339.540961
408,ES01,1709227339.5432277
409,ES00,1709227339.5456984
410,EW14,1709227339.5479853
411,EW13,1709227339.5499938
412,EW12,1709227339.5516841
413,EW11,1709227339.553305
414,EW10,1709227339.5551424
415,EN14,1709227339.5567887
416,EN13,1709227339.558669
417,EN12,1709227339.5608025
418,EN11,1709227339.5630105
419,EN10,1709227339.5649502
420,NE04,1709227339.5695403
421,NE03,1709227339.5747766
422,NE02,1709227339.578529
423,NE01,1709227339.580947
424,NE00,1709227339.583699
425,NS14,1709227339.5860505
426,NS13,1709227339.5876596
427,NS12,1709227339.5894878
428,NS11,1709227339.5912435
429,NS10,1709227339.5940635
430,NW14,1709227339.596366
431,NW13,1709227339.5987284
432,NW12,1709227339.6005282
433,NW11,1709227339.6026165
434,NW10,1709227339.6047175
435,SW04,1709227339.606442
436,SW03,1709227339.607996
437,SW02,1709227339.6101608
438,SW01,1709227339.6125574
439,SW00,1709227339.6155643
440,SN14,1709227339.6180208
441,SN13,1709227339.9497974
442,SN12,1709227339.9521227
443,SN11,1709227339.9544926
444,SN10,1709227339.9566307
445,SE14,1709227339.9592817
446,SE13,1709227339.9615357
447,SE12,1709227339.9638634
448,SE11,1709227339.9662693
449,SE10,1709227339.96827
450,WN04,1709227339.970448
451,WN03,1709227339.9726233
452,WN02,1709227339.9753659
453,WN01,1709227339.9790668
454,WN00,1709227339.9816282
455,WE14,1709227339.9846077
456,WE13,1709227339.986744
457,WE12,1709227339.9885933
458,WE11,1709227339.9901848
459,WE10,1709227339.992078
460,WS14,1709227339.9946666
461,WS13,1709227339.9969914
462,WS12,1709227339.9993608
463,WS11,1709227340.001525
464,WS10,1709227340.0039046
465,ES04,1709227340.0093892
466,ES03,1709227340.0126197
467,ES02,1709227340.015005
468,ES01,1709227340.0172665
469,ES00,1709227340.019327
470,EW14,1709227340.0215716
471,EW13,1709227340.0234318
472,EW12,1709227340.0253527
473,EW11,1709227340.0277007
474,EW10,1709227340.0300326
475,EN14,1709227340.0330064
476,EN13,1709227340.03532
477,EN12,1709227340.0377133
478,EN11,1709227340.0399096
479,EN10,1709227340.0431955
480,NE04,1709227340.0479288
481,NE03,1709227340.0501091
482,NE02,1709227340.0521429
483,NE01,1709227340.0541978
484,NE00,1709227340.0563855
485,NS14,1709227340.0597184
486,NS13,1709227340.062598
487,NS12,1709227340.0647469
488,NS11,1709227340.0669725
489,NS10,1709227340.069079
490,NW14,1709227340.070911
491,NW13,1709227340.0727873
492,NW12,1709227340.0747316
493,NW11,1709227340.077432
494,NW10,1709227340.080338
495,SW04,1709227340.084902
496,SW03,1709227340.0878692
497,SW02,1709227340.090247
498,SW01,1709227340.0929656
499,SW00,1709227340.0951138
500,SN14,1709227340.0971186
501,SN13,1709227340.10146
502,SN12,1709227340.1034622
503,SN11,1709227340.1051774
504,SN10,1709227340.106858
505,SE14,1709227340.108642
506,SE13,1709227340.1109655
507,SE12,1709227340.1132474
508,SE11,1709227340.1156323
509,SE10,1709227340.118016
510,WN04,1709227340.1203418
511,WN03,1709227340.1228483
512,WN02,1709227340.1252697
513,WN01,1709227340.1273506
514,WN00,1709227340.1295884
515,WE14,1709227340.1314306
516,WE13,1709227340.1331785
517,WE12,1709227340.134827
518,WE11,1709227340.1371017
519,WE10,1709227340.1392589
520,WS14,1709227340.1413605
521,WS13,1709227340.1453485
522,WS12,1709227340.147941
523,WS11,1709227340.1502564
524,WS10,1709227340.1526618
525,ES04,1709227340.1551106
526,ES03,1709227340.1574018
527,ES02,1709227340.1622674
528,ES01,1709227340.1651003
529,ES00,1709227340.1674116
530,EW14,1709227340.1697721
531,EW13,1709227340.171972
532,EW12,1709227340.174265
533,EW11,1709227340.1771426
534,EW10,1709227340.1794858
535,EN14,1709227340.1817951
536,EN13,1709227340.18414
537,EN12,1709227340.1864493
538,EN11,1709227340.1887238
539,EN10,1709227340.1911113
540,NE04,1709227340.1952627
541,NE03,1709227340.197998
542,NE02,1709227340.2010484
543,NE01,1709227340.2038052
544,NE00,1709227340.2061837
545,NS14,1709227340.20855
546,NS13,1709227340.210897
547,NS12,1709227340.2132788
548,NS11,1709227340.2159338
549,NS10,1709227340.2187183
550,NW14,1709227340.2210872
551,NW13,1709227340.2235734
552,NW12,1709227340.2267916
553,NW11,1709227340.2292044
554,NW10,1709227340.2315016
555,SW04,1709227340.233822
556,SW03,1709227340.2362149
557,SW02,1709227340.2386396
558,SW01,1709227340.2410743
559,SW00,1709227340.2437427
560,SN14,1709227340.2466564
561,SN13,1709227340.2490351
562,SN12,1709227340.2514317
563,SN11,1709227340.2541084
564,SN10,1709227340.2562015
565,SE14,1709227340.2591686
566,SE13,1709227340.261987
567,SE12,1709227340.2647586
568,SE11,1709227340.2671435
569,SE10,1709227340.2694829
570,WN04,1709227340.2721367
571,WN03,1709227340.2745717
572,WN02,1709227340.276763
573,WN01,1709227340.2785947
574,WN00,1709227340.280257
575,WE14,1709227340.2819207
576,WE13,1709227340.2842703
577,WE12,1709227340.286677
578,WE11,1709227340.2892675
579,WE10,1709227340.293519
580,WS14,1709227340.2959933
581,WS13,1709227340.298231
582,WS12,1709227340.3006003
583,WS11,1709227340.302987
584,WS10,1709227340.305346
585,ES04,1709227340.3077505
586,ES03,1709227340.309599
587,ES02,1709227340.3114128
588,ES01,1709227340.3135414
589,ES00,1709227340.3160663
590,EW14,1709227340.3184447
591,EW13,1709227340.3207643
592,EW12,1709227340.323103
593,EW11,1709227340.3253765
594,EW10,1709227340.328605
595,EN14,1709227340.3309734
596,EN13,1709227340.3333533
597,EN12,1709227340.3356075
598,EN11,1709227340.3378468
599,EN10,1709227340.3402202
600,NE04,1709227340.3445747
601,NE03,1709227340.347932
602,NE02,1709227340.3503368
603,NE01,1709227340.352658
604,NE00,1709227340.3550005
605,NS14,1709227340.357262
606,NS13,1709227340.3596475
607,NS12,1709227340.3624566
608,NS11,1709227340.3649018
609,NS10,1709227340.3672366
610,NW14,1709227340.3695343
611,NW13,1709227340.3718662
612,NW12,1709227340.37429
613,NW11,1709227340.3771372
614,NW10,1709227340.3796794
615,SW04,1709227340.3820627
616,SW03,1709227340.3843977
617,SW02,1709227340.38692
618,SW01,1709227340.3894317
619,SW00,1709227340.3919442
