,vehicleid,transtime
0,NE04,1709218152.499933
1,NE03,1709218152.502669
2,NE02,1709218152.5083292
3,NE01,1709218152.5109384
4,NE00,1709218152.513623
5,NS14,1709218152.516161
6,NS13,1709218152.5185325
7,NS12,1709218152.5207212
8,NS11,1709218152.5235155
9,NS10,1709218152.526431
10,NW14,1709218152.528946
11,NW13,1709218152.531477
12,NW12,1709218152.534449
13,NW11,1709218152.5367844
14,NW10,1709218152.5402882
15,SW04,1709218152.5441053
16,SW03,1709218152.5467265
17,SW02,1709218152.549262
18,SW01,1709218152.55292
19,SW00,1709218152.562132
20,SN14,1709218152.5647016
21,SN13,1709218152.5672455
22,SN12,1709218152.5697765
23,SN11,1709218152.5736048
24,SN10,1709218152.5759618
25,SE14,1709218152.5791345
26,SE13,1709218152.5814342
27,SE12,1709218152.583542
28,SE11,1709218152.5853941
29,SE10,1709218152.5880094
30,WN04,1709218152.5904768
31,WN03,1709218152.5932126
32,WN02,1709218152.5961733
33,WN01,1709218152.599057
34,WN00,1709218152.6013634
35,WE14,1709218152.6043656
36,WE13,1709218152.6066732
37,WE12,1709218152.6089473
38,WE11,1709218152.6112928
39,WE10,1709218152.6202574
40,WS14,1709218152.6231582
41,WS13,1709218152.6258154
42,WS12,1709218152.6281474
43,WS11,1709218152.630443
44,WS10,1709218152.6328368
45,ES04,1709218152.636398
46,ES03,1709218152.638959
47,ES02,1709218152.6411943
48,ES01,1709218152.6450646
49,ES00,1709218152.6475294
50,EW14,1709218152.6500251
51,EW13,1709218152.652837
52,EW12,1709218152.6558776
53,EW11,1709218152.6617787
54,EW10,1709218152.6644573
55,EN14,1709218152.6705315
56,EN13,1709218152.6731107
57,EN12,1709218152.6752012
58,EN11,1709218152.6781876
59,EN10,1709218152.6808891
60,NE04,1709218152.6853373
61,NE03,1709218152.6881256
62,NE02,1709218152.6906044
63,NE01,1709218152.6934505
64,NE00,1709218152.6960995
65,NS14,1709218152.69889
66,NS13,1709218152.7011175
67,NS12,1709218152.7035565
68,NS11,1709218152.7058632
69,NS10,1709218152.7082179
70,NW14,1709218152.7108953
71,NW13,1709218152.7135675
72,NW12,1709218152.7158072
73,NW11,1709218152.7180452
74,NW10,1709218152.7202759
75,SW04,1709218152.7232485
76,SW03,1709218152.7275524
77,SW02,1709218152.7297494
78,SW01,1709218152.7315354
79,SW00,1709218152.7333877
80,SN14,1709218152.7357566
81,SN13,1709218152.7379096
82,SN12,1709218152.7400532
83,SN11,1709218152.7423544
84,SN10,1709218152.745168
85,SE14,1709218152.747269
86,SE13,1709218152.749797
87,SE12,1709218152.7541192
88,SE11,1709218152.7562692
89,SE10,1709218152.7583325
90,WN04,1709218152.760532
91,WN03,1709218152.7630236
92,WN02,1709218152.765246
93,WN01,1709218152.7674305
94,WN00,1709218152.769793
95,WE14,1709218152.7720754
96,WE13,1709218152.7749367
97,WE12,1709218152.777152
98,WE11,1709218152.7791948
99,WE10,1709218152.7812667
100,WS14,1709218152.7832768
101,WS13,1709218152.785536
102,WS12,1709218152.7880042
103,WS11,1709218152.7903764
104,WS10,1709218152.792825
105,ES04,1709218152.7949483
106,ES03,1709218152.808999
107,ES02,1709218152.811708
108,ES01,1709218152.8139272
109,ES00,1709218152.816506
110,EW14,1709218152.8186972
111,EW13,1709218152.8211749
112,EW12,1709218152.823312
113,EW11,1709218152.8260572
114,EW10,1709218152.828195
115,EN14,1709218152.830259
116,EN13,1709218152.8323786
117,EN12,1709218152.8344288
118,EN11,1709218152.836575
119,EN10,1709218152.838511
120,NE04,1709218152.8433995
121,NE03,1709218152.845976
122,NE02,1709218152.8482118
123,NE01,1709218152.8505692
124,NE00,1709218152.853795
125,NS14,1709218152.8566897
126,NS13,1709218152.864712
127,NS12,1709218152.8669593
128,NS11,1709218152.8698285
129,NS10,1709218152.8728442
130,NW14,1709218152.878224
131,NW13,1709218152.88019
132,NW12,1709218152.8823714
133,NW11,1709218152.8846283
134,NW10,1709218152.8868923
135,SW04,1709218152.8890896
136,SW03,1709218152.891306
137,SW02,1709218152.8938487
138,SW01,1709218152.8958
139,SW00,1709218152.8978257
140,SN14,1709218152.8997936
