,starttime,endtime,phaseDuration
0,1709632409.4028866,1709632409.6085134,12
1,1709632421.4081519,1709632421.430827,12
2,1709632433.5087903,1709632433.530686,11
3,1709632444.7073045,1709632444.7319381,10
4,1709632454.7081587,1709632454.7319322,12
5,1709632466.7117786,1709632466.7319574,12
6,1709632478.9042952,1709632478.9304252,10
7,1709632488.9130332,1709632488.9362733,12
8,1709632501.0097136,1709632501.03507,12
9,1709632513.103705,1709632513.122243,7
10,1709632520.2047079,1709632520.225684,7
11,1709632527.2087083,1709632527.2292926,12
12,1709632539.405164,1709632539.4268944,7
13,1709632546.4130106,1709632546.4400043,12
14,1709632558.6028948,1709632558.618243,7
15,1709632565.707615,1709632565.7268944,7
16,1709632572.7057698,1709632572.7280898,7
17,1709632579.810427,1709632579.8319645,12
18,1709632592.006162,1709632592.02426,12
19,1709632604.1073039,1709632604.1230156,7
20,1709632611.2100286,1709632611.2285156,7
21,1709632618.21053,1709632618.2291849,7
22,1709632625.3125975,1709632625.333183,12
23,1709632637.5165384,1709632637.5225554,7
24,1709632644.512091,1709632644.5325267,7
25,1709632651.6064541,1709632651.6276007,7
26,1709632658.6111956,1709632658.633922,7
27,1709632665.7111363,1709632665.7336571,7
28,1709632672.9043064,1709632672.9329596,7
29,1709632679.9044564,1709632679.9250524,10
30,1709632690.008709,1709632690.026259,7
31,1709632697.006583,1709632697.032348,7
32,1709632704.1111066,1709632704.131416,7
33,1709632711.106714,1709632711.1279826,7
34,1709632718.2125247,1709632718.2319665,12
35,1709632730.405418,1709632730.4248903,12
36,1709632742.506644,1709632742.5279334,7
37,1709632749.6036758,1709632749.6207407,7
38,1709632756.704777,1709632756.723924,7
39,1709632763.8030808,1709632763.8277311,7
40,1709632770.807042,1709632770.8339844,7
41,1709632777.8113751,1709632777.8366334,7
42,1709632785.0097518,1709632785.0304008,12
43,1709632797.105996,1709632797.123665,7
44,1709632804.2112553,1709632804.2387326,7
45,1709632811.2032776,1709632811.2254138,7
46,1709632818.2089365,1709632818.2297826,7
47,1709632825.304898,1709632825.3228292,7
48,1709632832.313878,1709632832.3310814,7
49,1709632839.5049841,1709632839.5256107,12
50,1709632851.5112429,1709632851.5307872,7
51,1709632858.61528,1709632858.649696,7
52,1709632865.6082268,1709632865.625629,12
53,1709632877.7082765,1709632877.7230382,7
54,1709632884.7147644,1709632884.7308137,12
55,1709632896.9059558,1709632896.9283721,12
56,1709632909.0099435,1709632909.0155451,7
57,1709632916.1029286,1709632916.1223183,7
58,1709632923.1073058,1709632923.133963,7
59,1709632930.1175237,1709632930.139696,12
60,1709632942.2159324,1709632942.2387395,12
61,1709632954.304301,1709632954.3237045,12
62,1709632966.4170003,1709632966.4373975,7
63,1709632973.4070382,1709632973.4178975,7
64,1709632980.5102406,1709632980.5341733,12
65,1709632992.5029442,1709632992.5274773,12
66,1709633004.6076374,1709633004.621175,7
67,1709633011.711607,1709633011.731579,7
68,1709633018.7045214,1709633018.7268145,7
69,1709633025.7232244,1709633025.756639,7
70,1709633032.90515,1709633032.9319768,7
71,1709633040.0074353,1709633040.0302374,12
72,1709633052.0152345,1709633052.0371654,12
73,1709633064.010537,1709633064.0282261,9
74,1709633073.2059247,1709633073.2287128,12
75,1709633085.2152243,1709633085.2334356,7
76,1709633092.2188127,1709633092.2371678,7
77,1709633099.4097447,1709633099.4309633,12
78,1709633111.5087872,1709633111.5274775,12
79,1709633123.6062467,1709633123.6266234,7
80,1709633130.610128,1709633130.628812,12
81,1709633142.8153102,1709633142.8372183,12
82,1709633154.8132145,1709633154.8365433,12
83,1709633166.915133,1709633166.9370117,9
84,1709633175.9114149,1709633175.9350612,12
85,1709633187.9091794,1709633187.9311974,12
86,1709633200.013292,1709633200.0337172,12
87,1709633212.113597,1709633212.1334648,7
88,1709633219.2088914,1709633219.2252264,7
89,1709633226.3165834,1709633226.341482,7
90,1709633233.3076854,1709633233.324201,7
91,1709633240.505352,1709633240.5254648,10
92,1709633250.5062258,1709633250.5277214,7
93,1709633257.5096717,1709633257.518247,12
94,1709633269.5126386,1709633269.5333314,7
95,1709633276.6046019,1709633276.6248584,12
96,1709633288.6138897,1709633288.6364126,7
97,1709633295.7047122,1709633295.7289026,7
98,1709633302.7143888,1709633302.7340937,10
99,1709633312.9081178,1709633312.926763,12
100,1709633325.008758,1709633325.032569,7
101,1709633332.003121,1709633332.01598,12
102,1709633344.102893,1709633344.10625,12
103,1709633356.2030156,1709633356.207248,12
