,vehicleid,recievetime
0,NE00,1709632408.6531017
1,NE00,1709632408.9373808
2,NE00,1709632409.2287302
3,NE00,1709632409.6111028
4,SW01,1709632410.1052828
5,NE00,1709632410.1174855
6,SW01,1709632410.133379
7,NE00,1709632410.1527376
8,SW01,1709632410.4297717
9,NE00,1709632410.4435928
10,SW01,1709632410.729508
11,NE00,1709632410.7617366
12,SW01,1709632411.0227747
13,NE00,1709632411.0390174
14,SW01,1709632411.3255074
15,NE00,1709632411.3473673
16,SW01,1709632411.622518
17,NE00,1709632411.6431036
18,SW01,1709632411.9211667
19,NE00,1709632411.9433825
20,SW01,1709632412.2238667
21,NE00,1709632412.242027
22,SW01,1709632412.52209
23,NE00,1709632412.5385697
24,EN12,1709632412.8229263
25,SW01,1709632412.8345296
26,NE00,1709632412.8515606
27,EN12,1709632413.1160326
28,SW01,1709632413.1266327
29,NE00,1709632413.1485846
30,EN12,1709632413.415452
31,SW01,1709632413.4258204
32,NE00,1709632413.4391065
33,EN12,1709632413.722419
34,SW01,1709632413.7338142
35,NS13,1709632413.745608
36,NE00,1709632413.7567892
37,EN12,1709632414.0228577
38,SW01,1709632414.0344512
39,NS13,1709632414.047971
40,NS14,1709632414.057403
41,NE00,1709632414.074867
42,EN12,1709632414.3231306
43,SW01,1709632414.3362942
44,NS13,1709632414.350285
45,NS14,1709632414.355186
46,NE00,1709632414.3615224
47,NW15,1709632414.3692093
48,EN12,1709632414.616326
49,SW01,1709632414.6249137
50,NS13,1709632414.6358364
51,NS14,1709632414.6443262
52,NE00,1709632414.6491754
53,NW15,1709632414.658582
54,EN12,1709632414.934072
55,SW01,1709632414.9454799
56,NS13,1709632414.959476
57,NS14,1709632414.9656053
58,NE00,1709632414.9731293
59,NE06,1709632414.9822867
60,NW15,1709632414.9955926
61,WN07,1709632415.000914
62,EN12,1709632415.2363508
63,EN19,1709632415.2447574
64,SW01,1709632415.2671747
65,NS13,1709632415.2735698
66,NS14,1709632415.2825575
67,NE00,1709632415.2884834
68,NE06,1709632415.3015366
69,NW15,1709632415.3074105
70,WE18,1709632415.3161707
71,WN07,1709632415.3321812
72,EN12,1709632415.522861
73,EN19,1709632415.5279932
74,SW01,1709632415.5369744
75,NS13,1709632415.5484798
76,NS14,1709632415.5547957
77,NS110,1709632415.5608532
78,NE00,1709632415.5778644
79,NE06,1709632415.5832071
80,NW15,1709632415.5891597
81,WE18,1709632415.594566
82,WN07,1709632415.6160274
83,EN12,1709632415.8185446
84,EN19,1709632415.8245366
85,SW01,1709632415.8321676
86,NS13,1709632415.844351
87,NS14,1709632415.8494422
88,NS110,1709632415.8545005
89,NE00,1709632415.863192
90,NE06,1709632415.8702993
91,NW15,1709632415.8842568
92,WE18,1709632415.897358
93,WN07,1709632415.90384
94,EN12,1709632416.117204
95,EN19,1709632416.1219687
96,SW01,1709632416.1351266
97,NS13,1709632416.1531367
98,NS14,1709632416.1579835
99,NS110,1709632416.1641643
100,NE00,1709632416.1724098
101,NE06,1709632416.177482
102,NW15,1709632416.1819549
103,WE18,1709632416.1893237
104,WN07,1709632416.2004602
105,EN12,1709632416.4180348
106,EN19,1709632416.423826
107,SW01,1709632416.4324741
108,NS13,1709632416.445225
109,NS14,1709632416.450782
110,NS110,1709632416.4560163
111,NE00,1709632416.4664721
112,NE06,1709632416.4750972
113,NW15,1709632416.482608
114,WE18,1709632416.4892325
115,WN07,1709632416.50504
116,EN12,1709632416.718769
117,EN19,1709632416.7240372
118,SW01,1709632416.7373087
119,NS13,1709632416.7531273
120,NS14,1709632416.7588363
121,NS110,1709632416.7625897
122,NE00,1709632416.7669432
123,NE06,1709632416.771542
124,NW15,1709632416.7770133
125,WE18,1709632416.7820408
126,WN07,1709632416.793292
127,EN12,1709632417.0164123
128,EN19,1709632417.0220623
129,SW01,1709632417.0330505
130,NS13,1709632417.0441759
131,NS14,1709632417.0493665
132,NS110,1709632417.0549793
133,NE00,1709632417.0631382
134,NE06,1709632417.0694222
135,NW15,1709632417.0771961
136,WE18,1709632417.0834877
137,WN07,1709632417.0890315
138,EN12,1709632417.3192775
139,EN19,1709632417.3250237
140,SW01,1709632417.3350556
141,NS13,1709632417.347289
142,NS14,1709632417.351543
143,NS110,1709632417.3548203
144,NS111,1709632417.3613648
145,NE00,1709632417.3730135
146,NE06,1709632417.3778865
147,NW15,1709632417.382278
148,WE18,1709632417.3866878
149,WN07,1709632417.3914905
150,EN12,1709632417.6177793
151,EN19,1709632417.6221042
152,SW01,1709632417.631767
153,NS13,1709632417.6461728
154,NS14,1709632417.6535907
155,NS110,1709632417.6603682
156,NS111,1709632417.665989
157,NE00,1709632417.6707227
158,NE06,1709632417.6773937
159,NW15,1709632417.6823103
160,WE18,1709632417.6881707
161,WN07,1709632417.6948488
162,EN12,1709632417.9164467
163,EN19,1709632417.9216208
164,SW01,1709632417.9376872
165,NS13,1709632417.9487479
166,NS14,1709632417.9541173
167,NS110,1709632417.9625819
168,NS111,1709632417.9670627
169,NE00,1709632417.9723632
170,NE06,1709632417.9779165
171,NW15,1709632417.9866772
172,WE18,1709632417.9945416
173,WN07,1709632418.0019352
174,EN12,1709632418.2182856
175,EN19,1709632418.2277064
176,SW01,1709632418.234089
177,NS13,1709632418.2462978
178,NS14,1709632418.2514482
179,NS110,1709632418.2570603
180,NS111,1709632418.2625315
181,NE00,1709632418.2675116
182,NE06,1709632418.2722545
183,NW15,1709632418.2782888
184,WE18,1709632418.2848787
185,WN07,1709632418.294791
186,EN12,1709632418.5164745
187,EN19,1709632418.5205538
188,SW01,1709632418.5319397
189,NS13,1709632418.5448885
190,NS14,1709632418.5521884
191,NS110,1709632418.5576904
192,NS111,1709632418.5629246
193,NE00,1709632418.5676458
194,NE06,1709632418.5722828
195,NW15,1709632418.577284
196,WE18,1709632418.5817587
197,WN07,1709632418.5888727
198,EN12,1709632418.8205168
199,EN19,1709632418.8274457
200,SW01,1709632418.8340232
201,SE112,1709632418.8429255
202,NS13,1709632418.8606138
203,NS14,1709632418.8659143
204,NS110,1709632418.871251
205,NS111,1709632418.878053
206,NE00,1709632418.883209
207,NE06,1709632418.8883393
208,NW15,1709632418.893706
209,WE18,1709632418.8992531
210,WN07,1709632418.9073145
211,EN12,1709632419.1138928
212,EN19,1709632419.1189594
213,SW01,1709632419.128503
214,SE112,1709632419.1373317
215,NS13,1709632419.1453164
216,NS14,1709632419.1495981
217,NS110,1709632419.1564002
218,NS111,1709632419.1617396
219,NE00,1709632419.1665854
220,NE06,1709632419.171246
221,NW15,1709632419.181321
222,WE18,1709632419.1851394
223,WN07,1709632419.1973777
224,EN12,1709632419.4236333
225,EN19,1709632419.4284163
226,SW01,1709632419.4416816
227,SE112,1709632419.4527736
228,NS13,1709632419.462871
229,NS14,1709632419.4690123
230,NS110,1709632419.4763448
231,NS111,1709632419.4819362
232,NE00,1709632419.4878123
233,NE06,1709632419.494539
234,NW15,1709632419.5082607
235,WE18,1709632419.5145588
236,WN07,1709632419.5304306
237,EN12,1709632419.7170465
238,EN19,1709632419.725527
239,SW01,1709632419.7354882
240,SE112,1709632419.749127
241,NS13,1709632419.7563157
242,NS14,1709632419.7644246
243,NS110,1709632419.7706387
244,NS111,1709632419.7773843
245,NE00,1709632419.782515
246,NE06,1709632419.7882702
247,NW15,1709632419.7945476
248,WE18,1709632419.8000407
249,WN07,1709632419.8083217
250,EN12,1709632420.02907
251,EN19,1709632420.0347884
252,SW01,1709632420.0446362
