,starttime,endtime,phaseDuration
0,1709628469.1507971,1709628469.1508029,25
1,1709628494.160845,1709628494.1608524,25
2,1709628519.2534564,1709628519.2534623,25
3,1709628544.3511965,1709628544.351214,25
4,1709628569.4531608,1709628569.4531665,25
5,1709628594.5563977,1709628594.5564039,25
6,1709628619.6510935,1709628619.6511,25
7,1709628644.7518,1709628644.7518067,25
8,1709628669.8559005,1709628669.855906,25
9,1709628694.9517376,1709628694.9517446,25
10,1709628720.0594332,1709628720.0594404,25
11,1709628745.1558263,1709628745.155833,25
12,1709628770.2519162,1709628770.2519214,25
13,1709628795.25935,1709628795.2593555,25
14,1709628820.2536423,1709628820.2536488,25
15,1709628845.3559778,1709628845.3559842,25
16,1709628870.3606248,1709628870.3606305,25
17,1709628895.5605867,1709628895.5605934,25
18,1709628920.565261,1709628920.5652666,25
19,1709628945.756418,1709628945.7564244,25
20,1709628970.7592475,1709628970.7592556,25
21,1709628995.8529832,1709628995.8529909,25
22,1709629020.8593085,1709629020.8593142,25
23,1709629045.9554102,1709629045.9554183,25
24,1709629071.0565581,1709629071.0565643,25
25,1709629096.0618844,1709629096.0618916,25
26,1709629121.1570508,1709629121.1570566,25
27,1709629146.2512143,1709629146.2512224,25
28,1709629171.3560698,1709629171.3560753,25
29,1709629196.4558265,1709629196.4558332,25
30,1709629221.5561037,1709629221.5561097,25
31,1709629246.5639942,1709629246.5639992,25
32,1709629271.6679618,1709629271.6679695,25
33,1709629296.7571354,1709629296.7571425,25
34,1709629321.861739,1709629321.8617449,25
35,1709629346.9583333,1709629346.9583402,25
36,1709629371.9508958,1709629371.950902,25
37,1709629397.050804,1709629397.0508103,25
38,1709629422.468217,1709629422.4682236,25
