,vehicleid,recievetime
0,NS10,1709628469.5251153
1,WS11,1709628469.5478213
2,NS10,1709628469.804786
3,WS11,1709628469.826227
4,NS10,1709628470.108307
5,WS11,1709628470.12768
6,NS10,1709628470.4098203
7,WS11,1709628470.423129
8,WS12,1709628470.4278715
9,NS10,1709628470.706208
10,WS11,1709628470.7241426
11,WS12,1709628470.736663
12,NS10,1709628471.0091872
13,WS11,1709628471.0258956
14,WS12,1709628471.031495
15,NS10,1709628471.308046
16,WS11,1709628471.3239782
17,WS12,1709628471.3306038
18,NS10,1709628471.6002269
19,WS11,1709628471.615211
20,WS12,1709628471.6205292
21,NS10,1709628471.8963482
22,WS11,1709628471.9080865
23,WS12,1709628471.9128442
24,NS10,1709628472.2031014
25,WS11,1709628472.2194867
26,WS12,1709628472.2250137
27,NS10,1709628472.5010245
28,WS11,1709628472.5203395
29,WS12,1709628472.525073
30,ES03,1709628472.7885847
31,NS10,1709628472.813661
32,WS11,1709628472.8289456
33,WS12,1709628472.834489
34,ES03,1709628473.0826693
35,NS10,1709628473.1053827
36,WS11,1709628473.1213696
37,WS12,1709628473.1276982
38,ES03,1709628473.3874087
39,NS10,1709628473.4125988
40,NE04,1709628473.42148
41,WS11,1709628473.4384933
42,WS12,1709628473.447321
43,ES03,1709628473.687088
44,NS10,1709628473.7172737
45,NE04,1709628473.727367
46,WS11,1709628473.7441652
47,WS12,1709628473.7528358
48,ES03,1709628473.9824238
49,NS10,1709628474.0077288
50,NE04,1709628474.017864
51,WS11,1709628474.0309572
52,WS12,1709628474.0364807
53,ES03,1709628474.2878091
54,NS10,1709628474.3082452
55,NS15,1709628474.313053
56,NE04,1709628474.3243046
57,WS11,1709628474.3305912
58,WS12,1709628474.3376577
59,ES03,1709628474.5823476
60,NS10,1709628474.6066964
61,NS15,1709628474.6118004
62,NE04,1709628474.6211927
63,WS11,1709628474.6361806
64,WS12,1709628474.6430788
65,ES03,1709628474.883976
66,NS10,1709628474.9065561
67,NS15,1709628474.912573
68,NE04,1709628474.918182
69,WS11,1709628474.932329
70,WS12,1709628474.9397836
71,ES03,1709628475.1812425
72,NS10,1709628475.2008486
73,NS15,1709628475.2041693
74,NE04,1709628475.2115126
75,WS11,1709628475.222412
76,WS12,1709628475.2287078
77,ES03,1709628475.4823997
78,NS10,1709628475.507975
79,NS15,1709628475.514585
80,NE04,1709628475.5196118
81,WS11,1709628475.5290816
82,WS12,1709628475.5334022
83,ES03,1709628475.7826247
84,NS10,1709628475.8117921
85,NS15,1709628475.8165197
86,NE04,1709628475.826859
87,WS11,1709628475.8363853
88,WS12,1709628475.841894
89,ES03,1709628476.0838609
90,NS10,1709628476.1056018
91,NS15,1709628476.1115022
92,NE04,1709628476.1182792
93,WS11,1709628476.129413
94,WS12,1709628476.1345654
95,ES03,1709628476.3806086
96,NS10,1709628476.4041312
