,vehicleid,transtime
0,NS10,1709628469.524551
1,WS11,1709628469.5470679
2,NS10,1709628469.8042333
3,WS11,1709628469.8256001
4,NS10,1709628470.107623
5,WS11,1709628470.1270874
6,NS10,1709628470.4092176
7,WS11,1709628470.422588
8,WS12,1709628470.425333
9,NS10,1709628470.7056375
10,WS11,1709628470.7245867
11,WS12,1709628470.7362666
12,NS10,1709628471.0086288
13,WS11,1709628471.0252686
14,WS12,1709628471.030664
15,NS10,1709628471.3076417
16,WS11,1709628471.323532
17,WS12,1709628471.327261
18,NS10,1709628471.5997267
19,WS11,1709628471.614472
20,WS12,1709628471.6182754
21,NS10,1709628471.8958693
22,WS11,1709628471.90764
23,WS12,1709628471.910909
24,NS10,1709628472.2025766
25,WS11,1709628472.2183685
26,WS12,1709628472.2220583
27,NS10,1709628472.500362
28,WS11,1709628472.51979
29,WS12,1709628472.5232189
30,ES03,1709628472.787967
31,NS10,1709628472.812533
32,WS11,1709628472.8282635
33,WS12,1709628472.8326514
34,ES03,1709628473.0819852
35,NS10,1709628473.1042507
36,WS11,1709628473.1205256
37,WS12,1709628473.1244626
38,ES03,1709628473.3867385
39,NS10,1709628473.411947
40,NE04,1709628473.4209514
41,WS11,1709628473.4379494
42,WS12,1709628473.4415548
43,ES03,1709628473.6863863
44,NS10,1709628473.7166371
45,NE04,1709628473.7258775
46,WS11,1709628473.7414465
47,WS12,1709628473.7469652
48,ES03,1709628473.9818668
49,NS10,1709628474.0070899
50,NE04,1709628474.0165436
51,WS11,1709628474.030391
52,WS12,1709628474.034208
53,ES03,1709628474.2874868
54,NS10,1709628474.307794
55,NS15,1709628474.3127434
56,NE04,1709628474.3192797
57,WS11,1709628474.330226
58,WS12,1709628474.3341763
59,ES03,1709628474.5818043
60,NS10,1709628474.606045
61,NS15,1709628474.6105204
62,NE04,1709628474.6187027
63,WS11,1709628474.6353486
64,WS12,1709628474.63878
65,ES03,1709628474.8833666
66,NS10,1709628474.9059625
67,NS15,1709628474.9100165
68,NE04,1709628474.917713
69,WS11,1709628474.9311962
70,WS12,1709628474.9356558
71,ES03,1709628475.1806984
72,NS10,1709628475.2002358
73,NS15,1709628475.2036211
74,NE04,1709628475.211
75,WS11,1709628475.2215328
76,WS12,1709628475.2271407
77,ES03,1709628475.4816213
78,NS10,1709628475.506472
79,NS15,1709628475.5097978
80,NE04,1709628475.5159724
