,starttime,endtime,phaseDuration
0,1709631165.2546685,1709631165.254675,25
1,1709631190.2569964,1709631190.2570004,25
2,1709631215.3614264,1709631215.3614326,25
3,1709631240.4558659,1709631240.4560132,25
4,1709631265.4598777,1709631265.4598825,25
5,1709631290.6577163,1709631290.6577852,25
6,1709631315.6624994,1709631315.6625075,25
7,1709631340.761739,1709631340.7617486,25
8,1709631365.7573872,1709631365.7573931,25
9,1709631390.8619509,1709631390.8619568,25
10,1709631415.861936,1709631415.8619418,25
11,1709631440.9617362,1709631440.9617438,25
12,1709631465.961914,1709631465.9619193,25
13,1709631491.0560338,1709631491.056041,25
14,1709631516.1578147,1709631516.1578202,25
15,1709631541.2635572,1709631541.2635655,25
16,1709631566.25635,1709631566.256355,25
17,1709631591.363353,1709631591.3633604,25
18,1709631616.3571527,1709631616.3571594,25
19,1709631641.4601965,1709631641.4602048,25
20,1709631666.554854,1709631666.5548604,25
21,1709631691.6547832,1709631691.6547902,25
22,1709631716.7621012,1709631716.7621074,25
23,1709631741.7621338,1709631741.7622092,25
24,1709631766.8634565,1709631766.8634622,25
25,1709631791.8605378,1709631791.8605444,25
26,1709631816.959071,1709631816.9590757,25
27,1709631842.0579307,1709631842.0579376,25
28,1709631867.1637025,1709631867.1637087,25
29,1709631892.1634054,1709631892.1634731,25
30,1709631917.260904,1709631917.2609084,25
31,1709631942.3654616,1709631942.36547,25
32,1709631967.4546208,1709631967.4546268,25
33,1709631992.465038,1709631992.4650433,25
34,1709632017.5554411,1709632017.5554454,25
35,1709632042.5657399,1709632042.5658073,25
36,1709632067.6546025,1709632067.6546097,25
37,1709632092.7545319,1709632092.75454,25
38,1709632117.854443,1709632117.8544483,25
39,1709632142.954475,1709632142.954481,25
